"","total_nitrogen","zinc","molybdenum","iron","copper","sodium","phosphorus","potassium","calcium","magnesium","sulphur","manganese","boron","crop_name"
"CF177PA1335",1.59659469127655,4.5,0.1,28.9,2.46,8.41,0.17,0.71,0.34,0.1,0.13,56.3,13.8,"Macadamia"
"CF177PA1336",1.53056204319,4.27,0.25,25.9,3.19,10.7,0.19,0.79,0.35,0.097,0.13,34,16.6,"Macadamia"
"CF177PA1337",1.52455151081085,4.06,0.1,23.9,2.73,13.4,0.17,0.72,0.28,0.087,0.12,33.1,13.2,"Macadamia"
"CF177PA1338",1.62692439556122,6.35,0.19,40.4,2.25,11.5,0.17,0.76,0.3,0.1,0.11,26.9,16.2,"Macadamia"
"CF177PA1356",1.78973281383514,9.99,0.82,53.6,4.34,26.8,0.2,0.95,0.87,0.17,0.31,54.6,50.3,"Macadamia"
"CF177PA1328",2.19081926345825,6.98,0.48,20.8,5.63,12.9,0.18,0.93,0.28,0.099,0.17,12.2,12.7,"Macadamia"
"CF177PA1329",1.94892561435699,8,0.16,180,2.22,306,0.12,1.26,0.65,0.24,0.33,11.5,41.1,"Macadamia"
"CF177PA1325",1.73700892925262,4.98,0.44,26.2,2.9,24.1,0.17,0.85,0.23,0.097,0.12,29.5,14,"Macadamia"
"CF177PA1326",2.27706170082092,5.07,0.27,74,2.94,28.8,0.15,1.19,0.61,0.14,0.26,52.8,50.1,"Macadamia"
"CF177PA1327",1.96094477176666,5.95,0.34,22.6,3.92,7.66,0.17,1.07,0.2,0.098,0.15,38.1,13,"Macadamia"
"CF177PA1470",2.78700566291809,188,0.85,111,8.49,14.4,0.15,0.92,1.6,0.24,0.24,931,99.1,"Pecan Nut"
"CV002PA0730",1.20661687850952,31,0.78,99.6,6.05,54.4,0.21,1.33,0.5,0.22,0.17,20.1,24.1,"Avocado"
"AGD517-90PA0001",1.5887109041214,19.9,0.72,122,8.13,29.7,0.1,1.2,1.9,0.44,0.2,284,11.2,"Avocado"
"CF177PA0795",1.57614088058472,9.79,0.1,142,3.43,128,0.12,0.85,0.93,0.13,0.29,2390,44,"Macadamia"
"CF177PA0843",1.19801390171051,7.83,0.1,83.1,3.96,40.2,0.13,0.86,0.35,0.091,0.15,609,65.7,"Macadamia"
"CF177PA0844",1.2248649597168,10.5,0.1,108,5.6,46,0.2,1.02,0.37,0.1,0.19,416,38.3,"Macadamia"
"CV002PA0737",1.18234384059906,31.4,0.2,122,1080,40.5,0.097,0.99,1.45,0.56,0.36,285,46.4,"Avocado"
"CF177PA0847",1.20165657997131,12,0.1,67.3,4.19,42,0.2,1.12,0.42,0.11,0.15,178,36.8,"Macadamia"
"CF177PA0846",1.38291609287262,11.3,0.1,61.1,4.81,45.6,0.21,1.06,0.34,0.12,0.18,291,38.7,"Macadamia"
"CF177PA0845",1.19750201702118,11.5,0.1,65.8,5.27,42.3,0.2,1.01,0.34,0.13,0.16,180,27.5,"Macadamia"
"CF177PA0849",1.56530261039734,9.47,0.1,62.3,2.58,34.2,0.15,0.89,0.29,0.095,0.15,80.6,11,"Macadamia"
"CF177PA0848",1.79108893871307,12.4,0.1,53.3,4.58,39.3,0.25,1.24,0.3,0.12,0.16,237,15.9,"Macadamia"
"CA554PA0001",1.30561423301697,5.53,0.1,118,4.78,76.4,0.068,0.64,0.82,0.051,0.11,1780,13.3,"Macadamia"
"CK002PA3057",1.64532518386841,12.3,0.46,102,3.62,21.7,0.058,0.45,0.97,0.056,0.16,2920,46.3,"Macadamia"
"CK002PA3058",1.67682254314423,12.7,0.33,142,3.74,26.3,0.06,0.59,1.07,0.083,0.21,2670,54,"Macadamia"
"CK002PA3059",1.77273869514465,11.6,0.68,55.5,5.39,24.5,0.11,0.79,0.58,0.085,0.22,2110,18.7,"Macadamia"
"CF177PA1200",1.65498399734497,91,0.71,138,4.12,17.1,0.12,1.01,1.18,0.3,0.19,1090,33.7,"Pecan Nut"
"CF177PA1010",3.23794054985046,70.1,0.23,97.2,8.75,36.6,0.16,1,1.02,0.34,0.22,433,37,"Pecan Nut"
"CF177PA1011",2.90479445457459,51.9,0.25,92.5,8.72,14,0.15,1.29,1.16,0.34,0.22,471,59.8,"Pecan Nut"
"CF177PA1013",3.44819498062134,295,2.75,76.7,10.9,7.7,0.28,1.63,1.36,0.36,0.34,501,31.9,"Pecan Nut"
"CF177PA1012",2.95388460159302,296,1.75,83.4,8.05,7.72,0.2,1.4,1.38,0.25,0.25,781,69.5,"Pecan Nut"
"CM034PA0122",0.95812052488327,14.8,0.1,30.2,9.06,20.9,0.16,1.85,0.071,0.13,0.096,15.4,15.3,"Avocado"
"CM034PA0123",1.27421891689301,12.9,0.1,31.4,9.2,24.8,0.15,1.6,0.08,0.13,0.1,10.8,15.8,"Avocado"
"CA028PA0463",3.78434443473816,29.4,0.1,128,109,21,0.19,1.33,1.69,0.6,0.27,451,28.2,"Avocado"
"CA028PA0464",3.32894659042358,28.8,0.1,129,28,14.9,0.19,1.5,1.67,0.59,0.27,740,20.4,"Avocado"
"CF177PA1134",1.28229105472565,17.5,0.1,52.2,5.81,10.4,0.17,1.25,0.46,0.2,0.17,166,26.1,"Avocado"
"CF177PA1135",2.42838883399963,32.2,0.21,94.6,16.1,63.4,0.3,1.86,0.57,0.23,0.24,255,73,"Avocado"
"CF177PA1136",1.96034109592438,22.8,0.39,65,11.6,15.8,0.19,1.75,0.62,0.19,0.21,70.5,30.3,"Avocado"
"CK002PA3060",1.59468686580658,9.76,0.34,51,4.33,20.8,0.092,0.64,0.51,0.075,0.16,1710,22.9,"Macadamia"
