,ChannelCount,ChannelStartInKeV
10,254.73529411764713,0.2010262
11,691.2058823529412,0.2210459
12,1112.3529411764705,0.2410656
13,1299.294117647059,0.2610853
14,1337.823529411765,0.281105
15,1341.9117647058827,0.3011247
16,1342.2647058823532,0.3211444
17,1342.4117647058824,0.3411641
18,1342.5294117647059,0.3611838
19,1342.7352941176468,0.3812035
20,1342.7647058823527,0.4012232
21,1342.8235294117646,0.4212429
22,1342.8235294117646,0.4412626
23,1342.9117647058822,0.4612823
24,1342.7941176470592,0.4813021
25,1338.7647058823532,0.5013217
26,1317.5588235294117,0.5213414
27,1133.9705882352941,0.5413612
28,720.5588235294119,0.5613809
29,320.4117647058824,0.5814006
30,153.5588235294118,0.6014202
31,136.94117647058826,0.6214399
32,154.79411764705884,0.6414596
33,175.47058823529414,0.6614794
34,197.0294117647059,0.6814991
35,219.02941176470588,0.7015188
36,238.8235294117647,0.7215384
37,259.55882352941177,0.7415581
38,281.79411764705884,0.7615778
39,303.64705882352945,0.7815976
40,325.05882352941177,0.8016173
41,346.61764705882354,0.821637
42,367.2941176470589,0.8416567
43,363.55882352941177,0.8616763
44,361.0882352941177,0.881696
45,358.32352941176475,0.9017158
46,357.5882352941177,0.9217355
47,357.4117647058824,0.9417552
48,355.17647058823536,0.9617749
49,352.2647058823529,0.9817945
50,350.7647058823529,1.001814
51,348.5882352941177,1.021834
52,345.17647058823536,1.041854
53,343.5882352941177,1.061873
54,342.5882352941177,1.081893
55,337.79411764705884,1.101913
56,335.0294117647059,1.121933
57,331.88235294117646,1.141952
58,329.2941176470589,1.161972
59,327.2647058823529,1.181992
60,324.14705882352945,1.202011
61,322.11764705882354,1.222031
62,317.764705882353,1.242051
63,315.38235294117646,1.26207
64,313.0,1.28209
65,311.3529411764706,1.30211
66,310.02941176470586,1.322129
67,308.6764705882353,1.342149
68,308.0294117647059,1.362169
69,309.764705882353,1.382189
70,312.0294117647059,1.402208
71,312.5294117647059,1.422228
72,312.8529411764706,1.442248
73,311.52941176470597,1.462267
74,309.2058823529412,1.482287
75,307.0,1.502307
76,304.4117647058824,1.522326
77,303.29411764705884,1.542346
78,303.5882352941177,1.562366
79,306.8235294117647,1.582386
80,307.64705882352945,1.602405
81,306.9117647058824,1.622425
82,306.0294117647059,1.642445
83,304.5882352941177,1.662464
84,302.9411764705883,1.682484
85,301.47058823529414,1.702504
86,298.67647058823536,1.722523
87,297.4117647058824,1.742543
88,299.64705882352945,1.762563
89,307.44117647058823,1.782583
90,317.6470588235294,1.802602
91,330.764705882353,1.822622
92,343.2352941176471,1.842642
93,355.2352941176471,1.862661
94,362.7058823529412,1.882681
95,365.02941176470597,1.902701
96,363.1470588235294,1.922721
97,361.3529411764706,1.94274
98,362.02941176470586,1.96276
99,360.7941176470589,1.98278
100,359.3823529411765,2.002799
101,358.8529411764706,2.022819
102,359.7941176470589,2.042839
103,362.2058823529412,2.062858
104,370.32352941176475,2.082878
105,388.0588235294118,2.102898
106,415.0294117647059,2.122917
107,447.7352941176471,2.142937
108,474.05882352941177,2.162957
109,490.7058823529411,2.182977
110,496.47058823529414,2.202996
111,498.85294117647067,2.223016
112,500.5,2.243036
113,503.32352941176475,2.263055
114,504.82352941176475,2.283075
115,507.32352941176464,2.303095
116,509.0882352941176,2.323115
117,512.9411764705883,2.343134
118,516.2058823529412,2.363154
119,517.3823529411765,2.383174
120,519.0294117647059,2.403193
121,519.2647058823529,2.423213
122,516.1176470588236,2.443233
123,513.7941176470589,2.463253
124,521.529411764706,2.483272
125,555.7352941176471,2.503292
126,617.0588235294117,2.523312
127,690.4117647058824,2.543331
128,757.3823529411766,2.563351
129,808.0882352941177,2.583371
130,843.3235294117649,2.60339
131,878.5294117647059,2.62341
132,916.4117647058824,2.64343
133,963.1470588235294,2.66345
134,1009.9705882352943,2.683469
135,1053.7058823529412,2.703489
