,ChannelCount,ChannelStartInKeV
10,245.76470588235296,0.2009848
11,665.9705882352941,0.2210045
12,1070.7352941176473,0.2410242
13,1250.8235294117649,0.2610439
14,1288.7352941176473,0.2810636
15,1292.911764705883,0.3010833
16,1293.4117647058827,0.321103
17,1293.6176470588239,0.3411227
18,1293.6764705882354,0.3611424
19,1293.794117647059,0.3811621
20,1293.9117647058824,0.4011818
21,1294.0294117647065,0.4212015
22,1294.0882352941178,0.4412212
23,1294.088235294118,0.4612409
24,1293.9117647058824,0.4812606
25,1289.9705882352941,0.5012803
26,1271.1764705882356,0.5213
27,1096.4705882352944,0.5413197
28,698.9705882352944,0.5613394
29,317.88235294117646,0.5813591
30,159.11764705882356,0.6013788
31,145.23529411764707,0.6213985
32,164.50000000000003,0.6414182
33,186.08823529411765,0.6614379
34,208.61764705882356,0.6814576
35,233.02941176470586,0.7014773
36,256.7058823529412,0.721497
37,280.44117647058823,0.7415167
38,303.2352941176471,0.7615364
39,326.764705882353,0.7815561
40,349.5882352941176,0.8015758
41,369.99999999999994,0.8215955
42,392.23529411764713,0.8416152
43,390.14705882352945,0.8616349
44,386.2647058823529,0.8816546
45,386.0882352941177,0.9016743
46,383.2352941176471,0.921694
47,384.2941176470588,0.9417137
48,380.3823529411765,0.9617334
49,378.9411764705883,0.9817531
50,376.82352941176475,1.001773
51,374.2058823529413,1.021793
52,370.17647058823525,1.041812
53,368.3529411764706,1.061832
54,365.3823529411765,1.081852
55,363.2058823529412,1.101871
56,359.0882352941176,1.121891
57,355.32352941176475,1.141911
58,353.82352941176475,1.16193
59,348.7352941176471,1.18195
60,346.3823529411764,1.20197
61,344.1176470588236,1.22199
62,341.29411764705884,1.242009
63,338.8823529411765,1.262029
64,334.9411764705883,1.282049
65,334.35294117647067,1.302068
66,333.32352941176475,1.322088
67,334.0294117647059,1.342108
68,333.7058823529412,1.362127
69,335.05882352941177,1.382147
70,335.5882352941177,1.402167
71,334.91176470588243,1.422186
72,333.0882352941176,1.442206
73,331.4117647058823,1.462226
74,330.79411764705884,1.482246
75,328.94117647058823,1.502265
76,334.0,1.522285
77,339.2941176470588,1.542305
78,350.5882352941176,1.562324
79,360.44117647058823,1.582344
80,369.47058823529414,1.602364
81,375.9411764705883,1.622384
82,377.2647058823529,1.642403
83,375.0882352941177,1.662423
84,374.7058823529412,1.682443
85,375.88235294117646,1.702462
86,372.4117647058824,1.722482
87,371.38235294117646,1.742502
88,375.70588235294116,1.762522
89,381.70588235294116,1.782541
90,391.264705882353,1.802561
91,400.1176470588235,1.822581
92,412.9117647058824,1.8426
93,416.47058823529414,1.86262
94,416.0882352941177,1.88264
95,406.11764705882354,1.902659
96,395.61764705882354,1.922679
97,385.94117647058823,1.942699
98,378.32352941176475,1.962718
99,373.47058823529414,1.982738
100,372.0,2.002758
101,369.17647058823536,2.022778
102,367.32352941176475,2.042797
103,374.52941176470586,2.062817
104,390.2647058823529,2.082837
105,423.0294117647059,2.102856
106,478.97058823529414,2.122876
107,544.8235294117646,2.142896
108,602.3823529411766,2.162915
109,639.1764705882354,2.182935
110,657.7941176470589,2.202955
111,663.6764705882354,2.222975
112,667.1764705882354,2.242994
113,670.5882352941178,2.263014
114,675.6764705882354,2.283034
115,680.764705882353,2.303053
116,687.7058823529412,2.323073
117,691.4117647058823,2.343093
118,697.3823529411765,2.363112
119,706.5294117647059,2.383132
120,724.4117647058824,2.403152
121,751.3823529411766,2.423172
122,783.9117647058824,2.443191
123,811.5588235294117,2.463211
124,837.794117647059,2.483231
125,874.4117647058824,2.50325
126,934.9117647058825,2.52327
127,1005.0882352941176,2.54329
128,1071.705882352941,2.563309
129,1122.8823529411766,2.583329
130,1159.0588235294122,2.603349
131,1191.3529411764703,2.623369
132,1229.6764705882354,2.643388
133,1277.235294117647,2.663408
134,1325.941176470588,2.683428
135,1364.0294117647059,2.703447
136,1392.2352941176473,2.723467
137,1405.3529411764707,2.743487
138,1399.1764705882354,2.763506
139,1371.7058823529412,2.783526
140,1325.6176470588236,2.803546
141,1261.8235294117649,2.823566
142,1187.0,2.843585
143,1092.4117647058824,2.863605
144,1006.4117647058824,2.883625
145,932.6470588235295,2.903644
146,878.5588235294119,2.923664
147,840.9705882352941,2.943684
148,806.4117647058823,2.963703
149,768.0588235294119,2.983723
150,720.7941176470589,3.003743
151,678.0294117647059,3.023763
152,654.7058823529412,3.043782
153,657.5000000000001,3.063802
154,707.8823529411766,3.083822
155,826.8823529411766,3.103841
156,1027.6470588235295,3.123861
157,1283.3235294117649,3.143881
158,1540.294117647059,3.163901
159,1754.9117647058824,3.18392
160,1902.9705882352944,3.20394
161,1983.5000000000002,3.22396
162,2019.4411764705883,3.243979
163,2033.4705882352941,3.263999
164,2036.3823529411764,3.284019
165,2040.0,3.304039
166,2043.3529411764707,3.324058
167,2050.3529411764707,3.344078
168,2061.2058823529414,3.364098
169,2073.5294117647063,3.384117
170,2079.1764705882356,3.404137
171,2066.705882352942,3.424157
172,2036.6764705882356,3.444176
173,2014.5588235294117,3.464196
174,2075.2647058823536,3.484216
175,2277.058823529412,3.504236
176,2602.823529411765,3.524255
177,2999.3235294117653,3.544275
178,3369.1176470588243,3.564295
179,3636.676470588235,3.584314
180,3792.117647058824,3.604334
181,3866.5294117647063,3.624354
182,3889.7941176470595,3.644373
183,3891.852941176471,3.664393
184,3880.5588235294117,3.684413
185,3860.6470588235297,3.704432
186,3829.0588235294126,3.724452
187,3787.0588235294117,3.744472
188,3721.617647058824,3.764492
189,3619.9411764705887,3.784511
190,3440.705882352941,3.804531
191,3144.705882352942,3.824551
192,2727.4705882352946,3.84457
193,2236.0,3.86459
194,1741.705882352941,3.88461
195,1326.7058823529417,3.904629
196,1045.5294117647059,3.924649
197,884.8823529411766,3.944669
198,806.5882352941178,3.964689
199,773.5882352941177,3.984708
200,758.9705882352943,4.004728
201,753.5294117647059,4.024748
202,747.5588235294117,4.044767
203,741.4411764705883,4.064787
204,729.8529411764706,4.084807
205,713.3529411764707,4.104826
206,679.6470588235295,4.124846
207,630.1176470588236,4.144866
208,559.3235294117649,4.164886
209,474.1764705882353,4.184905
210,390.4411764705883,4.204925
211,320.6470588235294,4.224945
212,269.8823529411765,4.244965
213,238.5588235294118,4.264984
214,222.11764705882354,4.285004
215,217.41176470588238,4.305024
216,218.05882352941177,4.325043
217,221.0294117647059,4.345063
218,223.9705882352941,4.365083
219,226.88235294117652,4.385102
220,229.58823529411768,4.405122
221,231.47058823529414,4.425142
222,232.8235294117647,4.445161
