,ChannelStartInKeV,ChannelCount
0,0.0006988782,0
1,0.02071858,0
2,0.04073828,0
3,0.06075798,0
4,0.08077768,0
5,0.1007974,0
6,0.1208171,0
7,0.1408368,0
8,0.1608565,0
9,0.1808762,0
10,0.2008959,0
11,0.2209156,0
12,0.2409353,0
13,0.260955,0
14,0.2809747,0
15,0.3009944,7
16,0.3210141,140
17,0.3410338,1183
18,0.3610535,5720
19,0.3810732,12326
20,0.4010929,11843
21,0.4211126,5154
22,0.4411323,1109
23,0.461152,139
24,0.4811717,8
25,0.5011914,8
26,0.5212111,3
27,0.5412308,2
28,0.5612505,7
29,0.5812702,3
30,0.6012899,2
31,0.6213096,1
32,0.6413293,2
33,0.661349,5
34,0.6813687,773
35,0.7013884,704
36,0.7214081,735
37,0.7414278,743
38,0.7614475,730
39,0.7814672,742
40,0.8014869,712
41,0.8215066,697
42,0.8415263,672
43,0.861546,709
44,0.8815657,750
45,0.9015854,747
46,0.9216051,683
47,0.9416248,764
48,0.9616445,700
49,0.9816642,636
50,1.001684,643
51,1.021704,677
52,1.041723,682
53,1.061743,687
54,1.081763,661
55,1.101782,657
56,1.121802,623
57,1.141822,626
58,1.161842,634
59,1.181861,609
60,1.201881,600
61,1.221901,666
62,1.24192,635
63,1.26194,600
64,1.28196,565
65,1.301979,596
66,1.321999,603
67,1.342019,601
68,1.362038,568
69,1.382058,580
70,1.402078,609
71,1.422098,529
72,1.442117,585
73,1.462137,597
74,1.482157,549
75,1.502176,584
76,1.522196,578
77,1.542216,564
78,1.562236,544
79,1.582255,487
80,1.602275,512
81,1.622295,521
82,1.642314,507
83,1.662334,499
84,1.682354,491
85,1.702374,481
86,1.722393,544
87,1.742413,521
88,1.762433,529
89,1.782452,501
90,1.802472,478
91,1.822492,496
92,1.842511,520
93,1.862531,508
94,1.882551,544
95,1.90257,497
96,1.92259,569
97,1.94261,561
98,1.96263,524
99,1.982649,497
100,2.002669,462
101,2.022689,501
102,2.042708,470
103,2.062728,487
104,2.082748,497
105,2.102767,447
106,2.122787,483
107,2.142807,480
108,2.162827,480
109,2.182846,491
110,2.202866,462
111,2.222886,473
112,2.242905,489
113,2.262925,473
114,2.282945,528
115,2.302964,482
116,2.322984,456
117,2.343004,447
118,2.363024,457
119,2.383043,402
120,2.403063,449
121,2.423083,457
122,2.443102,419
123,2.463122,445
124,2.483142,424
125,2.503161,399
126,2.523181,424
127,2.543201,439
128,2.563221,407
129,2.58324,412
130,2.60326,440
131,2.62328,427
132,2.643299,440
133,2.663319,440
134,2.683339,409
135,2.703358,414
136,2.723378,361
137,2.743398,407
138,2.763418,416
139,2.783437,388
140,2.803457,356
141,2.823477,419
142,2.843496,381
143,2.863516,422
144,2.883536,419
145,2.903556,467
146,2.923575,439
147,2.943595,520
148,2.963615,508
149,2.983634,446
150,3.003654,448
151,3.023674,386
152,3.043694,374
153,3.063713,336
154,3.083733,357
155,3.103753,390
156,3.123772,389
157,3.143792,367
158,3.163812,319
159,3.183831,422
160,3.203851,481
161,3.223871,577
162,3.243891,863
163,3.26391,1213
164,3.28393,1591
165,3.30395,1843
166,3.323969,1811
167,3.343989,1488
168,3.364009,1040
169,3.384028,725
170,3.404048,548
171,3.424068,414
172,3.444088,414
173,3.464107,472
174,3.484127,506
175,3.504147,543
176,3.524166,569
177,3.544186,574
178,3.564206,617
179,3.584225,756
180,3.604245,1032
181,3.624265,1500
182,3.644284,2121
183,3.664304,3025
184,3.684324,3329
185,3.704344,3400
186,3.724363,2792
