,ChannelStartInKeV,ChannelCount
0,0.0008103495,0
1,0.02083005,0
2,0.04084975,0
3,0.06086945,0
4,0.08088915,0
5,0.1009089,0
6,0.1209286,0
7,0.1409483,0
8,0.160968,0
9,0.1809877,0
10,0.2010074,0
11,0.2210271,0
12,0.2410468,0
13,0.2610665,0
14,0.2810862,0
15,0.3011059,6
16,0.3211256,97
17,0.3411453,1242
18,0.361165,5268
19,0.3811847,11362
20,0.4012044,11042
21,0.4212241,4737
22,0.4412438,1031
23,0.4612635,111
24,0.4812832,5
25,0.5013029,20
26,0.5213225,6
27,0.5413423,5
28,0.561362,4
29,0.5813817,5
30,0.6014014,2
31,0.6214211,7
32,0.6414408,1
33,0.6614605,2
34,0.6814802,907
35,0.7014999,914
36,0.7215196,897
37,0.7415393,874
38,0.761559,827
39,0.7815787,863
40,0.8015984,847
41,0.8216181,864
42,0.8416378,827
43,0.8616575,852
44,0.8816772,794
45,0.9016969,831
46,0.9217166,823
47,0.9417363,856
48,0.961756,841
49,0.9817757,866
50,1.001795,788
51,1.021815,778
52,1.041835,752
53,1.061854,805
54,1.081874,758
55,1.101894,797
56,1.121914,729
57,1.141933,789
58,1.161953,789
59,1.181973,781
60,1.201992,780
61,1.222012,710
62,1.242032,730
63,1.262051,744
64,1.282071,715
65,1.302091,719
66,1.322111,680
67,1.34213,744
68,1.36215,704
69,1.38217,650
70,1.402189,695
71,1.422209,699
72,1.442229,644
73,1.462249,676
74,1.482268,665
75,1.502288,663
76,1.522308,652
77,1.542327,700
78,1.562347,670
79,1.582367,633
80,1.602386,625
81,1.622406,653
82,1.642426,566
83,1.662446,621
84,1.682465,633
85,1.702485,594
86,1.722505,562
87,1.742524,559
88,1.762544,577
89,1.782564,552
90,1.802583,591
91,1.822603,588
92,1.842623,549
93,1.862643,604
94,1.882662,626
95,1.902682,602
96,1.922702,654
97,1.942721,606
98,1.962741,616
99,1.982761,585
100,2.00278,593
101,2.0228,582
102,2.04282,593
103,2.06284,597
104,2.082859,570
105,2.102879,534
106,2.122899,555
107,2.142918,537
108,2.162938,518
109,2.182958,507
110,2.202977,595
111,2.222997,500
112,2.243017,560
113,2.263036,557
114,2.283056,513
115,2.303076,541
116,2.323096,567
117,2.343115,516
118,2.363135,554
119,2.383155,497
120,2.403174,491
121,2.423194,510
122,2.443214,453
123,2.463233,493
124,2.483253,519
125,2.503273,469
126,2.523293,448
127,2.543312,463
128,2.563332,497
129,2.583352,491
130,2.603371,536
131,2.623391,539
132,2.643411,507
133,2.663431,463
134,2.68345,469
135,2.70347,451
136,2.72349,454
137,2.743509,460
138,2.763529,425
139,2.783549,422
140,2.803569,480
141,2.823588,434
142,2.843608,460
143,2.863628,432
144,2.883647,491
145,2.903667,498
146,2.923687,495
147,2.943707,532
148,2.963726,532
149,2.983746,480
150,3.003766,449
151,3.023785,418
152,3.043805,394
153,3.063825,419
154,3.083844,424
155,3.103864,408
156,3.123884,406
157,3.143903,386
158,3.163923,423
159,3.183943,463
160,3.203963,593
161,3.223982,884
162,3.244002,1400
163,3.264022,2128
164,3.284041,3060
165,3.304061,3553
166,3.324081,3516
167,3.3441,2853
168,3.36412,1975
169,3.38414,1287
170,3.40416,837
171,3.424179,598
172,3.444199,597
173,3.464219,542
174,3.484238,624
175,3.504258,626
176,3.524278,715
177,3.544297,757
178,3.564317,864
179,3.584337,1029
180,3.604357,1241
181,3.624376,1468
182,3.644396,2048
183,3.664416,2533
184,3.684435,2934
185,3.704455,2887
186,3.724475,2347
187,3.744494,1696
188,3.764514,1020
189,3.784534,671
190,3.804554,449
191,3.824573,356
192,3.844593,280
193,3.864613,311
194,3.884632,289
195,3.904652,320
196,3.924672,397
197,3.944691,427
198,3.964711,475
199,3.984731,590
200,4.004751,682
201,4.02477,630
202,4.04479,619
203,4.06481,502
204,4.084829,419
205,4.104849,355
206,4.124869,260
207,4.144888,238
208,4.164908,255
209,4.184928,246
210,4.204947,240
211,4.224967,236
212,4.244987,254
213,4.265007,235
214,4.285027,234
215,4.305046,225
216,4.325066,190
217,4.345086,239
218,4.365105,211
219,4.385125,218
220,4.405145,218
221,4.425164,236
222,4.445184,230
223,4.465204,251
224,4.485223,229
225,4.505243,234
226,4.525263,222
227,4.545282,241
228,4.565302,196
229,4.585322,199
230,4.605341,177
231,4.625361,159
232,4.645381,171
233,4.665401,186
234,4.685421,176
235,4.70544,174
236,4.72546,174
237,4.74548,174
238,4.765499,181
239,4.785519,169
240,4.805539,187
241,4.825558,207
242,4.845578,205
243,4.865598,165
244,4.885617,172
245,4.905637,181
246,4.925657,186
247,4.945676,177
248,4.965696,150
249,4.985716,151
250,5.005735,144
251,5.025755,167
252,5.045775,169
253,5.065794,130
254,5.085814,175
255,5.105834,147
256,5.125854,147
257,5.145874,143
258,5.165893,169
259,5.185913,137
