,ChannelStartInKeV,ChannelCount
0,0.0009437846,0
1,0.02096349,0
2,0.04098319,0
3,0.06100289,0
4,0.08102259,0
5,0.1010423,0
6,0.121062,0
7,0.1410817,0
8,0.1611014,0
9,0.1811211,0
10,0.2011408,0
11,0.2211605,0
12,0.2411802,0
13,0.2611999,0
14,0.2812196,0
15,0.3012393,9
16,0.321259,161
17,0.3412787,1262
18,0.3612984,5571
19,0.3813181,11548
20,0.4013378,11241
21,0.4213575,4877
22,0.4413772,1052
23,0.4613969,133
24,0.4814166,6
25,0.5014363,4
26,0.521456,3
27,0.5414757,4
28,0.5614954,6
29,0.5815151,7
30,0.6015348,5
31,0.6215545,2
32,0.6415742,2
33,0.6615939,1
34,0.6816136,848
35,0.7016333,896
36,0.721653,891
37,0.7416727,821
38,0.7616924,855
39,0.7817121,823
40,0.8017318,823
41,0.8217515,832
42,0.8417712,844
43,0.861791,766
44,0.8818106,804
45,0.9018303,822
46,0.92185,779
47,0.9418697,781
48,0.9618894,745
49,0.9819092,771
50,1.001929,741
51,1.021949,746
52,1.041968,751
53,1.061988,766
54,1.082008,787
55,1.102027,734
56,1.122047,692
57,1.142067,708
58,1.162086,705
59,1.182106,733
60,1.202126,689
61,1.222146,737
62,1.242165,711
63,1.262185,708
64,1.282205,696
65,1.302224,695
66,1.322244,694
67,1.342264,650
68,1.362283,645
69,1.382303,626
70,1.402323,642
71,1.422343,668
72,1.442362,650
73,1.462382,644
74,1.482402,679
75,1.502421,610
76,1.522441,739
77,1.542461,694
78,1.56248,654
79,1.5825,683
80,1.60252,627
81,1.62254,633
82,1.642559,575
83,1.662579,562
84,1.682599,568
85,1.702618,585
86,1.722638,615
87,1.742658,563
88,1.762677,586
89,1.782697,572
90,1.802717,587
91,1.822737,568
92,1.842756,610
93,1.862776,580
94,1.882796,561
95,1.902815,562
96,1.922835,583
97,1.942855,563
98,1.962875,555
99,1.982894,562
100,2.002914,534
101,2.022933,556
102,2.042953,565
103,2.062973,601
104,2.082993,501
105,2.103012,538
106,2.123032,505
107,2.143052,557
108,2.163071,541
109,2.183091,528
110,2.203111,485
111,2.223131,498
112,2.24315,545
113,2.26317,549
114,2.28319,547
115,2.303209,564
116,2.323229,514
117,2.343249,528
118,2.363269,504
119,2.383288,462
120,2.403308,450
121,2.423328,474
122,2.443347,486
123,2.463367,453
124,2.483387,476
125,2.503407,480
126,2.523426,474
127,2.543446,491
128,2.563466,483
129,2.583485,485
130,2.603505,472
131,2.623525,504
132,2.643544,505
133,2.663564,478
134,2.683584,430
135,2.703604,452
136,2.723623,406
137,2.743643,403
138,2.763663,444
139,2.783682,395
140,2.803702,443
141,2.823722,435
142,2.843741,426
143,2.863761,443
144,2.883781,462
145,2.9038,502
146,2.92382,554
147,2.94384,513
148,2.96386,511
149,2.983879,470
150,3.003899,431
151,3.023919,419
152,3.043938,384
153,3.063958,389
154,3.083978,416
155,3.103997,413
156,3.124017,360
157,3.144037,404
158,3.164057,418
159,3.184076,490
160,3.204096,714
161,3.224116,1179
162,3.244135,1996
163,3.264155,3312
164,3.284175,4559
165,3.304194,5672
166,3.324214,5610
167,3.344234,4628
168,3.364254,3310
169,3.384273,1950
170,3.404293,1137
171,3.424313,684
172,3.444332,549
173,3.464352,575
174,3.484372,601
175,3.504391,680
176,3.524411,733
177,3.544431,904
178,3.564451,1069
179,3.58447,1208
180,3.60449,1133
181,3.62451,1095
182,3.644529,1072
183,3.664549,1067
184,3.684569,977
185,3.704588,912
186,3.724608,811
187,3.744628,607
188,3.764647,490
189,3.784667,382
190,3.804687,315
191,3.824707,294
192,3.844726,256
193,3.864746,269
194,3.884766,252
195,3.904785,277
196,3.924805,271
197,3.944825,291
198,3.964844,317
199,3.984864,358
200,4.004884,347
201,4.024904,332
202,4.044923,326
203,4.064943,268
204,4.084963,269
205,4.104982,254
206,4.125002,247
207,4.145022,240
208,4.165041,236
209,4.185061,252
210,4.205081,223
211,4.225101,198
212,4.245121,237
213,4.26514,213
214,4.28516,222
215,4.30518,195
216,4.325199,206
217,4.345219,232
218,4.365239,189
219,4.385258,199
220,4.405278,200
221,4.425298,217
222,4.445317,208
223,4.465337,205
224,4.485357,186
225,4.505376,159
226,4.525396,170
227,4.545416,220
228,4.565435,174
229,4.585455,194
230,4.605475,184
231,4.625494,183
232,4.645514,173
233,4.665534,179
234,4.685554,181
235,4.705574,188
236,4.725593,175
237,4.745613,144
238,4.765633,195
239,4.785652,164
240,4.805672,141
241,4.825692,151
242,4.845711,156
243,4.865731,175
244,4.885751,162
245,4.90577,135
246,4.92579,164
247,4.94581,150
248,4.96583,153
249,4.985849,139
250,5.005869,142
251,5.025889,136
252,5.045908,144
253,5.065928,135
254,5.085948,137
255,5.105968,144
256,5.125987,138
257,5.146007,137
258,5.166027,141
259,5.186046,123
260,5.206066,134
261,5.226086,127
262,5.246106,134
263,5.266125,132
264,5.286145,138
265,5.306165,144
