,ChannelStartInKeV,ChannelCount
0,0.0007231582,0
1,0.02074286,0
2,0.04076256,0
3,0.06078226,0
4,0.08080196,0
5,0.1008217,0
6,0.1208414,0
7,0.1408611,0
8,0.1608808,0
9,0.1809005,0
10,0.2009202,0
11,0.2209399,0
12,0.2409596,0
13,0.2609793,0
14,0.280999,0
15,0.3010187,5
16,0.3210384,135
17,0.3410581,1207
18,0.3610778,5430
19,0.3810975,11693
20,0.4011172,11307
21,0.4211369,4930
22,0.4411566,1055
23,0.4611763,130
24,0.481196,13
25,0.5012157,7
26,0.5212354,4
27,0.5412551,7
28,0.5612748,1
29,0.5812945,2
30,0.6013142,4
31,0.6213339,0
32,0.6413536,1
33,0.6613733,4
34,0.681393,866
35,0.7014127,847
36,0.7214324,875
37,0.7414521,820
38,0.7614718,834
39,0.7814915,826
40,0.8015112,814
41,0.8215309,833
42,0.8415506,768
43,0.8615703,803
44,0.88159,785
45,0.9016097,748
46,0.9216294,752
47,0.9416491,787
48,0.9616688,709
49,0.9816885,769
50,1.001708,695
51,1.021728,696
52,1.041748,755
53,1.061767,740
54,1.081787,713
55,1.101807,737
56,1.121826,686
57,1.141846,705
58,1.161866,694
59,1.181885,678
60,1.201905,697
61,1.221925,701
62,1.241945,696
63,1.261964,654
64,1.281984,661
65,1.302004,681
66,1.322023,661
67,1.342043,675
68,1.362063,677
69,1.382083,637
70,1.402102,616
71,1.422122,631
72,1.442142,601
73,1.462161,597
74,1.482181,575
75,1.502201,640
76,1.52222,622
77,1.54224,622
78,1.56226,593
79,1.58228,596
80,1.602299,560
81,1.622319,603
82,1.642339,578
83,1.662358,563
84,1.682378,542
85,1.702398,589
86,1.722417,585
87,1.742437,528
88,1.762457,538
89,1.782477,511
90,1.802496,547
91,1.822516,543
92,1.842536,583
93,1.862555,567
94,1.882575,583
95,1.902595,552
96,1.922614,603
97,1.942634,580
98,1.962654,597
99,1.982674,567
100,2.002693,537
101,2.022713,589
102,2.042733,532
103,2.062752,536
104,2.082772,519
105,2.102792,514
106,2.122812,488
107,2.142831,534
108,2.162851,479
109,2.182871,470
110,2.20289,503
111,2.22291,529
112,2.24293,542
113,2.262949,564
114,2.282969,538
115,2.302989,569
116,2.323009,515
117,2.343028,537
118,2.363048,518
119,2.383068,466
120,2.403087,431
121,2.423107,413
122,2.443127,434
123,2.463146,437
124,2.483166,494
125,2.503186,509
126,2.523206,473
127,2.543225,470
128,2.563245,469
129,2.583265,483
130,2.603284,503
131,2.623304,498
132,2.643324,431
133,2.663343,493
134,2.683363,503
135,2.703383,429
136,2.723403,418
137,2.743422,434
138,2.763442,383
139,2.783462,429
140,2.803481,395
141,2.823501,449
142,2.843521,424
143,2.86354,435
144,2.88356,401
145,2.90358,451
146,2.923599,513
147,2.943619,537
148,2.963639,531
149,2.983659,532
150,3.003678,442
151,3.023698,390
152,3.043718,362
153,3.063737,371
154,3.083757,395
155,3.103777,374
156,3.123796,388
157,3.143816,378
158,3.163836,422
159,3.183856,443
160,3.203875,554
161,3.223895,728
162,3.243915,1058
163,3.263934,1610
164,3.283954,2024
165,3.303974,2365
166,3.323993,2326
167,3.344013,1870
168,3.364033,1467
169,3.384053,910
170,3.404072,654
171,3.424092,486
172,3.444112,472
173,3.464131,524
174,3.484151,569
175,3.504171,608
176,3.52419,599
177,3.54421,711
178,3.56423,761
179,3.58425,958
180,3.604269,1376
181,3.624289,2044
182,3.644309,3085
183,3.664328,3903
184,3.684348,4686
185,3.704368,4535
186,3.724388,3775
187,3.744407,2646
188,3.764427,1707
189,3.784447,916
190,3.804466,570
191,3.824486,372
192,3.844506,309
193,3.864526,276
194,3.884545,312
195,3.904565,329
196,3.924585,404
197,3.944604,519
198,3.964624,636
199,3.984644,783
200,4.004663,912
201,4.024683,926
202,4.044703,798
203,4.064723,642
204,4.084742,496
205,4.104762,360
206,4.124782,311
207,4.144801,254
208,4.164821,228
209,4.184841,242
210,4.20486,251
211,4.22488,215
212,4.2449,219
213,4.264919,234
214,4.284939,219
215,4.304959,219
216,4.324978,196
217,4.344998,228
218,4.365018,212
219,4.385038,208
220,4.405057,215
221,4.425077,240
222,4.445097,201
223,4.465117,218
224,4.485136,241
225,4.505156,247
226,4.525176,240
227,4.545195,223
228,4.565215,176
229,4.585235,201
230,4.605254,198
231,4.625274,169
232,4.645294,191
233,4.665314,159
234,4.685333,165
235,4.705353,194
236,4.725373,179
237,4.745392,175
238,4.765412,173
239,4.785432,169
240,4.805451,168
241,4.825471,190
242,4.845491,199
243,4.86551,158
244,4.88553,187
245,4.90555,173
246,4.92557,157
247,4.94559,189
248,4.965609,133
249,4.985629,164
250,5.005649,148
251,5.025668,178
252,5.045688,142
253,5.065708,121
254,5.085727,153
255,5.105747,139
256,5.125767,152
257,5.145786,145
258,5.165806,136
259,5.185826,156
260,5.205845,134
261,5.225865,123
262,5.245885,148
263,5.265904,137
264,5.285924,135
265,5.305944,132
266,5.325963,147
267,5.345984,143
268,5.366003,194
269,5.386023,219
270,5.406043,252
271,5.426062,200
272,5.446082,202
273,5.466102,155
274,5.486121,159
275,5.506141,143
276,5.526161,112
277,5.54618,103
278,5.5662,107
279,5.58622,98
280,5.606239,96
281,5.626259,108
282,5.646279,102
283,5.666298,104
284,5.686318,106
285,5.706338,133
286,5.726357,120
287,5.746377,153
288,5.766397,240
289,5.786417,407
290,5.806437,722
291,5.826456,1136
292,5.846476,1658
293,5.866496,2096
294,5.886515,2469
295,5.906535,2521
296,5.926555,2157
297,5.946574,1662
298,5.966594,1210
299,5.986614,732
300,6.006633,439
301,6.026653,256
302,6.046673,148
303,6.066692,98
304,6.086712,102
305,6.106732,95
306,6.126752,86
307,6.146771,89
308,6.166791,91
309,6.186811,72
310,6.206831,93
311,6.22685,92
312,6.24687,126
313,6.26689,171
314,6.286909,216
315,6.306929,378
316,6.326949,542
317,6.346968,801
318,6.366988,985
319,6.387008,1284
320,6.407027,1278
321,6.427047,1311
322,6.447067,1126
323,6.467087,1005
324,6.487106,818
325,6.507126,603
326,6.527146,455
327,6.547165,323
328,6.567185,230
329,6.587205,153
330,6.607224,108
331,6.627244,76
332,6.647264,53
333,6.667284,60
334,6.687303,52
335,6.707323,57
336,6.727343,51
337,6.747363,39
338,6.767382,51
339,6.787402,43
340,6.807422,46
341,6.827441,45
342,6.847461,45
343,6.867481,50
344,6.8875,59
345,6.90752,69
346,6.92754,75
347,6.947559,101
348,6.967579,96
349,6.987599,157
350,7.007618,199
351,7.027638,219
352,7.047658,208
353,7.067677,226
354,7.087698,223
355,7.107717,184
356,7.127737,130
357,7.147757,99
358,7.167776,66
359,7.187796,79
360,7.207816,60
361,7.227835,46
362,7.247855,48
363,7.267875,53
364,7.287894,47
365,7.307914,44
366,7.327934,62
367,7.347953,99
368,7.367973,180
369,7.387993,225
370,7.408012,332
371,7.428032,428
372,7.448052,523
373,7.468071,636
374,7.488091,601
375,7.508111,497
376,7.528131,416
377,7.548151,318
378,7.56817,246
379,7.58819,128
380,7.60821,108
381,7.628229,65
382,7.648249,58
383,7.668269,30
384,7.688288,40
385,7.708308,43
386,7.728328,44
387,7.748347,40
388,7.768367,44
389,7.788387,36
390,7.808406,51
391,7.828426,50
392,7.848446,51
393,7.868465,66
394,7.888485,81
395,7.908505,113
396,7.928525,189
397,7.948545,277
398,7.968564,388
399,7.988584,502
400,8.008603,627
401,8.028624,687
402,8.048643,757
403,8.068663,698
404,8.088682,642
405,8.108702,489
406,8.128722,359
