,ChannelStartInKeV,ChannelCount
0,0.001219065,0
1,0.02123877,0
2,0.04125847,0
3,0.06127817,0
4,0.08129787,0
5,0.1013176,0
6,0.1213373,0
7,0.141357,0
8,0.1613767,0
9,0.1813964,0
10,0.2014161,0
11,0.2214358,0
12,0.2414555,0
13,0.2614752,0
14,0.2814949,0
15,0.3015146,10
16,0.3215343,119
17,0.341554,1240
18,0.3615737,5816
19,0.3815934,11801
20,0.4016131,11298
21,0.4216328,4866
22,0.4416525,1026
23,0.4616722,119
24,0.4816919,14
25,0.5017116,6
26,0.5217313,4
27,0.541751,5
28,0.5617707,2
29,0.5817904,1
30,0.6018101,2
31,0.6218298,3
32,0.6418495,3
33,0.6618692,1
34,0.6818889,833
35,0.7019086,800
36,0.7219283,850
37,0.741948,818
38,0.7619677,797
39,0.7819874,809
40,0.8020071,746
41,0.8220268,738
42,0.8420465,798
43,0.8620662,773
44,0.8820859,793
45,0.9021056,738
46,0.9221253,700
47,0.942145,780
48,0.9621647,756
49,0.9821844,734
50,1.002204,725
51,1.022224,679
52,1.042243,676
53,1.062263,710
54,1.082283,653
55,1.102303,696
56,1.122322,682
57,1.142342,719
58,1.162362,679
59,1.182381,662
60,1.202401,694
61,1.222421,692
62,1.242441,647
63,1.26246,631
64,1.28248,622
65,1.3025,612
66,1.322519,634
67,1.342539,666
68,1.362559,682
69,1.382578,636
70,1.402598,621
71,1.422618,594
72,1.442638,626
73,1.462657,625
74,1.482677,619
75,1.502697,560
76,1.522716,600
77,1.542736,614
78,1.562756,635
79,1.582775,629
80,1.602795,621
81,1.622815,550
82,1.642835,523
83,1.662854,542
84,1.682874,573
85,1.702894,527
86,1.722913,537
87,1.742933,570
88,1.762953,539
89,1.782972,545
90,1.802992,577
91,1.823012,561
92,1.843032,546
93,1.863051,560
94,1.883071,584
95,1.903091,568
96,1.92311,545
97,1.94313,573
98,1.96315,577
99,1.983169,582
100,2.003189,517
101,2.023209,519
102,2.043229,519
103,2.063248,518
104,2.083268,501
105,2.103288,484
106,2.123307,520
107,2.143327,486
108,2.163347,486
109,2.183367,469
110,2.203386,497
111,2.223406,517
112,2.243426,492
113,2.263445,532
114,2.283465,484
115,2.303485,526
116,2.323504,501
117,2.343524,534
118,2.363544,456
119,2.383564,443
120,2.403583,492
121,2.423603,423
122,2.443623,475
123,2.463642,476
124,2.483662,483
125,2.503682,447
