,ChannelStartInKeV,ChannelCount
0,0.0005769095,0
1,0.02059661,0
2,0.04061631,0
3,0.06063601,0
4,0.08065572,0
5,0.1006754,0
6,0.1206951,0
7,0.1407148,0
8,0.1607345,0
9,0.1807542,0
10,0.2007739,0
11,0.2207936,0
12,0.2408133,0
13,0.260833,0
14,0.2808527,1
15,0.3008724,5
16,0.3208921,126
17,0.3409118,1288
18,0.3609315,5939
19,0.3809512,12748
20,0.4009709,12372
21,0.4209906,5519
22,0.4410103,1151
23,0.46103,125
24,0.4810497,7
25,0.5010694,5
26,0.5210891,2
27,0.5411088,1
28,0.5611286,0
29,0.5811483,1
30,0.6011679,2
31,0.6211876,4
32,0.6412073,0
33,0.661227,2
34,0.6812468,720
35,0.7012665,654
36,0.7212861,627
37,0.7413058,619
38,0.7613255,638
39,0.7813452,672
40,0.801365,660
41,0.8213847,627
42,0.8414044,613
43,0.861424,640
44,0.8814437,606
45,0.9014634,572
46,0.9214832,603
47,0.9415029,604
48,0.9615226,601
49,0.9815422,563
50,1.001562,542
51,1.021582,552
52,1.041601,628
53,1.061621,581
54,1.081641,537
55,1.10166,583
56,1.12168,564
57,1.1417,549
58,1.16172,536
59,1.181739,521
60,1.201759,564
61,1.221779,527
62,1.241798,547
63,1.261818,505
64,1.281838,547
65,1.301857,480
66,1.321877,527
67,1.341897,514
68,1.361917,509
69,1.381936,504
70,1.401956,479
71,1.421976,509
72,1.441995,497
73,1.462015,505
74,1.482035,454
75,1.502054,459
76,1.522074,438
77,1.542094,471
78,1.562114,468
79,1.582133,472
80,1.602153,468
81,1.622173,460
82,1.642192,448
83,1.662212,411
84,1.682232,486
85,1.702252,440
86,1.722271,432
87,1.742291,463
88,1.762311,469
89,1.78233,446
90,1.80235,464
91,1.82237,453
92,1.842389,447
93,1.862409,440
94,1.882429,466
95,1.902449,483
96,1.922468,454
97,1.942488,459
98,1.962508,475
99,1.982527,490
100,2.002547,429
101,2.022567,437
102,2.042586,438
103,2.062606,434
104,2.082626,436
105,2.102645,424
106,2.122665,389
107,2.142685,415
108,2.162705,443
109,2.182724,406
110,2.202744,393
111,2.222764,403
112,2.242783,417
113,2.262803,411
114,2.282823,390
115,2.302843,397
116,2.322862,446
117,2.342882,388
118,2.362902,368
119,2.382921,390
120,2.402941,403
121,2.422961,426
122,2.442981,390
123,2.463,378
124,2.48302,386
125,2.50304,354
126,2.523059,398
127,2.543079,364
128,2.563099,365
129,2.583118,404
130,2.603138,454
131,2.623158,446
132,2.643178,406
133,2.663197,394
134,2.683217,380
135,2.703237,330
136,2.723256,353
137,2.743276,360
138,2.763296,335
139,2.783315,349
140,2.803335,350
141,2.823355,342
142,2.843374,340
143,2.863394,342
144,2.883414,381
145,2.903434,420
146,2.923453,472
147,2.943473,456
148,2.963493,490
149,2.983512,464
150,3.003532,404
151,3.023552,365
152,3.043571,327
153,3.063591,319
154,3.083611,302
155,3.103631,333
156,3.12365,313
