,ChannelStartInKeV,ChannelCount
0,0.0007434216,0
1,0.02076312,0
2,0.04078282,0
3,0.06080252,0
4,0.08082222,0
5,0.1008419,0
6,0.1208616,0
7,0.1408813,0
8,0.160901,0
9,0.1809207,0
10,0.2009404,0
11,0.2209601,0
12,0.2409798,0
13,0.2609995,0
14,0.2810192,0
15,0.301039,9
16,0.3210586,114
17,0.3410783,1316
18,0.3610981,5911
19,0.3811177,12435
20,0.4011374,11982
21,0.4211572,5411
22,0.4411768,1114
23,0.4611965,125
24,0.4812163,10
25,0.501236,4
26,0.5212557,3
27,0.5412753,5
28,0.561295,3
29,0.5813147,4
30,0.6013345,1
31,0.6213542,3
32,0.6413739,0
33,0.6613936,4
34,0.6814132,746
35,0.7014329,705
36,0.7214527,667
37,0.7414724,671
38,0.7614921,694
39,0.7815118,667
40,0.8015314,672
41,0.8215511,637
42,0.8415709,653
43,0.8615906,659
44,0.8816103,676
45,0.90163,655
46,0.9216497,620
47,0.9416693,597
48,0.9616891,619
49,0.9817088,647
50,1.001728,621
51,1.021748,660
52,1.041768,623
53,1.061788,626
54,1.081807,612
55,1.101827,625
56,1.121847,605
57,1.141866,630
58,1.161886,587
59,1.181906,591
60,1.201926,589
61,1.221945,570
62,1.241965,556
63,1.261985,584
64,1.282004,552
65,1.302024,578
66,1.322044,568
67,1.342063,544
68,1.362083,549
69,1.382103,527
70,1.402122,561
71,1.422142,547
72,1.442162,514
73,1.462182,532
74,1.482201,514
75,1.502221,555
76,1.522241,514
77,1.54226,570
78,1.56228,593
79,1.5823,631
80,1.602319,509
81,1.622339,519
82,1.642359,482
83,1.662379,472
84,1.682398,491
85,1.702418,470
86,1.722438,500
87,1.742457,487
88,1.762477,470
89,1.782497,489
90,1.802516,430
91,1.822536,453
92,1.842556,529
93,1.862576,475
94,1.882595,538
95,1.902615,525
96,1.922635,457
97,1.942654,498
98,1.962674,498
99,1.982694,512
100,2.002713,503
101,2.022733,442
102,2.042753,466
103,2.062773,503
104,2.082792,498
105,2.102812,481
106,2.122832,491
107,2.142851,425
108,2.162871,427
109,2.182891,455
110,2.20291,423
111,2.22293,424
112,2.24295,463
113,2.26297,441
114,2.282989,451
115,2.303009,502
116,2.323029,446
117,2.343048,474
118,2.363068,393
119,2.383088,409
120,2.403108,408
121,2.423127,418
122,2.443147,410
123,2.463167,365
124,2.483186,431
125,2.503206,394
126,2.523226,421
127,2.543246,452
128,2.563265,631
129,2.583285,764
130,2.603305,840
