,ChannelStartInKeV,ChannelCount
0,0.0007401225,0
1,0.02075982,0
2,0.04077952,0
3,0.06079923,0
4,0.08081893,0
5,0.1008386,0
6,0.1208583,0
7,0.140878,0
8,0.1608977,0
9,0.1809174,0
10,0.2009371,0
11,0.2209568,0
12,0.2409765,0
13,0.2609962,0
14,0.2810159,0
15,0.3010356,3
16,0.3210554,25
17,0.341075,245
18,0.3610947,1209
19,0.3811145,2695
20,0.4011341,2588
21,0.4211538,1162
22,0.4411736,276
23,0.4611932,31
24,0.4812129,1
25,0.5012326,0
26,0.5212523,0
27,0.541272,0
28,0.5612918,0
29,0.5813115,0
30,0.6013312,0
31,0.6213508,0
32,0.6413705,0
33,0.6613902,0
34,0.68141,15
35,0.7014297,12
36,0.7214494,17
37,0.7414691,17
38,0.7614887,13
39,0.7815084,19
40,0.8015282,13
41,0.8215479,12
42,0.8415676,11
43,0.8615873,18
44,0.881607,23
45,0.9016266,46
46,0.9216464,45
47,0.9416661,72
48,0.9616858,63
49,0.9817055,40
50,1.001725,26
51,1.021745,15
52,1.041765,34
53,1.061784,41
54,1.081804,37
55,1.101824,38
56,1.121843,47
57,1.141863,30
58,1.161883,40
59,1.181903,27
60,1.201922,45
61,1.221942,49
62,1.241962,27
63,1.261981,24
64,1.282001,27
65,1.302021,19
66,1.32204,15
67,1.34206,14
68,1.36208,25
69,1.3821,6
70,1.402119,22
71,1.422139,27
72,1.442159,33
73,1.462178,46
74,1.482198,65
75,1.502218,52
76,1.522237,88
77,1.542257,84
78,1.562277,118
79,1.582296,112
80,1.602316,68
81,1.622336,47
82,1.642356,38
83,1.662375,23
84,1.682395,45
85,1.702415,72
86,1.722434,77
87,1.742454,105
88,1.762474,98
89,1.782493,65
90,1.802513,51
91,1.822533,46
92,1.842553,49
93,1.862572,43
94,1.882592,48
95,1.902612,77
96,1.922631,111
97,1.942651,136
98,1.962671,245
99,1.982691,302
100,2.00271,353
101,2.02273,356
102,2.04275,245
103,2.062769,179
104,2.082789,111
105,2.102809,76
106,2.122828,74
107,2.142848,75
108,2.162868,66
109,2.182888,75
110,2.202907,121
111,2.222927,202
112,2.242947,411
113,2.262966,768
114,2.282986,1189
115,2.303006,1400
116,2.323025,1296
117,2.343045,903
118,2.363065,638
119,2.383085,347
120,2.403104,242
121,2.423124,194
122,2.443144,218
123,2.463163,206
124,2.483183,220
125,2.503203,178
126,2.523222,173
127,2.543242,173
128,2.563262,227
129,2.583282,328
130,2.603301,549
131,2.623321,982
132,2.643341,1735
133,2.66336,2508
134,2.68338,3163
135,2.7034,3365
136,2.723419,2944
137,2.743439,2070
138,2.763459,1559
139,2.783478,1421
140,2.803498,1596
141,2.823518,1915
142,2.843538,1998
143,2.863557,1799
144,2.883577,1568
145,2.903597,1515
146,2.923616,1594
147,2.943636,1730
148,2.963656,1583
149,2.983675,1422
150,3.003695,1165
151,3.023715,772
152,3.043735,523
153,3.063754,372
154,3.083774,339
155,3.103794,284
156,3.123813,343
157,3.143833,352
158,3.163853,417
159,3.183873,464
160,3.203892,638
161,3.223912,1101
162,3.243932,2152
163,3.263951,3744
164,3.283971,5627
165,3.303991,6797
166,3.32401,6974
167,3.34403,5815
168,3.36405,4017
169,3.38407,2245
170,3.404089,1190
171,3.424109,585
172,3.444129,335
173,3.464148,271
174,3.484168,295
175,3.504188,398
176,3.524208,539
177,3.544227,812
178,3.564247,1134
179,3.584267,1464
180,3.604286,1830
181,3.624306,2611
182,3.644326,3484
183,3.664346,4630
184,3.684365,5163
185,3.704385,4912
186,3.724405,4061
187,3.744424,2809
188,3.764444,1666
189,3.784464,917
190,3.804483,518
191,3.824503,311
192,3.844523,261
193,3.864542,248
194,3.884562,236
195,3.904582,304
196,3.924602,360
197,3.944621,475
198,3.964641,636
199,3.984661,787
200,4.00468,882
201,4.0247,941
202,4.04472,807
203,4.064739,659
204,4.084759,479
205,4.104779,352
206,4.124798,275
207,4.144818,283
208,4.164838,205
209,4.184858,235
210,4.204877,232
211,4.224897,252
212,4.244917,258
213,4.264936,262
214,4.284956,260
215,4.304976,242
216,4.324996,245
217,4.345015,232
218,4.365035,255
219,4.385055,261
220,4.405074,284
221,4.425094,248
222,4.445114,311
223,4.465134,303
224,4.485153,317
225,4.505173,343
226,4.525193,322
227,4.545212,319
228,4.565232,312
229,4.585252,311
230,4.605271,291
231,4.625291,272
232,4.645311,285
233,4.66533,283
234,4.68535,284
235,4.70537,301
236,4.725389,312
237,4.745409,279
238,4.765429,322
239,4.785449,312
240,4.805469,275
241,4.825488,338
242,4.845508,323
243,4.865528,302
244,4.885547,318
245,4.905567,340
246,4.925587,333
247,4.945606,331
248,4.965626,358
249,4.985646,323
250,5.005665,314
251,5.025685,321
252,5.045705,347
253,5.065724,309
254,5.085744,332
255,5.105764,332
256,5.125783,402
257,5.145803,370
258,5.165823,348
259,5.185843,355
260,5.205863,371
261,5.225882,395
262,5.245902,364
263,5.265922,353
264,5.285941,439
265,5.305961,416
266,5.325981,435
267,5.346,439
268,5.36602,480
