,ChannelStartInKeV,ChannelCount
0,0.0006562633,0
1,0.02067596,0
2,0.04069566,0
3,0.06071537,0
4,0.08073507,0
5,0.1007548,0
6,0.1207745,0
7,0.1407942,0
8,0.1608139,0
9,0.1808336,0
10,0.2008533,0
11,0.220873,0
12,0.2408927,0
13,0.2609124,0
14,0.2809321,0
15,0.3009518,1
16,0.3209715,23
17,0.3409912,267
18,0.3610109,1209
19,0.3810306,2622
20,0.4010503,2565
21,0.42107,1111
22,0.4410897,241
23,0.4611094,22
24,0.4811291,3
25,0.5011488,0
26,0.5211685,1
27,0.5411882,0
28,0.5612079,0
29,0.5812276,0
30,0.6012473,0
31,0.621267,0
32,0.6412867,0
33,0.6613064,0
34,0.6813261,16
35,0.7013458,16
36,0.7213655,12
37,0.7413852,13
38,0.7614049,20
39,0.7814246,13
40,0.8014443,14
41,0.821464,22
42,0.8414837,19
43,0.8615034,20
44,0.8815231,31
45,0.9015428,39
46,0.9215625,56
47,0.9415822,75
48,0.9616019,65
49,0.9816216,40
50,1.001641,33
51,1.021661,22
52,1.041681,30
53,1.0617,39
54,1.08172,49
55,1.10174,44
56,1.12176,39
57,1.141779,24
58,1.161799,36
59,1.181819,37
60,1.201838,44
61,1.221858,43
62,1.241878,51
63,1.261897,40
64,1.281917,21
65,1.301937,13
66,1.321957,19
67,1.341976,17
68,1.361996,20
69,1.382016,13
70,1.402035,21
71,1.422055,32
72,1.442075,41
73,1.462094,53
74,1.482114,70
75,1.502134,93
76,1.522153,129
77,1.542173,196
78,1.562193,196
79,1.582213,180
80,1.602232,122
81,1.622252,88
82,1.642272,52
83,1.662291,77
84,1.682311,162
85,1.702331,339
86,1.722351,445
87,1.74237,426
88,1.76239,393
89,1.78241,241
90,1.802429,152
91,1.822449,104
92,1.842469,81
93,1.862489,61
94,1.882508,82
95,1.902528,123
96,1.922548,149
97,1.942567,248
98,1.962587,352
99,1.982607,373
100,2.002626,502
101,2.022646,508
102,2.042666,353
103,2.062685,166
104,2.082705,153
105,2.102725,96
106,2.122745,100
107,2.142764,60
108,2.162784,70
109,2.182804,72
110,2.202823,118
111,2.222843,228
112,2.242863,480
113,2.262882,849
114,2.282902,1223
115,2.302922,1417
116,2.322942,1334
117,2.342961,1001
118,2.362981,674
119,2.383001,387
120,2.40302,272
121,2.42304,244
122,2.44306,250
123,2.463079,237
124,2.483099,238
125,2.503119,223
126,2.523139,200
127,2.543158,181
128,2.563178,251
129,2.583198,338
130,2.603217,626
131,2.623237,1036
132,2.643257,1798
133,2.663276,2532
134,2.683296,3148
135,2.703316,3291
136,2.723336,2820
137,2.743355,2054
138,2.763375,1493
139,2.783395,1446
140,2.803414,1589
141,2.823434,1770
142,2.843454,1871
143,2.863473,1723
144,2.883493,1541
145,2.903513,1350
146,2.923533,1526
147,2.943552,1553
148,2.963572,1632
149,2.983592,1438
150,3.003611,1089
151,3.023631,827
152,3.043651,514
153,3.063671,392
154,3.08369,328
155,3.10371,310
156,3.12373,310
157,3.143749,370
158,3.163769,420
159,3.183789,554
160,3.203808,964
161,3.223828,1867
162,3.243848,3648
163,3.263868,6645
164,3.283887,9828
165,3.303907,12087
166,3.323927,12533
167,3.343946,10233
168,3.363966,7062
169,3.383986,4107
170,3.404006,1956
171,3.424025,893
172,3.444045,489
173,3.464065,314
174,3.484084,402
175,3.504104,539
176,3.524124,849
177,3.544143,1265
178,3.564163,1775
179,3.584183,2397
180,3.604203,3227
181,3.624222,4280
182,3.644242,5924
183,3.664262,7533
184,3.684281,8840
185,3.704301,8523
186,3.724321,6969
187,3.74434,4639
188,3.76436,2693
189,3.78438,1466
190,3.804399,693
191,3.824419,369
192,3.844439,237
193,3.864459,253
194,3.884478,280
195,3.904498,329
196,3.924518,472
197,3.944537,646
198,3.964557,900
199,3.984577,1109
200,4.004596,1346
201,4.024616,1406
202,4.044636,1221
203,4.064656,900
204,4.084675,652
205,4.104695,440
206,4.124715,309
207,4.144734,226
208,4.164754,209
209,4.184774,231
210,4.204793,197
211,4.224813,223
212,4.244833,230
213,4.264853,222
214,4.284872,225
215,4.304892,222
216,4.324912,224
217,4.344932,240
218,4.364951,252
219,4.384971,214
220,4.404991,254
221,4.42501,278
222,4.44503,283
223,4.46505,271
224,4.485069,274
225,4.505089,268
226,4.525109,295
227,4.545128,297
228,4.565148,283
229,4.585168,245
230,4.605187,256
231,4.625207,264
232,4.645227,274
233,4.665246,266
234,4.685266,255
235,4.705286,272
236,4.725306,272
237,4.745326,293
238,4.765345,268
239,4.785365,249
240,4.805385,266
241,4.825404,305
242,4.845424,239
243,4.865444,297
244,4.885463,260
245,4.905483,264
246,4.925503,272
247,4.945522,303
248,4.965542,317
249,4.985562,289
250,5.005581,298
251,5.025601,318
252,5.045621,314
253,5.06564,292
254,5.08566,305
255,5.10568,320
256,5.1257,282
257,5.14572,303
258,5.165739,307
259,5.185759,331
260,5.205779,359
261,5.225798,337
262,5.245818,326
263,5.265838,383
264,5.285857,378
265,5.305877,401
266,5.325897,426
267,5.345916,396
268,5.365936,432
269,5.385956,482
270,5.405975,476
271,5.425995,481
272,5.446015,500
273,5.466034,435
274,5.486054,413
275,5.506074,384
276,5.526094,398
277,5.546113,366
278,5.566133,362
279,5.586153,409
280,5.606173,365
281,5.626192,375
282,5.646212,387
283,5.666232,435
284,5.686251,370
285,5.706271,391
286,5.726291,404
287,5.74631,403
288,5.76633,456
289,5.78635,506
290,5.80637,579
291,5.826389,733
292,5.846409,782
293,5.866429,938
294,5.886448,986
295,5.906468,1047
296,5.926488,945
297,5.946507,868
298,5.966527,758
299,5.986547,614
300,6.006567,528
301,6.026586,469
302,6.046606,477
303,6.066626,496
304,6.086646,455
305,6.106665,452
306,6.126685,500
307,6.146705,495
308,6.166724,539
309,6.186744,550
310,6.206764,607
311,6.226783,600
312,6.246803,631
313,6.266823,732
314,6.286842,726
315,6.306862,866
316,6.326882,1031
317,6.346901,1174
318,6.366921,1358
319,6.386941,1511
320,6.40696,1520
321,6.42698,1402
322,6.447,1292
323,6.46702,1035
324,6.48704,809
325,6.507059,763
326,6.527079,637
327,6.547099,547
328,6.567118,509
329,6.587138,491
330,6.607158,450
331,6.627177,512
332,6.647197,458
333,6.667217,464
334,6.687236,459
335,6.707256,441
336,6.727276,435
337,6.747295,442
338,6.767315,439
339,6.787335,476
340,6.807354,449
341,6.827374,463
342,6.847394,467
343,6.867414,462
344,6.887434,490
345,6.907453,496
346,6.927473,504
347,6.947493,466
348,6.967512,528
349,6.987532,554
350,7.007552,580
351,7.027571,579
352,7.047591,532
353,7.067611,557
354,7.08763,579
355,7.10765,542
356,7.12767,481
357,7.147689,465
358,7.167709,517
359,7.187729,454
360,7.207748,433
361,7.227768,467
362,7.247788,458
363,7.267808,489
364,7.287827,479
365,7.307847,454
366,7.327867,510
367,7.347887,477
368,7.367906,447
369,7.387926,503
370,7.407946,461
371,7.427965,486
372,7.447985,494
373,7.468005,535
374,7.488024,457
375,7.508044,544
376,7.528064,449
377,7.548083,488
378,7.568103,415
379,7.588123,419
380,7.608143,392
381,7.628162,455
382,7.648182,433
383,7.668202,413
384,7.688221,440
385,7.708241,414
386,7.728261,466
387,7.748281,449
388,7.7683,445
389,7.78832,433
390,7.80834,415
391,7.828359,457
392,7.848379,424
393,7.868399,501
394,7.888419,483
395,7.908438,544
396,7.928458,617
397,7.948478,734
398,7.968497,921
399,7.988517,1111
400,8.008536,1310
401,8.028557,1377
402,8.048576,1472
403,8.068596,1413
404,8.088615,1232
405,8.108635,1022
406,8.128654,910
407,8.148675,742
408,8.168694,637
409,8.188714,515
410,8.208734,498
411,8.228753,487
412,8.248773,426
413,8.268793,459
414,8.288813,456
415,8.308832,439
416,8.328852,435
417,8.348871,415
418,8.368892,436
419,8.388911,428
420,8.408931,432
421,8.42895,428
422,8.44897,421
423,8.468989,431
424,8.48901,402
425,8.509029,419
426,8.529049,433
427,8.549068,431
428,8.569088,433
429,8.589108,416
430,8.609128,474
431,8.629148,489
432,8.649167,451
433,8.669187,482
434,8.689206,487
435,8.709227,431
436,8.729246,440
437,8.749266,438
438,8.769285,417
439,8.789305,478
440,8.809324,445
441,8.829345,477
442,8.849364,470
443,8.869384,485
444,8.889403,570
445,8.909423,534
446,8.929443,557
447,8.949463,492
448,8.969482,492
449,8.989502,454
450,9.009521,439
451,9.029541,416
452,9.049562,415
453,9.069581,402
454,9.089601,412
455,9.10962,400
456,9.12964,393
457,9.149659,389
458,9.16968,383
459,9.189699,389
460,9.209719,398
461,9.229738,424
462,9.249758,375
463,9.269778,368
464,9.289798,411
465,9.309817,369
466,9.329837,397
467,9.349856,402
468,9.369876,373
469,9.389896,387
470,9.409916,368
471,9.429935,367
472,9.449955,417
473,9.469975,373
474,9.489995,398
475,9.510015,381
476,9.530034,396
477,9.550054,427
478,9.570073,422
479,9.590093,412
480,9.610113,393
481,9.630133,371
482,9.650152,371
483,9.670172,378
484,9.690191,346
485,9.710211,376
486,9.730231,336
487,9.750251,357
488,9.77027,393
489,9.79029,360
490,9.810309,378
491,9.83033,392
492,9.850349,355
493,9.870369,382
494,9.890388,352
495,9.910408,371
496,9.930428,330
497,9.950448,384
498,9.970468,331
499,9.990487,368
500,10.01051,372
501,10.03053,354
502,10.05055,343
503,10.07057,364
504,10.09059,319
505,10.11061,330
506,10.13062,327
507,10.15064,351
508,10.17066,347
509,10.19068,328
510,10.2107,344
511,10.23072,310
512,10.25074,326
513,10.27076,321
514,10.29078,340
515,10.3108,342
516,10.33082,328
517,10.35084,321
518,10.37086,304
519,10.39088,306
520,10.4109,310
521,10.43092,350
522,10.45094,323
523,10.47096,286
524,10.49098,333
525,10.511,317
526,10.53102,345
527,10.55104,320
528,10.57106,317
529,10.59108,296
