,ChannelStartInKeV,ChannelCount
0,0.000829215,0
1,0.02084892,0
2,0.04086862,0
3,0.06088832,0
4,0.08090802,0
5,0.1009277,0
6,0.1209474,0
7,0.1409671,0
8,0.1609868,0
9,0.1810065,0
10,0.2010262,0
11,0.2210459,0
12,0.2410656,0
13,0.2610853,0
14,0.281105,0
15,0.3011247,0
16,0.3211444,28
17,0.3411641,265
18,0.3611838,1168
19,0.3812035,2599
20,0.4012232,2538
21,0.4212429,1130
22,0.4412626,237
23,0.4612823,25
24,0.4813021,1
25,0.5013217,0
26,0.5213414,0
27,0.5413612,0
28,0.5613809,0
29,0.5814006,1
30,0.6014202,0
31,0.6214399,0
32,0.6414596,0
33,0.6614794,0
34,0.6814991,13
35,0.7015188,23
36,0.7215384,16
37,0.7415581,16
38,0.7615778,10
39,0.7815976,12
40,0.8016173,14
41,0.821637,13
42,0.8416567,20
43,0.8616763,24
44,0.881696,34
45,0.9017158,37
46,0.9217355,67
47,0.9417552,73
48,0.9617749,67
49,0.9817945,54
50,1.001814,36
51,1.021834,39
52,1.041854,28
53,1.061873,35
54,1.081893,37
55,1.101913,43
56,1.121933,31
57,1.141952,33
58,1.161972,28
59,1.181992,42
60,1.202011,41
61,1.222031,47
62,1.242051,53
63,1.26207,33
64,1.28209,26
65,1.30211,23
66,1.322129,15
67,1.342149,27
68,1.362169,18
69,1.382189,25
70,1.402208,19
71,1.422228,31
72,1.442248,41
73,1.462267,45
74,1.482287,60
75,1.502307,56
76,1.522326,91
77,1.542346,131
78,1.562366,149
79,1.582386,137
80,1.602405,76
81,1.622425,67
82,1.642445,40
83,1.662464,33
84,1.682484,51
85,1.702504,87
86,1.722523,128
87,1.742543,121
88,1.762563,113
89,1.782583,82
90,1.802602,45
91,1.822622,49
92,1.842642,65
93,1.862661,71
94,1.882681,96
95,1.902701,145
96,1.922721,200
97,1.94274,298
98,1.96276,380
99,1.98278,450
100,2.002799,480
101,2.022819,418
102,2.042839,331
103,2.062858,201
104,2.082878,132
105,2.102898,82
106,2.122917,89
107,2.142937,87
108,2.162957,77
109,2.182977,78
110,2.202996,141
111,2.223016,238
112,2.243036,499
113,2.263055,882
114,2.283075,1295
115,2.303095,1547
116,2.323115,1434
117,2.343134,1062
118,2.363154,672
119,2.383174,410
120,2.403193,286
121,2.423213,239
122,2.443233,226
123,2.463253,233
124,2.483272,205
125,2.503292,201
126,2.523312,218
127,2.543331,218
128,2.563351,325
129,2.583371,478
130,2.60339,769
131,2.62341,1259
132,2.64343,1848
133,2.66345,2613
134,2.683469,3245
135,2.703489,3256
136,2.723509,2769
137,2.743528,2063
138,2.763548,1482
139,2.783568,1464
140,2.803587,1602
141,2.823607,1827
142,2.843627,1824
143,2.863647,1760
144,2.883666,1613
145,2.903686,1449
146,2.923706,1554
147,2.943725,1643
148,2.963745,1614
149,2.983765,1438
150,3.003784,1138
151,3.023804,772
152,3.043824,554
153,3.063843,407
154,3.083863,346
155,3.103883,278
156,3.123903,366
157,3.143922,371
158,3.163942,417
159,3.183962,526
160,3.203981,822
161,3.224001,1504
162,3.244021,2994
163,3.26404,5251
164,3.28406,7883
165,3.30408,9727
166,3.3241,9715
167,3.344119,8352
168,3.364139,5661
169,3.384159,3301
170,3.404178,1613
171,3.424198,758
172,3.444218,409
173,3.464237,337
174,3.484257,372
175,3.504277,542
176,3.524297,774
177,3.544316,1151
178,3.564336,1736
179,3.584356,2447
180,3.604375,3839
181,3.624395,5830
182,3.644415,8782
183,3.664434,11995
184,3.684454,13877
185,3.704474,13582
186,3.724494,11148
187,3.744513,7511
188,3.764533,4474
189,3.784553,2223
190,3.804572,992
191,3.824592,520
192,3.844612,324
193,3.864631,324
194,3.884651,342
195,3.904671,423
196,3.924691,622
197,3.94471,886
198,3.96473,1410
199,3.98475,1869
200,4.004769,2137
201,4.024789,2219
202,4.044809,1826
203,4.064828,1386
204,4.084848,930
205,4.104868,563
206,4.124887,384
207,4.144907,265
208,4.164927,219
209,4.184947,223
210,4.204967,219
211,4.224986,210
212,4.245006,188
213,4.265026,208
214,4.285045,230
215,4.305065,209
216,4.325085,204
217,4.345104,239
218,4.365124,228
219,4.385144,223
220,4.405163,244
221,4.425183,249
222,4.445203,270
223,4.465222,268
224,4.485242,282
225,4.505262,317
226,4.525281,289
227,4.545301,280
228,4.565321,275
229,4.585341,236
230,4.605361,268
231,4.62538,271
232,4.6454,253
233,4.66542,246
234,4.685439,239
235,4.705459,255
236,4.725479,232
237,4.745498,263
238,4.765518,281
239,4.785538,278
240,4.805557,259
241,4.825577,260
242,4.845597,295
243,4.865616,277
244,4.885636,286
245,4.905656,245
246,4.925676,274
247,4.945695,256
248,4.965715,272
249,4.985735,288
250,5.005754,316
251,5.025774,277
252,5.045794,306
253,5.065814,274
254,5.085833,308
255,5.105853,289
256,5.125873,289
257,5.145892,300
258,5.165912,294
259,5.185932,346
260,5.205952,299
261,5.225971,354
262,5.245991,332
263,5.266011,344
264,5.28603,355
265,5.30605,408
266,5.32607,377
267,5.346089,408
268,5.366109,464
269,5.386129,483
270,5.406148,488
271,5.426168,472
272,5.446188,443
273,5.466208,394
274,5.486228,404
275,5.506247,403
276,5.526267,370
277,5.546287,346
278,5.566306,414
279,5.586326,372
280,5.606346,399
281,5.626365,386
282,5.646385,411
283,5.666405,372
284,5.686424,391
285,5.706444,394
286,5.726464,366
287,5.746483,467
288,5.766503,503
289,5.786523,579
