,ChannelStartInKeV,ChannelCount
0,0.0007755968,0
1,0.0207953,0
2,0.040815,0
3,0.0608347,0
4,0.0808544,0
5,0.1008741,0
6,0.1208938,0
7,0.1409135,0
8,0.1609332,0
9,0.1809529,0
10,0.2009726,0
11,0.2209923,0
12,0.241012,0
13,0.2610317,0
14,0.2810514,0
15,0.3010711,1
16,0.3210908,21
17,0.3411105,237
18,0.3611302,1318
19,0.3811499,2599
20,0.4011696,2544
21,0.4211893,1098
22,0.441209,246
23,0.4612287,19
24,0.4812484,1
25,0.5012681,0
26,0.5212878,0
27,0.5413075,0
28,0.5613272,0
29,0.5813469,0
30,0.6013666,0
31,0.6213863,0
32,0.641406,0
33,0.6614257,0
34,0.6814454,9
35,0.7014651,16
36,0.7214848,12
37,0.7415045,15
38,0.7615243,15
39,0.7815439,17
40,0.8015636,10
41,0.8215833,18
42,0.841603,22
43,0.8616228,23
44,0.8816425,25
45,0.9016622,50
46,0.9216818,57
47,0.9417015,63
48,0.9617212,60
49,0.981741,52
50,1.001761,33
51,1.02178,28
52,1.0418,21
53,1.06182,33
54,1.081839,36
55,1.101859,35
56,1.121879,35
57,1.141899,28
58,1.161918,24
59,1.181938,35
60,1.201958,39
61,1.221977,35
62,1.241997,32
63,1.262017,22
64,1.282036,32
65,1.302056,14
66,1.322076,26
67,1.342096,18
68,1.362115,15
69,1.382135,17
70,1.402155,20
71,1.422174,23
72,1.442194,26
73,1.462214,48
74,1.482234,61
75,1.502253,60
76,1.522273,87
77,1.542293,103
78,1.562312,142
79,1.582332,94
80,1.602352,67
81,1.622371,40
82,1.642391,36
83,1.662411,29
84,1.682431,38
85,1.70245,78
86,1.72247,110
87,1.74249,91
88,1.762509,80
89,1.782529,72
90,1.802549,56
91,1.822568,56
92,1.842588,49
93,1.862608,58
94,1.882627,90
95,1.902647,114
96,1.922667,224
97,1.942687,329
98,1.962706,542
99,1.982726,766
100,2.002746,906
101,2.022765,826
102,2.042785,649
103,2.062805,353
104,2.082824,221
105,2.102844,136
106,2.122864,108
107,2.142884,108
108,2.162903,81
109,2.182923,99
110,2.202943,131
111,2.222962,162
112,2.242982,337
113,2.263002,592
114,2.283021,903
115,2.303041,1027
116,2.323061,1012
117,2.343081,755
118,2.3631,506
119,2.38312,319
120,2.40314,196
121,2.423159,180
122,2.443179,177
123,2.463199,215
124,2.483218,184
125,2.503238,189
126,2.523258,188
127,2.543278,187
128,2.563297,223
129,2.583317,301
130,2.603337,560
131,2.623356,1022
