,ChannelStartInKeV,ChannelCount
0,0.0008293641,0
1,0.02084907,0
2,0.04086877,0
3,0.06088847,0
4,0.08090817,0
5,0.1009279,0
6,0.1209476,0
7,0.1409673,0
8,0.160987,0
9,0.1810067,0
10,0.2010264,0
11,0.2210461,0
12,0.2410658,0
13,0.2610855,0
14,0.2811052,0
15,0.3011249,1
16,0.3211446,26
17,0.3411643,245
18,0.361184,1167
19,0.3812037,2571
20,0.4012234,2429
21,0.4212431,1130
22,0.4412628,224
23,0.4612825,27
24,0.4813022,0
25,0.5013219,0
26,0.5213416,0
27,0.5413613,0
28,0.561381,0
29,0.5814007,0
30,0.6014204,0
31,0.6214401,0
32,0.6414598,0
33,0.6614795,0
34,0.6814992,13
35,0.7015189,16
36,0.7215386,12
37,0.7415583,16
38,0.761578,12
39,0.7815977,11
40,0.8016174,14
41,0.8216371,13
42,0.8416568,23
43,0.8616765,16
44,0.8816962,29
45,0.9017159,42
46,0.9217356,46
47,0.9417553,55
48,0.961775,66
49,0.9817947,43
50,1.001814,35
51,1.021834,21
52,1.041854,30
53,1.061874,41
54,1.081893,34
55,1.101913,40
56,1.121933,39
57,1.141952,25
58,1.161972,26
59,1.181992,31
60,1.202011,41
61,1.222031,35
62,1.242051,38
63,1.262071,29
64,1.28209,23
65,1.30211,12
66,1.32213,14
67,1.342149,19
68,1.362169,22
69,1.382189,20
70,1.402208,19
71,1.422228,25
72,1.442248,23
73,1.462268,55
74,1.482287,53
75,1.502307,70
76,1.522327,67
77,1.542346,99
78,1.562366,132
79,1.582386,114
80,1.602405,73
81,1.622425,39
82,1.642445,31
83,1.662464,23
84,1.682484,43
85,1.702504,61
86,1.722524,84
87,1.742543,72
88,1.762563,67
89,1.782583,49
90,1.802602,62
91,1.822622,45
92,1.842642,58
93,1.862662,66
94,1.882681,95
95,1.902701,126
96,1.922721,164
97,1.94274,232
98,1.96276,276
99,1.98278,299
100,2.0028,300
101,2.022819,263
102,2.042839,192
103,2.062859,135
104,2.082878,86
105,2.102898,65
106,2.122918,72
107,2.142937,55
108,2.162957,67
109,2.182977,64
110,2.202996,100
111,2.223016,156
112,2.243036,285
113,2.263056,458
114,2.283075,720
115,2.303095,807
116,2.323115,746
117,2.343134,581
118,2.363154,382
119,2.383174,245
120,2.403193,204
121,2.423213,194
122,2.443233,153
123,2.463253,188
124,2.483272,173
125,2.503292,166
126,2.523312,180
127,2.543331,185
128,2.563351,201
129,2.583371,318
130,2.60339,570
131,2.62341,1010
132,2.64343,1692
133,2.66345,2480
134,2.683469,3101
135,2.703489,3247
136,2.723509,2817
137,2.743528,2043
138,2.763548,1501
139,2.783568,1356
140,2.803587,1539
141,2.823607,1844
142,2.843627,1868
143,2.863647,1690
144,2.883666,1546
145,2.903686,1435
146,2.923706,1540
147,2.943725,1607
148,2.963745,1563
149,2.983765,1348
150,3.003784,1058
151,3.023804,810
152,3.043824,518
153,3.063844,405
154,3.083863,313
155,3.103883,275
156,3.123903,329
157,3.143922,362
158,3.163942,416
159,3.183962,463
160,3.203982,646
161,3.224001,1197
162,3.244021,2246
163,3.264041,3860
164,3.28406,5577
165,3.30408,7101
166,3.3241,7088
167,3.34412,5989
168,3.364139,4256
169,3.384159,2437
170,3.404179,1241
171,3.424198,589
172,3.444218,385
173,3.464238,310
174,3.484257,343
175,3.504277,418
176,3.524297,616
177,3.544317,947
178,3.564336,1421
179,3.584356,2081
180,3.604376,3383
181,3.624395,5545
182,3.644415,8538
183,3.664435,11525
184,3.684454,14064
185,3.704474,13632
186,3.724494,10972
187,3.744514,7724
188,3.764533,4402
189,3.784553,2163
190,3.804573,1014
191,3.824592,509
192,3.844612,322
193,3.864632,331
194,3.884651,348
195,3.904671,442
196,3.924691,610
197,3.94471,950
198,3.96473,1327
199,3.98475,1879
200,4.00477,2094
201,4.024789,2178
202,4.044809,1863
203,4.064829,1451
204,4.084848,932
205,4.104868,670
206,4.124888,428
207,4.144907,317
208,4.164927,266
209,4.184947,237
210,4.204967,223
211,4.224986,240
212,4.245006,205
213,4.265026,210
214,4.285045,238
215,4.305065,235
216,4.325085,214
217,4.345105,232
218,4.365124,247
219,4.385144,307
220,4.405164,321
221,4.425183,365
222,4.445203,393
223,4.465223,443
224,4.485242,419
225,4.505262,406
226,4.525282,318
227,4.545301,328
228,4.565321,284
229,4.585341,265
230,4.605361,302
231,4.625381,276
232,4.6454,253
233,4.66542,277
234,4.68544,266
235,4.705459,260
236,4.725479,293
237,4.745499,240
238,4.765518,319
239,4.785538,333
240,4.805558,327
241,4.825577,392
242,4.845597,384
243,4.865617,381
244,4.885636,372
245,4.905656,345
246,4.925676,354
247,4.945695,317
248,4.965715,299
249,4.985735,304
250,5.005754,316
251,5.025774,334
252,5.045794,328
253,5.065814,306
254,5.085834,342
255,5.105853,321
256,5.125873,358
257,5.145893,326
258,5.165912,330
259,5.185932,331
260,5.205952,342
261,5.225971,352
262,5.245991,399
263,5.266011,376
264,5.28603,389
265,5.30605,398
266,5.32607,448
267,5.346089,455
268,5.366109,434
269,5.386129,475
270,5.406148,510
271,5.426168,501
272,5.446188,496
273,5.466208,484
274,5.486228,420
275,5.506247,428
276,5.526267,404
277,5.546287,415
278,5.566306,375
279,5.586326,444
280,5.606346,462
281,5.626365,428
282,5.646385,454
283,5.666405,423
284,5.686424,463
285,5.706444,487
286,5.726464,547
287,5.746483,669
288,5.766503,1033
289,5.786523,1584
290,5.806543,2701
291,5.826562,4220
292,5.846582,6250
293,5.866602,7941
294,5.886621,9180
295,5.906641,9448
296,5.926661,8390
297,5.946681,6651
298,5.9667,4793
299,5.98672,3073
300,6.00674,1870
301,6.026759,1242
302,6.046779,798
303,6.066799,651
304,6.086819,564
305,6.106838,501
306,6.126858,523
307,6.146878,546
308,6.166897,538
309,6.186917,617
310,6.206937,604
311,6.226956,643
312,6.246976,656
313,6.266996,680
314,6.287015,772
315,6.307035,853
316,6.327055,924
317,6.347075,1109
318,6.367095,1258
319,6.387114,1348
320,6.407134,1581
321,6.427154,1725
322,6.447173,1848
323,6.467193,1967
324,6.487213,1915
325,6.507232,1818
326,6.527252,1647
327,6.547272,1289
328,6.567291,1059
329,6.587311,811
330,6.607331,651
331,6.62735,555
332,6.64737,508
333,6.66739,491
334,6.687409,472
335,6.707429,422
