,ChannelStartInKeV,ChannelCount
0,0.0007877643,0
1,0.02080747,0
2,0.04082717,0
3,0.06084687,0
4,0.08086657,0
5,0.1008863,0
6,0.120906,0
7,0.1409257,0
8,0.1609454,0
9,0.1809651,0
10,0.2009848,0
11,0.2210045,0
12,0.2410242,0
13,0.2610439,0
14,0.2810636,0
15,0.3010833,0
16,0.321103,21
17,0.3411227,225
18,0.3611424,1196
19,0.3811621,2576
20,0.4011818,2436
21,0.4212015,1117
22,0.4412212,233
23,0.4612409,26
24,0.4812606,4
25,0.5012803,0
26,0.5213,0
27,0.5413197,0
28,0.5613394,0
29,0.5813591,0
30,0.6013788,0
31,0.6213985,0
32,0.6414182,0
33,0.6614379,0
34,0.6814576,16
35,0.7014773,27
36,0.721497,16
37,0.7415167,15
38,0.7615364,17
39,0.7815561,24
40,0.8015758,20
41,0.8215955,35
42,0.8416152,50
43,0.8616349,61
44,0.8816546,67
45,0.9016743,61
46,0.921694,59
47,0.9417137,88
48,0.9617334,63
49,0.9817531,47
50,1.001773,31
51,1.021793,29
52,1.041812,23
53,1.061832,43
54,1.081852,54
55,1.101871,47
56,1.121891,54
57,1.141911,33
58,1.16193,28
59,1.18195,42
60,1.20197,37
61,1.22199,52
62,1.242009,49
63,1.262029,49
64,1.282049,36
65,1.302068,22
66,1.322088,31
67,1.342108,22
68,1.362127,24
69,1.382147,27
70,1.402167,30
71,1.422186,43
72,1.442206,50
73,1.462226,69
74,1.482246,82
75,1.502265,95
76,1.522285,106
77,1.542305,122
78,1.562324,139
79,1.582344,128
80,1.602364,92
81,1.622384,56
82,1.642403,46
83,1.662423,74
84,1.682443,196
85,1.702462,299
86,1.722482,462
87,1.742502,499
88,1.762522,389
89,1.782541,277
90,1.802561,145
91,1.822581,110
92,1.8426,100
93,1.86262,94
94,1.88264,103
95,1.902659,152
96,1.922679,225
97,1.942699,280
98,1.962718,346
99,1.982738,396
100,2.002758,453
101,2.022778,371
102,2.042797,302
103,2.062817,176
104,2.082837,126
105,2.102856,80
106,2.122876,96
107,2.142896,63
108,2.162915,99
109,2.182935,125
110,2.202955,153
111,2.222975,363
112,2.242994,731
113,2.263014,1428
114,2.283034,2158
115,2.303053,2561
116,2.323073,2383
117,2.343093,1735
118,2.363112,1018
119,2.383132,544
120,2.403152,333
121,2.423172,279
122,2.443191,297
123,2.463211,321
124,2.483231,312
125,2.50325,274
126,2.52327,341
127,2.54329,516
128,2.563309,940
129,2.583329,1598
130,2.603349,2372
131,2.623369,3080
132,2.643388,3394
133,2.663408,3618
134,2.683428,3796
135,2.703447,3419
136,2.723467,2890
137,2.743487,2144
138,2.763506,1562
139,2.783526,1514
140,2.803546,1650
141,2.823566,1973
142,2.843585,1942
143,2.863605,1684
144,2.883625,1504
145,2.903644,1478
146,2.923664,1480
147,2.943684,1615
148,2.963703,1603
149,2.983723,1408
150,3.003743,1094
151,3.023763,730
152,3.043782,536
153,3.063802,376
154,3.083822,320
155,3.103841,309
156,3.123861,330
157,3.143881,355
158,3.163901,389
159,3.18392,495
160,3.20394,764
161,3.22396,1264
162,3.243979,2501
163,3.263999,4333
164,3.284019,6675
165,3.304039,8204
166,3.324058,8182
167,3.344078,6858
168,3.364098,4678
169,3.384117,2737
170,3.404137,1426
171,3.424157,685
172,3.444176,355
173,3.464196,299
174,3.484216,303
175,3.504236,447
176,3.524255,641
177,3.544275,1025
178,3.564295,1427
179,3.584314,2219
180,3.604334,3646
181,3.624354,6041
182,3.644373,9661
183,3.664393,13178
184,3.684413,15100
185,3.704432,14843
186,3.724452,12261
187,3.744472,8268
188,3.764492,4769
189,3.784511,2372
190,3.804531,1053
191,3.824551,556
192,3.84457,320
193,3.86459,325
194,3.88461,316
195,3.904629,448
196,3.924649,589
197,3.944669,978
198,3.964689,1420
199,3.984708,2011
200,4.004728,2331
201,4.024748,2294
202,4.044767,2048
203,4.064787,1542
204,4.084807,1035
205,4.104826,624
206,4.124846,375
207,4.144866,259
208,4.164886,210
209,4.184905,229
210,4.204925,190
211,4.224945,213
212,4.244965,188
213,4.264984,210
214,4.285004,216
215,4.305024,202
216,4.325043,222
217,4.345063,204
218,4.365083,215
219,4.385102,231
220,4.405122,239
221,4.425142,240
222,4.445161,266
223,4.465181,334
224,4.485201,306
225,4.50522,335
226,4.52524,347
227,4.54526,299
228,4.565279,298
229,4.585299,253
230,4.605319,275
231,4.625339,255
232,4.645359,242
233,4.665378,247
234,4.685398,257
235,4.705418,238
236,4.725437,240
237,4.745457,232
238,4.765477,240
239,4.785496,262
240,4.805516,255
241,4.825536,273
242,4.845555,261
243,4.865575,292
244,4.885595,293
245,4.905614,283
246,4.925634,305
247,4.945654,300
248,4.965673,273
249,4.985693,287
250,5.005713,292
251,5.025733,263
252,5.045753,252
253,5.065772,280
254,5.085792,301
255,5.105812,291
256,5.125831,275
257,5.145851,285
258,5.165871,305
259,5.18589,301
260,5.20591,303
261,5.22593,302
262,5.245949,344
263,5.265969,371
264,5.285989,341
265,5.306008,412
266,5.326028,378
267,5.346048,407
268,5.366067,450
269,5.386087,411
270,5.406107,475
271,5.426127,495
272,5.446146,421
273,5.466166,433
274,5.486186,392
275,5.506206,392
276,5.526225,342
277,5.546245,381
278,5.566265,357
279,5.586284,395
280,5.606304,358
281,5.626324,345
282,5.646343,367
283,5.666363,362
284,5.686383,346
285,5.706403,383
286,5.726422,391
287,5.746442,390
288,5.766462,437
289,5.786481,527
290,5.806501,701
291,5.826521,901
292,5.84654,1238
293,5.86656,1454
294,5.88658,1571
295,5.9066,1727
296,5.926619,1560
297,5.946639,1249
298,5.966659,1092
299,5.986679,811
300,6.006698,635
301,6.026718,493
302,6.046738,485
303,6.066757,478
304,6.086777,427
305,6.106797,455
306,6.126816,497
307,6.146836,476
308,6.166856,480
309,6.186875,532
310,6.206895,571
311,6.226915,571
312,6.246934,612
313,6.266954,612
314,6.286974,680
315,6.306993,838
316,6.327013,1054
317,6.347033,1281
318,6.367053,1523
319,6.387073,1668
320,6.407092,1667
321,6.427112,1594
322,6.447132,1454
323,6.467151,1215
324,6.487171,1062
325,6.507191,847
326,6.52721,728
327,6.54723,623
328,6.56725,556
329,6.587269,514
330,6.607289,454
331,6.627309,476
332,6.647328,486
333,6.667348,465
334,6.687368,459
335,6.707387,459
336,6.727407,424
337,6.747427,405
338,6.767447,411
339,6.787467,458
340,6.807486,453
341,6.827506,452
342,6.847526,476
343,6.867545,451
344,6.887565,486
345,6.907585,472
346,6.927604,499
347,6.947624,518
348,6.967644,505
349,6.987663,505
350,7.007683,589
351,7.027703,608
352,7.047722,599
353,7.067742,622
354,7.087762,616
355,7.107781,526
356,7.127801,518
357,7.147821,484
358,7.167841,453
359,7.18786,471
360,7.20788,452
361,7.2279,435
362,7.24792,469
363,7.267939,468
364,7.287959,471
365,7.307979,462
366,7.327998,455
367,7.348018,430
368,7.368038,500
369,7.388057,472
370,7.408077,539
371,7.428097,492
372,7.448116,518
373,7.468136,488
374,7.488156,512
375,7.508176,499
376,7.528195,541
377,7.548215,433
378,7.568235,477
379,7.588254,415
380,7.608274,442
381,7.628294,443
382,7.648314,428
383,7.668333,449
384,7.688353,441
385,7.708373,394
386,7.728392,465
387,7.748412,448
388,7.768432,430
389,7.788452,410
390,7.808471,448
391,7.828491,465
392,7.848511,481
393,7.86853,527
394,7.88855,558
395,7.90857,725
396,7.928589,904
397,7.948609,1183
398,7.968629,1649
399,7.988648,2036
400,8.008668,2510
401,8.028687,2837
402,8.048708,2867
403,8.068727,2793
404,8.088747,2483
405,8.108767,1991
406,8.128786,1502
407,8.148806,1151
408,8.168826,837
409,8.188846,587
410,8.208865,570
411,8.228885,473
412,8.248904,446
413,8.268925,457
414,8.288944,449
415,8.308964,430
416,8.328983,454
417,8.349003,441
418,8.369022,437
419,8.389043,449
420,8.409062,407
421,8.429082,391
422,8.449101,411
423,8.469121,443
424,8.489141,451
425,8.509161,402
426,8.529181,425
427,8.5492,440
428,8.56922,483
429,8.589239,481
430,8.60926,522
431,8.629279,527
432,8.649299,530
433,8.669318,500
434,8.689338,483
435,8.709357,471
436,8.729378,483
437,8.749397,482
438,8.769417,494
439,8.789436,498
440,8.809456,535
441,8.829476,616
442,8.849496,598
443,8.869515,676
444,8.889535,770
445,8.909554,803
446,8.929574,776
447,8.949594,731
448,8.969614,646
449,8.989634,618
450,9.009653,527
451,9.029673,483
452,9.049692,501
453,9.069713,442
454,9.089732,411
455,9.109752,442
456,9.129771,411
457,9.149791,455
458,9.169811,448
459,9.189831,433
460,9.20985,406
461,9.22987,404
462,9.249889,437
463,9.269909,419
464,9.289929,415
465,9.309949,428
466,9.329968,387
467,9.349988,380
468,9.370008,414
469,9.390028,402
470,9.410048,429
471,9.430067,400
472,9.450087,414
473,9.470106,478
474,9.490126,436
475,9.510146,491
476,9.530166,419
477,9.550185,399
478,9.570205,466
479,9.590224,425
480,9.610244,435
481,9.630264,457
482,9.650284,431
483,9.670303,428
484,9.690323,410
485,9.710342,438
486,9.730363,405
487,9.750382,405
488,9.770402,416
489,9.790421,425
490,9.810441,409
491,9.830461,428
492,9.850481,428
493,9.870501,443
494,9.89052,433
495,9.91054,395
496,9.930559,394
497,9.950579,396
498,9.970599,404
499,9.990619,413
500,10.01064,429
501,10.03066,439
502,10.05068,379
503,10.0707,401
504,10.09072,428
505,10.11074,395
506,10.13076,420
507,10.15078,422
508,10.1708,368
509,10.19082,412
510,10.21084,417
511,10.23085,400
512,10.25087,373
513,10.27089,366
514,10.29091,371
515,10.31093,397
516,10.33095,375
517,10.35097,362
518,10.37099,398
519,10.39101,388
520,10.41103,397
521,10.43105,379
522,10.45107,401
523,10.47109,379
524,10.49111,390
525,10.51113,386
526,10.53115,378
527,10.55117,347
528,10.57119,366
529,10.59121,371
530,10.61123,387
531,10.63125,388
532,10.65127,385
533,10.67129,338
534,10.69131,385
535,10.71133,357
536,10.73135,377
537,10.75137,304
538,10.77139,372
539,10.79141,364
540,10.81143,384
541,10.83145,350
542,10.85147,343
543,10.87149,343
544,10.89151,333
545,10.91152,354
546,10.93154,341
547,10.95156,334
548,10.97158,340
549,10.9916,327
550,11.01162,309
551,11.03164,351
552,11.05166,339
553,11.07168,335
554,11.0917,350
555,11.11172,300
556,11.13174,313
557,11.15176,324
558,11.17178,335
559,11.1918,296
560,11.21182,328
561,11.23184,308
562,11.25186,325
563,11.27188,310
564,11.2919,298
565,11.31192,320
566,11.33194,310
567,11.35196,310
568,11.37198,312
569,11.392,319
570,11.41202,296
571,11.43204,329
572,11.45206,313
573,11.47208,320
574,11.4921,319
575,11.51212,313
576,11.53214,317
577,11.55216,301
578,11.57218,296
579,11.59219,312
580,11.61221,287
581,11.63223,289
582,11.65225,289
583,11.67227,323
584,11.69229,299
585,11.71231,267
586,11.73233,281
587,11.75235,279
588,11.77237,288
589,11.79239,276
590,11.81241,276
591,11.83243,287
592,11.85245,284
593,11.87247,272
594,11.89249,261
595,11.91251,243
596,11.93253,274
597,11.95255,297
598,11.97257,250
599,11.99259,232
600,12.01261,237
601,12.03263,243
602,12.05265,237
603,12.07267,245
604,12.09269,252
605,12.11271,246
606,12.13273,227
607,12.15275,226
608,12.17277,254
609,12.19279,210
610,12.21281,221
611,12.23283,205
612,12.25284,207
613,12.27286,223
614,12.29288,232
615,12.3129,204
616,12.33292,203
617,12.35294,216
618,12.37296,229
619,12.39298,219
620,12.413,215
621,12.43302,192
622,12.45304,234
623,12.47306,194
624,12.49308,195
625,12.5131,186
626,12.53312,188
627,12.55314,196
628,12.57316,197
629,12.59318,192
630,12.6132,170
631,12.63322,195
632,12.65324,165
633,12.67326,167
634,12.69328,168
635,12.7133,164
636,12.73332,182
637,12.75334,174
638,12.77336,158
639,12.79338,175
640,12.8134,167
641,12.83342,158
642,12.85344,181
643,12.87346,158
644,12.89348,162
645,12.9135,144
646,12.93351,126
647,12.95353,150
648,12.97355,136
649,12.99357,155
650,13.01359,132
651,13.03361,122
652,13.05363,136
653,13.07365,129
654,13.09367,129
655,13.11369,135
656,13.13371,130
657,13.15373,142
658,13.17375,124
659,13.19377,126
660,13.21379,120
661,13.23381,131
662,13.25383,119
663,13.27385,123
664,13.29387,107
665,13.31389,128
666,13.33391,96
667,13.35393,112
668,13.37395,96
669,13.39397,102
670,13.41399,84
671,13.43401,101
672,13.45403,86
673,13.47405,90
674,13.49407,114
675,13.51409,96
676,13.53411,85
677,13.55413,76
678,13.57415,94
679,13.59416,91
680,13.61418,82
681,13.6342,69
682,13.65422,81
683,13.67424,64
684,13.69426,65
685,13.71428,71
686,13.7343,69
687,13.75432,60
688,13.77434,51
689,13.79436,52
690,13.81438,59
691,13.8344,56
692,13.85442,56
693,13.87444,48
694,13.89446,53
695,13.91448,57
696,13.9345,56
697,13.95452,33
698,13.97454,31
699,13.99456,36
700,14.01458,48
701,14.0346,36
702,14.05462,36
703,14.07464,20
704,14.09466,29
705,14.11468,32
706,14.1347,25
707,14.15472,26
708,14.17474,29
709,14.19476,27
710,14.21478,17
711,14.2348,27
712,14.25482,16
713,14.27483,20
714,14.29485,28
715,14.31487,24
716,14.33489,15
717,14.35491,18
718,14.37493,19
719,14.39495,20
720,14.41497,20
721,14.43499,16
722,14.45501,21
723,14.47503,15
724,14.49505,11
725,14.51507,11
726,14.53509,12
727,14.55511,11
728,14.57513,10
729,14.59515,7
730,14.61517,9
731,14.63519,12
732,14.65521,10
733,14.67523,11
734,14.69525,9
735,14.71527,5
736,14.73529,6
737,14.75531,3
738,14.77533,4
739,14.79535,5
740,14.81537,7
741,14.83539,5
742,14.85541,2
743,14.87543,3
744,14.89544,4
745,14.91547,4
746,14.93548,6
747,14.9555,4
748,14.97552,3
749,14.99554,6
750,15.01556,2
751,15.03558,1
752,15.0556,5
753,15.07562,1
754,15.09564,5
755,15.11566,5
756,15.13568,3
757,15.1557,2
758,15.17572,1
759,15.19574,2
