,ChannelStartInKeV,ChannelCount
0,0.0007655746,0
1,0.02078528,0
2,0.04080498,0
3,0.06082468,0
4,0.08084438,0
5,0.1008641,0
6,0.1208838,0
7,0.1409035,0
8,0.1609232,0
9,0.1809429,0
10,0.2009626,0
11,0.2209823,0
12,0.241002,0
13,0.2610217,0
14,0.2810414,0
15,0.3010611,1
16,0.3210808,21
17,0.3411005,250
18,0.3611202,1215
19,0.3811399,2643
20,0.4011596,2664
21,0.4211793,1120
22,0.441199,233
23,0.4612187,14
24,0.4812384,2
25,0.5012581,0
26,0.5212778,0
27,0.5412975,1
28,0.5613172,0
29,0.5813369,0
30,0.6013566,0
31,0.6213763,0
32,0.641396,0
33,0.6614157,0
34,0.6814354,12
35,0.7014551,12
36,0.7214748,14
37,0.7414945,17
38,0.7615142,10
39,0.7815339,10
40,0.8015536,9
41,0.8215733,18
42,0.841593,18
43,0.8616127,14
44,0.8816324,27
45,0.9016521,32
46,0.9216718,53
47,0.9416915,68
48,0.9617112,51
49,0.9817309,51
50,1.001751,32
51,1.02177,25
52,1.04179,34
53,1.06181,31
54,1.081829,52
55,1.101849,28
56,1.121869,38
57,1.141888,34
58,1.161908,38
59,1.181928,32
60,1.201948,32
61,1.221967,45
62,1.241987,38
63,1.262007,23
64,1.282026,18
65,1.302046,18
66,1.322066,19
67,1.342086,19
68,1.362105,17
69,1.382125,24
70,1.402145,22
71,1.422164,28
72,1.442184,48
73,1.462204,45
74,1.482223,56
75,1.502243,95
76,1.522263,101
77,1.542283,171
78,1.562302,216
79,1.582322,167
80,1.602342,116
81,1.622361,66
82,1.642381,36
83,1.662401,34
84,1.68242,54
85,1.70244,73
86,1.72246,102
87,1.74248,112
88,1.762499,94
89,1.782519,64
90,1.802539,54
91,1.822558,42
92,1.842578,48
93,1.862598,47
94,1.882617,54
95,1.902637,50
96,1.922657,89
97,1.942677,146
98,1.962696,192
99,1.982716,344
100,2.002736,412
101,2.022755,411
102,2.042775,282
103,2.062795,177
104,2.082814,105
105,2.102834,68
106,2.122854,79
107,2.142874,77
108,2.162893,58
109,2.182913,78
110,2.202933,132
111,2.222952,273
112,2.242972,501
113,2.262992,1028
114,2.283011,1492
115,2.303031,1791
116,2.323051,1571
117,2.343071,1221
118,2.36309,731
119,2.38311,398
120,2.40313,265
121,2.423149,238
122,2.443169,223
123,2.463189,241
124,2.483208,241
125,2.503228,202
126,2.523248,205
127,2.543267,190
128,2.563287,273
129,2.583307,403
130,2.603327,639
131,2.623346,1100
132,2.643366,1749
133,2.663386,2606
134,2.683405,3110
135,2.703425,3269
136,2.723445,2771
137,2.743465,2057
138,2.763484,1560
139,2.783504,1318
140,2.803524,1559
141,2.823543,1810
142,2.843563,1880
143,2.863583,1795
144,2.883603,1528
145,2.903622,1516
146,2.923642,1566
147,2.943662,1698
148,2.963681,1683
149,2.983701,1499
150,3.003721,1142
151,3.023741,809
152,3.04376,546
153,3.06378,365
154,3.0838,309
155,3.103819,277
156,3.123839,309
157,3.143859,413
158,3.163878,430
159,3.183898,503
160,3.203918,944
161,3.223938,1870
162,3.243957,3731
163,3.263977,6654
164,3.283997,10011
165,3.304016,12168
166,3.324036,12712
167,3.344056,10618
168,3.364075,7217
169,3.384095,4203
170,3.404115,1956
171,3.424134,832
172,3.444154,494
173,3.464174,350
174,3.484194,383
175,3.504213,539
176,3.524233,770
177,3.544253,1235
178,3.564272,1792
179,3.584292,2051
180,3.604312,2399
181,3.624331,2453
182,3.644351,2721
183,3.664371,2977
184,3.684391,3255
185,3.70441,2992
186,3.72443,2503
187,3.74445,1684
188,3.764469,1054
189,3.784489,606
190,3.804509,323
191,3.824528,261
192,3.844548,244
193,3.864568,200
194,3.884588,231
195,3.904607,236
196,3.924627,257
197,3.944647,371
198,3.964666,478
199,3.984686,565
200,4.004706,610
201,4.024725,615
202,4.044745,507
203,4.064765,423
204,4.084785,357
205,4.104805,286
206,4.124824,214
207,4.144844,205
208,4.164864,238
209,4.184883,233
210,4.204903,206
211,4.224923,201
212,4.244942,218
213,4.264962,214
214,4.284982,202
215,4.305001,236
216,4.325021,233
217,4.345041,210
218,4.36506,229
219,4.38508,210
220,4.4051,230
221,4.425119,220
222,4.445139,285
223,4.465159,255
224,4.485178,291
225,4.505198,257
226,4.525218,275
227,4.545238,272
228,4.565258,264
229,4.585277,252
230,4.605297,259
231,4.625317,256
232,4.645336,266
233,4.665356,253
234,4.685376,238
235,4.705395,247
236,4.725415,244
237,4.745435,271
238,4.765454,260
239,4.785474,311
240,4.805494,274
241,4.825513,244
242,4.845533,298
243,4.865553,288
244,4.885572,298
245,4.905592,269
246,4.925612,298
247,4.945632,296
248,4.965652,274
249,4.985671,309
250,5.005691,294
251,5.025711,297
252,5.04573,304
253,5.06575,314
254,5.08577,314
255,5.105789,318
256,5.125809,305
257,5.145829,306
258,5.165848,330
259,5.185868,328
260,5.205888,371
261,5.225907,346
262,5.245927,308
263,5.265947,387
264,5.285967,389
265,5.305986,423
266,5.326006,421
267,5.346026,443
268,5.366045,465
269,5.386065,443
270,5.406085,483
271,5.426105,453
272,5.446124,474
273,5.466144,450
274,5.486164,426
275,5.506183,371
276,5.526203,391
277,5.546223,398
278,5.566242,380
279,5.586262,366
280,5.606282,397
281,5.626302,412
282,5.646321,367
283,5.666341,413
284,5.686361,415
285,5.70638,428
286,5.7264,383
287,5.74642,436
288,5.766439,436
289,5.786459,516
290,5.806479,604
291,5.826499,753
292,5.846518,930
293,5.866538,1054
294,5.886558,1142
295,5.906578,1141
296,5.926597,1075
297,5.946617,1049
298,5.966637,768
299,5.986656,707
300,6.006676,579
301,6.026696,516
302,6.046715,490
303,6.066735,471
304,6.086755,482
305,6.106774,442
306,6.126794,459
307,6.146814,507
308,6.166833,517
309,6.186853,546
310,6.206873,575
311,6.226892,592
312,6.246912,576
313,6.266932,622
314,6.286952,631
315,6.306972,730
316,6.326991,767
317,6.347011,856
318,6.367031,991
319,6.38705,1036
320,6.40707,1016
321,6.42709,930
322,6.447109,943
323,6.467129,804
324,6.487149,710
325,6.507168,667
326,6.527188,575
327,6.547208,546
328,6.567227,514
329,6.587247,458
330,6.607267,473
331,6.627286,488
332,6.647306,489
333,6.667326,471
334,6.687346,455
335,6.707366,472
336,6.727385,451
337,6.747405,485
338,6.767425,411
339,6.787444,482
340,6.807464,481
341,6.827484,461
342,6.847503,494
343,6.867523,462
344,6.887543,465
345,6.907562,483
346,6.927582,497
347,6.947602,511
348,6.967621,483
349,6.987641,467
350,7.007661,490
351,7.02768,502
352,7.0477,516
353,7.06772,499
354,7.08774,493
355,7.107759,495
356,7.127779,483
357,7.147799,466
358,7.167819,473
359,7.187838,454
360,7.207858,423
361,7.227878,446
362,7.247897,474
363,7.267917,465
364,7.287937,416
365,7.307956,456
366,7.327976,466
367,7.347996,492
368,7.368016,487
369,7.388035,489
370,7.408055,503
371,7.428075,426
372,7.448094,496
373,7.468114,491
374,7.488134,457
375,7.508153,460
376,7.528173,475
377,7.548193,480
378,7.568213,464
379,7.588232,437
380,7.608252,396
381,7.628272,460
382,7.648292,433
383,7.668311,444
384,7.688331,411
385,7.708351,417
386,7.72837,421
387,7.74839,425
388,7.76841,443
389,7.788429,441
390,7.808449,448
391,7.828469,408
392,7.848488,447
393,7.868508,446
394,7.888528,427
395,7.908547,466
396,7.928567,491
397,7.948587,525
398,7.968606,505
399,7.988626,570
400,8.008646,644
401,8.028666,642
402,8.048685,665
403,8.068705,697
404,8.088725,609
405,8.108745,566
406,8.128764,538
407,8.148784,484
408,8.168803,473
409,8.188824,437
410,8.208843,414
411,8.228863,431
412,8.248882,433
413,8.268902,413
414,8.288921,468
415,8.308942,408
416,8.328961,408
417,8.348981,419
418,8.369,411
419,8.38902,399
420,8.40904,448
421,8.42906,448
422,8.44908,413
423,8.469099,411
424,8.489119,442
425,8.509138,398
426,8.529159,442
427,8.549178,472
428,8.569198,480
429,8.589217,492
430,8.609237,525
431,8.629256,554
432,8.649277,506
433,8.669296,516
434,8.689316,478
435,8.709335,534
436,8.729355,478
437,8.749375,526
438,8.769395,431
439,8.789414,441
440,8.809434,489
441,8.829453,440
442,8.849473,449
443,8.869493,430
444,8.889513,489
445,8.909533,466
446,8.929552,453
447,8.949572,460
448,8.969592,438
449,8.989612,453
450,9.009631,420
451,9.029651,438
452,9.04967,416
453,9.06969,404
454,9.08971,421
455,9.10973,402
456,9.129749,405
457,9.149769,448
458,9.169788,435
459,9.189808,406
460,9.209828,416
461,9.229848,456
462,9.249867,416
463,9.269887,440
464,9.289907,415
465,9.309927,426
466,9.329947,436
467,9.349966,391
468,9.369986,396
469,9.390005,407
470,9.410025,395
471,9.430045,399
472,9.450065,470
473,9.470084,380
474,9.490104,396
475,9.510123,418
476,9.530143,399
477,9.550163,432
478,9.570183,426
479,9.590202,412
480,9.610222,430
481,9.630241,414
482,9.650262,421
483,9.670281,426
484,9.690301,394
485,9.71032,403
486,9.73034,419
487,9.75036,411
488,9.77038,370
489,9.7904,364
490,9.810419,406
491,9.830439,415
492,9.850458,373
493,9.870479,384
494,9.890498,390
495,9.910518,371
496,9.930537,394
497,9.950557,391
498,9.970576,390
499,9.990597,370
500,10.01062,399
501,10.03064,378
502,10.05066,407
503,10.07067,343
504,10.09069,398
505,10.11071,377
506,10.13073,389
507,10.15075,393
508,10.17077,387
509,10.19079,344
510,10.21081,356
511,10.23083,359
512,10.25085,393
513,10.27087,376
514,10.29089,388
515,10.31091,389
516,10.33093,355
517,10.35095,346
518,10.37097,341
519,10.39099,346
520,10.41101,378
