,ChannelStartInKeV,ChannelCount
10,0.2007596,86.11764705882354
11,0.2207793,246.64705882352945
12,0.240799,400.8823529411766
13,0.2608187,465.9411764705884
14,0.2808384,478.9411764705884
15,0.3008581,480.0000000000001
16,0.3208778,480.2941176470589
17,0.3408975,480.2941176470589
18,0.3609172,480.2941176470589
19,0.3809369,480.3529411764706
20,0.4009566,480.3529411764706
21,0.4209763,480.3529411764706
22,0.440996,480.4117647058824
23,0.4610157,480.4117647058824
24,0.4810354,480.4117647058824
25,0.5010551,479.0000000000001
26,0.5210748,465.529411764706
27,0.5410945,396.00000000000006
28,0.5611142,236.7058823529412
29,0.5811339,83.23529411764706
30,0.6011536,19.000000000000004
31,0.6211733,6.647058823529413
32,0.641193,6.352941176470589
33,0.6612127,7.23529411764706
34,0.6812324,8.588235294117649
35,0.7012521,10.058823529411764
36,0.7212718,11.705882352941176
37,0.7412915,14.0
38,0.7613112,17.88235294117647
39,0.7813309,20.94117647058824
40,0.8013507,25.47058823529412
41,0.8213703,28.23529411764706
42,0.84139,29.94117647058824
43,0.8614097,30.294117647058822
44,0.8814294,31.0
45,0.9014491,31.941176470588232
46,0.9214689,34.05882352941177
47,0.9414885,35.411764705882355
48,0.9615082,36.82352941176471
49,0.9815279,37.23529411764706
50,1.001548,37.76470588235294
51,1.021567,38.52941176470589
52,1.041587,39.82352941176471
53,1.061607,41.352941176470594
54,1.081626,41.47058823529412
55,1.101646,40.05882352941177
56,1.121666,38.52941176470589
57,1.141685,35.411764705882355
58,1.161705,33.70588235294118
59,1.181725,32.411764705882355
60,1.201745,32.1764705882353
61,1.221764,31.882352941176475
62,1.241784,30.94117647058824
63,1.261804,29.470588235294123
64,1.281823,29.235294117647054
65,1.301843,30.58823529411765
66,1.321863,32.82352941176471
67,1.341883,35.647058823529406
68,1.361902,40.0
69,1.381922,45.05882352941176
70,1.401942,52.11764705882352
71,1.421961,58.76470588235295
72,1.441981,62.8235294117647
73,1.462001,64.88235294117648
74,1.48202,65.29411764705883
75,1.50204,66.05882352941177
76,1.52206,68.3529411764706
77,1.54208,71.58823529411765
78,1.562099,75.23529411764707
79,1.582119,79.88235294117648
80,1.602139,82.64705882352942
81,1.622158,84.00000000000001
82,1.642178,84.29411764705883
83,1.662198,83.23529411764706
84,1.682217,82.1764705882353
85,1.702237,78.70588235294119
86,1.722257,75.0
87,1.742277,69.76470588235296
88,1.762296,68.58823529411765
89,1.782316,73.8235294117647
90,1.802336,86.29411764705881
91,1.822355,105.6470588235294
92,1.842375,126.23529411764709
93,1.862395,144.3529411764706
94,1.882414,155.58823529411765
95,1.902434,160.11764705882354
96,1.922454,161.23529411764707
97,1.942474,161.64705882352942
98,1.962493,163.05882352941177
99,1.982513,163.58823529411765
100,2.002533,164.52941176470588
101,2.022552,165.8823529411765
102,2.042572,169.05882352941177
103,2.062592,178.41176470588235
104,2.082612,196.5294117647059
105,2.102631,227.58823529411768
106,2.122651,273.7647058823529
107,2.142671,330.764705882353
108,2.16269,376.2941176470589
109,2.18271,401.8823529411765
110,2.20273,415.4705882352942
111,2.222749,419.00000000000006
112,2.242769,422.9411764705883
113,2.262789,428.11764705882354
114,2.282809,434.4705882352941
115,2.302828,442.11764705882354
116,2.322848,450.3529411764706
117,2.342868,458.4705882352941
118,2.362887,464.0
119,2.382907,468.4705882352942
120,2.402927,467.2941176470589
121,2.422946,463.764705882353
122,2.442966,457.3529411764706
123,2.462986,460.0588235294117
124,2.483006,487.9411764705882
125,2.503025,564.9411764705883
126,2.523045,703.5882352941177
127,2.543065,851.529411764706
128,2.563084,995.9411764705882
129,2.583104,1103.0
130,2.603124,1181.5882352941176
131,2.623143,1256.764705882353
132,2.643163,1337.470588235294
133,2.663183,1431.7058823529414
134,2.683203,1530.470588235294
135,2.703222,1620.4117647058824
136,2.723242,1698.1764705882354
137,2.743262,1770.9411764705883
138,2.763281,1843.6470588235293
139,2.783301,1901.235294117647
140,2.803321,1934.1764705882356
141,2.82334,1919.8235294117649
142,2.84336,1842.764705882353
143,2.86338,1698.3529411764707
144,2.883399,1545.6470588235293
145,2.903419,1404.0000000000002
146,2.923439,1300.529411764706
147,2.943459,1228.8235294117649
148,2.963478,1162.6470588235295
149,2.983498,1091.470588235294
150,3.003518,1010.5882352941176
151,3.023537,931.0588235294116
152,3.043557,880.4117647058824
153,3.063577,890.9411764705883
154,3.083596,1004.823529411765
155,3.103616,1258.5882352941182
156,3.123636,1688.2352941176475
157,3.143656,2258.235294117647
158,3.163675,2836.9411764705887
159,3.183695,3324.5882352941185
160,3.203715,3667.2352941176473
161,3.223734,3860.647058823529
162,3.243754,3942.9411764705887
163,3.263774,3973.29411764706
164,3.283793,3980.5294117647054
165,3.303813,3979.352941176471
166,3.323833,3978.411764705882
167,3.343853,3979.2941176470586
168,3.363872,3993.705882352941
169,3.383892,4016.823529411765
170,3.403912,4013.000000000001
171,3.423931,3943.64705882353
172,3.443951,3767.352941176471
173,3.463971,3472.1176470588234
174,3.483991,3114.9411764705883
175,3.50401,2843.2352941176478
176,3.52403,2730.294117647059
177,3.54405,2781.7647058823536
178,3.564069,2922.294117647059
179,3.584089,3066.1176470588243
180,3.604109,3170.823529411765
181,3.624129,3213.4705882352937
182,3.644148,3231.294117647059
183,3.664168,3233.0
184,3.684188,3220.058823529412
185,3.704207,3189.588235294118
186,3.724227,3132.058823529412
187,3.744247,3054.8823529411766
188,3.764266,2949.6470588235297
189,3.784286,2813.764705882353
190,3.804306,2634.5882352941176
191,3.824326,2391.0
192,3.844345,2069.8235294117653
193,3.864365,1703.2352941176473
194,3.884385,1330.7058823529412
195,3.904404,1020.058823529412
196,3.924424,806.8823529411765
