,Unnamed: 0,ChannelStartInKeV,ChannelCount
0,0,0.0008754986,-12.88235294117646
1,1,0.0208952,-10.294117647058815
2,2,0.0409149,-7.705882352941169
3,3,0.0609346,-5.117647058823523
4,4,0.08095431,-2.529411764705877
5,5,0.100974,0.05882352941176805
6,6,0.1209937,2.647058823529415
7,7,0.1410134,5.2352941176470615
8,8,0.1610331,7.8235294117647065
9,9,0.1810528,81.3529411764706
10,10,0.2010725,419.82352941176475
11,11,0.2210922,1133.1764705882354
12,12,0.2411119,1816.5294117647059
13,13,0.2611316,2121.058823529412
14,14,0.2811513,2181.0000000000005
15,15,0.301171,2188.5294117647063
16,16,0.3211907,2189.3529411764707
17,17,0.3412104,2189.764705882353
18,18,0.3612301,2190.0588235294117
19,19,0.3812498,2190.176470588235
20,20,0.4012695,2190.294117647059
21,21,0.4212892,2190.4705882352937
22,22,0.4413089,2190.529411764706
23,23,0.4613286,2190.764705882353
24,24,0.4813483,2190.4117647058824
25,25,0.501368,2183.176470588235
26,26,0.5213877,2152.3529411764707
27,27,0.5414074,1857.1176470588239
28,28,0.5614271,1184.5294117647063
29,29,0.5814468,541.9411764705882
30,30,0.6014665,277.23529411764713
31,31,0.6214862,261.4117647058824
32,32,0.641506,294.8823529411765
33,33,0.6615256,336.5294117647059
34,34,0.6815453,379.29411764705884
35,35,0.701565,418.3529411764706
36,36,0.7215847,462.6470588235294
37,37,0.7416044,505.3529411764706
38,38,0.7616242,544.4117647058823
39,39,0.7816439,583.6470588235295
40,40,0.8016635,624.0000000000001
41,41,0.8216832,662.4705882352941
42,42,0.8417029,702.5882352941177
43,43,0.8617226,699.3529411764706
44,44,0.8817424,695.7058823529412
45,45,0.9017621,690.9411764705883
46,46,0.9217817,688.2941176470589
47,47,0.9418014,685.7058823529412
48,48,0.9618211,677.2352941176471
49,49,0.9818408,672.1176470588235
50,50,1.00186,667.1764705882354
51,51,1.02188,660.4117647058824
52,52,1.0419,661.4117647058824
53,53,1.06192,654.764705882353
54,54,1.081939,648.2352941176472
55,55,1.101959,646.3529411764706
56,56,1.121979,642.529411764706
57,57,1.141998,637.7058823529412
58,58,1.162018,633.7058823529412
59,59,1.182038,627.8235294117648
60,60,1.202058,622.529411764706
61,61,1.222077,616.7647058823529
62,62,1.242097,614.2941176470589
63,63,1.262117,611.7647058823529
64,64,1.282136,609.4117647058824
65,65,1.302156,606.8235294117649
66,66,1.322176,604.4117647058824
67,67,1.342196,600.5882352941177
68,68,1.362215,596.2352941176471
69,69,1.382235,588.529411764706
70,70,1.402255,581.8235294117648
71,71,1.422274,576.3529411764706
72,72,1.442294,571.6470588235294
73,73,1.462314,566.8823529411766
74,74,1.482333,560.764705882353
75,75,1.502353,554.3529411764706
76,76,1.522373,548.4117647058823
77,77,1.542392,542.2941176470588
78,78,1.562412,535.8823529411765
79,79,1.582432,533.4117647058824
80,80,1.602452,528.4705882352941
81,81,1.622471,524.4117647058824
82,82,1.642491,522.1764705882354
83,83,1.662511,519.4117647058823
84,84,1.68253,517.6470588235294
85,85,1.70255,513.0588235294118
86,86,1.72257,512.0588235294118
87,87,1.742589,512.4117647058823
88,88,1.762609,514.764705882353
89,89,1.782629,515.529411764706
90,90,1.802649,518.0588235294118
91,91,1.822668,519.4705882352943
92,92,1.842688,522.6470588235294
93,93,1.862708,524.7058823529412
94,94,1.882727,525.4705882352941
95,95,1.902747,526.5882352941177
96,96,1.922767,524.2352941176471
97,97,1.942786,520.0588235294117
98,98,1.962806,515.9411764705883
99,99,1.982826,515.1176470588235
100,100,2.002846,512.5294117647059
101,101,2.022865,509.5882352941176
102,102,2.042885,509.4705882352942
103,103,2.062905,506.0
104,104,2.082924,500.7058823529412
105,105,2.102944,496.4117647058824
106,106,2.122964,492.5882352941177
107,107,2.142983,488.8235294117647
108,108,2.163003,485.58823529411774
109,109,2.183023,482.52941176470597
110,110,2.203043,478.94117647058823
111,111,2.223062,474.5882352941177
112,112,2.243082,469.41176470588243
113,113,2.263102,468.17647058823525
114,114,2.283121,469.4117647058824
115,115,2.303141,467.2352941176471
116,116,2.323161,461.82352941176475
117,117,2.34318,459.2352941176471
118,118,2.3632,454.0
119,119,2.38322,451.7058823529413
120,120,2.40324,448.4705882352941
121,121,2.423259,448.00000000000006
122,122,2.443279,446.64705882352945
123,123,2.463299,444.1764705882353
124,124,2.483318,440.4705882352942
125,125,2.503338,440.58823529411774
126,126,2.523358,437.764705882353
127,127,2.543378,433.82352941176475
128,128,2.563397,430.2941176470589
129,129,2.583417,429.0588235294118
