,Unnamed: 0,ChannelStartInKeV,ChannelCount
0,0,0.000829215,-11.156862745098035
1,1,0.02084892,-8.916666666666664
2,2,0.04086862,-6.676470588235292
3,3,0.06088832,-4.43627450980392
4,4,0.08090802,-2.1960784313725483
5,5,0.1009277,0.044117647058822484
6,6,0.1209474,2.284313725490195
7,7,0.1409671,4.524509803921568
8,8,0.1609868,6.764705882352941
9,9,0.1810065,81.1764705882353
10,10,0.2010262,423.52941176470597
11,11,0.2210459,1143.5882352941178
12,12,0.2410656,1836.5882352941178
13,13,0.2610853,2144.0000000000005
14,14,0.281105,2207.1176470588243
15,15,0.3011247,2213.8235294117653
16,16,0.3211444,2214.4705882352946
17,17,0.3411641,2214.764705882353
18,18,0.3611838,2215.0
19,19,0.3812035,2215.411764705882
20,20,0.4012232,2215.4705882352937
21,21,0.4212429,2215.529411764706
22,22,0.4412626,2215.529411764706
23,23,0.4612823,2215.7058823529414
24,24,0.4813021,2215.4705882352946
25,25,0.5013217,2209.0588235294117
26,26,0.5213414,2181.470588235294
27,27,0.5413612,1881.6470588235297
28,28,0.5613809,1206.7647058823532
29,29,0.5814006,554.8235294117648
30,30,0.6014202,287.00000000000006
31,31,0.6214399,267.00000000000006
32,32,0.6414596,303.3529411764706
33,33,0.6614794,344.00000000000006
34,34,0.6814991,385.9411764705883
35,35,0.7015188,428.5294117647059
36,36,0.7215384,466.11764705882354
37,37,0.7415581,505.4117647058823
38,38,0.7615778,546.0
39,39,0.7815976,585.4117647058824
40,40,0.8016173,624.2941176470588
41,41,0.821637,664.2352941176471
42,42,0.8416567,703.4705882352943
43,43,0.8616763,694.4705882352941
44,44,0.881696,689.2352941176471
45,45,0.9017158,682.5882352941177
46,46,0.9217355,679.8823529411766
47,47,0.9417552,677.5882352941177
48,48,0.9617749,672.0000000000001
49,49,0.9817945,665.0588235294117
50,50,1.001814,661.1764705882352
51,51,1.021834,655.529411764706
52,52,1.041854,647.7058823529413
53,53,1.061873,643.764705882353
54,54,1.081893,640.8235294117648
55,55,1.101913,633.2352941176471
56,56,1.121933,630.4705882352941
57,57,1.141952,626.7647058823529
58,58,1.161972,623.8823529411766
59,59,1.181992,620.3529411764706
60,60,1.202011,615.3529411764706
61,61,1.222031,611.4705882352941
62,62,1.242051,603.7058823529412
63,63,1.26207,599.2941176470588
64,64,1.28209,594.6470588235294
65,65,1.30211,590.529411764706
66,66,1.322129,586.2941176470588
67,67,1.342149,581.9411764705883
68,68,1.362169,577.764705882353
69,69,1.382189,575.9411764705883
70,70,1.402208,574.4705882352941
71,71,1.422228,570.529411764706
72,72,1.442248,568.6470588235294
73,73,1.462267,563.5882352941178
74,74,1.482287,557.9411764705883
75,75,1.502307,552.4705882352941
76,76,1.522326,545.8823529411765
77,77,1.542346,539.5882352941177
78,78,1.562366,534.1176470588235
79,79,1.582386,534.5882352941177
80,80,1.602405,531.4117647058824
81,81,1.622425,527.529411764706
82,82,1.642445,525.764705882353
83,83,1.662464,523.529411764706
84,84,1.682484,519.7058823529412
85,85,1.702504,517.9411764705883
86,86,1.722523,514.4117647058824
87,87,1.742543,512.1176470588235
88,88,1.762563,512.8823529411766
89,89,1.782583,515.4117647058823
90,90,1.802602,517.4117647058823
91,91,1.822622,519.529411764706
92,92,1.842642,518.1764705882354
93,93,1.862661,520.5882352941177
94,94,1.882681,521.1764705882354
95,95,1.902701,521.529411764706
96,96,1.922721,517.1176470588235
97,97,1.94274,515.3529411764706
98,98,1.96276,516.2941176470588
99,99,1.98278,511.35294117647067
100,100,2.002799,506.8823529411765
101,101,2.022819,505.0588235294118
102,102,2.042839,502.82352941176475
103,103,2.062858,499.29411764705884
104,104,2.082878,494.7058823529412
105,105,2.102898,490.0588235294118
106,106,2.122917,485.3529411764706
107,107,2.142937,482.1176470588236
108,108,2.162957,476.8823529411765
109,109,2.182977,475.94117647058823
110,110,2.202996,472.52941176470586
111,111,2.223016,472.64705882352945
112,112,2.243036,470.94117647058823
113,113,2.263055,470.29411764705884
114,114,2.283075,464.8235294117648
115,115,2.303095,461.35294117647055
116,116,2.323115,457.94117647058823
117,117,2.343134,458.3529411764706
118,118,2.363154,456.6470588235295
119,119,2.383174,454.47058823529414
120,120,2.403193,452.64705882352945
121,121,2.423213,454.3529411764706
122,122,2.443233,454.7058823529412
123,123,2.463253,452.1764705882353
124,124,2.483272,449.9411764705883
125,125,2.503292,449.0
126,126,2.523312,443.2352941176471
127,127,2.543331,437.9411764705883
128,128,2.563351,433.11764705882354
129,129,2.583371,430.0
130,130,2.60339,427.3529411764706
131,131,2.62341,424.94117647058823
132,132,2.64343,420.1764705882353
133,133,2.66345,418.2352941176471
134,134,2.683469,416.41176470588243
135,135,2.703489,413.1764705882353
136,136,2.723509,410.7647058823529
137,137,2.743528,409.47058823529414
138,138,2.763548,410.05882352941177
139,139,2.783568,410.11764705882354
140,140,2.803587,412.2941176470589
141,141,2.823607,413.0
142,142,2.843627,412.29411764705884
143,143,2.863647,413.82352941176475
144,144,2.883666,412.2941176470589
145,145,2.903686,411.1764705882353
146,146,2.923706,409.3529411764706
147,147,2.943725,409.0
148,148,2.963745,409.05882352941177
149,149,2.983765,408.764705882353
150,150,3.003784,410.05882352941177
151,151,3.023804,408.58823529411774
152,152,3.043824,415.6470588235294
153,153,3.063843,435.1176470588236
154,154,3.083863,480.9411764705883
155,155,3.103883,563.4117647058825
156,156,3.123903,680.764705882353
157,157,3.143922,823.1176470588236
158,158,3.163942,960.5882352941178
159,159,3.183962,1072.2941176470588
160,160,3.203981,1150.4117647058822
161,161,3.224001,1192.235294117647
162,162,3.244021,1211.2941176470588
163,163,3.26404,1219.5882352941178
164,164,3.28406,1221.4117647058824
165,165,3.30408,1227.764705882353
166,166,3.3241,1237.4117647058824
167,167,3.344119,1247.4705882352941
168,168,3.364139,1261.7058823529412
169,169,3.384159,1270.235294117647
170,170,3.404178,1274.6470588235295
171,171,3.424198,1263.294117647059
172,172,3.444218,1230.8823529411768
173,173,3.464237,1209.5882352941178
174,174,3.484257,1213.0
175,175,3.504277,1278.4117647058822
176,176,3.524297,1408.8823529411766
177,177,3.544316,1561.7058823529414
178,178,3.564336,1712.3529411764707
179,179,3.584356,1821.7058823529412
180,180,3.604375,1882.0
181,181,3.624395,1907.4705882352944
182,182,3.644415,1908.4705882352941
183,183,3.664434,1901.1764705882354
184,184,3.684454,1885.8235294117649
185,185,3.704474,1865.7058823529414
186,186,3.724494,1843.8235294117646
187,187,3.744513,1814.8823529411766
188,188,3.764533,1778.7647058823532
189,189,3.784553,1729.1176470588236
190,190,3.804572,1640.3529411764707
191,191,3.824592,1510.294117647059
192,192,3.844612,1330.1764705882356
193,193,3.864631,1117.3529411764707
194,194,3.884651,906.4705882352944
195,195,3.904671,725.5882352941177
196,196,3.924691,602.470588235294
197,197,3.94471,530.1764705882354
198,198,3.96473,497.05882352941177
199,199,3.98475,483.1176470588236
200,200,4.004769,472.0
201,201,4.024789,467.5294117647059
202,202,4.044809,463.00000000000006
203,203,4.064828,457.7058823529412
204,204,4.084848,451.2352941176471
205,205,4.104868,441.23529411764713
206,206,4.124887,423.47058823529414
207,207,4.144907,398.1764705882353
208,208,4.164927,366.11764705882354
209,209,4.184947,325.5294117647059
210,210,4.204967,283.05882352941177
211,211,4.224986,249.41176470588238
212,212,4.245006,228.1764705882353
213,213,4.265026,214.1764705882353
214,214,4.285045,208.05882352941177
215,215,4.305065,203.52941176470588
216,216,4.325085,200.41176470588235
217,217,4.345104,198.47058823529417
218,218,4.365124,196.11764705882354
219,219,4.385144,192.94117647058826
220,220,4.405163,193.11764705882356
221,221,4.425183,190.47058823529412
222,222,4.445203,188.23529411764707
223,223,4.465222,186.94117647058826
224,224,4.485242,187.0
225,225,4.505262,184.58823529411765
226,226,4.525281,183.1764705882353
227,227,4.545301,181.17647058823533
228,228,4.565321,179.35294117647058
229,229,4.585341,176.64705882352942
230,230,4.605361,172.94117647058826
231,231,4.62538,169.8823529411765
232,232,4.6454,166.1176470588236
233,233,4.66542,165.11764705882356
234,234,4.685439,165.82352941176472
235,235,4.705459,164.88235294117646
236,236,4.725479,165.64705882352945
237,237,4.745498,162.29411764705884
238,238,4.765518,161.7058823529412
239,239,4.785538,160.88235294117646
240,240,4.805557,159.05882352941177
241,241,4.825577,155.1764705882353
242,242,4.845597,153.76470588235293
243,243,4.865616,152.58823529411768
244,244,4.885636,150.76470588235296
245,245,4.905656,147.1764705882353
246,246,4.925676,145.11764705882354
247,247,4.945695,143.3529411764706
248,248,4.965715,141.29411764705884
249,249,4.985735,139.29411764705884
250,250,5.005754,136.47058823529412
251,251,5.025774,132.47058823529414
252,252,5.045794,129.23529411764707
253,253,5.065814,126.52941176470588
254,254,5.085833,127.00000000000001
255,255,5.105853,123.7058823529412
256,256,5.125873,122.70588235294119
257,257,5.145892,123.3529411764706
258,258,5.165912,124.47058823529413
259,259,5.185932,125.11764705882355
260,260,5.205952,126.00000000000001
261,261,5.225971,129.8235294117647
262,262,5.245991,135.23529411764707
263,263,5.266011,141.58823529411765
264,264,5.28603,146.70588235294116
265,265,5.30605,148.11764705882354
266,266,5.32607,150.58823529411765
267,267,5.346089,150.3529411764706
268,268,5.366109,150.0
269,269,5.386129,149.1764705882353
270,270,5.406148,147.47058823529412
271,271,5.426168,145.58823529411765
272,272,5.446188,146.23529411764704
273,273,5.466208,144.29411764705884
274,274,5.486228,141.52941176470588
275,275,5.506247,138.94117647058823
276,276,5.526267,135.35294117647058
277,277,5.546287,131.41176470588235
278,278,5.566306,125.70588235294119
279,279,5.586326,121.35294117647061
280,280,5.606346,118.82352941176471
281,281,5.626365,125.23529411764706
282,282,5.646385,143.41176470588238
283,283,5.666405,175.1764705882353
284,284,5.686424,230.41176470588238
285,285,5.706444,298.0588235294118
286,286,5.726464,381.2352941176471
287,287,5.746483,468.4117647058824
288,288,5.766503,539.3529411764706
289,289,5.786523,596.0588235294118
290,290,5.806542,639.0
291,291,5.826562,662.4117647058824
292,292,5.846582,675.2352941176471
293,293,5.866601,681.7058823529412
294,294,5.886621,684.0
295,295,5.906641,683.5882352941176
296,296,5.926661,681.2352941176472
297,297,5.946681,675.5294117647059
298,298,5.9667,661.2941176470588
299,299,5.98672,639.4117647058823
300,300,6.00674,601.6470588235295
301,301,6.026759,542.7058823529412
302,302,6.046779,473.11764705882354
303,303,6.066799,388.8235294117647
304,304,6.086818,302.94117647058823
305,305,6.106838,233.35294117647064
306,306,6.126858,179.8823529411765
307,307,6.146877,146.58823529411765
308,308,6.166897,140.8823529411765
309,309,6.186917,154.17647058823528
310,310,6.206936,186.29411764705884
311,311,6.226956,227.47058823529414
312,312,6.246976,275.64705882352945
313,313,6.266995,323.64705882352945
314,314,6.287015,367.2352941176471
315,315,6.307035,402.9411764705883
316,316,6.327055,430.29411764705884
317,317,6.347075,451.00000000000006
318,318,6.367094,467.764705882353
319,319,6.387114,475.64705882352945
320,320,6.407134,481.88235294117646
321,321,6.427153,482.52941176470586
322,322,6.447173,480.3529411764706
323,323,6.467193,474.23529411764713
324,324,6.487212,463.1764705882353
325,325,6.507232,443.29411764705884
326,326,6.527252,414.8823529411765
327,327,6.547271,373.3529411764706
328,328,6.567291,327.3529411764706
329,329,6.587311,276.1764705882353
330,330,6.60733,226.0
331,331,6.62735,180.05882352941174
332,332,6.64737,142.58823529411762
333,333,6.66739,113.23529411764706
334,334,6.687409,92.0
335,335,6.707429,74.76470588235294
336,336,6.727449,64.6470588235294
337,337,6.747468,57.47058823529413
338,338,6.767488,53.88235294117647
339,339,6.787508,52.176470588235304
340,340,6.807528,54.470588235294116
341,341,6.827547,57.529411764705884
342,342,6.847567,63.235294117647065
343,343,6.867587,69.1764705882353
344,344,6.887606,77.23529411764706
345,345,6.907626,85.88235294117648
346,346,6.927646,92.70588235294117
347,347,6.947666,97.94117647058825
348,348,6.967685,102.76470588235296
349,349,6.987705,105.11764705882355
350,350,7.007725,106.52941176470588
351,351,7.027744,106.29411764705884
352,352,7.047764,105.52941176470588
353,353,7.067784,105.1764705882353
354,354,7.087803,103.8235294117647
355,355,7.107823,102.82352941176471
356,356,7.127843,101.64705882352942
357,357,7.147862,98.29411764705883
358,358,7.167882,94.70588235294117
359,359,7.187902,92.35294117647061
360,360,7.207922,91.41176470588236
361,361,7.227942,92.17647058823529
362,362,7.247961,98.1764705882353
363,363,7.267981,111.64705882352942
364,364,7.288001,132.2941176470588
365,365,7.30802,155.5294117647059
