,Unnamed: 0,ChannelStartInKeV,ChannelCount
0,0,0.0007755968,-2.137254901960783
1,1,0.0207953,-1.7083333333333321
2,2,0.040815,-1.2794117647058814
3,3,0.0608347,-0.8504901960784303
4,4,0.0808544,-0.42156862745097956
5,5,0.1008741,0.00735294117647145
6,6,0.1208938,0.43627450980392224
7,7,0.1409135,0.865196078431373
8,8,0.1609332,1.2941176470588236
9,9,0.1809529,15.235294117647062
10,10,0.2009726,92.76470588235294
11,11,0.2209923,245.64705882352945
12,12,0.241012,395.2941176470589
13,13,0.2610317,459.88235294117646
14,14,0.2810514,474.3529411764706
15,15,0.3010711,475.4705882352942
16,16,0.3210908,475.52941176470586
17,17,0.3411105,475.52941176470586
18,18,0.3611302,475.5294117647059
19,19,0.3811499,475.5294117647059
20,20,0.4011696,475.52941176470586
21,21,0.4211893,475.5294117647059
22,22,0.441209,475.5294117647059
23,23,0.4612287,475.52941176470597
24,24,0.4812484,475.47058823529426
25,25,0.5012681,474.23529411764713
26,26,0.5212878,460.8235294117648
27,27,0.5413075,384.23529411764713
28,28,0.5613272,232.0588235294118
29,29,0.5813469,83.29411764705884
30,30,0.6013666,19.588235294117652
31,31,0.6213863,6.11764705882353
32,32,0.641406,5.588235294117647
33,33,0.6614257,6.588235294117648
34,34,0.6814454,7.882352941176472
35,35,0.7014651,9.235294117647058
36,36,0.7214848,10.705882352941178
37,37,0.7415045,13.647058823529413
38,38,0.7615243,17.000000000000004
39,39,0.7815439,20.705882352941178
40,40,0.8015636,24.235294117647058
41,41,0.8215833,27.294117647058822
42,42,0.841603,29.235294117647058
43,43,0.8616228,30.35294117647059
44,44,0.8816425,30.647058823529413
45,45,0.9016622,31.882352941176475
46,46,0.9216818,33.11764705882353
47,47,0.9417015,34.294117647058826
48,48,0.9617212,35.35294117647059
49,49,0.981741,36.411764705882355
50,50,1.001761,36.76470588235294
51,51,1.02178,37.52941176470589
52,52,1.0418,38.470588235294116
53,53,1.06182,39.05882352941176
54,54,1.081839,38.0
55,55,1.101859,35.94117647058824
56,56,1.121879,34.11764705882353
57,57,1.141899,31.411764705882355
58,58,1.161918,29.882352941176475
59,59,1.181938,29.000000000000004
60,60,1.201958,28.235294117647058
61,61,1.221977,28.0
62,62,1.241997,27.235294117647058
63,63,1.262017,26.470588235294123
64,64,1.282036,25.941176470588232
65,65,1.302056,26.705882352941174
66,66,1.322076,28.647058823529413
67,67,1.342096,30.764705882352946
68,68,1.362115,33.82352941176471
69,69,1.382135,37.58823529411765
70,70,1.402155,43.88235294117647
71,71,1.422174,47.52941176470588
72,72,1.442194,50.176470588235304
73,73,1.462214,50.64705882352942
74,74,1.482234,51.94117647058824
75,75,1.502253,52.11764705882353
76,76,1.522273,53.29411764705882
77,77,1.542293,57.0
78,78,1.562312,62.47058823529412
79,79,1.582332,66.6470588235294
80,80,1.602352,70.0
81,81,1.622371,72.70588235294119
82,82,1.642391,73.1764705882353
83,83,1.662411,72.88235294117648
84,84,1.682431,72.23529411764707
85,85,1.70245,70.52941176470588
86,86,1.72247,69.76470588235294
87,87,1.74249,68.11764705882354
88,88,1.762509,75.76470588235296
89,89,1.782529,91.1764705882353
90,90,1.802549,120.7058823529412
91,91,1.822568,163.64705882352945
92,92,1.842588,215.2352941176471
93,93,1.862608,261.5882352941177
94,94,1.882627,295.1764705882353
95,95,1.902647,309.47058823529414
96,96,1.922667,317.11764705882354
97,97,1.942687,320.4117647058824
98,98,1.962706,322.52941176470586
99,99,1.982726,325.5882352941176
100,100,2.002746,327.05882352941177
101,101,2.022765,330.0
102,102,2.042785,334.29411764705884
103,103,2.062805,338.5294117647059
104,104,2.082824,351.6470588235294
105,105,2.102844,373.2941176470589
106,106,2.122864,407.05882352941177
107,107,2.142884,435.5882352941177
108,108,2.162903,450.0588235294118
109,109,2.182923,441.17647058823536
110,110,2.202943,422.35294117647067
111,111,2.222962,402.9411764705882
112,112,2.242982,393.7058823529412
113,113,2.263002,391.29411764705884
114,114,2.283021,393.7058823529412
115,115,2.303041,400.0
116,116,2.323061,404.4705882352941
117,117,2.343081,410.82352941176475
118,118,2.3631,416.0588235294118
119,119,2.38312,419.3529411764706
120,120,2.40314,422.9411764705883
121,121,2.423159,420.82352941176475
122,122,2.443179,418.9411764705883
123,123,2.463199,425.94117647058823
124,124,2.483218,463.17647058823525
125,125,2.503238,552.2352941176471
126,126,2.523258,689.0000000000001
127,127,2.543278,855.1764705882354
128,128,2.563297,999.1764705882355
129,129,2.583317,1113.0588235294117
130,130,2.603337,1185.529411764706
131,131,2.623356,1255.8823529411766
132,132,2.643376,1334.058823529412
133,133,2.663396,1427.5294117647059
134,134,2.683415,1532.6470588235295
