Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA028PA0302-00037-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 12:08:20 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.754
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 18
UserCustomField,ID, 18
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4642685,0.4642685,0.2154848,0,0,False,False
13,Al,PercentWeight,0,0,0.02549275,0,0,False,False
14,Si,PercentWeight,0.06469909,0.06469909,0.01081225,0,0,False,False
15,P,PercentWeight,0.1560286,0.1035286,0.005331262,0,0,False,False
16,S,PercentWeight,0.2434914,0.2019914,0.003738135,0,0,False,False
17,Cl,PercentWeight,0.01330084,0.01330084,0.01207124,0,0,False,False
19,K,PercentWeight,1.00839,0.92089,0.004496606,0,0,False,False
20,Ca,PercentWeight,1.124538,1.124538,0.003537889,0,0,False,False
22,Ti,PercentWeight,0.00104346,0.00104346,0.0002166325,0,0,False,False
23,V,PercentWeight,7.108963E-05,7.108963E-05,3.116273E-05,0,0,False,False
24,Cr,PercentWeight,0.001967411,0.001967411,0.0001980354,0,0,False,False
25,Mn,PercentWeight,0.04405916,0.04405916,0.0006459164,0,0,False,False
26,Fe,PercentWeight,0.01962123,0.01962123,0.0005810189,0,0,False,False
28,Ni,PercentWeight,0,0,8.00375E-05,0,0,False,False
29,Cu,PercentWeight,0.003140573,0.003140573,8.77252E-05,0,0,False,False
30,Zn,PercentWeight,0.002043378,0.002043378,8.699742E-05,0,0,False,False
33,As,PercentWeight,0,0,8.430253E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.554128E-05,0,0,False,False
35,Br,PercentWeight,0.001318605,0.001318605,0.0001024805,0,0,False,False
37,Rb,PercentWeight,0.0007775987,0.0007775987,0.0001290783,0,0,False,False
38,Sr,PercentWeight,0.02311683,0.02311683,0.0001703242,0,0,False,False
42,Mo,PercentWeight,0,0,6.689391E-05,0,0,False,False
48,Cd,PercentWeight,0.0003529981,0.0003529981,0.0002195434,0,0,False,False
56,Ba,PercentWeight,0.0133295,0.0133295,0.003371667,0,0,False,False
80,Hg,PercentWeight,0,0,9.381939E-06,0,0,False,False
82,Pb,PercentWeight,5.08695E-05,5.08695E-05,0.0002698349,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1879411,,438549,
ValidCounts,1626773,,396050,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008754986,,0.0008754986,
ZeroOffsetInKeV,-0.0008754986,,-0.0008754986,
StartingChannel,0.04373185,,0.04373185,
NumberOfChannels,2048,,2048,
CountsPerSecond,44577.01,,48202.79,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 12:08:20 PM,,02/08/2023 12:08:20 PM,
LiveTimeInSeconds,37.649,,8.105,
DeadTimeInSeconds,4.512,,0.9929999,
ResetTimeInSeconds,4.696,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.4,,97.4,
NosePressureInMilliBars,788.6815,,788.6815,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.161,,9.098001,
PacketTimeInSeconds,46.85699,,9.368,
CommunicationTimeInSeconds,3.143005,,0.632,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008754986,0,0.0008754986,0
2,0.0208952,0,0.0208952,0
3,0.0409149,0,0.0409149,0
4,0.0609346,0,0.0609346,0
5,0.08095431,0,0.08095431,0
6,0.100974,0,0.100974,0
7,0.1209937,0,0.1209937,0
8,0.1410134,0,0.1410134,0
9,0.1610331,0,0.1610331,0
10,0.1810528,0,0.1810528,0
11,0.2010725,0,0.2010725,0
12,0.2210922,0,0.2210922,0
13,0.2411119,0,0.2411119,0
14,0.2611316,0,0.2611316,0
15,0.2811513,0,0.2811513,0
16,0.301171,8,0.301171,4
17,0.3211907,125,0.3211907,20
18,0.3412104,1250,0.3412104,239
19,0.3612301,5754,0.3612301,1187
20,0.3812498,12127,0.3812498,2631
21,0.4012695,11617,0.4012695,2631
22,0.4212892,5177,0.4212892,1171
23,0.4413089,1019,0.4413089,222
24,0.4613286,128,0.4613286,21
25,0.4813483,14,0.4813483,2
26,0.501368,7,0.501368,0
27,0.5213877,5,0.5213877,0
28,0.5414074,2,0.5414074,0
29,0.5614271,2,0.5614271,0
30,0.5814468,3,0.5814468,0
31,0.6014665,1,0.6014665,0
32,0.6214862,4,0.6214862,0
33,0.641506,2,0.641506,0
34,0.6615256,2,0.6615256,0
35,0.6815453,726,0.6815453,18
36,0.701565,735,0.701565,22
37,0.7215847,693,0.7215847,9
38,0.7416044,693,0.7416044,12
39,0.7616242,677,0.7616242,14
40,0.7816439,750,0.7816439,14
41,0.8016635,697,0.8016635,23
42,0.8216832,722,0.8216832,23
43,0.8417029,734,0.8417029,26
44,0.8617226,669,0.8617226,15
45,0.8817424,755,0.8817424,30
46,0.9017621,728,0.9017621,38
47,0.9217817,667,0.9217817,67
48,0.9418014,668,0.9418014,62
49,0.9618211,690,0.9618211,77
50,0.9818408,656,0.9818408,42
51,1.00186,684,1.00186,27
52,1.02188,671,1.02188,24
53,1.0419,673,1.0419,21
54,1.06192,612,1.06192,35
55,1.081939,648,1.081939,37
56,1.101959,633,1.101959,45
57,1.121979,606,1.121979,32
58,1.141998,610,1.141998,32
59,1.162018,638,1.162018,23
60,1.182038,619,1.182038,44
61,1.202058,686,1.202058,38
62,1.222077,642,1.222077,39
63,1.242097,617,1.242097,63
64,1.262117,635,1.262117,46
65,1.282136,603,1.282136,37
66,1.302156,608,1.302156,16
67,1.322176,588,1.322176,34
68,1.342196,584,1.342196,24
69,1.362215,581,1.362215,23
70,1.382235,575,1.382235,18
71,1.402255,570,1.402255,23
72,1.422274,605,1.422274,28
73,1.442294,593,1.442294,38
74,1.462314,562,1.462314,54
75,1.482333,569,1.482333,62
76,1.502353,573,1.502353,80
77,1.522373,545,1.522373,93
78,1.542392,555,1.542392,128
79,1.562412,528,1.562412,166
80,1.582432,524,1.582432,159
81,1.602452,555,1.602452,95
82,1.622471,522,1.622471,73
83,1.642491,504,1.642491,32
84,1.662511,479,1.662511,33
85,1.68253,483,1.68253,51
86,1.70255,477,1.70255,54
87,1.72257,466,1.72257,107
88,1.742589,528,1.742589,119
89,1.762609,521,1.762609,110
90,1.782629,524,1.782629,88
91,1.802649,524,1.802649,63
92,1.822668,522,1.822668,77
93,1.842688,543,1.842688,67
94,1.862708,467,1.862708,65
95,1.882727,538,1.882727,98
96,1.902747,534,1.902747,109
97,1.922767,564,1.922767,211
98,1.942786,568,1.942786,249
99,1.962806,565,1.962806,365
100,1.982826,528,1.982826,477
101,2.002846,533,2.002846,458
102,2.022865,518,2.022865,424
103,2.042885,490,2.042885,298
104,2.062905,485,2.062905,200
105,2.082924,488,2.082924,124
106,2.102944,450,2.102944,67
107,2.122964,454,2.122964,84
108,2.142983,510,2.142983,76
109,2.163003,478,2.163003,88
110,2.183023,493,2.183023,78
111,2.203043,465,2.203043,120
112,2.223062,479,2.223062,241
113,2.243082,444,2.243082,490
114,2.263102,491,2.263102,810
115,2.283121,503,2.283121,1305
116,2.303141,501,2.303141,1459
117,2.323161,473,2.323161,1314
118,2.34318,481,2.34318,980
119,2.3632,457,2.3632,629
120,2.38322,416,2.38322,366
121,2.40324,397,2.40324,243
122,2.423259,467,2.423259,226
123,2.443279,471,2.443279,201
124,2.463299,417,2.463299,232
125,2.483318,418,2.483318,209
126,2.503338,434,2.503338,174
127,2.523358,404,2.523358,191
128,2.543378,426,2.543378,179
129,2.563397,424,2.563397,213
130,2.583417,436,2.583417,332
131,2.603437,468,2.603437,591
132,2.623456,461,2.623456,1028
133,2.643476,438,2.643476,1644
134,2.663496,475,2.663496,2496
135,2.683516,433,2.683516,3070
136,2.703535,390,2.703535,3215
137,2.723555,356,2.723555,2807
138,2.743575,376,2.743575,1967
139,2.763594,418,2.763594,1421
140,2.783614,383,2.783614,1371
141,2.803634,373,2.803634,1530
142,2.823653,374,2.823653,1800
143,2.843673,406,2.843673,1783
144,2.863693,373,2.863693,1687
145,2.883713,433,2.883713,1535
146,2.903732,453,2.903732,1455
147,2.923752,472,2.923752,1594
148,2.943772,524,2.943772,1607
149,2.963791,491,2.963791,1621
150,2.983811,479,2.983811,1553
151,3.003831,448,3.003831,1087
152,3.02385,408,3.02385,859
153,3.04387,387,3.04387,541
154,3.06389,348,3.06389,379
155,3.08391,350,3.08391,308
156,3.103929,368,3.103929,263
157,3.123949,346,3.123949,355
158,3.143969,376,3.143969,341
159,3.163988,376,3.163988,419
160,3.184008,393,3.184008,537
161,3.204028,511,3.204028,820
162,3.224047,744,3.224047,1504
163,3.244067,1198,3.244067,3056
164,3.264087,1805,3.264087,5289
165,3.284106,2483,3.284106,7934
166,3.304126,2865,3.304126,9645
167,3.324146,2864,3.324146,9974
168,3.344166,2419,3.344166,8457
169,3.364185,1657,3.364185,5702
170,3.384205,1090,3.384205,3250
171,3.404225,673,3.404225,1636
