Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA028PA0317-00020-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 9:53:03 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.478
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 1
UserCustomField,ID, 1
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5262746,0.5262746,0.2106745,0,0,False,False
13,Al,PercentWeight,0,0,0.02488768,0,0,False,False
14,Si,PercentWeight,0.2423881,0.2423881,0.01383777,0,0,False,False
15,P,PercentWeight,0.1912549,0.1387549,0.005758448,0,0,False,False
16,S,PercentWeight,0.2848363,0.2433363,0.0039871,0,0,False,False
17,Cl,PercentWeight,0.007880871,0.007880871,0.01189375,0,0,False,False
19,K,PercentWeight,1.038417,0.9509175,0.004586916,0,0,False,False
20,Ca,PercentWeight,1.028247,1.028247,0.003406129,0,0,False,False
22,Ti,PercentWeight,0.0010562,0.0010562,0.0002115988,0,0,False,False
23,V,PercentWeight,0,0,3.109885E-05,0,0,False,False
24,Cr,PercentWeight,0.002211284,0.002211284,0.0002026258,0,0,False,False
25,Mn,PercentWeight,0.0188825,0.0188825,0.0005118613,0,0,False,False
26,Fe,PercentWeight,0.01668575,0.01668575,0.0005669387,0,0,False,False
28,Ni,PercentWeight,0,0,7.760638E-05,0,0,False,False
29,Cu,PercentWeight,0.005291658,0.005291658,0.0001091619,0,0,False,False
30,Zn,PercentWeight,0.002594847,0.002594847,9.976015E-05,0,0,False,False
33,As,PercentWeight,6.82048E-05,6.82048E-05,8.974173E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.352894E-05,0,0,False,False
35,Br,PercentWeight,0.0005825405,0.0005825405,0.0001050489,0,0,False,False
37,Rb,PercentWeight,0.001110056,0.001110056,0.0001346703,0,0,False,False
38,Sr,PercentWeight,0.01554834,0.01554834,0.0001618476,0,0,False,False
42,Mo,PercentWeight,0,0,6.34128E-05,0,0,False,False
48,Cd,PercentWeight,0.0006266153,0.0006266153,0.0002072688,0,0,False,False
56,Ba,PercentWeight,0,0,0.003450806,0,0,False,False
80,Hg,PercentWeight,0,0,8.929976E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.000282906,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1734358,,427929,
ValidCounts,1514589,,387409,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008580677,,0.0008580677,
ZeroOffsetInKeV,-0.0008580677,,-0.0008580677,
StartingChannel,0.04286116,,0.04286116,
NumberOfChannels,2048,,2048,
CountsPerSecond,40792.11,,46983.86,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 9:53:03 AM,,02/08/2023 9:53:03 AM,
LiveTimeInSeconds,38.338,,8.140001,
DeadTimeInSeconds,4.179001,,0.9680001,
ResetTimeInSeconds,4.314999,,0.26,
DetectorTempInC,-27,,-27,
AmbientTempInF,91.3,,91.3,
NosePressureInMilliBars,788.6125,,788.6125,
NoseTemperatureInC,29,,29,
ActiveTimeInSeconds,42.517,,9.108001,
PacketTimeInSeconds,46.832,,9.368001,
CommunicationTimeInSeconds,3.167999,,0.631999,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008580677,0,0.0008580677,0
2,0.02087777,0,0.02087777,0
3,0.04089747,0,0.04089747,0
4,0.06091717,0,0.06091717,0
5,0.08093687,0,0.08093687,0
6,0.1009566,0,0.1009566,0
7,0.1209763,0,0.1209763,0
8,0.140996,0,0.140996,0
9,0.1610157,0,0.1610157,0
10,0.1810354,0,0.1810354,0
11,0.2010551,0,0.2010551,0
12,0.2210748,0,0.2210748,0
13,0.2410945,0,0.2410945,0
14,0.2611142,0,0.2611142,0
15,0.2811339,0,0.2811339,0
16,0.3011536,7,0.3011536,0
17,0.3211733,132,0.3211733,23
18,0.341193,1260,0.341193,239
19,0.3612127,5830,0.3612127,1234
20,0.3812324,12621,0.3812324,2625
21,0.4012521,11692,0.4012521,2601
22,0.4212718,5306,0.4212718,1153
23,0.4412915,1108,0.4412915,252
24,0.4613112,125,0.4613112,20
25,0.4813309,7,0.4813309,0
26,0.5013506,3,0.5013506,0
27,0.5213703,4,0.5213703,0
28,0.54139,7,0.54139,0
29,0.5614097,5,0.5614097,0
30,0.5814294,2,0.5814294,0
31,0.6014491,2,0.6014491,0
32,0.6214688,2,0.6214688,0
33,0.6414885,2,0.6414885,0
34,0.6615082,2,0.6615082,0
35,0.6815279,702,0.6815279,11
36,0.7015476,703,0.7015476,20
37,0.7215673,706,0.7215673,16
38,0.741587,724,0.741587,17
39,0.7616067,660,0.7616067,21
40,0.7816264,696,0.7816264,11
41,0.8016461,685,0.8016461,9
42,0.8216658,676,0.8216658,15
43,0.8416855,688,0.8416855,16
44,0.8617052,692,0.8617052,17
45,0.8817249,658,0.8817249,16
46,0.9017446,654,0.9017446,30
47,0.9217643,663,0.9217643,61
48,0.941784,641,0.941784,79
49,0.9618037,635,0.9618037,46
50,0.9818234,664,0.9818234,54
51,1.001843,632,1.001843,27
52,1.021863,600,1.021863,24
53,1.041883,672,1.041883,32
54,1.061902,658,1.061902,35
55,1.081922,559,1.081922,54
56,1.101942,588,1.101942,33
57,1.121961,607,1.121961,35
58,1.141981,614,1.141981,39
59,1.162001,614,1.162001,36
60,1.18202,607,1.18202,37
61,1.20204,603,1.20204,32
62,1.22206,599,1.22206,43
63,1.242079,590,1.242079,50
64,1.262099,608,1.262099,45
65,1.282119,556,1.282119,45
66,1.302139,582,1.302139,25
67,1.322158,570,1.322158,26
68,1.342178,568,1.342178,18
69,1.362198,534,1.362198,25
70,1.382217,567,1.382217,17
71,1.402237,570,1.402237,22
72,1.422257,544,1.422257,30
73,1.442277,557,1.442277,29
74,1.462296,527,1.462296,51
75,1.482316,542,1.482316,61
76,1.502336,550,1.502336,70
77,1.522355,558,1.522355,105
78,1.542375,517,1.542375,140
79,1.562395,531,1.562395,190
80,1.582414,578,1.582414,132
81,1.602434,504,1.602434,114
82,1.622454,499,1.622454,56
83,1.642474,555,1.642474,45
84,1.662493,469,1.662493,41
85,1.682513,469,1.682513,89
86,1.702533,486,1.702533,159
87,1.722552,465,1.722552,222
88,1.742572,504,1.742572,215
89,1.762592,482,1.762592,215
90,1.782611,496,1.782611,148
91,1.802631,487,1.802631,98
92,1.822651,486,1.822651,85
93,1.842671,518,1.842671,66
94,1.86269,509,1.86269,77
95,1.88271,467,1.88271,98
96,1.90273,534,1.90273,136
97,1.922749,523,1.922749,198
98,1.942769,551,1.942769,290
99,1.962789,540,1.962789,408
100,1.982808,498,1.982808,546
101,2.002828,510,2.002828,528
102,2.022848,515,2.022848,542
103,2.042868,521,2.042868,386
104,2.062887,550,2.062887,216
105,2.082907,444,2.082907,133
106,2.102927,415,2.102927,108
107,2.122946,434,2.122946,78
108,2.142966,432,2.142966,86
109,2.162986,466,2.162986,98
110,2.183006,420,2.183006,84
111,2.203025,429,2.203025,124
112,2.223045,435,2.223045,265
113,2.243065,441,2.243065,539
114,2.263084,488,2.263084,989
115,2.283104,497,2.283104,1493
116,2.303124,454,2.303124,1626
117,2.323143,490,2.323143,1538
118,2.343163,465,2.343163,1124
119,2.363183,421,2.363183,743
120,2.383203,393,2.383203,406
121,2.403222,409,2.403222,246
122,2.423242,394,2.423242,255
123,2.443262,383,2.443262,221
124,2.463281,387,2.463281,262
125,2.483301,432,2.483301,232
126,2.503321,391,2.503321,241
127,2.52334,402,2.52334,207
128,2.54336,401,2.54336,164
129,2.56338,421,2.56338,250
130,2.5834,439,2.5834,333
131,2.603419,450,2.603419,496
132,2.623439,435,2.623439,994
133,2.643459,443,2.643459,1596
134,2.663478,425,2.663478,2414
135,2.683498,420,2.683498,3005
136,2.703518,393,2.703518,3157
137,2.723537,377,2.723537,2698
138,2.743557,357,2.743557,1938
139,2.763577,348,2.763577,1456
140,2.783597,385,2.783597,1295
141,2.803616,385,2.803616,1495
142,2.823636,368,2.823636,1789
143,2.843656,381,2.843656,1938
144,2.863675,396,2.863675,1661
145,2.883695,372,2.883695,1475
146,2.903715,392,2.903715,1468
147,2.923734,465,2.923734,1520
148,2.943754,457,2.943754,1594
149,2.963774,510,2.963774,1605
150,2.983793,484,2.983793,1431
151,3.003813,384,3.003813,1088
152,3.023833,380,3.023833,752
153,3.043853,317,3.043853,537
154,3.063872,347,3.063872,373
155,3.083892,310,3.083892,305
156,3.103912,352,3.103912,308
157,3.123931,351,3.123931,307
158,3.143951,319,3.143951,360
159,3.163971,397,3.163971,420
160,3.18399,393,3.18399,539
161,3.20401,523,3.20401,797
162,3.22403,767,3.22403,1636
163,3.24405,1198,3.24405,3083
164,3.264069,1833,3.264069,5445
165,3.284089,2496,3.284089,8310
166,3.304109,2937,3.304109,10247
167,3.324128,2994,3.324128,10225
168,3.344148,2406,3.344148,8792
169,3.364168,1682,3.364168,5846
170,3.384187,1096,3.384187,3317
171,3.404207,688,3.404207,1693
172,3.424227,467,3.424227,812
