Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA028PA0332-00028-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:11:16 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.18399
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 9
UserCustomField,ID, 9
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.8032131,0.8032131,0.2252496,0,0,False,False
13,Al,PercentWeight,0.02427496,0.02427496,0.02645535,0,0,False,False
14,Si,PercentWeight,0.180497,0.180497,0.0129607,0,0,False,False
15,P,PercentWeight,0.1371057,0.08460574,0.005334736,0,0,False,False
16,S,PercentWeight,0.2391157,0.1976157,0.00377651,0,0,False,False
17,Cl,PercentWeight,0.01403058,0.01403058,0.01239369,0,0,False,False
19,K,PercentWeight,0.898203,0.810703,0.00430525,0,0,False,False
20,Ca,PercentWeight,1.721316,1.721316,0.004229877,0,0,False,False
22,Ti,PercentWeight,0.001727595,0.001727595,0.000229197,0,0,False,False
23,V,PercentWeight,6.123455E-05,6.123455E-05,3.301031E-05,0,0,False,False
24,Cr,PercentWeight,0.001620092,0.001620092,0.0002057149,0,0,False,False
25,Mn,PercentWeight,0.09347763,0.09347763,0.0009078998,0,0,False,False
26,Fe,PercentWeight,0.04203026,0.04203026,0.0007112788,0,0,False,False
28,Ni,PercentWeight,0,0,8.426058E-05,0,0,False,False
29,Cu,PercentWeight,0.008604655,0.008604655,0.0001246589,0,0,False,False
30,Zn,PercentWeight,0.002107,0.002107,9.136312E-05,0,0,False,False
33,As,PercentWeight,0,0,8.281522E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.641965E-05,0,0,False,False
35,Br,PercentWeight,0.001096571,0.001096571,0.0001004677,0,0,False,False
37,Rb,PercentWeight,0.001168983,0.001168983,0.0001296662,0,0,False,False
38,Sr,PercentWeight,0.03510939,0.03510939,0.0001894492,0,0,False,False
42,Mo,PercentWeight,0,0,6.845711E-05,0,0,False,False
48,Cd,PercentWeight,0.0008141344,0.0008141344,0.0002212383,0,0,False,False
56,Ba,PercentWeight,0.008138187,0.008138187,0.003330992,0,0,False,False
80,Hg,PercentWeight,0,0,9.368558E-06,0,0,False,False
82,Pb,PercentWeight,7.870647E-05,7.870647E-05,0.0002668357,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1980403,,489284,
ValidCounts,1706940,,437006,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007443956,,0.0007443956,
ZeroOffsetInKeV,-0.0007443956,,-0.0007443956,
StartingChannel,0.03718315,,0.03718315,
NumberOfChannels,2048,,2048,
CountsPerSecond,47183.9,,53998.89,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:11:16 AM,,02/08/2023 11:11:16 AM,
LiveTimeInSeconds,37.22599,,7.958,
DeadTimeInSeconds,4.746,,1.103,
ResetTimeInSeconds,4.893002,,0.293,
DetectorTempInC,-27,,-27,
AmbientTempInF,94,,94,
NosePressureInMilliBars,789.6954,,789.6954,
NoseTemperatureInC,31,,31,
ActiveTimeInSeconds,41.97201,,9.061001,
PacketTimeInSeconds,46.86501,,9.354001,
CommunicationTimeInSeconds,3.134991,,0.645999,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007443956,0,0.0007443956,0
2,0.0207641,0,0.0207641,0
3,0.0407838,0,0.0407838,0
4,0.0608035,0,0.0608035,0
5,0.0808232,0,0.0808232,0
6,0.1008429,0,0.1008429,0
7,0.1208626,0,0.1208626,0
8,0.1408823,0,0.1408823,0
9,0.160902,0,0.160902,0
10,0.1809217,0,0.1809217,0
11,0.2009414,0,0.2009414,0
12,0.2209611,0,0.2209611,0
13,0.2409808,0,0.2409808,0
14,0.2610005,0,0.2610005,0
15,0.2810202,1,0.2810202,0
16,0.3010399,1,0.3010399,2
17,0.3210596,135,0.3210596,23
18,0.3410793,1172,0.3410793,262
19,0.361099,5609,0.361099,1193
20,0.3811187,12137,0.3811187,2609
21,0.4011384,11519,0.4011384,2493
22,0.4211581,5077,0.4211581,1096
23,0.4411778,1076,0.4411778,222
24,0.4611975,126,0.4611975,29
25,0.4812172,18,0.4812172,3
26,0.5012369,4,0.5012369,0
27,0.5212566,5,0.5212566,1
28,0.5412763,2,0.5412763,0
29,0.561296,0,0.561296,0
30,0.5813157,4,0.5813157,0
31,0.6013354,4,0.6013354,0
32,0.6213551,3,0.6213551,0
33,0.6413748,2,0.6413748,0
34,0.6613945,1,0.6613945,0
35,0.6814142,759,0.6814142,14
36,0.701434,792,0.701434,18
37,0.7214536,754,0.7214536,10
38,0.7414733,788,0.7414733,16
39,0.761493,743,0.761493,20
40,0.7815127,760,0.7815127,22
41,0.8015324,788,0.8015324,24
42,0.8215522,761,0.8215522,16
43,0.8415719,741,0.8415719,20
44,0.8615915,726,0.8615915,21
45,0.8816112,683,0.8816112,32
46,0.9016309,739,0.9016309,41
47,0.9216506,719,0.9216506,60
48,0.9416704,730,0.9416704,73
49,0.9616901,760,0.9616901,69
50,0.9817097,711,0.9817097,57
51,1.001729,674,1.001729,28
52,1.021749,670,1.021749,28
53,1.041769,719,1.041769,34
54,1.061789,658,1.061789,39
55,1.081808,693,1.081808,52
56,1.101828,632,1.101828,44
57,1.121848,650,1.121848,26
58,1.141867,657,1.141867,29
59,1.161887,703,1.161887,40
60,1.181907,660,1.181907,29
61,1.201926,653,1.201926,59
62,1.221946,643,1.221946,47
63,1.241966,625,1.241966,57
64,1.261986,594,1.261986,49
65,1.282005,629,1.282005,38
66,1.302025,615,1.302025,29
67,1.322045,603,1.322045,23
68,1.342064,588,1.342064,19
69,1.362084,621,1.362084,17
70,1.382104,592,1.382104,21
71,1.402123,548,1.402123,28
72,1.422143,581,1.422143,29
73,1.442163,526,1.442163,42
74,1.462183,580,1.462183,60
75,1.482202,644,1.482202,74
76,1.502222,610,1.502222,64
77,1.522242,571,1.522242,88
78,1.542261,559,1.542261,110
79,1.562281,535,1.562281,126
80,1.582301,538,1.582301,123
81,1.60232,532,1.60232,82
82,1.62234,529,1.62234,64
83,1.64236,492,1.64236,33
84,1.66238,561,1.66238,40
85,1.682399,564,1.682399,74
86,1.702419,509,1.702419,130
87,1.722439,458,1.722439,162
88,1.742458,515,1.742458,189
89,1.762478,497,1.762478,164
90,1.782498,572,1.782498,126
91,1.802518,495,1.802518,91
92,1.822537,555,1.822537,83
93,1.842557,577,1.842557,93
94,1.862577,521,1.862577,89
95,1.882596,550,1.882596,111
96,1.902616,537,1.902616,174
97,1.922636,607,1.922636,253
98,1.942655,587,1.942655,325
99,1.962675,545,1.962675,358
100,1.982695,539,1.982695,400
101,2.002714,539,2.002714,470
102,2.022734,516,2.022734,399
103,2.042754,522,2.042754,284
104,2.062774,535,2.062774,192
105,2.082793,504,2.082793,127
106,2.102813,534,2.102813,81
107,2.122833,504,2.122833,91
108,2.142852,485,2.142852,74
109,2.162872,522,2.162872,64
110,2.182892,485,2.182892,100
111,2.202912,482,2.202912,114
112,2.222931,465,2.222931,246
113,2.242951,475,2.242951,488
114,2.262971,485,2.262971,843
115,2.28299,495,2.28299,1189
116,2.30301,513,2.30301,1358
117,2.32303,454,2.32303,1315
118,2.34305,528,2.34305,981
119,2.363069,493,2.363069,638
120,2.383089,427,2.383089,380
121,2.403109,445,2.403109,249
122,2.423128,415,2.423128,209
123,2.443148,444,2.443148,226
124,2.463168,423,2.463168,191
125,2.483187,417,2.483187,223
126,2.503207,409,2.503207,204
127,2.523227,438,2.523227,183
128,2.543247,437,2.543247,206
129,2.563266,439,2.563266,230
130,2.583286,441,2.583286,319
131,2.603306,447,2.603306,548
132,2.623325,483,2.623325,1095
133,2.643345,480,2.643345,1691
134,2.663365,412,2.663365,2547
135,2.683384,439,2.683384,3172
136,2.703404,423,2.703404,3230
137,2.723424,388,2.723424,2746
138,2.743443,374,2.743443,2075
139,2.763463,359,2.763463,1489
140,2.783483,429,2.783483,1441
141,2.803503,413,2.803503,1673
142,2.823522,370,2.823522,1815
143,2.843542,368,2.843542,1976
144,2.863562,388,2.863562,1750
145,2.883581,371,2.883581,1526
146,2.903601,438,2.903601,1383
147,2.923621,479,2.923621,1497
148,2.94364,506,2.94364,1687
149,2.96366,496,2.96366,1592
150,2.98368,475,2.98368,1508
151,3.0037,383,3.0037,1165
152,3.023719,375,3.023719,801
153,3.043739,352,3.043739,556
154,3.063759,379,3.063759,393
155,3.083778,333,3.083778,302
156,3.103798,351,3.103798,296
157,3.123818,365,3.123818,343
158,3.143837,373,3.143837,384
159,3.163857,364,3.163857,456
160,3.183877,445,3.183877,525
161,3.203897,546,3.203897,750
162,3.223916,719,3.223916,1366
163,3.243936,1096,3.243936,2544
164,3.263956,1652,3.263956,4411
165,3.283975,2171,3.283975,6788
166,3.303995,2627,3.303995,8473
167,3.324015,2475,3.324015,8525
168,3.344034,2058,3.344034,6907
169,3.364054,1470,3.364054,4951
170,3.384074,937,3.384074,2898
171,3.404094,703,3.404094,1429
