Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA170PA0506-00066-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:14:41 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.59
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,47
UserCustomField,ID,47
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.6081812,0.6081812,0.1989786,0,0,False,False
13,Al,PercentWeight,0.005848894,0.005848894,0.02398331,0,0,False,False
14,Si,PercentWeight,0.1154702,0.1154702,0.01159727,0,0,False,False
15,P,PercentWeight,0.1396991,0.08719911,0.005212445,0,0,False,False
16,S,PercentWeight,0.2520779,0.2105779,0.00383601,0,0,False,False
17,Cl,PercentWeight,0.08029681,0.08029681,0.01313223,0,0,False,False
19,K,PercentWeight,0.756855,0.669355,0.00385182,0,0,False,False
20,Ca,PercentWeight,1.187911,1.187911,0.003620668,0,0,False,False
22,Ti,PercentWeight,0.000981806,0.000981806,0.000222112,0,0,False,False
23,V,PercentWeight,0,0,3.29428E-05,0,0,False,False
24,Cr,PercentWeight,0.002461546,0.002461546,0.0002122953,0,0,False,False
25,Mn,PercentWeight,0.08585579,0.08585579,0.0008304481,0,0,False,False
26,Fe,PercentWeight,0.02365202,0.02365202,0.0006104847,0,0,False,False
28,Ni,PercentWeight,0,0,8.135035E-05,0,0,False,False
29,Cu,PercentWeight,0.003762129,0.003762129,8.981451E-05,0,0,False,False
30,Zn,PercentWeight,0.002658748,0.002658748,9.012791E-05,0,0,False,False
33,As,PercentWeight,0,0,8.270059E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.782639E-05,0,0,False,False
35,Br,PercentWeight,0.0007693056,0.0007693056,9.698668E-05,0,0,False,False
37,Rb,PercentWeight,0.0003950183,0.0003950183,0.000121863,0,0,False,False
38,Sr,PercentWeight,0.003327433,0.003327433,0.0001241735,0,0,False,False
42,Mo,PercentWeight,0.0001004336,0.0001004336,6.831372E-05,0,0,False,False
48,Cd,PercentWeight,0.0003282001,0.0003282001,0.0002228217,0,0,False,False
56,Ba,PercentWeight,0,0,0.003135929,0,0,False,False
80,Hg,PercentWeight,0,0,9.350277E-06,0,0,False,False
82,Pb,PercentWeight,0.0004007089,0.0004007089,0.000260482,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1907245,,454360,
ValidCounts,1647890,,408918,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008652264,,0.0008652264,
ZeroOffsetInKeV,-0.0008652264,,-0.0008652264,
StartingChannel,0.04321875,,0.04321875,
NumberOfChannels,2048,,2048,
CountsPerSecond,45287.66,,49990.09,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:14:41 AM,,03/08/2023 11:14:41 AM,
LiveTimeInSeconds,37.53,,8.060001,
DeadTimeInSeconds,4.584001,,1.029,
ResetTimeInSeconds,4.791,,0.289,
DetectorTempInC,-27,,-27,
AmbientTempInF,94.5,,94.5,
NosePressureInMilliBars,788.7883,,788.7883,
NoseTemperatureInC,31,,31,
ActiveTimeInSeconds,42.11401,,9.089001,
PacketTimeInSeconds,46.90501,,9.378,
CommunicationTimeInSeconds,3.094994,,0.6219997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008652264,0,0.0008652264,0
2,0.02088493,0,0.02088493,0
3,0.04090463,0,0.04090463,0
4,0.06092433,0,0.06092433,0
5,0.08094403,0,0.08094403,0
6,0.1009637,0,0.1009637,0
7,0.1209834,0,0.1209834,0
8,0.1410031,0,0.1410031,0
9,0.1610228,0,0.1610228,0
10,0.1810425,0,0.1810425,0
11,0.2010622,0,0.2010622,0
12,0.2210819,0,0.2210819,0
13,0.2411016,0,0.2411016,0
14,0.2611213,0,0.2611213,0
15,0.281141,0,0.281141,0
16,0.3011608,11,0.3011608,4
17,0.3211804,124,0.3211804,22
18,0.3412001,1229,0.3412001,251
19,0.3612199,5750,0.3612199,1168
20,0.3812395,12047,0.3812395,2606
21,0.4012592,11616,0.4012592,2537
22,0.421279,5090,0.421279,1131
23,0.4412986,1066,0.4412986,246
24,0.4613183,116,0.4613183,27
25,0.4813381,12,0.4813381,2
26,0.5013577,5,0.5013577,0
27,0.5213774,3,0.5213774,0
28,0.5413972,3,0.5413972,0
29,0.5614169,1,0.5614169,0
30,0.5814366,4,0.5814366,0
31,0.6014563,4,0.6014563,0
32,0.6214759,3,0.6214759,0
33,0.6414956,2,0.6414956,0
34,0.6615154,2,0.6615154,0
35,0.6815351,787,0.6815351,16
36,0.7015548,763,0.7015548,10
37,0.7215745,773,0.7215745,17
38,0.7415941,739,0.7415941,11
39,0.7616138,760,0.7616138,10
40,0.7816336,714,0.7816336,16
41,0.8016533,761,0.8016533,14
42,0.821673,734,0.821673,12
43,0.8416927,751,0.8416927,28
44,0.8617124,707,0.8617124,24
45,0.881732,719,0.881732,48
46,0.9017518,741,0.9017518,45
47,0.9217715,704,0.9217715,52
48,0.9417912,714,0.9417912,62
49,0.9618109,724,0.9618109,71
50,0.9818306,689,0.9818306,45
51,1.00185,734,1.00185,28
52,1.02187,724,1.02187,23
53,1.04189,669,1.04189,35
54,1.061909,712,1.061909,40
55,1.081929,679,1.081929,42
56,1.101949,703,1.101949,36
57,1.121969,658,1.121969,41
58,1.141988,684,1.141988,48
59,1.162008,663,1.162008,32
60,1.182028,628,1.182028,44
61,1.202047,635,1.202047,43
62,1.222067,637,1.222067,47
63,1.242087,587,1.242087,39
64,1.262106,568,1.262106,44
65,1.282126,610,1.282126,26
66,1.302146,615,1.302146,17
67,1.322165,602,1.322165,12
68,1.342185,558,1.342185,17
69,1.362205,620,1.362205,17
70,1.382225,536,1.382225,20
71,1.402244,551,1.402244,19
72,1.422264,590,1.422264,25
73,1.442284,508,1.442284,35
74,1.462303,586,1.462303,42
75,1.482323,601,1.482323,61
76,1.502343,542,1.502343,67
77,1.522362,588,1.522362,80
78,1.542382,583,1.542382,116
79,1.562402,616,1.562402,127
80,1.582422,525,1.582422,100
81,1.602441,546,1.602441,79
82,1.622461,515,1.622461,35
83,1.642481,529,1.642481,27
84,1.6625,538,1.6625,41
85,1.68252,488,1.68252,68
86,1.70254,512,1.70254,85
87,1.72256,520,1.72256,146
88,1.742579,525,1.742579,134
89,1.762599,527,1.762599,120
90,1.782619,519,1.782619,106
91,1.802638,488,1.802638,57
92,1.822658,512,1.822658,55
93,1.842678,572,1.842678,64
94,1.862697,533,1.862697,77
95,1.882717,549,1.882717,93
96,1.902737,575,1.902737,110
97,1.922757,576,1.922757,223
98,1.942776,514,1.942776,281
99,1.962796,547,1.962796,348
100,1.982816,583,1.982816,383
101,2.002835,505,2.002835,425
102,2.022855,509,2.022855,414
103,2.042875,512,2.042875,294
104,2.062894,512,2.062894,210
105,2.082914,515,2.082914,106
106,2.102934,518,2.102934,87
107,2.122953,494,2.122953,83
108,2.142973,501,2.142973,78
109,2.162993,468,2.162993,64
110,2.183013,481,2.183013,92
111,2.203032,441,2.203032,129
112,2.223052,485,2.223052,221
113,2.243072,483,2.243072,473
114,2.263091,492,2.263091,852
115,2.283111,508,2.283111,1295
116,2.303131,534,2.303131,1543
117,2.323151,526,2.323151,1445
118,2.34317,509,2.34317,1030
119,2.36319,479,2.36319,648
120,2.38321,455,2.38321,362
121,2.403229,413,2.403229,250
122,2.423249,477,2.423249,226
123,2.443269,418,2.443269,207
124,2.463289,433,2.463289,230
125,2.483308,424,2.483308,238
126,2.503328,472,2.503328,197
127,2.523348,397,2.523348,207
128,2.543367,437,2.543367,204
129,2.563387,440,2.563387,391
130,2.583407,473,2.583407,638
131,2.603426,481,2.603426,945
132,2.623446,453,2.623446,1396
133,2.643466,499,2.643466,2086
134,2.663486,432,2.663486,2764
135,2.683505,453,2.683505,3290
136,2.703525,436,2.703525,3326
137,2.723545,390,2.723545,2827
138,2.743564,357,2.743564,2020
139,2.763584,409,2.763584,1561
140,2.783604,398,2.783604,1408
141,2.803623,430,2.803623,1559
142,2.823643,418,2.823643,1856
143,2.843663,425,2.843663,1986
144,2.863683,424,2.863683,1825
145,2.883702,407,2.883702,1555
146,2.903722,452,2.903722,1475
147,2.923742,444,2.923742,1482
148,2.943761,480,2.943761,1634
149,2.963781,519,2.963781,1639
150,2.983801,495,2.983801,1478
151,3.00382,469,3.00382,1090
152,3.02384,386,3.02384,780
153,3.04386,387,3.04386,562
154,3.063879,370,3.063879,417
155,3.083899,351,3.083899,300
156,3.103919,343,3.103919,363
157,3.123939,349,3.123939,356
158,3.143958,365,3.143958,368
159,3.163978,384,3.163978,382
160,3.183998,395,3.183998,527
161,3.204017,499,3.204017,646
162,3.224037,670,3.224037,1146
163,3.244057,953,3.244057,2190
164,3.264076,1369,3.264076,3855
165,3.284096,1993,3.284096,5579
166,3.304116,2163,3.304116,6978
167,3.324136,2048,3.324136,7033
168,3.344155,1778,3.344155,5888
169,3.364175,1368,3.364175,4193
170,3.384195,901,3.384195,2389
171,3.404214,599,3.404214,1234
