Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA170PA0635-00039-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 12:21:07 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,47.61401
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 20
UserCustomField,ID, 20
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.1252286,0.1252286,0.1614601,0,0,False,False
13,Al,PercentWeight,0.03730204,0.03730204,0.02113622,0,0,False,False
14,Si,PercentWeight,0.07935037,0.07935037,0.009358217,0,0,False,False
15,P,PercentWeight,0.07893305,0.02643305,0.003916971,0,0,False,False
16,S,PercentWeight,0.1248283,0.08332829,0.002862657,0,0,False,False
17,Cl,PercentWeight,0.004462905,0.004462905,0.01131659,0,0,False,False
19,K,PercentWeight,0.4840273,0.3965273,0.003127323,0,0,False,False
20,Ca,PercentWeight,0.159266,0.159266,0.001525956,0,0,False,False
22,Ti,PercentWeight,0.0003477618,0.0003477618,0.0002009967,0,0,False,False
23,V,PercentWeight,0,0,3.080066E-05,0,0,False,False
24,Cr,PercentWeight,0.002483009,0.002483009,0.000200526,0,0,False,False
25,Mn,PercentWeight,0.05189425,0.05189425,0.0007267664,0,0,False,False
26,Fe,PercentWeight,0.03744163,0.03744163,0.0007453284,0,0,False,False
28,Ni,PercentWeight,0,0,7.392933E-05,0,0,False,False
29,Cu,PercentWeight,0.001425212,0.001425212,7.895158E-05,0,0,False,False
30,Zn,PercentWeight,0.00184507,0.00184507,9.165406E-05,0,0,False,False
33,As,PercentWeight,0,0,9.93065E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.171021E-05,0,0,False,False
35,Br,PercentWeight,0.001515365,0.001515365,0.0001166741,0,0,False,False
37,Rb,PercentWeight,0.0009725845,0.0009725845,0.0001443101,0,0,False,False
38,Sr,PercentWeight,0.0002796603,0.0002796603,0.000136005,0,0,False,False
42,Mo,PercentWeight,5.029323E-05,5.029323E-05,5.934359E-05,0,0,False,False
48,Cd,PercentWeight,0.0005676885,0.0005676885,0.0001958681,0,0,False,False
56,Ba,PercentWeight,0.002803651,0.002803651,0.003734243,0,0,False,False
80,Hg,PercentWeight,0,0,8.726974E-06,0,0,False,False
82,Pb,PercentWeight,0.0003746885,0.0003746885,0.0003052702,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1555152,,307494,
ValidCounts,1369881,,285844,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000681838,,0.000681838,
ZeroOffsetInKeV,-0.000681838,,-0.000681838,
StartingChannel,0.03405835,,0.03405835,
NumberOfChannels,2048,,2048,
CountsPerSecond,36221.07,,33613.25,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 12:21:07 PM,,02/08/2023 12:21:07 PM,
LiveTimeInSeconds,39.17001,,8.443999,
DeadTimeInSeconds,3.765001,,0.704,
ResetTimeInSeconds,3.908,,0.21,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.9,,96.9,
NosePressureInMilliBars,788.5818,,788.5818,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.93501,,9.148001,
PacketTimeInSeconds,46.84301,,9.358001,
CommunicationTimeInSeconds,3.15699,,0.6419992,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000681838,0,0.000681838,0
2,0.02070154,0,0.02070154,0
3,0.04072124,0,0.04072124,0
4,0.06074094,0,0.06074094,0
5,0.08076064,0,0.08076064,0
6,0.1007803,0,0.1007803,0
7,0.1208,0,0.1208,0
8,0.1408197,0,0.1408197,0
9,0.1608395,0,0.1608395,0
10,0.1808591,0,0.1808591,0
11,0.2008788,0,0.2008788,0
12,0.2208986,0,0.2208986,0
13,0.2409182,0,0.2409182,0
14,0.260938,0,0.260938,0
15,0.2809576,0,0.2809576,0
16,0.3009773,1,0.3009773,3
17,0.3209971,111,0.3209971,29
18,0.3410168,1185,0.3410168,279
19,0.3610364,5945,0.3610364,1273
20,0.3810562,12798,0.3810562,2679
21,0.4010759,12260,0.4010759,2714
22,0.4210956,5367,0.4210956,1152
23,0.4411153,1127,0.4411153,224
24,0.461135,124,0.461135,20
25,0.4811547,12,0.4811547,2
26,0.5011744,5,0.5011744,0
27,0.521194,3,0.521194,0
28,0.5412138,3,0.5412138,0
29,0.5612335,6,0.5612335,0
30,0.5812532,4,0.5812532,0
31,0.6012729,2,0.6012729,1
32,0.6212926,4,0.6212926,0
33,0.6413122,3,0.6413122,0
34,0.661332,0,0.661332,0
35,0.6813517,664,0.6813517,15
36,0.7013714,726,0.7013714,12
37,0.7213911,675,0.7213911,17
38,0.7414108,637,0.7414108,11
39,0.7614305,671,0.7614305,17
40,0.7814502,596,0.7814502,10
41,0.8014699,647,0.8014699,13
42,0.8214896,607,0.8214896,12
43,0.8415093,648,0.8415093,11
44,0.861529,687,0.861529,12
45,0.8815487,614,0.8815487,20
46,0.9015684,570,0.9015684,28
47,0.9215881,616,0.9215881,49
48,0.9416078,621,0.9416078,63
49,0.9616275,616,0.9616275,65
50,0.9816472,587,0.9816472,46
51,1.001667,606,1.001667,30
52,1.021687,624,1.021687,15
53,1.041706,567,1.041706,26
54,1.061726,579,1.061726,34
55,1.081746,617,1.081746,25
56,1.101765,650,1.101765,36
57,1.121785,560,1.121785,26
58,1.141805,627,1.141805,29
59,1.161824,558,1.161824,20
60,1.181844,574,1.181844,24
61,1.201864,571,1.201864,45
62,1.221884,563,1.221884,42
63,1.241903,583,1.241903,23
64,1.261923,543,1.261923,25
65,1.281943,549,1.281943,20
66,1.301962,537,1.301962,8
67,1.321982,519,1.321982,13
68,1.342002,577,1.342002,11
69,1.362022,480,1.362022,14
70,1.382041,545,1.382041,15
71,1.402061,492,1.402061,18
72,1.422081,521,1.422081,22
73,1.4421,494,1.4421,38
74,1.46212,546,1.46212,46
75,1.48214,500,1.48214,49
76,1.502159,535,1.502159,54
77,1.522179,526,1.522179,62
78,1.542199,489,1.542199,87
79,1.562219,505,1.562219,104
80,1.582238,532,1.582238,84
81,1.602258,452,1.602258,75
82,1.622278,494,1.622278,41
83,1.642297,464,1.642297,32
84,1.662317,498,1.662317,33
85,1.682337,431,1.682337,34
86,1.702356,454,1.702356,71
87,1.722376,425,1.722376,114
88,1.742396,476,1.742396,103
89,1.762416,447,1.762416,85
90,1.782435,470,1.782435,65
91,1.802455,470,1.802455,50
92,1.822475,460,1.822475,43
93,1.842494,457,1.842494,38
94,1.862514,506,1.862514,23
95,1.882534,467,1.882534,43
96,1.902553,469,1.902553,50
97,1.922573,448,1.922573,72
98,1.942593,449,1.942593,89
99,1.962613,484,1.962613,157
100,1.982632,486,1.982632,223
101,2.002652,489,2.002652,252
102,2.022672,465,2.022672,221
103,2.042691,429,2.042691,204
104,2.062711,427,2.062711,135
105,2.082731,437,2.082731,77
106,2.102751,407,2.102751,62
107,2.12277,421,2.12277,70
108,2.14279,428,2.14279,55
109,2.16281,449,2.16281,59
110,2.182829,389,2.182829,77
111,2.202849,398,2.202849,109
112,2.222869,432,2.222869,137
113,2.242888,468,2.242888,292
114,2.262908,443,2.262908,490
115,2.282928,456,2.282928,722
116,2.302948,416,2.302948,863
117,2.322967,442,2.322967,827
118,2.342987,446,2.342987,636
119,2.363007,392,2.363007,408
120,2.383026,421,2.383026,268
121,2.403046,385,2.403046,191
122,2.423066,403,2.423066,160
123,2.443085,401,2.443085,167
124,2.463105,334,2.463105,156
125,2.483125,385,2.483125,168
126,2.503145,388,2.503145,167
127,2.523164,384,2.523164,150
128,2.543184,397,2.543184,173
129,2.563204,378,2.563204,215
130,2.583223,369,2.583223,310
131,2.603243,415,2.603243,524
132,2.623263,415,2.623263,912
133,2.643282,414,2.643282,1601
134,2.663302,396,2.663302,2419
135,2.683322,379,2.683322,3002
136,2.703341,379,2.703341,3143
137,2.723361,374,2.723361,2689
138,2.743381,360,2.743381,1951
139,2.763401,351,2.763401,1489
140,2.78342,340,2.78342,1289
141,2.80344,337,2.80344,1496
142,2.82346,351,2.82346,1720
143,2.843479,361,2.843479,1814
144,2.863499,346,2.863499,1585
145,2.883519,402,2.883519,1414
146,2.903538,405,2.903538,1411
147,2.923558,403,2.923558,1591
148,2.943578,485,2.943578,1786
149,2.963598,471,2.963598,1726
150,2.983617,431,2.983617,1582
151,3.003637,444,3.003637,1134
152,3.023657,355,3.023657,756
153,3.043676,315,3.043676,486
154,3.063696,323,3.063696,381
155,3.083716,341,3.083716,276
156,3.103735,330,3.103735,258
157,3.123755,342,3.123755,306
158,3.143775,337,3.143775,300
159,3.163795,343,3.163795,388
160,3.183814,349,3.183814,401
161,3.203834,447,3.203834,569
162,3.223854,594,3.223854,901
163,3.243873,806,3.243873,1731
164,3.263893,1214,3.263893,3059
165,3.283913,1518,3.283913,4404
166,3.303932,1790,3.303932,5414
167,3.323952,1743,3.323952,5453
168,3.343972,1403,3.343972,4589
169,3.363991,1077,3.363991,3186
170,3.384011,751,3.384011,1911
171,3.404031,463,3.404031,944
