Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA170PA0637-00040-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 12:33:46 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.097
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 21
UserCustomField,ID, 21
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.259482,0.259482,0.1835131,0,0,False,False
13,Al,PercentWeight,0.02273788,0.02273788,0.02311606,0,0,False,False
14,Si,PercentWeight,0.05975925,0.05975925,0.009845454,0,0,False,False
15,P,PercentWeight,0.1192796,0.06677957,0.004662684,0,0,False,False
16,S,PercentWeight,0.2229977,0.1814977,0.003588277,0,0,False,False
17,Cl,PercentWeight,0.000235038,0.000235038,0.01201074,0,0,False,False
19,K,PercentWeight,0.668977,0.581477,0.003648598,0,0,False,False
20,Ca,PercentWeight,0.3632809,0.3632809,0.002191283,0,0,False,False
22,Ti,PercentWeight,0.0008431026,0.0008431026,0.0002218236,0,0,False,False
23,V,PercentWeight,0,0,3.358187E-05,0,0,False,False
24,Cr,PercentWeight,0.002488059,0.002488059,0.0002173495,0,0,False,False
25,Mn,PercentWeight,0.06241735,0.06241735,0.0007178346,0,0,False,False
26,Fe,PercentWeight,0.03077992,0.03077992,0.0006574413,0,0,False,False
28,Ni,PercentWeight,0,0,8.081163E-05,0,0,False,False
29,Cu,PercentWeight,0.001012259,0.001012259,6.9751E-05,0,0,False,False
30,Zn,PercentWeight,0.001929687,0.001929687,8.537435E-05,0,0,False,False
33,As,PercentWeight,0,0,8.972759E-05,0,0,False,False
34,Se,PercentWeight,6.073275E-05,6.073275E-05,5.782811E-05,0,0,False,False
35,Br,PercentWeight,0.0004056306,0.0004056306,0.0001030476,0,0,False,False
37,Rb,PercentWeight,0.001048022,0.001048022,0.0001329712,0,0,False,False
38,Sr,PercentWeight,0.0008847466,0.0008847466,0.0001268663,0,0,False,False
42,Mo,PercentWeight,0,0,6.738549E-05,0,0,False,False
48,Cd,PercentWeight,0.0003249677,0.0003249677,0.0002171698,0,0,False,False
56,Ba,PercentWeight,0,0,0.003285844,0,0,False,False
80,Hg,PercentWeight,0,0,9.698877E-06,0,0,False,False
82,Pb,PercentWeight,0.0003875688,0.0003875688,0.0002806145,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1819492,,383263,
ValidCounts,1578490,,350226,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007401225,,0.0007401225,
ZeroOffsetInKeV,-0.0007401225,,-0.0007401225,
StartingChannel,0.03696971,,0.03696971,
NumberOfChannels,2048,,2048,
CountsPerSecond,43067.95,,42093.69,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 12:33:46 PM,,02/08/2023 12:33:46 PM,
LiveTimeInSeconds,37.866,,8.231,
DeadTimeInSeconds,4.381,,0.8740001,
ResetTimeInSeconds,4.593,,0.26,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.3,,96.3,
NosePressureInMilliBars,787.4258,,787.4258,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.24701,,9.105,
PacketTimeInSeconds,46.84001,,9.365,
CommunicationTimeInSeconds,3.159988,,0.6350002,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007401225,0,0.0007401225,0
2,0.02075982,0,0.02075982,0
3,0.04077952,0,0.04077952,0
4,0.06079923,0,0.06079923,0
5,0.08081893,0,0.08081893,0
6,0.1008386,0,0.1008386,0
7,0.1208583,0,0.1208583,0
8,0.140878,0,0.140878,0
9,0.1608977,0,0.1608977,0
10,0.1809174,0,0.1809174,0
11,0.2009371,0,0.2009371,0
12,0.2209568,0,0.2209568,0
13,0.2409765,0,0.2409765,0
14,0.2609962,0,0.2609962,0
15,0.2810159,0,0.2810159,0
16,0.3010356,10,0.3010356,3
17,0.3210554,128,0.3210554,25
18,0.341075,1203,0.341075,245
19,0.3610947,5704,0.3610947,1209
20,0.3811145,12294,0.3811145,2695
21,0.4011341,11724,0.4011341,2588
22,0.4211538,5192,0.4211538,1162
23,0.4411736,1065,0.4411736,276
24,0.4611932,110,0.4611932,31
25,0.4812129,10,0.4812129,1
26,0.5012326,7,0.5012326,0
27,0.5212523,6,0.5212523,0
28,0.541272,3,0.541272,0
29,0.5612918,1,0.5612918,0
30,0.5813115,3,0.5813115,0
31,0.6013312,4,0.6013312,0
32,0.6213508,3,0.6213508,0
33,0.6413705,6,0.6413705,0
34,0.6613902,2,0.6613902,0
35,0.68141,726,0.68141,15
36,0.7014297,738,0.7014297,12
37,0.7214494,705,0.7214494,17
38,0.7414691,715,0.7414691,17
39,0.7614887,694,0.7614887,13
40,0.7815084,701,0.7815084,19
41,0.8015282,731,0.8015282,13
42,0.8215479,760,0.8215479,12
43,0.8415676,709,0.8415676,11
44,0.8615873,685,0.8615873,18
45,0.881607,722,0.881607,23
46,0.9016266,684,0.9016266,46
47,0.9216464,616,0.9216464,45
48,0.9416661,720,0.9416661,72
49,0.9616858,690,0.9616858,63
50,0.9817055,705,0.9817055,40
51,1.001725,658,1.001725,26
52,1.021745,647,1.021745,15
53,1.041765,643,1.041765,34
54,1.061784,647,1.061784,41
55,1.081804,645,1.081804,37
56,1.101824,645,1.101824,38
57,1.121843,695,1.121843,47
58,1.141863,597,1.141863,30
59,1.161883,638,1.161883,40
60,1.181903,639,1.181903,27
61,1.201922,625,1.201922,45
62,1.221942,603,1.221942,49
63,1.241962,635,1.241962,27
64,1.261981,620,1.261981,24
65,1.282001,609,1.282001,27
66,1.302021,574,1.302021,19
67,1.32204,588,1.32204,15
68,1.34206,603,1.34206,14
69,1.36208,570,1.36208,25
70,1.3821,560,1.3821,6
71,1.402119,550,1.402119,22
72,1.422139,553,1.422139,27
73,1.442159,563,1.442159,33
74,1.462178,572,1.462178,46
75,1.482198,566,1.482198,65
76,1.502218,608,1.502218,52
77,1.522237,575,1.522237,88
78,1.542257,585,1.542257,84
79,1.562277,560,1.562277,118
80,1.582296,526,1.582296,112
81,1.602316,519,1.602316,68
82,1.622336,528,1.622336,47
83,1.642356,516,1.642356,38
84,1.662375,484,1.662375,23
85,1.682395,492,1.682395,45
86,1.702415,509,1.702415,72
87,1.722434,514,1.722434,77
88,1.742454,513,1.742454,105
89,1.762474,516,1.762474,98
90,1.782493,496,1.782493,65
91,1.802513,475,1.802513,51
92,1.822533,557,1.822533,46
93,1.842553,516,1.842553,49
94,1.862572,509,1.862572,43
95,1.882592,500,1.882592,48
96,1.902612,522,1.902612,77
97,1.922631,506,1.922631,111
98,1.942651,531,1.942651,136
99,1.962671,522,1.962671,245
100,1.982691,505,1.982691,302
101,2.00271,513,2.00271,353
102,2.02273,486,2.02273,356
103,2.04275,490,2.04275,245
104,2.062769,461,2.062769,179
105,2.082789,486,2.082789,111
106,2.102809,458,2.102809,76
107,2.122828,472,2.122828,74
108,2.142848,460,2.142848,75
109,2.162868,463,2.162868,66
110,2.182888,469,2.182888,75
111,2.202907,468,2.202907,121
112,2.222927,458,2.222927,202
113,2.242947,476,2.242947,411
114,2.262966,457,2.262966,768
115,2.282986,499,2.282986,1189
116,2.303006,465,2.303006,1400
117,2.323025,459,2.323025,1296
118,2.343045,444,2.343045,903
119,2.363065,434,2.363065,638
120,2.383085,414,2.383085,347
121,2.403104,444,2.403104,242
122,2.423124,431,2.423124,194
123,2.443144,430,2.443144,218
124,2.463163,426,2.463163,206
125,2.483183,416,2.483183,220
126,2.503203,377,2.503203,178
127,2.523222,436,2.523222,173
128,2.543242,417,2.543242,173
129,2.563262,445,2.563262,227
130,2.583282,427,2.583282,328
131,2.603301,455,2.603301,549
132,2.623321,461,2.623321,982
133,2.643341,439,2.643341,1735
134,2.66336,412,2.66336,2508
135,2.68338,408,2.68338,3163
136,2.7034,407,2.7034,3365
137,2.723419,365,2.723419,2944
138,2.743439,386,2.743439,2070
139,2.763459,369,2.763459,1559
140,2.783478,375,2.783478,1421
141,2.803498,413,2.803498,1596
142,2.823518,350,2.823518,1915
143,2.843538,397,2.843538,1998
144,2.863557,386,2.863557,1799
145,2.883577,370,2.883577,1568
146,2.903597,415,2.903597,1515
147,2.923616,492,2.923616,1594
148,2.943636,505,2.943636,1730
149,2.963656,467,2.963656,1583
150,2.983675,437,2.983675,1422
151,3.003695,412,3.003695,1165
152,3.023715,355,3.023715,772
153,3.043735,376,3.043735,523
154,3.063754,323,3.063754,372
155,3.083774,331,3.083774,339
156,3.103794,335,3.103794,284
157,3.123813,345,3.123813,343
158,3.143833,312,3.143833,352
159,3.163853,339,3.163853,417
160,3.183873,399,3.183873,464
161,3.203892,452,3.203892,638
162,3.223912,608,3.223912,1101
163,3.243932,968,3.243932,2152
164,3.263951,1398,3.263951,3744
165,3.283971,1885,3.283971,5627
166,3.303991,2109,3.303991,6797
167,3.32401,2078,3.32401,6974
168,3.34403,1710,3.34403,5815
169,3.36405,1266,3.36405,4017
170,3.38407,821,3.38407,2245
171,3.404089,565,3.404089,1190
