Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA170PA0644-00038-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 12:16:54 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.59799
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 19
UserCustomField,ID, 19
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0,0,0.1734025,0,0,False,False
13,Al,PercentWeight,0.01358831,0.01358831,0.02202186,0,0,False,False
14,Si,PercentWeight,0.0655937,0.0655937,0.009395699,0,0,False,False
15,P,PercentWeight,0.08398905,0.03148905,0.004079335,0,0,False,False
16,S,PercentWeight,0.1347641,0.0932641,0.002969706,0,0,False,False
17,Cl,PercentWeight,0.03397354,0.03397354,0.01192084,0,0,False,False
19,K,PercentWeight,0.4864631,0.3989631,0.003116145,0,0,False,False
20,Ca,PercentWeight,0.3602623,0.3602623,0.002156069,0,0,False,False
22,Ti,PercentWeight,0.001293154,0.001293154,0.0002146785,0,0,False,False
23,V,PercentWeight,0,0,3.232074E-05,0,0,False,False
24,Cr,PercentWeight,0.002766125,0.002766125,0.000212058,0,0,False,False
25,Mn,PercentWeight,0.08911953,0.08911953,0.0008436907,0,0,False,False
26,Fe,PercentWeight,0.03615302,0.03615302,0.0007157164,0,0,False,False
28,Ni,PercentWeight,0,0,7.73172E-05,0,0,False,False
29,Cu,PercentWeight,0.0008891688,0.0008891688,6.768515E-05,0,0,False,False
30,Zn,PercentWeight,0.002047003,0.002047003,8.763467E-05,0,0,False,False
33,As,PercentWeight,0,0,9.006054E-05,0,0,False,False
34,Se,PercentWeight,6.873086E-05,6.873086E-05,5.538295E-05,0,0,False,False
35,Br,PercentWeight,0.002381027,0.002381027,0.0001108273,0,0,False,False
37,Rb,PercentWeight,0.0004945798,0.0004945798,0.0001319613,0,0,False,False
38,Sr,PercentWeight,0.001197662,0.001197662,0.0001278126,0,0,False,False
42,Mo,PercentWeight,0.0001015835,0.0001015835,6.497402E-05,0,0,False,False
48,Cd,PercentWeight,0.0005861175,0.0005861175,0.0002091782,0,0,False,False
56,Ba,PercentWeight,0.003653178,0.003653178,0.003364048,0,0,False,False
80,Hg,PercentWeight,0,0,9.168529E-06,0,0,False,False
82,Pb,PercentWeight,0.0002096198,0.0002096198,0.000280308,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1735055,,358927,
ValidCounts,1513315,,330064,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000712428,,0.000712428,
ZeroOffsetInKeV,-0.000712428,,-0.000712428,
StartingChannel,0.03558634,,0.03558634,
NumberOfChannels,2048,,2048,
CountsPerSecond,40842.12,,39368.98,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 12:16:54 PM,,02/08/2023 12:16:54 PM,
LiveTimeInSeconds,38.29999,,8.298,
DeadTimeInSeconds,4.182001,,0.819,
ResetTimeInSeconds,4.356998,,0.248,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.3,,96.3,
NosePressureInMilliBars,788.5617,,788.5617,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.482,,9.117001,
PacketTimeInSeconds,46.839,,9.365001,
CommunicationTimeInSeconds,3.161003,,0.6349993,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000712428,0,0.000712428,0
2,0.02073213,0,0.02073213,0
3,0.04075183,0,0.04075183,0
4,0.06077153,0,0.06077153,0
5,0.08079123,0,0.08079123,0
6,0.1008109,0,0.1008109,0
7,0.1208306,0,0.1208306,0
8,0.1408503,0,0.1408503,0
9,0.16087,0,0.16087,0
10,0.1808897,0,0.1808897,0
11,0.2009094,0,0.2009094,0
12,0.2209291,0,0.2209291,0
13,0.2409488,0,0.2409488,0
14,0.2609685,0,0.2609685,0
15,0.2809882,0,0.2809882,0
16,0.301008,7,0.301008,0
17,0.3210276,112,0.3210276,23
18,0.3410473,1201,0.3410473,258
19,0.3610671,5759,0.3610671,1165
20,0.3810867,12421,0.3810867,2673
21,0.4011064,12021,0.4011064,2630
22,0.4211262,5197,0.4211262,1205
23,0.4411458,1072,0.4411458,255
24,0.4611655,126,0.4611655,19
25,0.4811853,13,0.4811853,1
26,0.501205,3,0.501205,0
27,0.5212247,3,0.5212247,0
28,0.5412443,6,0.5412443,0
29,0.561264,4,0.561264,0
30,0.5812837,2,0.5812837,0
31,0.6013035,3,0.6013035,1
32,0.6213232,5,0.6213232,0
33,0.6413429,3,0.6413429,0
34,0.6613626,1,0.6613626,1
35,0.6813822,717,0.6813822,18
36,0.7014019,732,0.7014019,8
37,0.7214217,680,0.7214217,16
38,0.7414414,701,0.7414414,14
39,0.7614611,726,0.7614611,14
40,0.7814808,675,0.7814808,11
41,0.8015004,687,0.8015004,11
42,0.8215201,669,0.8215201,10
43,0.8415399,683,0.8415399,15
44,0.8615596,633,0.8615596,16
45,0.8815793,646,0.8815793,34
46,0.901599,677,0.901599,49
47,0.9216187,640,0.9216187,44
48,0.9416384,646,0.9416384,65
49,0.9616581,643,0.9616581,70
50,0.9816778,600,0.9816778,39
51,1.001697,639,1.001697,28
52,1.021717,659,1.021717,21
53,1.041737,652,1.041737,21
54,1.061757,665,1.061757,24
55,1.081776,667,1.081776,48
56,1.101796,590,1.101796,46
57,1.121816,640,1.121816,34
58,1.141835,619,1.141835,26
59,1.161855,607,1.161855,30
60,1.181875,589,1.181875,32
61,1.201895,621,1.201895,35
62,1.221914,539,1.221914,31
63,1.241934,604,1.241934,33
64,1.261954,596,1.261954,23
65,1.281973,613,1.281973,24
66,1.301993,582,1.301993,14
67,1.322013,550,1.322013,10
68,1.342032,557,1.342032,16
69,1.362052,568,1.362052,19
70,1.382072,555,1.382072,21
71,1.402092,545,1.402092,24
72,1.422111,565,1.422111,25
73,1.442131,561,1.442131,34
74,1.462151,574,1.462151,37
75,1.48217,537,1.48217,57
76,1.50219,583,1.50219,45
77,1.52221,567,1.52221,64
78,1.542229,549,1.542229,77
79,1.562249,538,1.562249,79
80,1.582269,534,1.582269,61
81,1.602288,526,1.602288,73
82,1.622308,495,1.622308,26
83,1.642328,485,1.642328,32
84,1.662348,487,1.662348,26
85,1.682367,477,1.682367,53
86,1.702387,480,1.702387,69
87,1.722407,483,1.722407,76
88,1.742426,477,1.742426,85
89,1.762446,498,1.762446,104
90,1.782466,488,1.782466,59
91,1.802485,459,1.802485,44
92,1.822505,487,1.822505,30
93,1.842525,494,1.842525,28
94,1.862545,522,1.862545,39
95,1.882564,514,1.882564,58
96,1.902584,508,1.902584,66
97,1.922604,541,1.922604,96
98,1.942623,498,1.942623,121
99,1.962643,501,1.962643,187
100,1.982663,525,1.982663,259
101,2.002682,473,2.002682,279
102,2.022702,503,2.022702,253
103,2.042722,509,2.042722,187
104,2.062742,475,2.062742,114
105,2.082761,475,2.082761,79
106,2.102781,471,2.102781,73
107,2.122801,449,2.122801,59
108,2.14282,426,2.14282,59
109,2.16284,451,2.16284,65
110,2.18286,433,2.18286,57
111,2.202879,440,2.202879,92
112,2.222899,454,2.222899,146
113,2.242919,436,2.242919,303
114,2.262939,430,2.262939,534
115,2.282958,434,2.282958,798
116,2.302978,453,2.302978,895
117,2.322998,467,2.322998,884
118,2.343017,418,2.343017,619
119,2.363037,459,2.363037,413
120,2.383057,424,2.383057,259
121,2.403077,413,2.403077,205
122,2.423096,389,2.423096,170
123,2.443116,411,2.443116,180
124,2.463136,395,2.463136,191
125,2.483155,388,2.483155,184
126,2.503175,437,2.503175,168
127,2.523195,407,2.523195,176
128,2.543215,391,2.543215,206
129,2.563234,381,2.563234,228
130,2.583254,444,2.583254,325
131,2.603274,478,2.603274,556
132,2.623293,427,2.623293,1035
133,2.643313,440,2.643313,1750
134,2.663333,392,2.663333,2596
135,2.683352,390,2.683352,3110
136,2.703372,374,2.703372,3349
137,2.723392,383,2.723392,2721
138,2.743412,353,2.743412,1961
139,2.763431,370,2.763431,1459
140,2.783451,381,2.783451,1397
141,2.803471,348,2.803471,1626
142,2.82349,410,2.82349,1814
143,2.84351,385,2.84351,1847
144,2.86353,377,2.86353,1685
145,2.883549,390,2.883549,1501
146,2.903569,444,2.903569,1487
147,2.923589,447,2.923589,1587
148,2.943609,442,2.943609,1700
149,2.963628,457,2.963628,1726
150,2.983648,458,2.983648,1522
151,3.003668,410,3.003668,1208
152,3.023687,371,3.023687,770
153,3.043707,347,3.043707,509
154,3.063727,346,3.063727,358
155,3.083746,340,3.083746,283
156,3.103766,305,3.103766,297
157,3.123786,363,3.123786,337
158,3.143806,332,3.143806,326
159,3.163825,331,3.163825,354
160,3.183845,361,3.183845,448
161,3.203865,460,3.203865,585
162,3.223884,601,3.223884,951
163,3.243904,833,3.243904,1683
164,3.263924,1192,3.263924,2871
165,3.283943,1604,3.283943,4188
166,3.303963,1750,3.303963,5073
167,3.323983,1728,3.323983,5179
168,3.344002,1406,3.344002,4439
169,3.364022,1027,3.364022,3061
170,3.384042,674,3.384042,1805
171,3.404062,486,3.404062,976
