Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA170PA0685-00014-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:54:21 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,47.05201
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 27
UserCustomField,ID,CT006PA0024 27
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.09713675,0.09713675,0.1747195,0,0,False,False
13,Al,PercentWeight,0.01703081,0.01703081,0.02120832,0,0,False,False
14,Si,PercentWeight,0.03635544,0.03635544,0.008978942,0,0,False,False
15,P,PercentWeight,0.04631193,0,0.003715167,0,0,False,False
16,S,PercentWeight,0.1842112,0.1427112,0.003289227,0,0,False,False
17,Cl,PercentWeight,0.001327673,0.001327673,0.0115811,0,0,False,False
19,K,PercentWeight,0.5321087,0.4446087,0.003297412,0,0,False,False
20,Ca,PercentWeight,0.8535602,0.8535602,0.003108466,0,0,False,False
22,Ti,PercentWeight,0.0005898429,0.0005898429,0.0002079899,0,0,False,False
23,V,PercentWeight,0,0,3.094981E-05,0,0,False,False
24,Cr,PercentWeight,0.002010661,0.002010661,0.0001986227,0,0,False,False
25,Mn,PercentWeight,0.2402539,0.2402539,0.001444733,0,0,False,False
26,Fe,PercentWeight,0.01338917,0.01338917,0.000763419,0,0,False,False
28,Ni,PercentWeight,0,0,7.52302E-05,0,0,False,False
29,Cu,PercentWeight,0.0007284929,0.0007284929,7.357688E-05,0,0,False,False
30,Zn,PercentWeight,0.0007019953,0.0007019953,8.119263E-05,0,0,False,False
33,As,PercentWeight,0,0,9.500993E-05,0,0,False,False
34,Se,PercentWeight,5.428729E-05,5.428729E-05,5.176715E-05,0,0,False,False
35,Br,PercentWeight,0.001573042,0.001573042,0.0001153246,0,0,False,False
37,Rb,PercentWeight,0.0004945278,0.0004945278,0.000139966,0,0,False,False
38,Sr,PercentWeight,0.002995512,0.002995512,0.0001400137,0,0,False,False
42,Mo,PercentWeight,0,0,6.024221E-05,0,0,False,False
48,Cd,PercentWeight,0.000666847,0.000666847,0.0002000298,0,0,False,False
56,Ba,PercentWeight,0.007833077,0.007833077,0.003785231,0,0,False,False
80,Hg,PercentWeight,0,0,8.517505E-06,0,0,False,False
82,Pb,PercentWeight,0.0003360484,0.0003360484,0.0003001355,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1636702,,391517,
ValidCounts,1436294,,357427,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007081233,,0.0007081233,
ZeroOffsetInKeV,-0.0007081233,,-0.0007081233,
StartingChannel,0.03537132,,0.03537132,
NumberOfChannels,2048,,2048,
CountsPerSecond,38263.05,,42934.2,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:54:21 PM,,01/08/2023 4:54:21 PM,
LiveTimeInSeconds,38.82301,,8.229,
DeadTimeInSeconds,3.952,,0.89,
ResetTimeInSeconds,4.044001,,0.249,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.8,,97.8,
NosePressureInMilliBars,786.1929,,786.1929,
NoseTemperatureInC,34,,34,
ActiveTimeInSeconds,42.775,,9.119,
PacketTimeInSeconds,46.819,,9.368,
CommunicationTimeInSeconds,3.181,,0.632,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007081233,0,0.0007081233,0
2,0.02072782,0,0.02072782,0
3,0.04074753,0,0.04074753,0
4,0.06076723,0,0.06076723,0
5,0.08078693,0,0.08078693,0
6,0.1008066,0,0.1008066,0
7,0.1208263,0,0.1208263,0
8,0.140846,0,0.140846,0
9,0.1608657,0,0.1608657,0
10,0.1808854,0,0.1808854,0
11,0.2009051,0,0.2009051,0
12,0.2209248,0,0.2209248,0
13,0.2409445,0,0.2409445,0
14,0.2609642,0,0.2609642,0
15,0.2809839,0,0.2809839,0
16,0.3010036,2,0.3010036,0
17,0.3210233,117,0.3210233,19
18,0.3410431,1358,0.3410431,274
19,0.3610627,5844,0.3610627,1224
20,0.3810824,12481,0.3810824,2627
21,0.4011022,12156,0.4011022,2582
22,0.4211218,5349,0.4211218,1159
23,0.4411415,1146,0.4411415,250
24,0.4611613,112,0.4611613,29
25,0.4811809,11,0.4811809,0
26,0.5012007,4,0.5012007,0
27,0.5212203,2,0.5212203,0
28,0.54124,1,0.54124,0
29,0.5612597,5,0.5612597,0
30,0.5812795,1,0.5812795,0
31,0.6012992,2,0.6012992,0
32,0.6213189,0,0.6213189,0
33,0.6413385,4,0.6413385,0
34,0.6613582,0,0.6613582,0
35,0.6813779,682,0.6813779,22
36,0.7013977,719,0.7013977,15
37,0.7214174,655,0.7214174,21
38,0.7414371,632,0.7414371,12
39,0.7614568,645,0.7614568,16
40,0.7814764,636,0.7814764,7
41,0.8014961,636,0.8014961,18
42,0.8215159,699,0.8215159,18
43,0.8415356,627,0.8415356,18
44,0.8615553,584,0.8615553,18
45,0.881575,662,0.881575,23
46,0.9015946,622,0.9015946,29
47,0.9216143,648,0.9216143,55
48,0.9416341,678,0.9416341,76
49,0.9616538,671,0.9616538,72
50,0.9816735,628,0.9816735,45
51,1.001693,620,1.001693,40
52,1.021713,592,1.021713,27
53,1.041733,592,1.041733,36
54,1.061752,606,1.061752,26
55,1.081772,594,1.081772,30
56,1.101792,602,1.101792,35
57,1.121811,604,1.121811,34
58,1.141831,593,1.141831,23
59,1.161851,541,1.161851,32
60,1.18187,601,1.18187,43
61,1.20189,562,1.20189,27
62,1.22191,579,1.22191,37
63,1.24193,600,1.24193,28
64,1.261949,548,1.261949,22
65,1.281969,547,1.281969,16
66,1.301989,586,1.301989,17
67,1.322008,549,1.322008,20
68,1.342028,538,1.342028,11
69,1.362048,548,1.362048,14
70,1.382067,550,1.382067,14
71,1.402087,558,1.402087,12
72,1.422107,507,1.422107,19
73,1.442127,515,1.442127,37
74,1.462146,486,1.462146,43
75,1.482166,492,1.482166,43
76,1.502186,523,1.502186,55
77,1.522205,553,1.522205,70
78,1.542225,489,1.542225,89
79,1.562245,573,1.562245,83
80,1.582265,498,1.582265,87
81,1.602284,496,1.602284,62
82,1.622304,499,1.622304,40
83,1.642324,498,1.642324,21
84,1.662343,451,1.662343,27
85,1.682363,453,1.682363,29
86,1.702383,463,1.702383,55
87,1.722402,523,1.722402,70
88,1.742422,531,1.742422,82
89,1.762442,453,1.762442,74
90,1.782462,463,1.782462,56
91,1.802481,456,1.802481,52
92,1.822501,494,1.822501,37
93,1.842521,475,1.842521,33
94,1.86254,487,1.86254,50
95,1.88256,487,1.88256,72
96,1.90258,478,1.90258,120
97,1.922599,510,1.922599,140
98,1.942619,520,1.942619,209
99,1.962639,526,1.962639,203
100,1.982659,484,1.982659,214
101,2.002678,502,2.002678,188
102,2.022698,467,2.022698,162
103,2.042718,445,2.042718,144
104,2.062737,418,2.062737,86
105,2.082757,483,2.082757,69
106,2.102777,464,2.102777,51
107,2.122797,389,2.122797,38
108,2.142816,448,2.142816,69
109,2.162836,444,2.162836,68
110,2.182856,443,2.182856,78
111,2.202875,417,2.202875,96
112,2.222895,397,2.222895,196
113,2.242915,492,2.242915,431
114,2.262934,443,2.262934,640
115,2.282954,464,2.282954,990
116,2.302974,451,2.302974,1094
117,2.322994,453,2.322994,1068
118,2.343013,446,2.343013,767
119,2.363033,443,2.363033,537
120,2.383053,420,2.383053,289
121,2.403072,421,2.403072,227
122,2.423092,392,2.423092,182
123,2.443112,409,2.443112,223
124,2.463131,376,2.463131,194
125,2.483151,375,2.483151,164
126,2.503171,418,2.503171,185
127,2.52319,431,2.52319,197
128,2.54321,364,2.54321,170
129,2.56323,394,2.56323,211
130,2.58325,406,2.58325,317
131,2.603269,473,2.603269,504
132,2.623289,379,2.623289,957
133,2.643309,390,2.643309,1617
134,2.663328,390,2.663328,2385
135,2.683348,386,2.683348,3042
136,2.703368,351,2.703368,2999
137,2.723387,370,2.723387,2776
138,2.743407,379,2.743407,1981
139,2.763427,324,2.763427,1477
140,2.783447,357,2.783447,1312
141,2.803466,356,2.803466,1539
142,2.823486,372,2.823486,1723
143,2.843506,377,2.843506,1776
144,2.863525,395,2.863525,1684
145,2.883545,368,2.883545,1464
146,2.903565,427,2.903565,1377
147,2.923584,461,2.923584,1595
148,2.943604,458,2.943604,1650
149,2.963624,493,2.963624,1691
150,2.983644,496,2.983644,1538
151,3.003663,408,3.003663,1136
152,3.023683,400,3.023683,743
153,3.043703,336,3.043703,512
154,3.063722,334,3.063722,327
155,3.083742,341,3.083742,322
156,3.103762,316,3.103762,274
157,3.123781,350,3.123781,313
158,3.143801,377,3.143801,377
159,3.163821,316,3.163821,425
160,3.183841,386,3.183841,455
161,3.20386,463,3.20386,548
162,3.22388,623,3.22388,996
163,3.2439,866,3.2439,1754
164,3.263919,1289,3.263919,3072
165,3.283939,1629,3.283939,4565
166,3.303959,1841,3.303959,5491
167,3.323978,1892,3.323978,5722
168,3.343998,1550,3.343998,4729
169,3.364018,1136,3.364018,3278
170,3.384037,759,3.384037,1921
