Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CA170PA0688-00070-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:42:40 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.69299
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,51
UserCustomField,ID,51
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.08208443,0.08208443,0.1827197,0,0,False,False
13,Al,PercentWeight,0.03062391,0.03062391,0.02401438,0,0,False,False
14,Si,PercentWeight,0.05183588,0.05183588,0.009911559,0,0,False,False
15,P,PercentWeight,0.06513412,0.01263412,0.004120542,0,0,False,False
16,S,PercentWeight,0.2134501,0.1719501,0.003539465,0,0,False,False
17,Cl,PercentWeight,0.0125832,0.0125832,0.01216811,0,0,False,False
19,K,PercentWeight,0.6767601,0.5892601,0.003692274,0,0,False,False
20,Ca,PercentWeight,0.8869997,0.8869997,0.003199931,0,0,False,False
22,Ti,PercentWeight,0.001251239,0.001251239,0.0002236519,0,0,False,False
23,V,PercentWeight,0,0,3.294267E-05,0,0,False,False
24,Cr,PercentWeight,0.002266549,0.002266549,0.0002132737,0,0,False,False
25,Mn,PercentWeight,0.2785986,0.2785986,0.001502536,0,0,False,False
26,Fe,PercentWeight,0.01828744,0.01828744,0.0007842692,0,0,False,False
28,Ni,PercentWeight,0,0,7.565178E-05,0,0,False,False
29,Cu,PercentWeight,0.0007251237,0.0007251237,6.9191E-05,0,0,False,False
30,Zn,PercentWeight,0.001245365,0.001245365,8.43874E-05,0,0,False,False
33,As,PercentWeight,0,0,9.506529E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.538557E-05,0,0,False,False
35,Br,PercentWeight,0.0009441387,0.0009441387,0.000112325,0,0,False,False
37,Rb,PercentWeight,0.0004656649,0.0004656649,0.0001400261,0,0,False,False
38,Sr,PercentWeight,0.002864944,0.002864944,0.0001405813,0,0,False,False
42,Mo,PercentWeight,0,0,6.316316E-05,0,0,False,False
48,Cd,PercentWeight,0.0005572798,0.0005572798,0.0002021764,0,0,False,False
56,Ba,PercentWeight,0.00330715,0.00330715,0.003547699,0,0,False,False
80,Hg,PercentWeight,0,0,8.999332E-06,0,0,False,False
82,Pb,PercentWeight,0.0001697685,0.0001697685,0.0002981343,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1712647,,438615,
ValidCounts,1498964,,396398,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006130364,,0.0006130364,
ZeroOffsetInKeV,-0.0006130364,,-0.0006130364,
StartingChannel,0.03062166,,0.03062166,
NumberOfChannels,2048,,2048,
CountsPerSecond,40092.87,,48247.16,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:42:40 AM,,03/08/2023 11:42:40 AM,
LiveTimeInSeconds,38.59599,,8.097,
DeadTimeInSeconds,4.121,,0.994,
ResetTimeInSeconds,4.181002,,0.28,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.3,,96.3,
NosePressureInMilliBars,787.5926,,787.5926,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.717,,9.091001,
PacketTimeInSeconds,46.898,,9.371,
CommunicationTimeInSeconds,3.101997,,0.6289997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006130364,0,0.0006130364,0
2,0.02063274,0,0.02063274,0
3,0.04065244,0,0.04065244,0
4,0.06067214,0,0.06067214,0
5,0.08069184,0,0.08069184,0
6,0.1007115,0,0.1007115,0
7,0.1207312,0,0.1207312,0
8,0.1407509,0,0.1407509,0
9,0.1607706,0,0.1607706,0
10,0.1807903,0,0.1807903,0
11,0.20081,0,0.20081,0
12,0.2208297,0,0.2208297,0
13,0.2408495,0,0.2408495,0
14,0.2608691,0,0.2608691,0
15,0.2808889,0,0.2808889,0
16,0.3009086,6,0.3009086,2
17,0.3209282,123,0.3209282,25
18,0.340948,1257,0.340948,267
19,0.3609677,5790,0.3609677,1208
20,0.3809873,12497,0.3809873,2638
21,0.4010071,12032,0.4010071,2517
22,0.4210268,5358,0.4210268,1109
23,0.4410464,1135,0.4410464,265
24,0.4610662,123,0.4610662,27
25,0.4810859,13,0.4810859,2
26,0.5011055,4,0.5011055,1
27,0.5211253,8,0.5211253,0
28,0.541145,1,0.541145,0
29,0.5611647,3,0.5611647,0
30,0.5811844,5,0.5811844,0
31,0.601204,0,0.601204,0
32,0.6212237,2,0.6212237,0
33,0.6412435,2,0.6412435,0
34,0.6612632,3,0.6612632,0
35,0.6812829,715,0.6812829,13
36,0.7013026,714,0.7013026,14
37,0.7213223,684,0.7213223,9
38,0.7413419,672,0.7413419,9
39,0.7613617,709,0.7613617,20
40,0.7813814,695,0.7813814,10
41,0.8014011,656,0.8014011,23
42,0.8214208,655,0.8214208,13
43,0.8414405,729,0.8414405,18
44,0.8614602,676,0.8614602,12
45,0.8814799,668,0.8814799,23
46,0.9014996,669,0.9014996,32
47,0.9215193,677,0.9215193,42
48,0.941539,634,0.941539,62
49,0.9615587,633,0.9615587,66
50,0.9815784,610,0.9815784,50
51,1.001598,615,1.001598,23
52,1.021618,582,1.021618,29
53,1.041638,578,1.041638,22
54,1.061657,611,1.061657,38
55,1.081677,553,1.081677,54
56,1.101697,612,1.101697,39
57,1.121716,655,1.121716,35
58,1.141736,530,1.141736,31
59,1.161756,549,1.161756,31
60,1.181775,579,1.181775,32
61,1.201795,629,1.201795,35
62,1.221815,663,1.221815,34
63,1.241835,551,1.241835,39
64,1.261854,577,1.261854,27
65,1.281874,553,1.281874,18
66,1.301894,559,1.301894,14
67,1.321913,546,1.321913,19
68,1.341933,543,1.341933,12
69,1.361953,540,1.361953,18
70,1.381972,553,1.381972,17
71,1.401992,524,1.401992,31
72,1.422012,502,1.422012,30
73,1.442032,544,1.442032,39
74,1.462051,489,1.462051,49
75,1.482071,531,1.482071,53
76,1.502091,556,1.502091,64
77,1.52211,541,1.52211,78
78,1.54213,498,1.54213,102
79,1.56215,502,1.56215,119
80,1.582169,527,1.582169,87
81,1.602189,503,1.602189,73
82,1.622209,501,1.622209,57
83,1.642228,479,1.642228,27
84,1.662248,500,1.662248,28
85,1.682268,469,1.682268,46
86,1.702288,464,1.702288,65
87,1.722307,458,1.722307,89
88,1.742327,463,1.742327,96
89,1.762347,445,1.762347,75
90,1.782366,495,1.782366,74
91,1.802386,448,1.802386,47
92,1.822406,452,1.822406,43
93,1.842426,477,1.842426,41
94,1.862445,494,1.862445,71
95,1.882465,483,1.882465,85
96,1.902485,481,1.902485,101
97,1.922504,480,1.922504,169
98,1.942524,505,1.942524,235
99,1.962544,542,1.962544,221
100,1.982563,492,1.982563,282
101,2.002583,503,2.002583,228
102,2.022603,464,2.022603,192
103,2.042623,477,2.042623,161
104,2.062642,424,2.062642,128
105,2.082662,435,2.082662,72
106,2.102682,433,2.102682,70
107,2.122701,439,2.122701,46
108,2.142721,439,2.142721,65
109,2.162741,423,2.162741,79
110,2.18276,388,2.18276,70
111,2.20278,404,2.20278,115
112,2.2228,440,2.2228,207
113,2.24282,425,2.24282,397
114,2.262839,447,2.262839,799
115,2.282859,465,2.282859,1076
116,2.302879,481,2.302879,1319
117,2.322898,432,2.322898,1145
118,2.342918,413,2.342918,894
119,2.362938,422,2.362938,587
120,2.382957,410,2.382957,361
121,2.402977,406,2.402977,205
122,2.422997,389,2.422997,208
123,2.443017,399,2.443017,186
124,2.463036,439,2.463036,220
125,2.483056,395,2.483056,225
126,2.503076,349,2.503076,177
127,2.523095,398,2.523095,198
128,2.543115,393,2.543115,188
129,2.563135,402,2.563135,237
130,2.583154,411,2.583154,343
131,2.603174,404,2.603174,566
132,2.623194,390,2.623194,993
133,2.643214,421,2.643214,1679
134,2.663233,411,2.663233,2611
135,2.683253,394,2.683253,3128
136,2.703273,378,2.703273,3328
137,2.723292,350,2.723292,2723
138,2.743312,386,2.743312,2152
139,2.763332,382,2.763332,1479
140,2.783351,369,2.783351,1406
141,2.803371,369,2.803371,1613
142,2.823391,367,2.823391,1842
143,2.84341,378,2.84341,1787
144,2.86343,358,2.86343,1686
145,2.88345,403,2.88345,1522
146,2.90347,428,2.90347,1485
147,2.923489,464,2.923489,1578
148,2.943509,491,2.943509,1627
149,2.963529,480,2.963529,1607
150,2.983548,419,2.983548,1347
151,3.003568,425,3.003568,1107
152,3.023588,362,3.023588,790
153,3.043607,359,3.043607,546
154,3.063627,284,3.063627,392
155,3.083647,320,3.083647,333
156,3.103667,351,3.103667,298
157,3.123686,314,3.123686,341
158,3.143706,354,3.143706,362
159,3.163726,349,3.163726,428
160,3.183745,392,3.183745,469
161,3.203765,450,3.203765,646
162,3.223785,618,3.223785,1097
163,3.243805,969,3.243805,2105
164,3.263824,1406,3.263824,3653
165,3.283844,1878,3.283844,5451
166,3.303864,2011,3.303864,6777
167,3.323883,2023,3.323883,6729
168,3.343903,1700,3.343903,5674
169,3.363923,1263,3.363923,3942
170,3.383943,827,3.383943,2379
171,3.403962,544,3.403962,1128
