Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CE066PA3528-00008-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:10:34 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.01701
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 21
UserCustomField,ID,CT006PA0024 21
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.159045,0.159045,0.1790182,0,0,False,False
13,Al,PercentWeight,0.04154427,0.04154427,0.02344725,0,0,False,False
14,Si,PercentWeight,0.1081889,0.1081889,0.01074274,0,0,False,False
15,P,PercentWeight,0.06817363,0.01567363,0.004090392,0,0,False,False
16,S,PercentWeight,0.1243189,0.08281891,0.00293062,0,0,False,False
17,Cl,PercentWeight,0.009332534,0.009332534,0.01189442,0,0,False,False
19,K,PercentWeight,0.5161937,0.4286937,0.003239431,0,0,False,False
20,Ca,PercentWeight,0.8030654,0.8030654,0.003041661,0,0,False,False
22,Ti,PercentWeight,0.002095785,0.002095785,0.000223033,0,0,False,False
23,V,PercentWeight,0,0,3.227545E-05,0,0,False,False
24,Cr,PercentWeight,0.002486628,0.002486628,0.0002096616,0,0,False,False
25,Mn,PercentWeight,0.1224603,0.1224603,0.0009787102,0,0,False,False
26,Fe,PercentWeight,0.04252943,0.04252943,0.0007483614,0,0,False,False
28,Ni,PercentWeight,0,0,8.044004E-05,0,0,False,False
29,Cu,PercentWeight,0.0008227343,0.0008227343,6.589727E-05,0,0,False,False
30,Zn,PercentWeight,0.001166782,0.001166782,7.915845E-05,0,0,False,False
33,As,PercentWeight,0,0,8.633133E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.54874E-05,0,0,False,False
35,Br,PercentWeight,0.001089968,0.001089968,0.0001023042,0,0,False,False
37,Rb,PercentWeight,0.0008947855,0.0008947855,0.0001285096,0,0,False,False
38,Sr,PercentWeight,0.008171812,0.008171812,0.0001401657,0,0,False,False
42,Mo,PercentWeight,0.0001608586,0.0001608586,6.595944E-05,0,0,False,False
48,Cd,PercentWeight,0.0006419411,0.0006419411,0.0002166531,0,0,False,False
56,Ba,PercentWeight,0.004933524,0.004933524,0.00339058,0,0,False,False
80,Hg,PercentWeight,0,0,9.349096E-06,0,0,False,False
82,Pb,PercentWeight,0.0001122661,0.0001122661,0.0002704727,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1832641,,400610,
ValidCounts,1590705,,364548,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006988782,,0.0006988782,
ZeroOffsetInKeV,-0.0006988782,,-0.0006988782,
StartingChannel,0.03490952,,0.03490952,
NumberOfChannels,2048,,2048,
CountsPerSecond,43381.24,,44071.51,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:10:34 PM,,01/08/2023 4:10:34 PM,
LiveTimeInSeconds,37.83701,,8.18,
DeadTimeInSeconds,4.408,,0.9100001,
ResetTimeInSeconds,4.594,,0.26,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.7,,96.7,
NosePressureInMilliBars,784.3031,,784.3031,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.24501,,9.09,
PacketTimeInSeconds,46.83901,,9.35,
CommunicationTimeInSeconds,3.160988,,0.6499996,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006988782,0,0.0006988782,0
2,0.02071858,0,0.02071858,0
3,0.04073828,0,0.04073828,0
4,0.06075798,0,0.06075798,0
5,0.08077768,0,0.08077768,0
6,0.1007974,0,0.1007974,0
7,0.1208171,0,0.1208171,0
8,0.1408368,0,0.1408368,0
9,0.1608565,0,0.1608565,0
10,0.1808762,0,0.1808762,0
11,0.2008959,0,0.2008959,0
12,0.2209156,0,0.2209156,0
13,0.2409353,0,0.2409353,0
14,0.260955,0,0.260955,0
15,0.2809747,0,0.2809747,0
16,0.3009944,7,0.3009944,4
17,0.3210141,140,0.3210141,25
18,0.3410338,1183,0.3410338,252
19,0.3610535,5720,0.3610535,1201
20,0.3810732,12326,0.3810732,2604
21,0.4010929,11843,0.4010929,2605
22,0.4211126,5154,0.4211126,1156
23,0.4411323,1109,0.4411323,246
24,0.461152,139,0.461152,31
25,0.4811717,8,0.4811717,2
26,0.5011914,8,0.5011914,0
27,0.5212111,3,0.5212111,0
28,0.5412308,2,0.5412308,0
29,0.5612505,7,0.5612505,0
30,0.5812702,3,0.5812702,0
31,0.6012899,2,0.6012899,0
32,0.6213096,1,0.6213096,0
33,0.6413293,2,0.6413293,0
34,0.661349,5,0.661349,0
35,0.6813687,773,0.6813687,10
36,0.7013884,704,0.7013884,19
37,0.7214081,735,0.7214081,16
38,0.7414278,743,0.7414278,17
39,0.7614475,730,0.7614475,11
40,0.7814672,742,0.7814672,8
41,0.8014869,712,0.8014869,9
42,0.8215066,697,0.8215066,15
43,0.8415263,672,0.8415263,17
44,0.861546,709,0.861546,19
45,0.8815657,750,0.8815657,19
46,0.9015854,747,0.9015854,41
47,0.9216051,683,0.9216051,43
48,0.9416248,764,0.9416248,68
49,0.9616445,700,0.9616445,60
50,0.9816642,636,0.9816642,43
51,1.001684,643,1.001684,25
52,1.021704,677,1.021704,14
53,1.041723,682,1.041723,30
54,1.061743,687,1.061743,35
55,1.081763,661,1.081763,43
56,1.101782,657,1.101782,29
57,1.121802,623,1.121802,27
58,1.141822,626,1.141822,34
59,1.161842,634,1.161842,36
60,1.181861,609,1.181861,29
61,1.201881,600,1.201881,34
62,1.221901,666,1.221901,31
63,1.24192,635,1.24192,40
64,1.26194,600,1.26194,26
65,1.28196,565,1.28196,22
66,1.301979,596,1.301979,19
67,1.321999,603,1.321999,15
68,1.342019,601,1.342019,14
69,1.362038,568,1.362038,14
70,1.382058,580,1.382058,14
71,1.402078,609,1.402078,36
72,1.422098,529,1.422098,24
73,1.442117,585,1.442117,45
74,1.462137,597,1.462137,46
75,1.482157,549,1.482157,55
76,1.502176,584,1.502176,53
77,1.522196,578,1.522196,70
78,1.542216,564,1.542216,87
79,1.562236,544,1.562236,101
80,1.582255,487,1.582255,74
81,1.602275,512,1.602275,66
82,1.622295,521,1.622295,43
83,1.642314,507,1.642314,25
84,1.662334,499,1.662334,37
85,1.682354,491,1.682354,52
86,1.702374,481,1.702374,104
87,1.722393,544,1.722393,115
88,1.742413,521,1.742413,129
89,1.762433,529,1.762433,116
90,1.782452,501,1.782452,73
91,1.802472,478,1.802472,62
92,1.822492,496,1.822492,51
93,1.842511,520,1.842511,50
94,1.862531,508,1.862531,41
95,1.882551,544,1.882551,63
96,1.90257,497,1.90257,105
97,1.92259,569,1.92259,158
98,1.94261,561,1.94261,177
99,1.96263,524,1.96263,228
100,1.982649,497,1.982649,243
101,2.002669,462,2.002669,239
102,2.022689,501,2.022689,220
103,2.042708,470,2.042708,169
104,2.062728,487,2.062728,128
105,2.082748,497,2.082748,89
106,2.102767,447,2.102767,63
107,2.122787,483,2.122787,70
108,2.142807,480,2.142807,55
109,2.162827,480,2.162827,71
110,2.182846,491,2.182846,65
111,2.202866,462,2.202866,98
112,2.222886,473,2.222886,149
113,2.242905,489,2.242905,295
114,2.262925,473,2.262925,526
115,2.282945,528,2.282945,726
116,2.302964,482,2.302964,828
117,2.322984,456,2.322984,804
118,2.343004,447,2.343004,582
119,2.363024,457,2.363024,389
120,2.383043,402,2.383043,256
121,2.403063,449,2.403063,235
122,2.423083,457,2.423083,188
123,2.443102,419,2.443102,172
124,2.463122,445,2.463122,160
125,2.483142,424,2.483142,158
126,2.503161,399,2.503161,173
127,2.523181,424,2.523181,179
128,2.543201,439,2.543201,177
129,2.563221,407,2.563221,209
130,2.58324,412,2.58324,312
131,2.60326,440,2.60326,530
132,2.62328,427,2.62328,920
133,2.643299,440,2.643299,1653
134,2.663319,440,2.663319,2504
135,2.683339,409,2.683339,3094
136,2.703358,414,2.703358,3336
137,2.723378,361,2.723378,2782
138,2.743398,407,2.743398,2012
139,2.763418,416,2.763418,1465
140,2.783437,388,2.783437,1334
141,2.803457,356,2.803457,1507
142,2.823477,419,2.823477,1760
143,2.843496,381,2.843496,1911
144,2.863516,422,2.863516,1734
145,2.883536,419,2.883536,1545
146,2.903556,467,2.903556,1407
147,2.923575,439,2.923575,1573
148,2.943595,520,2.943595,1672
149,2.963615,508,2.963615,1699
150,2.983634,446,2.983634,1489
151,3.003654,448,3.003654,1107
152,3.023674,386,3.023674,781
153,3.043694,374,3.043694,495
154,3.063713,336,3.063713,423
155,3.083733,357,3.083733,291
156,3.103753,390,3.103753,283
157,3.123772,389,3.123772,303
158,3.143792,367,3.143792,365
159,3.163812,319,3.163812,392
160,3.183831,422,3.183831,460
161,3.203851,481,3.203851,572
162,3.223871,577,3.223871,968
163,3.243891,863,3.243891,1681
164,3.26391,1213,3.26391,2998
165,3.28393,1591,3.28393,4294
166,3.30395,1843,3.30395,5240
167,3.323969,1811,3.323969,5502
168,3.343989,1488,3.343989,4477
169,3.364009,1040,3.364009,3211
170,3.384028,725,3.384028,1745
