Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CE162PA0002-00006-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:00:18 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.35099
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 19
UserCustomField,ID,CT006PA0024 19
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3847309,0.3847309,0.2099291,0,0,False,False
13,Al,PercentWeight,0.0233283,0.0233283,0.02414435,0,0,False,False
14,Si,PercentWeight,0.5095782,0.5095782,0.01667405,0,0,False,False
15,P,PercentWeight,0.04900806,0,0.004275359,0,0,False,False
16,S,PercentWeight,0.1488346,0.1073346,0.003148128,0,0,False,False
17,Cl,PercentWeight,0.02406687,0.02406687,0.01208596,0,0,False,False
19,K,PercentWeight,0.2032946,0.1157946,0.002188447,0,0,False,False
20,Ca,PercentWeight,2.614198,2.614198,0.004895642,0,0,False,False
22,Ti,PercentWeight,0.001293698,0.001293698,0.0002117453,0,0,False,False
23,V,PercentWeight,0,0,3.048243E-05,0,0,False,False
24,Cr,PercentWeight,0.001758416,0.001758416,0.0001964707,0,0,False,False
25,Mn,PercentWeight,0.1414665,0.1414665,0.001221713,0,0,False,False
26,Fe,PercentWeight,0.03731939,0.03731939,0.0007737425,0,0,False,False
28,Ni,PercentWeight,0,0,7.724694E-05,0,0,False,False
29,Cu,PercentWeight,0.006340845,0.006340845,0.0001205048,0,0,False,False
30,Zn,PercentWeight,0.003529567,0.003529567,0.0001117672,0,0,False,False
33,As,PercentWeight,0.0001046875,0.0001046875,9.110265E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.107862E-05,0,0,False,False
35,Br,PercentWeight,0.0006766652,0.0006766652,0.0001062364,0,0,False,False
37,Rb,PercentWeight,0,0,0.0001356438,0,0,False,False
38,Sr,PercentWeight,0.02230342,0.02230342,0.0001806788,0,0,False,False
42,Mo,PercentWeight,0,0,6.236245E-05,0,0,False,False
48,Cd,PercentWeight,0.0003030584,0.0003030584,0.0002059793,0,0,False,False
56,Ba,PercentWeight,0.0004572701,0.0004572701,0.00364763,0,0,False,False
80,Hg,PercentWeight,0,0,8.367883E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.000285129,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1751486,,476591,
ValidCounts,1530744,,426608,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0005722368,,0.0005722368,
ZeroOffsetInKeV,-0.0005722368,,-0.0005722368,
StartingChannel,0.02858368,,0.02858368,
NumberOfChannels,2048,,2048,
CountsPerSecond,41154.3,,52505.34,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:00:18 PM,,01/08/2023 4:00:18 PM,
LiveTimeInSeconds,38.34799,,8.003,
DeadTimeInSeconds,4.211002,,1.074,
ResetTimeInSeconds,4.258001,,0.28,
DetectorTempInC,-27,,-27,
AmbientTempInF,95.8,,95.8,
NosePressureInMilliBars,784.1633,,784.1633,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,42.559,,9.077,
PacketTimeInSeconds,46.817,,9.356999,
CommunicationTimeInSeconds,3.182999,,0.6430006,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0005722368,0,0.0005722368,0
2,0.02059194,0,0.02059194,0
3,0.04061164,0,0.04061164,0
4,0.06063134,0,0.06063134,0
5,0.08065104,0,0.08065104,0
6,0.1006707,0,0.1006707,0
7,0.1206904,0,0.1206904,0
8,0.1407101,0,0.1407101,0
9,0.1607298,0,0.1607298,0
10,0.1807496,0,0.1807496,0
11,0.2007692,0,0.2007692,0
12,0.2207889,0,0.2207889,0
13,0.2408087,0,0.2408087,0
14,0.2608283,0,0.2608283,0
15,0.2808481,1,0.2808481,0
16,0.3008678,3,0.3008678,2
17,0.3208874,119,0.3208874,21
18,0.3409072,1245,0.3409072,256
19,0.3609269,5676,0.3609269,1214
20,0.3809465,12459,0.3809465,2546
21,0.4009663,12000,0.4009663,2527
22,0.420986,5251,0.420986,1149
23,0.4410056,1162,0.4410056,240
24,0.4610254,125,0.4610254,25
25,0.4810451,8,0.4810451,1
26,0.5010648,5,0.5010648,0
27,0.5210845,5,0.5210845,0
28,0.5411041,1,0.5411041,0
29,0.5611238,4,0.5611238,0
30,0.5811436,0,0.5811436,0
31,0.6011633,4,0.6011633,0
32,0.621183,0,0.621183,0
33,0.6412027,1,0.6412027,0
34,0.6612224,1,0.6612224,0
35,0.681242,743,0.681242,17
36,0.7012618,673,0.7012618,17
37,0.7212815,696,0.7212815,13
38,0.7413012,710,0.7413012,16
39,0.7613209,698,0.7613209,16
40,0.7813406,638,0.7813406,15
41,0.8013602,641,0.8013602,12
42,0.82138,668,0.82138,8
43,0.8413997,633,0.8413997,24
44,0.8614194,695,0.8614194,24
45,0.8814391,647,0.8814391,25
46,0.9014588,648,0.9014588,40
47,0.9214785,656,0.9214785,62
48,0.9414982,622,0.9414982,73
49,0.9615179,622,0.9615179,53
50,0.9815376,656,0.9815376,53
51,1.001557,640,1.001557,23
52,1.021577,637,1.021577,23
53,1.041597,623,1.041597,16
54,1.061616,666,1.061616,51
55,1.081636,616,1.081636,41
56,1.101656,599,1.101656,38
57,1.121675,594,1.121675,34
58,1.141695,579,1.141695,30
59,1.161715,605,1.161715,25
60,1.181735,569,1.181735,44
61,1.201754,566,1.201754,40
62,1.221774,598,1.221774,42
63,1.241794,551,1.241794,47
64,1.261813,585,1.261813,35
65,1.281833,543,1.281833,32
66,1.301853,594,1.301853,23
67,1.321872,575,1.321872,17
68,1.341892,547,1.341892,24
69,1.361912,565,1.361912,21
70,1.381932,587,1.381932,17
71,1.401951,550,1.401951,24
72,1.421971,531,1.421971,26
73,1.441991,492,1.441991,30
74,1.46201,520,1.46201,62
75,1.48203,537,1.48203,43
76,1.50205,559,1.50205,51
77,1.522069,527,1.522069,32
78,1.542089,520,1.542089,48
79,1.562109,528,1.562109,49
80,1.582129,486,1.582129,45
81,1.602148,478,1.602148,34
82,1.622168,470,1.622168,27
83,1.642188,474,1.642188,31
84,1.662207,490,1.662207,75
85,1.682227,531,1.682227,152
86,1.702247,517,1.702247,238
87,1.722267,499,1.722267,365
88,1.742286,508,1.742286,409
89,1.762306,489,1.762306,306
90,1.782326,460,1.782326,219
91,1.802345,449,1.802345,104
92,1.822365,474,1.822365,90
93,1.842385,486,1.842385,86
94,1.862404,441,1.862404,84
95,1.882424,530,1.882424,124
96,1.902444,545,1.902444,224
97,1.922464,573,1.922464,322
98,1.942483,569,1.942483,377
99,1.962503,527,1.962503,390
100,1.982523,553,1.982523,292
101,2.002542,509,2.002542,249
102,2.022562,474,2.022562,196
103,2.042582,466,2.042582,127
104,2.062601,481,2.062601,101
105,2.082621,424,2.082621,66
106,2.102641,444,2.102641,72
107,2.122661,493,2.122661,63
108,2.14268,446,2.14268,60
109,2.1627,458,2.1627,66
110,2.18272,444,2.18272,83
111,2.202739,440,2.202739,120
112,2.222759,442,2.222759,180
113,2.242779,468,2.242779,365
114,2.262799,466,2.262799,554
115,2.282818,486,2.282818,727
116,2.302838,469,2.302838,941
117,2.322858,445,2.322858,877
118,2.342877,448,2.342877,696
119,2.362897,445,2.362897,463
120,2.382917,390,2.382917,283
121,2.402936,415,2.402936,187
122,2.422956,419,2.422956,176
123,2.442976,371,2.442976,159
124,2.462996,405,2.462996,157
125,2.483015,398,2.483015,191
126,2.503035,386,2.503035,167
127,2.523055,391,2.523055,157
128,2.543074,410,2.543074,203
129,2.563094,423,2.563094,274
130,2.583114,439,2.583114,369
131,2.603133,443,2.603133,596
132,2.623153,455,2.623153,975
133,2.643173,432,2.643173,1642
134,2.663193,416,2.663193,2447
135,2.683212,409,2.683212,3098
136,2.703232,391,2.703232,2961
137,2.723252,353,2.723252,2596
138,2.743271,357,2.743271,2054
139,2.763291,395,2.763291,1380
140,2.783311,361,2.783311,1287
141,2.80333,371,2.80333,1514
142,2.82335,324,2.82335,1738
143,2.84337,358,2.84337,1803
144,2.863389,394,2.863389,1719
145,2.883409,410,2.883409,1534
146,2.903429,391,2.903429,1449
147,2.923449,467,2.923449,1455
148,2.943468,511,2.943468,1659
149,2.963488,533,2.963488,1660
150,2.983508,393,2.983508,1483
151,3.003527,417,3.003527,1127
152,3.023547,361,3.023547,804
153,3.043567,370,3.043567,532
154,3.063586,336,3.063586,400
155,3.083606,314,3.083606,307
156,3.103626,340,3.103626,283
157,3.123646,337,3.123646,324
158,3.143665,342,3.143665,356
159,3.163685,318,3.163685,383
160,3.183705,372,3.183705,371
161,3.203724,418,3.203724,426
162,3.223744,504,3.223744,513
163,3.243764,609,3.243764,830
164,3.263783,782,3.263783,1169
165,3.283803,964,3.283803,1635
166,3.303823,985,3.303823,1882
167,3.323843,951,3.323843,1922
168,3.343862,815,3.343862,1694
169,3.363882,611,3.363882,1244
170,3.383902,531,3.383902,776
171,3.403921,370,3.403921,469
172,3.423941,393,3.423941,289
