Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA0256-00067-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:21:28 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.043
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,48
UserCustomField,ID,48
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.1440903,0.1440903,0.1936707,0,0,False,False
13,Al,PercentWeight,0.04128691,0.04128691,0.02582421,0,0,False,False
14,Si,PercentWeight,0.09438322,0.09438322,0.01105877,0,0,False,False
15,P,PercentWeight,0.1349138,0.08241379,0.005025096,0,0,False,False
16,S,PercentWeight,0.2325728,0.1910728,0.003677611,0,0,False,False
17,Cl,PercentWeight,0.02108663,0.02108663,0.01207437,0,0,False,False
19,K,PercentWeight,1.15513,1.06763,0.004819948,0,0,False,False
20,Ca,PercentWeight,0.7711586,0.7711586,0.003048361,0,0,False,False
22,Ti,PercentWeight,0.001136611,0.001136611,0.0002236544,0,0,False,False
23,V,PercentWeight,6.876339E-05,6.876339E-05,3.263116E-05,0,0,False,False
24,Cr,PercentWeight,0.00205711,0.00205711,0.000207842,0,0,False,False
25,Mn,PercentWeight,0.1841787,0.1841787,0.001112824,0,0,False,False
26,Fe,PercentWeight,0.02088184,0.02088184,0.0006633215,0,0,False,False
28,Ni,PercentWeight,0,0,8.340114E-05,0,0,False,False
29,Cu,PercentWeight,0.0008183706,0.0008183706,6.196925E-05,0,0,False,False
30,Zn,PercentWeight,0.0365849,0.0365849,0.0002367869,0,0,False,False
33,As,PercentWeight,8.941305E-05,8.941305E-05,7.920835E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.736022E-05,0,0,False,False
35,Br,PercentWeight,8.120565E-05,8.120565E-05,9.152548E-05,0,0,False,False
37,Rb,PercentWeight,0.001148789,0.001148789,0.0001221551,0,0,False,False
38,Sr,PercentWeight,0.01162055,0.01162055,0.0001407915,0,0,False,False
42,Mo,PercentWeight,0.0001024186,0.0001024186,7.058001E-05,0,0,False,False
48,Cd,PercentWeight,0.0007328148,0.0007328148,0.0002293787,0,0,False,False
56,Ba,PercentWeight,0.01779216,0.01779216,0.00319494,0,0,False,False
80,Hg,PercentWeight,0,0,9.502191E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002539904,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2026909,,459789,
ValidCounts,1741407,,413270,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007876102,,0.0007876102,
ZeroOffsetInKeV,-0.0007876102,,-0.0007876102,
StartingChannel,0.03934176,,0.03934176,
NumberOfChannels,2048,,2048,
CountsPerSecond,48421.14,,50654.29,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:21:28 AM,,03/08/2023 11:21:28 AM,
LiveTimeInSeconds,37.006,,8.037001,
DeadTimeInSeconds,4.854003,,1.04,
ResetTimeInSeconds,5.025999,,0.29,
DetectorTempInC,-27,,-27,
AmbientTempInF,94.5,,94.5,
NosePressureInMilliBars,789.7341,,789.7341,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.86,,9.077001,
PacketTimeInSeconds,46.886,,9.367001,
CommunicationTimeInSeconds,3.113998,,0.6329994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007876102,0,0.0007876102,0
2,0.02080731,0,0.02080731,0
3,0.04082701,0,0.04082701,0
4,0.06084671,0,0.06084671,0
5,0.08086641,0,0.08086641,0
6,0.1008861,0,0.1008861,0
7,0.1209058,0,0.1209058,0
8,0.1409255,0,0.1409255,0
9,0.1609452,0,0.1609452,0
10,0.1809649,0,0.1809649,0
11,0.2009846,0,0.2009846,0
12,0.2210043,0,0.2210043,0
13,0.241024,0,0.241024,0
14,0.2610437,0,0.2610437,0
15,0.2810634,0,0.2810634,0
16,0.3010831,7,0.3010831,3
17,0.3211028,125,0.3211028,29
18,0.3411225,1222,0.3411225,270
19,0.3611422,5593,0.3611422,1213
20,0.3811619,11998,0.3811619,2570
21,0.4011816,11469,0.4011816,2475
22,0.4212013,5064,0.4212013,1134
23,0.441221,1057,0.441221,222
24,0.4612407,120,0.4612407,23
25,0.4812604,9,0.4812604,1
26,0.5012801,6,0.5012801,0
27,0.5212998,4,0.5212998,0
28,0.5413195,3,0.5413195,0
29,0.5613393,0,0.5613393,0
30,0.5813589,4,0.5813589,0
31,0.6013786,1,0.6013786,0
32,0.6213983,0,0.6213983,1
33,0.641418,1,0.641418,0
34,0.6614377,2,0.6614377,0
35,0.6814575,766,0.6814575,14
36,0.7014772,762,0.7014772,12
37,0.7214968,783,0.7214968,17
38,0.7415165,785,0.7415165,13
39,0.7615362,756,0.7615362,18
40,0.781556,702,0.781556,14
41,0.8015757,680,0.8015757,16
42,0.8215954,768,0.8215954,22
43,0.8416151,715,0.8416151,26
44,0.8616347,740,0.8616347,21
45,0.8816544,779,0.8816544,31
46,0.9016742,719,0.9016742,38
47,0.9216939,714,0.9216939,57
48,0.9417136,697,0.9417136,62
49,0.9617333,688,0.9617333,58
50,0.9817529,687,0.9817529,40
51,1.001773,742,1.001773,28
52,1.021792,706,1.021792,31
53,1.041812,728,1.041812,30
54,1.061832,672,1.061832,38
55,1.081851,678,1.081851,36
56,1.101871,673,1.101871,36
57,1.121891,726,1.121891,27
58,1.141911,712,1.141911,33
59,1.16193,685,1.16193,23
60,1.18195,698,1.18195,33
61,1.20197,651,1.20197,33
62,1.221989,660,1.221989,42
63,1.242009,659,1.242009,32
64,1.262029,659,1.262029,34
65,1.282048,640,1.282048,29
66,1.302068,662,1.302068,22
67,1.322088,590,1.322088,17
68,1.342108,622,1.342108,21
69,1.362127,631,1.362127,18
70,1.382147,565,1.382147,17
71,1.402167,608,1.402167,16
72,1.422186,590,1.422186,33
73,1.442206,600,1.442206,39
74,1.462226,622,1.462226,63
75,1.482245,586,1.482245,72
76,1.502265,592,1.502265,88
77,1.522285,622,1.522285,115
78,1.542305,587,1.542305,141
79,1.562324,606,1.562324,199
80,1.582344,553,1.582344,167
81,1.602364,575,1.602364,107
82,1.622383,579,1.622383,62
83,1.642403,550,1.642403,39
84,1.662423,540,1.662423,42
85,1.682443,511,1.682443,67
86,1.702462,476,1.702462,82
87,1.722482,510,1.722482,121
88,1.742502,554,1.742502,116
89,1.762521,545,1.762521,113
90,1.782541,550,1.782541,80
91,1.802561,472,1.802561,85
92,1.82258,549,1.82258,62
93,1.8426,561,1.8426,56
94,1.86262,544,1.86262,64
95,1.88264,552,1.88264,86
96,1.902659,566,1.902659,98
97,1.922679,565,1.922679,136
98,1.942699,590,1.942699,206
99,1.962718,551,1.962718,253
100,1.982738,519,1.982738,347
101,2.002758,562,2.002758,458
102,2.022777,514,2.022777,374
103,2.042797,514,2.042797,271
104,2.062817,473,2.062817,179
105,2.082837,539,2.082837,112
106,2.102856,500,2.102856,66
107,2.122876,465,2.122876,75
108,2.142896,483,2.142896,77
109,2.162915,476,2.162915,68
110,2.182935,465,2.182935,83
111,2.202955,478,2.202955,111
112,2.222975,466,2.222975,220
113,2.242994,513,2.242994,436
114,2.263014,537,2.263014,839
115,2.283034,489,2.283034,1204
116,2.303053,504,2.303053,1384
117,2.323073,517,2.323073,1280
118,2.343093,469,2.343093,925
119,2.363112,432,2.363112,581
120,2.383132,459,2.383132,378
121,2.403152,453,2.403152,239
122,2.423172,421,2.423172,223
123,2.443191,486,2.443191,186
124,2.463211,430,2.463211,215
125,2.483231,423,2.483231,203
126,2.50325,452,2.50325,218
127,2.52327,403,2.52327,190
128,2.54329,438,2.54329,191
129,2.563309,478,2.563309,240
130,2.583329,469,2.583329,394
131,2.603349,522,2.603349,607
132,2.623369,492,2.623369,1013
133,2.643388,468,2.643388,1691
134,2.663408,489,2.663408,2457
135,2.683428,449,2.683428,2923
136,2.703447,411,2.703447,3103
137,2.723467,412,2.723467,2665
138,2.743487,385,2.743487,1902
139,2.763506,449,2.763506,1442
140,2.783526,415,2.783526,1341
141,2.803546,418,2.803546,1476
142,2.823565,366,2.823565,1739
143,2.843585,379,2.843585,1787
144,2.863605,396,2.863605,1656
145,2.883625,430,2.883625,1484
146,2.903644,435,2.903644,1417
147,2.923664,461,2.923664,1458
148,2.943684,485,2.943684,1597
149,2.963703,506,2.963703,1554
150,2.983723,460,2.983723,1324
151,3.003743,460,3.003743,1081
152,3.023762,413,3.023762,779
153,3.043782,386,3.043782,587
154,3.063802,376,3.063802,362
155,3.083822,396,3.083822,291
156,3.103841,355,3.103841,306
157,3.123861,383,3.123861,313
158,3.143881,360,3.143881,365
159,3.1639,388,3.1639,427
160,3.18392,474,3.18392,530
161,3.20394,552,3.20394,824
162,3.223959,846,3.223959,1762
163,3.243979,1243,3.243979,3446
164,3.263999,2099,3.263999,5944
165,3.284019,2814,3.284019,9101
166,3.304038,3253,3.304038,11358
167,3.324058,3174,3.324058,11400
168,3.344078,2712,3.344078,9555
169,3.364097,1889,3.364097,6538
