Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA0257-00068-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:26:52 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.758
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,49
UserCustomField,ID,49
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3390385,0.3390385,0.1990228,0,0,False,False
13,Al,PercentWeight,0,0,0.02395597,0,0,False,False
14,Si,PercentWeight,0.148322,0.148322,0.01190514,0,0,False,False
15,P,PercentWeight,0.1636611,0.1111611,0.0052425,0,0,False,False
16,S,PercentWeight,0.223402,0.181902,0.003583077,0,0,False,False
17,Cl,PercentWeight,0.02585272,0.02585272,0.01183352,0,0,False,False
19,K,PercentWeight,1.046548,0.9590476,0.004540675,0,0,False,False
20,Ca,PercentWeight,0.5286459,0.5286459,0.002562555,0,0,False,False
22,Ti,PercentWeight,0.0006323775,0.0006323775,0.0002065284,0,0,False,False
23,V,PercentWeight,8.936509E-05,8.936509E-05,3.08248E-05,0,0,False,False
24,Cr,PercentWeight,0.002205574,0.002205574,0.0001968696,0,0,False,False
25,Mn,PercentWeight,0.06347637,0.06347637,0.000708616,0,0,False,False
26,Fe,PercentWeight,0.01842245,0.01842245,0.0005817992,0,0,False,False
28,Ni,PercentWeight,0,0,8.084211E-05,0,0,False,False
29,Cu,PercentWeight,0.0005761892,0.0005761892,6.197279E-05,0,0,False,False
30,Zn,PercentWeight,0.01795285,0.01795285,0.0001750157,0,0,False,False
33,As,PercentWeight,0,0,8.083099E-05,0,0,False,False
34,Se,PercentWeight,5.107004E-05,5.107004E-05,5.611295E-05,0,0,False,False
35,Br,PercentWeight,0,0,9.376699E-05,0,0,False,False
37,Rb,PercentWeight,0.0005005127,0.0005005127,0.0001229814,0,0,False,False
38,Sr,PercentWeight,0.004761727,0.004761727,0.0001293302,0,0,False,False
42,Mo,PercentWeight,0,0,6.901716E-05,0,0,False,False
48,Cd,PercentWeight,0.001238787,0.001238787,0.0002222286,0,0,False,False
56,Ba,PercentWeight,0.001465547,0.001465547,0.003294988,0,0,False,False
80,Hg,PercentWeight,0,0,9.044647E-06,0,0,False,False
82,Pb,PercentWeight,0.0002076152,0.0002076152,0.0002582011,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1896212,,394037,
ValidCounts,1640159,,359558,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000913973,,0.000913973,
ZeroOffsetInKeV,-0.000913973,,-0.000913973,
StartingChannel,0.04565368,,0.04565368,
NumberOfChannels,2048,,2048,
CountsPerSecond,45049.23,,43191.6,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:26:52 AM,,03/08/2023 11:26:52 AM,
LiveTimeInSeconds,37.53,,8.228001,
DeadTimeInSeconds,4.562001,,0.895,
ResetTimeInSeconds,4.798,,0.25,
DetectorTempInC,-27,,-27,
AmbientTempInF,96,,96,
NosePressureInMilliBars,788.6995,,788.6995,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,42.092,,9.123001,
PacketTimeInSeconds,46.89,,9.373001,
CommunicationTimeInSeconds,3.110001,,0.6269989,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000913973,0,0.000913973,0
2,0.02093367,0,0.02093367,0
3,0.04095338,0,0.04095338,0
4,0.06097307,0,0.06097307,0
5,0.08099278,0,0.08099278,0
6,0.1010125,0,0.1010125,0
7,0.1210322,0,0.1210322,0
8,0.1410519,0,0.1410519,0
9,0.1610716,0,0.1610716,0
10,0.1810913,0,0.1810913,0
11,0.201111,0,0.201111,0
12,0.2211307,0,0.2211307,0
13,0.2411504,0,0.2411504,0
14,0.2611701,0,0.2611701,0
15,0.2811898,0,0.2811898,0
16,0.3012095,5,0.3012095,2
17,0.3212292,106,0.3212292,24
18,0.3412489,1227,0.3412489,245
19,0.3612686,5700,0.3612686,1155
20,0.3812883,12320,0.3812883,2682
21,0.401308,11582,0.401308,2634
22,0.4213277,5084,0.4213277,1186
23,0.4413474,1056,0.4413474,229
24,0.4613671,110,0.4613671,30
25,0.4813868,8,0.4813868,2
26,0.5014065,6,0.5014065,0
27,0.5214262,1,0.5214262,0
28,0.5414459,4,0.5414459,0
29,0.5614656,4,0.5614656,0
30,0.5814853,0,0.5814853,0
31,0.601505,1,0.601505,0
32,0.6215247,1,0.6215247,0
33,0.6415444,0,0.6415444,1
34,0.6615641,3,0.6615641,0
35,0.6815838,738,0.6815838,18
36,0.7016035,801,0.7016035,19
37,0.7216232,772,0.7216232,11
38,0.7416429,792,0.7416429,14
39,0.7616626,750,0.7616626,10
40,0.7816823,741,0.7816823,10
41,0.801702,711,0.801702,17
42,0.8217217,723,0.8217217,14
43,0.8417414,732,0.8417414,15
44,0.8617611,662,0.8617611,15
45,0.8817808,705,0.8817808,34
46,0.9018005,725,0.9018005,40
47,0.9218202,715,0.9218202,52
48,0.9418399,695,0.9418399,56
49,0.9618596,684,0.9618596,67
50,0.9818793,742,0.9818793,34
51,1.001899,661,1.001899,36
52,1.021919,723,1.021919,20
53,1.041938,670,1.041938,31
54,1.061958,658,1.061958,40
55,1.081978,694,1.081978,31
56,1.101997,652,1.101997,41
57,1.122017,623,1.122017,28
58,1.142037,663,1.142037,33
59,1.162057,634,1.162057,28
60,1.182076,660,1.182076,28
61,1.202096,603,1.202096,49
62,1.222116,606,1.222116,47
63,1.242135,650,1.242135,39
64,1.262155,629,1.262155,44
65,1.282175,645,1.282175,23
66,1.302195,623,1.302195,23
67,1.322214,592,1.322214,25
68,1.342234,620,1.342234,21
69,1.362254,603,1.362254,19
70,1.382273,581,1.382273,19
71,1.402293,596,1.402293,20
72,1.422313,578,1.422313,23
73,1.442332,601,1.442332,43
74,1.462352,561,1.462352,42
75,1.482372,578,1.482372,52
76,1.502392,617,1.502392,82
77,1.522411,576,1.522411,97
78,1.542431,569,1.542431,149
79,1.562451,550,1.562451,182
80,1.58247,522,1.58247,137
81,1.60249,551,1.60249,113
82,1.62251,568,1.62251,52
83,1.642529,551,1.642529,39
84,1.662549,485,1.662549,39
85,1.682569,498,1.682569,70
86,1.702589,544,1.702589,113
87,1.722608,514,1.722608,159
88,1.742628,530,1.742628,162
89,1.762648,501,1.762648,140
90,1.782667,553,1.782667,109
91,1.802687,531,1.802687,63
92,1.822707,499,1.822707,65
93,1.842726,557,1.842726,55
94,1.862746,543,1.862746,54
95,1.882766,525,1.882766,90
96,1.902786,494,1.902786,98
97,1.922805,513,1.922805,141
98,1.942825,558,1.942825,184
99,1.962845,518,1.962845,322
100,1.982864,546,1.982864,398
101,2.002884,504,2.002884,462
102,2.022904,493,2.022904,459
103,2.042923,497,2.042923,355
104,2.062943,472,2.062943,207
105,2.082963,457,2.082963,125
106,2.102983,520,2.102983,88
107,2.123002,463,2.123002,76
108,2.143022,471,2.143022,82
109,2.163042,503,2.163042,70
110,2.183061,427,2.183061,74
111,2.203081,485,2.203081,134
112,2.223101,481,2.223101,215
113,2.24312,502,2.24312,432
114,2.26314,477,2.26314,810
115,2.28316,497,2.28316,1099
116,2.30318,496,2.30318,1357
117,2.323199,480,2.323199,1333
118,2.343219,460,2.343219,982
119,2.363239,453,2.363239,564
120,2.383258,451,2.383258,375
121,2.403278,471,2.403278,251
122,2.423298,443,2.423298,205
123,2.443317,438,2.443317,194
124,2.463337,438,2.463337,220
125,2.483357,459,2.483357,216
126,2.503376,438,2.503376,222
127,2.523396,444,2.523396,193
128,2.543416,434,2.543416,195
129,2.563436,437,2.563436,227
130,2.583455,436,2.583455,321
131,2.603475,430,2.603475,515
132,2.623495,474,2.623495,990
133,2.643514,493,2.643514,1670
134,2.663534,464,2.663534,2422
135,2.683554,416,2.683554,3135
136,2.703574,411,2.703574,3153
137,2.723593,416,2.723593,2634
138,2.743613,406,2.743613,1941
139,2.763633,401,2.763633,1356
140,2.783652,363,2.783652,1340
141,2.803672,398,2.803672,1536
142,2.823692,406,2.823692,1715
143,2.843712,390,2.843712,1851
144,2.863731,362,2.863731,1756
145,2.883751,424,2.883751,1517
146,2.903771,442,2.903771,1542
147,2.92379,483,2.92379,1538
148,2.94381,512,2.94381,1664
149,2.96383,530,2.96383,1651
150,2.98385,485,2.98385,1421
151,3.003869,459,3.003869,1168
152,3.023889,398,3.023889,825
153,3.043909,372,3.043909,520
154,3.063928,407,3.063928,363
155,3.083948,337,3.083948,322
156,3.103968,358,3.103968,268
157,3.123987,375,3.123987,336
158,3.144007,376,3.144007,340
159,3.164027,391,3.164027,419
160,3.184047,390,3.184047,533
161,3.204066,534,3.204066,817
162,3.224086,804,3.224086,1534
163,3.244106,1261,3.244106,3188
164,3.264125,1858,3.264125,5663
165,3.284145,2635,3.284145,8485
166,3.304165,3018,3.304165,10614
167,3.324184,3020,3.324184,10747
168,3.344204,2501,3.344204,8983
169,3.364224,1748,3.364224,6152
170,3.384243,1082,3.384243,3482
171,3.404263,706,3.404263,1668
