Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA0260-00078-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 12:50:01 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.917
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,59
UserCustomField,ID,59
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.361632,0.361632,0.1948038,0,0,False,False
13,Al,PercentWeight,0.008452954,0.008452954,0.02535797,0,0,False,False
14,Si,PercentWeight,0.09610745,0.09610745,0.01160104,0,0,False,False
15,P,PercentWeight,0.211622,0.159122,0.005936516,0,0,False,False
16,S,PercentWeight,0.2328542,0.1913542,0.003730567,0,0,False,False
17,Cl,PercentWeight,0.02937057,0.02937057,0.01234687,0,0,False,False
19,K,PercentWeight,0.9810196,0.8935196,0.004446289,0,0,False,False
20,Ca,PercentWeight,0.9829214,0.9829214,0.003358737,0,0,False,False
22,Ti,PercentWeight,0.0008085438,0.0008085438,0.0002188974,0,0,False,False
23,V,PercentWeight,5.893545E-05,5.893545E-05,3.2173E-05,0,0,False,False
24,Cr,PercentWeight,0.002360847,0.002360847,0.0002079455,0,0,False,False
25,Mn,PercentWeight,0.04029746,0.04029746,0.000600598,0,0,False,False
26,Fe,PercentWeight,0.01239322,0.01239322,0.0005168883,0,0,False,False
28,Ni,PercentWeight,0,0,8.445086E-05,0,0,False,False
29,Cu,PercentWeight,0.001131176,0.001131176,6.855575E-05,0,0,False,False
30,Zn,PercentWeight,0.0767318,0.0767318,0.000338511,0,0,False,False
33,As,PercentWeight,0,0,7.875184E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.844164E-05,0,0,False,False
35,Br,PercentWeight,8.296042E-05,8.296042E-05,9.195697E-05,0,0,False,False
37,Rb,PercentWeight,0.0006788867,0.0006788867,0.0001224824,0,0,False,False
38,Sr,PercentWeight,0.008900021,0.008900021,0.0001369286,0,0,False,False
42,Mo,PercentWeight,0.0001100834,0.0001100834,7.192787E-05,0,0,False,False
48,Cd,PercentWeight,0.0004606025,0.0004606025,0.0002329133,0,0,False,False
56,Ba,PercentWeight,0.005606658,0.005606658,0.003184635,0,0,False,False
80,Hg,PercentWeight,0,0,9.573333E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002555771,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2061851,,449724,
ValidCounts,1768562,,405173,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008615944,,0.0008615944,
ZeroOffsetInKeV,-0.0008615944,,-0.0008615944,
StartingChannel,0.04303733,,0.04303733,
NumberOfChannels,2048,,2048,
CountsPerSecond,49352.56,,49474.58,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 12:50:01 PM,,03/08/2023 12:50:01 PM,
LiveTimeInSeconds,36.843,,8.074,
DeadTimeInSeconds,4.935,,1.016,
ResetTimeInSeconds,5.143002,,0.287,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.7,,96.7,
NosePressureInMilliBars,788.7294,,788.7294,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.778,,9.090001,
PacketTimeInSeconds,46.921,,9.377001,
CommunicationTimeInSeconds,3.079002,,0.6229992,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008615944,0,0.0008615944,0
2,0.0208813,0,0.0208813,0
3,0.040901,0,0.040901,0
4,0.0609207,0,0.0609207,0
5,0.0809404,0,0.0809404,0
6,0.1009601,0,0.1009601,0
7,0.1209798,0,0.1209798,0
8,0.1409995,0,0.1409995,0
9,0.1610192,0,0.1610192,0
10,0.1810389,0,0.1810389,0
11,0.2010586,0,0.2010586,0
12,0.2210783,0,0.2210783,0
13,0.241098,0,0.241098,0
14,0.2611177,0,0.2611177,0
15,0.2811374,0,0.2811374,0
16,0.3011571,4,0.3011571,2
17,0.3211768,137,0.3211768,17
18,0.3411965,1155,0.3411965,247
19,0.3612162,5644,0.3612162,1198
20,0.3812359,12039,0.3812359,2564
21,0.4012556,11344,0.4012556,2533
22,0.4212753,5037,0.4212753,1120
23,0.441295,1038,0.441295,260
24,0.4613147,119,0.4613147,19
25,0.4813344,7,0.4813344,1
26,0.5013541,8,0.5013541,0
27,0.5213738,4,0.5213738,0
28,0.5413935,4,0.5413935,1
29,0.5614132,2,0.5614132,0
30,0.5814329,3,0.5814329,0
31,0.6014526,1,0.6014526,0
32,0.6214723,1,0.6214723,0
33,0.641492,2,0.641492,1
34,0.6615117,3,0.6615117,0
35,0.6815314,776,0.6815314,30
36,0.7015511,769,0.7015511,13
37,0.7215708,773,0.7215708,14
38,0.7415906,762,0.7415906,15
39,0.7616102,744,0.7616102,15
40,0.7816299,793,0.7816299,15
41,0.8016496,771,0.8016496,13
42,0.8216693,746,0.8216693,16
43,0.8416891,803,0.8416891,23
44,0.8617088,772,0.8617088,18
45,0.8817284,745,0.8817284,19
46,0.9017481,736,0.9017481,31
47,0.9217678,748,0.9217678,51
48,0.9417875,748,0.9417875,69
49,0.9618073,712,0.9618073,54
50,0.981827,741,0.981827,49
51,1.001847,679,1.001847,35
52,1.021866,703,1.021866,31
53,1.041886,701,1.041886,31
54,1.061906,670,1.061906,41
55,1.081925,684,1.081925,49
56,1.101945,653,1.101945,34
57,1.121965,670,1.121965,29
58,1.141985,684,1.141985,21
59,1.162004,707,1.162004,26
60,1.182024,704,1.182024,32
61,1.202044,617,1.202044,36
62,1.222063,653,1.222063,42
63,1.242083,646,1.242083,48
64,1.262103,647,1.262103,34
65,1.282122,628,1.282122,27
66,1.302142,662,1.302142,19
67,1.322162,685,1.322162,19
68,1.342182,619,1.342182,10
69,1.362201,615,1.362201,18
70,1.382221,588,1.382221,18
71,1.402241,598,1.402241,29
72,1.42226,611,1.42226,30
73,1.44228,621,1.44228,42
74,1.4623,623,1.4623,49
75,1.482319,599,1.482319,60
76,1.502339,622,1.502339,80
77,1.522359,602,1.522359,100
78,1.542379,572,1.542379,153
79,1.562398,589,1.562398,164
80,1.582418,606,1.582418,138
81,1.602438,548,1.602438,86
82,1.622457,543,1.622457,55
83,1.642477,546,1.642477,50
84,1.662497,535,1.662497,40
85,1.682516,520,1.682516,52
86,1.702536,555,1.702536,97
87,1.722556,539,1.722556,140
88,1.742576,582,1.742576,137
89,1.762595,555,1.762595,123
90,1.782615,545,1.782615,78
91,1.802635,516,1.802635,71
92,1.822654,539,1.822654,56
93,1.842674,523,1.842674,59
94,1.862694,550,1.862694,69
95,1.882713,494,1.882713,79
96,1.902733,558,1.902733,136
97,1.922753,591,1.922753,191
98,1.942773,604,1.942773,259
99,1.962792,589,1.962792,388
100,1.982812,561,1.982812,570
101,2.002832,545,2.002832,600
102,2.022851,534,2.022851,555
103,2.042871,548,2.042871,401
104,2.062891,541,2.062891,258
105,2.082911,481,2.082911,135
106,2.10293,487,2.10293,92
107,2.12295,479,2.12295,97
108,2.14297,483,2.14297,89
109,2.162989,467,2.162989,95
110,2.183009,538,2.183009,68
111,2.203029,480,2.203029,109
112,2.223048,505,2.223048,210
113,2.243068,487,2.243068,487
114,2.263088,546,2.263088,818
115,2.283108,520,2.283108,1171
116,2.303127,532,2.303127,1381
117,2.323147,480,2.323147,1363
118,2.343167,520,2.343167,982
119,2.363186,476,2.363186,613
120,2.383206,439,2.383206,386
121,2.403226,462,2.403226,229
122,2.423245,456,2.423245,237
123,2.443265,426,2.443265,213
124,2.463285,459,2.463285,227
125,2.483305,424,2.483305,213
126,2.503324,469,2.503324,201
127,2.523344,462,2.523344,215
128,2.543364,447,2.543364,214
129,2.563383,415,2.563383,288
130,2.583403,462,2.583403,342
131,2.603423,483,2.603423,646
132,2.623442,508,2.623442,1071
133,2.643462,482,2.643462,1780
134,2.663482,469,2.663482,2548
135,2.683501,435,2.683501,3117
136,2.703521,449,2.703521,3183
137,2.723541,408,2.723541,2726
138,2.743561,386,2.743561,2013
139,2.76358,434,2.76358,1463
140,2.7836,404,2.7836,1325
141,2.80362,368,2.80362,1579
142,2.823639,396,2.823639,1801
143,2.843659,391,2.843659,1888
144,2.863679,392,2.863679,1703
145,2.883698,427,2.883698,1486
146,2.903718,433,2.903718,1464
147,2.923738,458,2.923738,1535
148,2.943758,520,2.943758,1614
149,2.963777,539,2.963777,1578
150,2.983797,492,2.983797,1430
151,3.003817,443,3.003817,1117
152,3.023836,434,3.023836,794
153,3.043856,362,3.043856,528
154,3.063876,344,3.063876,405
155,3.083895,351,3.083895,280
156,3.103915,350,3.103915,319
157,3.123935,400,3.123935,315
158,3.143955,362,3.143955,372
159,3.163974,401,3.163974,462
160,3.183994,424,3.183994,546
161,3.204014,559,3.204014,805
162,3.224033,775,3.224033,1504
163,3.244053,1239,3.244053,2858
164,3.264073,1750,3.264073,5109
165,3.284093,2478,3.284093,7646
166,3.304112,2877,3.304112,9409
167,3.324132,2740,3.324132,9729
168,3.344152,2340,3.344152,8124
169,3.364171,1680,3.364171,5513
170,3.384191,1083,3.384191,3205
