Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA0610-00071-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:49:36 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.41
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,52
UserCustomField,ID,52
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.2135019,0.2135019,0.1818113,0,0,False,False
13,Al,PercentWeight,0.007919463,0.007919463,0.02272847,0,0,False,False
14,Si,PercentWeight,0.0129277,0.0129277,0.008699675,0,0,False,False
15,P,PercentWeight,0.1323288,0.07982877,0.004737435,0,0,False,False
16,S,PercentWeight,0.1501152,0.1086152,0.003117577,0,0,False,False
17,Cl,PercentWeight,0.02699744,0.02699744,0.01210898,0,0,False,False
19,K,PercentWeight,0.688803,0.601303,0.003674351,0,0,False,False
20,Ca,PercentWeight,0.3506559,0.3506559,0.002151953,0,0,False,False
22,Ti,PercentWeight,0.0008180552,0.0008180552,0.0002186752,0,0,False,False
23,V,PercentWeight,0,0,3.336259E-05,0,0,False,False
24,Cr,PercentWeight,0.002558602,0.002558602,0.0002187525,0,0,False,False
25,Mn,PercentWeight,0.0620956,0.0620956,0.0007123314,0,0,False,False
26,Fe,PercentWeight,0.009811442,0.009811442,0.0005466305,0,0,False,False
28,Ni,PercentWeight,0,0,7.807781E-05,0,0,False,False
29,Cu,PercentWeight,0.003135936,0.003135936,8.860547E-05,0,0,False,False
30,Zn,PercentWeight,0.001117147,0.001117147,7.992421E-05,0,0,False,False
33,As,PercentWeight,0,0,9.024026E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.705542E-05,0,0,False,False
35,Br,PercentWeight,0.0003843827,0.0003843827,0.0001040268,0,0,False,False
37,Rb,PercentWeight,0.001270351,0.001270351,0.0001345619,0,0,False,False
38,Sr,PercentWeight,0.001110471,0.001110471,0.000128633,0,0,False,False
42,Mo,PercentWeight,0,0,6.651242E-05,0,0,False,False
48,Cd,PercentWeight,0.0006462272,0.0006462272,0.0002127137,0,0,False,False
56,Ba,PercentWeight,0.00261542,0.00261542,0.003290777,0,0,False,False
80,Hg,PercentWeight,0,0,9.625266E-06,0,0,False,False
82,Pb,PercentWeight,0.0006694538,0.0006694538,0.0002831568,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1777805,,380273,
ValidCounts,1547184,,347946,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006747937,,0.0006747937,
ZeroOffsetInKeV,-0.0006747937,,-0.0006747937,
StartingChannel,0.03370648,,0.03370648,
NumberOfChannels,2048,,2048,
CountsPerSecond,41895.77,,41664.62,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:49:36 AM,,03/08/2023 11:49:36 AM,
LiveTimeInSeconds,38.151,,8.259001,
DeadTimeInSeconds,4.283,,0.8680001,
ResetTimeInSeconds,4.466,,0.26,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.9,,96.9,
NosePressureInMilliBars,789.8874,,789.8874,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.434,,9.127001,
PacketTimeInSeconds,46.9,,9.387001,
CommunicationTimeInSeconds,3.100002,,0.612999,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006747937,0,0.0006747937,0
2,0.02069449,0,0.02069449,0
3,0.0407142,0,0.0407142,0
4,0.0607339,0,0.0607339,0
5,0.08075359,0,0.08075359,0
6,0.1007733,0,0.1007733,0
7,0.120793,0,0.120793,0
8,0.1408127,0,0.1408127,0
9,0.1608324,0,0.1608324,0
10,0.1808521,0,0.1808521,0
11,0.2008718,0,0.2008718,0
12,0.2208915,0,0.2208915,0
13,0.2409112,0,0.2409112,0
14,0.2609309,0,0.2609309,0
15,0.2809506,0,0.2809506,0
16,0.3009703,7,0.3009703,2
17,0.32099,125,0.32099,22
18,0.3410097,1266,0.3410097,235
19,0.3610294,5716,0.3610294,1242
20,0.3810491,12377,0.3810491,2647
21,0.4010688,11876,0.4010688,2596
22,0.4210885,5276,0.4210885,1179
23,0.4411082,1104,0.4411082,227
24,0.4611279,126,0.4611279,26
25,0.4811476,14,0.4811476,1
26,0.5011673,4,0.5011673,0
27,0.521187,6,0.521187,0
28,0.5412067,2,0.5412067,1
29,0.5612264,2,0.5612264,0
30,0.5812461,1,0.5812461,1
31,0.6012658,3,0.6012658,0
32,0.6212855,1,0.6212855,0
33,0.6413052,3,0.6413052,0
34,0.6613249,0,0.6613249,0
35,0.6813446,755,0.6813446,18
36,0.7013643,682,0.7013643,12
37,0.721384,724,0.721384,15
38,0.7414038,706,0.7414038,10
39,0.7614234,725,0.7614234,11
40,0.7814431,629,0.7814431,10
41,0.8014628,683,0.8014628,8
42,0.8214825,672,0.8214825,15
43,0.8415022,687,0.8415022,17
44,0.861522,712,0.861522,19
45,0.8815416,690,0.8815416,18
46,0.9015613,639,0.9015613,34
47,0.921581,628,0.921581,60
48,0.9416007,666,0.9416007,78
49,0.9616205,629,0.9616205,72
50,0.9816402,675,0.9816402,38
51,1.00166,667,1.00166,21
52,1.02168,638,1.02168,24
53,1.041699,624,1.041699,20
54,1.061719,640,1.061719,37
55,1.081739,600,1.081739,35
56,1.101758,621,1.101758,51
57,1.121778,626,1.121778,38
58,1.141798,606,1.141798,27
59,1.161817,619,1.161817,31
60,1.181837,595,1.181837,37
61,1.201857,617,1.201857,40
62,1.221877,636,1.221877,35
63,1.241896,619,1.241896,35
64,1.261916,582,1.261916,28
65,1.281936,558,1.281936,24
66,1.301955,571,1.301955,17
67,1.321975,524,1.321975,17
68,1.341995,575,1.341995,16
69,1.362014,584,1.362014,13
70,1.382034,560,1.382034,19
71,1.402054,581,1.402054,21
72,1.422074,549,1.422074,24
73,1.442093,557,1.442093,33
74,1.462113,556,1.462113,42
75,1.482133,576,1.482133,61
76,1.502152,545,1.502152,56
77,1.522172,548,1.522172,72
78,1.542192,574,1.542192,104
79,1.562212,496,1.562212,114
80,1.582231,535,1.582231,104
81,1.602251,498,1.602251,73
82,1.622271,482,1.622271,42
83,1.64229,454,1.64229,35
84,1.66231,525,1.66231,25
85,1.68233,522,1.68233,37
86,1.702349,501,1.702349,47
87,1.722369,503,1.722369,62
88,1.742389,462,1.742389,68
89,1.762408,462,1.762408,62
90,1.782428,490,1.782428,44
91,1.802448,508,1.802448,41
92,1.822468,495,1.822468,49
93,1.842487,496,1.842487,35
94,1.862507,506,1.862507,48
95,1.882527,470,1.882527,50
96,1.902546,484,1.902546,59
97,1.922566,505,1.922566,96
98,1.942586,461,1.942586,164
99,1.962605,490,1.962605,216
100,1.982625,503,1.982625,343
101,2.002645,492,2.002645,392
102,2.022665,479,2.022665,383
103,2.042684,453,2.042684,270
104,2.062704,467,2.062704,170
105,2.082724,441,2.082724,106
106,2.102743,453,2.102743,74
107,2.122763,491,2.122763,72
108,2.142783,461,2.142783,66
109,2.162802,465,2.162802,51
110,2.182822,460,2.182822,80
111,2.202842,383,2.202842,103
112,2.222862,448,2.222862,169
113,2.242881,470,2.242881,310
114,2.262901,483,2.262901,560
115,2.282921,450,2.282921,807
116,2.30294,440,2.30294,1058
117,2.32296,485,2.32296,978
118,2.34298,457,2.34298,701
119,2.362999,430,2.362999,443
120,2.383019,417,2.383019,293
121,2.403039,395,2.403039,204
122,2.423059,415,2.423059,161
123,2.443078,439,2.443078,198
124,2.463098,438,2.463098,192
125,2.483118,404,2.483118,179
126,2.503137,419,2.503137,206
127,2.523157,416,2.523157,180
128,2.543177,378,2.543177,166
129,2.563196,416,2.563196,235
130,2.583216,425,2.583216,319
131,2.603236,436,2.603236,590
132,2.623256,479,2.623256,1018
133,2.643275,415,2.643275,1869
134,2.663295,431,2.663295,2607
135,2.683315,406,2.683315,3291
136,2.703334,402,2.703334,3323
137,2.723354,397,2.723354,2752
138,2.743374,377,2.743374,2038
139,2.763394,348,2.763394,1561
140,2.783413,379,2.783413,1377
141,2.803433,407,2.803433,1640
142,2.823453,392,2.823453,1918
143,2.843472,361,2.843472,1874
144,2.863492,411,2.863492,1734
145,2.883512,392,2.883512,1591
146,2.903532,405,2.903532,1466
147,2.923551,479,2.923551,1515
148,2.943571,465,2.943571,1707
149,2.963591,496,2.963591,1689
150,2.98361,488,2.98361,1515
151,3.00363,396,3.00363,1153
152,3.02365,374,3.02365,819
153,3.043669,358,3.043669,538
154,3.063689,370,3.063689,377
155,3.083709,322,3.083709,301
156,3.103729,376,3.103729,304
157,3.123748,317,3.123748,350
158,3.143768,363,3.143768,370
159,3.163788,343,3.163788,376
160,3.183807,399,3.183807,463
161,3.203827,497,3.203827,665
162,3.223847,688,3.223847,1165
163,3.243866,928,3.243866,2117
164,3.263886,1412,3.263886,3791
165,3.283906,1841,3.283906,5789
166,3.303926,2127,3.303926,7102
167,3.323945,1992,3.323945,7276
168,3.343965,1787,3.343965,5984
169,3.363985,1251,3.363985,4200
170,3.384004,804,3.384004,2418
171,3.404024,571,3.404024,1257
