Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA0875-00009-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:14:59 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.92101
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 22
UserCustomField,ID,CT006PA0024 22
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.6446477,0.6446477,0.2114399,0,0,False,False
13,Al,PercentWeight,0,0,0.02483218,0,0,False,False
14,Si,PercentWeight,0.2582986,0.2582986,0.01386872,0,0,False,False
15,P,PercentWeight,0.1560307,0.1035307,0.005390345,0,0,False,False
16,S,PercentWeight,0.2405226,0.1990226,0.003736313,0,0,False,False
17,Cl,PercentWeight,0.007331579,0.007331579,0.01188202,0,0,False,False
19,K,PercentWeight,0.9766089,0.8891089,0.004448955,0,0,False,False
20,Ca,PercentWeight,1.073291,1.073291,0.003463403,0,0,False,False
22,Ti,PercentWeight,0.0005135877,0.0005135877,0.0002060107,0,0,False,False
23,V,PercentWeight,0,0,3.082887E-05,0,0,False,False
24,Cr,PercentWeight,0.002107625,0.002107625,0.000198031,0,0,False,False
25,Mn,PercentWeight,0.0393987,0.0393987,0.0006240581,0,0,False,False
26,Fe,PercentWeight,0.01613645,0.01613645,0.000555375,0,0,False,False
28,Ni,PercentWeight,0,0,7.980141E-05,0,0,False,False
29,Cu,PercentWeight,0.0004806619,0.0004806619,6.096095E-05,0,0,False,False
30,Zn,PercentWeight,0.002918092,0.002918092,9.296658E-05,0,0,False,False
33,As,PercentWeight,0,0,8.246631E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.463384E-05,0,0,False,False
35,Br,PercentWeight,0.000929523,0.000929523,9.891012E-05,0,0,False,False
37,Rb,PercentWeight,0.001495271,0.001495271,0.0001266989,0,0,False,False
38,Sr,PercentWeight,0.00329627,0.00329627,0.0001257784,0,0,False,False
42,Mo,PercentWeight,0.0001652144,0.0001652144,6.660447E-05,0,0,False,False
48,Cd,PercentWeight,0.0006655866,0.0006655866,0.0002173034,0,0,False,False
56,Ba,PercentWeight,0,0,0.003280012,0,0,False,False
80,Hg,PercentWeight,0,0,8.886398E-06,0,0,False,False
82,Pb,PercentWeight,0.0004480643,0.0004480643,0.0002630186,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1830005,,427796,
ValidCounts,1587347,,387459,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008120596,,0.0008120596,
ZeroOffsetInKeV,-0.0008120596,,-0.0008120596,
StartingChannel,0.04056302,,0.04056302,
NumberOfChannels,2048,,2048,
CountsPerSecond,43376.35,,46979.57,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:14:59 PM,,01/08/2023 4:14:59 PM,
LiveTimeInSeconds,37.784,,8.137001,
DeadTimeInSeconds,4.405001,,0.969,
ResetTimeInSeconds,4.616,,0.26,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.5,,98.5,
NosePressureInMilliBars,785.3966,,785.3966,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.18901,,9.106,
PacketTimeInSeconds,46.80501,,9.366,
CommunicationTimeInSeconds,3.194992,,0.6339998,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008120596,0,0.0008120596,0
2,0.02083176,0,0.02083176,0
3,0.04085146,0,0.04085146,0
4,0.06087116,0,0.06087116,0
5,0.08089086,0,0.08089086,0
6,0.1009106,0,0.1009106,0
7,0.1209303,0,0.1209303,0
8,0.14095,0,0.14095,0
9,0.1609697,0,0.1609697,0
10,0.1809894,0,0.1809894,0
11,0.2010091,0,0.2010091,0
12,0.2210288,0,0.2210288,0
13,0.2410485,0,0.2410485,0
14,0.2610682,0,0.2610682,0
15,0.2810879,0,0.2810879,0
16,0.3011076,11,0.3011076,2
17,0.3211273,132,0.3211273,18
18,0.341147,1276,0.341147,254
19,0.3611667,5784,0.3611667,1226
20,0.3811864,12099,0.3811864,2601
21,0.4012061,11663,0.4012061,2601
22,0.4212258,5205,0.4212258,1098
23,0.4412455,1093,0.4412455,218
24,0.4612652,121,0.4612652,26
25,0.4812849,14,0.4812849,1
26,0.5013046,2,0.5013046,0
27,0.5213243,5,0.5213243,0
28,0.541344,7,0.541344,1
29,0.5613637,5,0.5613637,0
30,0.5813834,1,0.5813834,0
31,0.6014031,2,0.6014031,0
32,0.6214228,1,0.6214228,0
33,0.6414425,2,0.6414425,0
34,0.6614622,2,0.6614622,0
35,0.6814819,747,0.6814819,15
36,0.7015016,707,0.7015016,17
37,0.7215213,756,0.7215213,18
38,0.741541,723,0.741541,21
39,0.7615607,742,0.7615607,13
40,0.7815804,703,0.7815804,17
41,0.8016001,707,0.8016001,7
42,0.8216198,695,0.8216198,16
43,0.8416395,727,0.8416395,27
44,0.8616592,698,0.8616592,22
45,0.8816789,719,0.8816789,28
46,0.9016986,670,0.9016986,34
47,0.9217183,708,0.9217183,67
48,0.941738,732,0.941738,67
49,0.9617577,706,0.9617577,74
50,0.9817774,662,0.9817774,44
51,1.001797,714,1.001797,27
52,1.021817,659,1.021817,21
53,1.041837,627,1.041837,37
54,1.061856,707,1.061856,26
55,1.081876,688,1.081876,36
56,1.101896,625,1.101896,41
57,1.121915,639,1.121915,34
58,1.141935,665,1.141935,27
59,1.161955,639,1.161955,43
60,1.181974,587,1.181974,43
61,1.201994,656,1.201994,43
62,1.222014,648,1.222014,40
63,1.242033,647,1.242033,59
64,1.262053,614,1.262053,41
65,1.282073,606,1.282073,27
66,1.302093,573,1.302093,29
67,1.322112,668,1.322112,25
68,1.342132,591,1.342132,20
69,1.362152,576,1.362152,17
70,1.382171,577,1.382171,23
71,1.402191,574,1.402191,20
72,1.422211,581,1.422211,23
73,1.442231,577,1.442231,35
74,1.46225,608,1.46225,57
75,1.48227,573,1.48227,68
76,1.50229,595,1.50229,68
77,1.522309,605,1.522309,90
78,1.542329,557,1.542329,127
79,1.562349,557,1.562349,163
80,1.582368,555,1.582368,143
81,1.602388,508,1.602388,93
82,1.622408,543,1.622408,51
83,1.642428,532,1.642428,51
84,1.662447,538,1.662447,51
85,1.682467,525,1.682467,100
86,1.702487,504,1.702487,178
87,1.722506,468,1.722506,236
88,1.742526,512,1.742526,244
89,1.762546,545,1.762546,185
90,1.782565,527,1.782565,128
91,1.802585,503,1.802585,102
92,1.822605,508,1.822605,66
93,1.842625,505,1.842625,72
94,1.862644,519,1.862644,77
95,1.882664,541,1.882664,105
96,1.902684,534,1.902684,149
97,1.922703,547,1.922703,185
98,1.942723,524,1.942723,312
99,1.962743,556,1.962743,374
100,1.982762,511,1.982762,440
101,2.002782,502,2.002782,475
102,2.022802,495,2.022802,434
103,2.042822,488,2.042822,312
104,2.062841,499,2.062841,222
105,2.082861,477,2.082861,126
106,2.102881,504,2.102881,90
107,2.1229,473,2.1229,82
108,2.14292,467,2.14292,78
109,2.16294,499,2.16294,93
110,2.18296,474,2.18296,91
111,2.202979,444,2.202979,110
112,2.222999,469,2.222999,223
113,2.243019,463,2.243019,449
114,2.263038,497,2.263038,828
115,2.283058,459,2.283058,1258
116,2.303078,509,2.303078,1553
117,2.323097,490,2.323097,1341
118,2.343117,463,2.343117,945
119,2.363137,479,2.363137,629
120,2.383157,469,2.383157,340
121,2.403176,455,2.403176,251
122,2.423196,434,2.423196,207
123,2.443216,409,2.443216,217
124,2.463235,400,2.463235,260
125,2.483255,442,2.483255,218
126,2.503275,434,2.503275,188
127,2.523294,424,2.523294,171
128,2.543314,408,2.543314,174
129,2.563334,466,2.563334,217
130,2.583354,468,2.583354,320
131,2.603373,484,2.603373,547
132,2.623393,448,2.623393,900
133,2.643413,446,2.643413,1671
134,2.663432,475,2.663432,2464
135,2.683452,441,2.683452,3057
136,2.703472,445,2.703472,3109
137,2.723491,410,2.723491,2663
138,2.743511,418,2.743511,1976
139,2.763531,373,2.763531,1485
140,2.783551,379,2.783551,1363
141,2.80357,379,2.80357,1541
142,2.82359,359,2.82359,1773
143,2.84361,346,2.84361,1816
144,2.863629,384,2.863629,1698
145,2.883649,426,2.883649,1509
146,2.903669,421,2.903669,1420
147,2.923688,488,2.923688,1544
148,2.943708,489,2.943708,1642
149,2.963728,528,2.963728,1612
150,2.983747,502,2.983747,1411
151,3.003767,412,3.003767,1164
152,3.023787,398,3.023787,758
153,3.043807,371,3.043807,559
154,3.063826,360,3.063826,372
155,3.083846,348,3.083846,302
156,3.103866,383,3.103866,284
157,3.123885,351,3.123885,352
158,3.143905,359,3.143905,334
159,3.163925,355,3.163925,439
160,3.183944,427,3.183944,574
161,3.203964,544,3.203964,789
162,3.223984,794,3.223984,1447
163,3.244004,1165,3.244004,2824
164,3.264023,1854,3.264023,5158
165,3.284043,2340,3.284043,7763
166,3.304063,2835,3.304063,9578
167,3.324082,2872,3.324082,9896
168,3.344102,2432,3.344102,8087
169,3.364122,1656,3.364122,5709
170,3.384141,1055,3.384141,3162
