Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1098-00053-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 4:50:46 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.36699
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 34
UserCustomField,ID, 34
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.07155602,0.07155602,0.1921428,0,0,False,False
13,Al,PercentWeight,0,0,0.02452464,0,0,False,False
14,Si,PercentWeight,0.07862019,0.07862019,0.01087008,0,0,False,False
15,P,PercentWeight,0.3565813,0.3040813,0.006976009,0,0,False,False
16,S,PercentWeight,0.2978126,0.2563126,0.004061886,0,0,False,False
17,Cl,PercentWeight,0.05082134,0.05082134,0.01258727,0,0,False,False
19,K,PercentWeight,0.9969029,0.9094029,0.004443566,0,0,False,False
20,Ca,PercentWeight,0.4961058,0.4961058,0.002524306,0,0,False,False
22,Ti,PercentWeight,0.001041631,0.001041631,0.0002219942,0,0,False,False
23,V,PercentWeight,0,0,3.341157E-05,0,0,False,False
24,Cr,PercentWeight,0.002273183,0.002273183,0.0002161413,0,0,False,False
25,Mn,PercentWeight,0.05040081,0.05040081,0.0006260228,0,0,False,False
26,Fe,PercentWeight,0.008077242,0.008077242,0.0005016572,0,0,False,False
28,Ni,PercentWeight,0,0,8.350059E-05,0,0,False,False
29,Cu,PercentWeight,0.001491718,0.001491718,6.877191E-05,0,0,False,False
30,Zn,PercentWeight,0.00330079,0.00330079,9.252931E-05,0,0,False,False
33,As,PercentWeight,0,0,8.30639E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.008073E-05,0,0,False,False
35,Br,PercentWeight,0.0001757862,0.0001757862,9.582259E-05,0,0,False,False
37,Rb,PercentWeight,0.000668498,0.000668498,0.0001242037,0,0,False,False
38,Sr,PercentWeight,0.001909954,0.001909954,0.0001230967,0,0,False,False
42,Mo,PercentWeight,0,0,7.147956E-05,0,0,False,False
48,Cd,PercentWeight,0.0009354515,0.0009354515,0.00022884,0,0,False,False
56,Ba,PercentWeight,0.002470095,0.002470095,0.003119751,0,0,False,False
80,Hg,PercentWeight,0,0,9.891915E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002625427,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1946427,,422209,
ValidCounts,1677447,,382009,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000865202,,0.000865202,
ZeroOffsetInKeV,-0.000865202,,-0.000865202,
StartingChannel,0.04321753,,0.04321753,
NumberOfChannels,2048,,2048,
CountsPerSecond,46437.48,,46447.63,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 4:50:46 PM,,02/08/2023 4:50:46 PM,
LiveTimeInSeconds,37.23499,,8.132001,
DeadTimeInSeconds,4.68,,0.9580001,
ResetTimeInSeconds,4.943999,,0.278,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.3,,96.3,
NosePressureInMilliBars,785.8365,,785.8365,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.915,,9.09,
PacketTimeInSeconds,46.859,,9.368,
CommunicationTimeInSeconds,3.140995,,0.632,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000865202,0,0.000865202,0
2,0.0208849,0,0.0208849,0
3,0.0409046,0,0.0409046,0
4,0.06092431,0,0.06092431,0
5,0.08094401,0,0.08094401,0
6,0.1009637,0,0.1009637,0
7,0.1209834,0,0.1209834,0
8,0.1410031,0,0.1410031,0
9,0.1610228,0,0.1610228,0
10,0.1810425,0,0.1810425,0
11,0.2010622,0,0.2010622,0
12,0.2210819,0,0.2210819,0
13,0.2411016,0,0.2411016,0
14,0.2611213,0,0.2611213,0
15,0.281141,0,0.281141,0
16,0.3011607,6,0.3011607,1
17,0.3211804,120,0.3211804,21
18,0.3412001,1185,0.3412001,232
19,0.3612198,5680,0.3612198,1167
20,0.3812395,12066,0.3812395,2656
21,0.4012592,11429,0.4012592,2510
22,0.4212789,5034,0.4212789,1164
23,0.4412986,1079,0.4412986,233
24,0.4613183,134,0.4613183,19
25,0.481338,10,0.481338,1
26,0.5013577,5,0.5013577,1
27,0.5213774,1,0.5213774,0
28,0.5413972,6,0.5413972,0
29,0.5614168,1,0.5614168,0
30,0.5814365,0,0.5814365,0
31,0.6014562,5,0.6014562,0
32,0.6214759,2,0.6214759,0
33,0.6414956,0,0.6414956,0
34,0.6615154,1,0.6615154,0
35,0.6815351,795,0.6815351,12
36,0.7015547,712,0.7015547,23
37,0.7215744,795,0.7215744,9
38,0.7415941,762,0.7415941,5
39,0.7616138,758,0.7616138,13
40,0.7816336,736,0.7816336,19
41,0.8016533,746,0.8016533,11
42,0.8216729,745,0.8216729,15
43,0.8416926,754,0.8416926,23
44,0.8617123,727,0.8617123,22
45,0.881732,738,0.881732,45
46,0.9017518,782,0.9017518,29
47,0.9217715,715,0.9217715,59
48,0.9417912,707,0.9417912,66
49,0.9618108,675,0.9618108,71
50,0.9818305,678,0.9818305,38
51,1.00185,753,1.00185,32
52,1.02187,654,1.02187,34
53,1.04189,718,1.04189,26
54,1.061909,665,1.061909,43
55,1.081929,705,1.081929,43
56,1.101949,694,1.101949,42
57,1.121969,675,1.121969,34
58,1.141988,620,1.141988,25
59,1.162008,630,1.162008,27
60,1.182028,694,1.182028,39
61,1.202047,641,1.202047,28
62,1.222067,679,1.222067,40
63,1.242087,654,1.242087,41
64,1.262106,660,1.262106,26
65,1.282126,611,1.282126,28
66,1.302146,664,1.302146,21
67,1.322165,631,1.322165,18
68,1.342185,614,1.342185,20
69,1.362205,673,1.362205,21
70,1.382225,605,1.382225,20
71,1.402244,576,1.402244,19
72,1.422264,550,1.422264,27
73,1.442284,561,1.442284,30
74,1.462303,606,1.462303,53
75,1.482323,637,1.482323,67
76,1.502343,623,1.502343,63
77,1.522362,609,1.522362,111
78,1.542382,613,1.542382,133
79,1.562402,640,1.562402,157
80,1.582422,571,1.582422,122
81,1.602441,577,1.602441,91
82,1.622461,566,1.622461,69
83,1.642481,564,1.642481,39
84,1.6625,520,1.6625,43
85,1.68252,517,1.68252,49
86,1.70254,549,1.70254,74
87,1.722559,533,1.722559,112
88,1.742579,508,1.742579,135
89,1.762599,533,1.762599,99
90,1.782619,532,1.782619,85
91,1.802638,514,1.802638,62
92,1.822658,496,1.822658,54
93,1.842678,498,1.842678,50
94,1.862697,527,1.862697,53
95,1.882717,517,1.882717,59
96,1.902737,570,1.902737,98
97,1.922757,505,1.922757,179
98,1.942776,566,1.942776,290
99,1.962796,578,1.962796,507
100,1.982816,539,1.982816,762
101,2.002835,582,2.002835,955
102,2.022855,518,2.022855,816
103,2.042875,554,2.042875,662
104,2.062894,507,2.062894,388
105,2.082914,512,2.082914,199
106,2.102934,529,2.102934,126
107,2.122953,458,2.122953,92
108,2.142973,486,2.142973,105
109,2.162993,468,2.162993,114
110,2.183013,491,2.183013,83
111,2.203032,469,2.203032,106
112,2.223052,496,2.223052,227
113,2.243072,510,2.243072,550
114,2.263091,524,2.263091,995
115,2.283111,489,2.283111,1467
116,2.303131,529,2.303131,1775
117,2.323151,502,2.323151,1669
118,2.34317,493,2.34317,1238
119,2.36319,458,2.36319,706
120,2.38321,460,2.38321,455
121,2.403229,454,2.403229,271
122,2.423249,479,2.423249,228
123,2.443269,449,2.443269,270
124,2.463288,455,2.463288,275
125,2.483308,469,2.483308,225
126,2.503328,442,2.503328,198
127,2.523348,396,2.523348,180
128,2.543367,440,2.543367,196
129,2.563387,435,2.563387,320
130,2.583407,459,2.583407,456
131,2.603426,452,2.603426,763
132,2.623446,475,2.623446,1184
133,2.643466,481,2.643466,1817
134,2.663486,465,2.663486,2666
135,2.683505,436,2.683505,3263
136,2.703525,437,2.703525,3287
137,2.723545,409,2.723545,2731
138,2.743564,394,2.743564,1994
139,2.763584,345,2.763584,1554
140,2.783604,389,2.783604,1390
141,2.803623,386,2.803623,1598
142,2.823643,412,2.823643,1892
143,2.843663,380,2.843663,1952
144,2.863683,411,2.863683,1758
145,2.883702,424,2.883702,1592
146,2.903722,440,2.903722,1483
147,2.923742,494,2.923742,1514
148,2.943761,462,2.943761,1703
149,2.963781,506,2.963781,1618
150,2.983801,526,2.983801,1446
151,3.00382,449,3.00382,1019
152,3.02384,442,3.02384,743
153,3.04386,410,3.04386,521
154,3.063879,357,3.063879,398
155,3.083899,313,3.083899,323
156,3.103919,365,3.103919,300
157,3.123939,370,3.123939,355
158,3.143958,350,3.143958,394
159,3.163978,390,3.163978,417
160,3.183998,451,3.183998,495
161,3.204017,500,3.204017,816
162,3.224037,798,3.224037,1549
163,3.244057,1135,3.244057,2950
164,3.264076,1748,3.264076,5246
165,3.284096,2421,3.284096,7605
166,3.304116,2863,3.304116,9803
167,3.324136,2718,3.324136,9652
168,3.344155,2173,3.344155,8282
169,3.364175,1551,3.364175,5557
170,3.384195,1066,3.384195,3265
171,3.404214,661,3.404214,1646
172,3.424234,483,3.424234,797
