Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1101-00081-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 2:21:21 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.592
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,62
UserCustomField,ID,62
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.0785357,0.0785357,0.1907395,0,0,False,False
13,Al,PercentWeight,0,0,0.02360893,0,0,False,False
14,Si,PercentWeight,0.04220572,0.04220572,0.009942369,0,0,False,False
15,P,PercentWeight,0.2551329,0.2026329,0.006074312,0,0,False,False
16,S,PercentWeight,0.281128,0.239628,0.003930295,0,0,False,False
17,Cl,PercentWeight,0.01724858,0.01724858,0.01225586,0,0,False,False
19,K,PercentWeight,0.8647455,0.7772455,0.004108717,0,0,False,False
20,Ca,PercentWeight,0.4334836,0.4334836,0.002361348,0,0,False,False
22,Ti,PercentWeight,0.0008357504,0.0008357504,0.0002146183,0,0,False,False
23,V,PercentWeight,0,0,3.210422E-05,0,0,False,False
24,Cr,PercentWeight,0.0026001,0.0026001,0.0002088428,0,0,False,False
25,Mn,PercentWeight,0.05671121,0.05671121,0.0006917789,0,0,False,False
26,Fe,PercentWeight,0.009749313,0.009749313,0.0005431338,0,0,False,False
28,Ni,PercentWeight,0,0,7.787057E-05,0,0,False,False
29,Cu,PercentWeight,0.001339526,0.001339526,7.221598E-05,0,0,False,False
30,Zn,PercentWeight,0.003881343,0.003881343,0.0001031443,0,0,False,False
33,As,PercentWeight,0,0,8.853339E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.584118E-05,0,0,False,False
35,Br,PercentWeight,0.0003104164,0.0003104164,0.000101285,0,0,False,False
37,Rb,PercentWeight,0.0004742954,0.0004742954,0.0001291019,0,0,False,False
38,Sr,PercentWeight,0.0015729,0.0015729,0.0001265284,0,0,False,False
42,Mo,PercentWeight,0,0,6.488305E-05,0,0,False,False
48,Cd,PercentWeight,0.0008808578,0.0008808578,0.0002090116,0,0,False,False
56,Ba,PercentWeight,0.001697781,0.001697781,0.003302135,0,0,False,False
80,Hg,PercentWeight,0,0,9.337202E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.000276352,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1735414,,388907,
ValidCounts,1514537,,354974,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009112223,,0.0009112223,
ZeroOffsetInKeV,-0.0009112223,,-0.0009112223,
StartingChannel,0.04551628,,0.04551628,
NumberOfChannels,2048,,2048,
CountsPerSecond,40790.08,,42666.7,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 2:21:21 PM,,03/08/2023 2:21:21 PM,
LiveTimeInSeconds,38.362,,8.23,
DeadTimeInSeconds,4.183002,,0.885,
ResetTimeInSeconds,4.357998,,0.251,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,787.2125,,787.2125,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.545,,9.115001,
PacketTimeInSeconds,46.903,,9.366001,
CommunicationTimeInSeconds,3.097,,0.6339989,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009112223,0,0.0009112223,0
2,0.02093092,0,0.02093092,0
3,0.04095063,0,0.04095063,0
4,0.06097033,0,0.06097033,0
5,0.08099002,0,0.08099002,0
6,0.1010097,0,0.1010097,0
7,0.1210294,0,0.1210294,0
8,0.1410491,0,0.1410491,0
9,0.1610688,0,0.1610688,0
10,0.1810885,0,0.1810885,0
11,0.2011082,0,0.2011082,0
12,0.2211279,0,0.2211279,0
13,0.2411476,0,0.2411476,0
14,0.2611673,0,0.2611673,0
15,0.281187,0,0.281187,0
16,0.3012067,7,0.3012067,1
17,0.3212264,117,0.3212264,21
18,0.3412461,1298,0.3412461,269
19,0.3612658,5907,0.3612658,1242
20,0.3812855,12330,0.3812855,2643
21,0.4013052,11873,0.4013052,2548
22,0.4213249,5187,0.4213249,1184
23,0.4413446,1130,0.4413446,246
24,0.4613644,131,0.4613644,37
25,0.481384,9,0.481384,2
26,0.5014037,3,0.5014037,0
27,0.5214235,3,0.5214235,0
28,0.5414432,0,0.5414432,0
29,0.5614629,0,0.5614629,0
30,0.5814825,3,0.5814825,1
31,0.6015022,2,0.6015022,0
32,0.6215219,1,0.6215219,0
33,0.6415417,2,0.6415417,0
34,0.6615614,1,0.6615614,0
35,0.6815811,759,0.6815811,18
36,0.7016007,748,0.7016007,8
37,0.7216204,703,0.7216204,14
38,0.7416402,736,0.7416402,14
39,0.7616599,681,0.7616599,12
40,0.7816796,702,0.7816796,18
41,0.8016993,670,0.8016993,13
42,0.821719,655,0.821719,11
43,0.8417386,666,0.8417386,23
44,0.8617584,668,0.8617584,16
45,0.8817781,679,0.8817781,30
46,0.9017978,640,0.9017978,38
47,0.9218175,629,0.9218175,57
48,0.9418372,671,0.9418372,62
49,0.9618568,664,0.9618568,68
50,0.9818766,663,0.9818766,43
51,1.001896,624,1.001896,33
52,1.021916,652,1.021916,19
53,1.041936,622,1.041936,29
54,1.061955,622,1.061955,39
55,1.081975,593,1.081975,38
56,1.101995,631,1.101995,45
57,1.122015,608,1.122015,38
58,1.142034,590,1.142034,30
59,1.162054,600,1.162054,37
60,1.182074,545,1.182074,34
61,1.202093,602,1.202093,39
62,1.222113,577,1.222113,38
63,1.242133,583,1.242133,35
64,1.262152,614,1.262152,31
65,1.282172,618,1.282172,20
66,1.302192,582,1.302192,20
67,1.322212,594,1.322212,27
68,1.342231,558,1.342231,18
69,1.362251,574,1.362251,19
70,1.382271,564,1.382271,13
71,1.40229,566,1.40229,20
72,1.42231,540,1.42231,32
73,1.44233,556,1.44233,26
74,1.462349,532,1.462349,43
75,1.482369,575,1.482369,57
76,1.502389,535,1.502389,74
77,1.522408,529,1.522408,105
78,1.542428,522,1.542428,133
79,1.562448,547,1.562448,142
80,1.582468,535,1.582468,116
81,1.602487,495,1.602487,99
82,1.622507,529,1.622507,59
83,1.642527,507,1.642527,40
84,1.662546,473,1.662546,25
85,1.682566,459,1.682566,39
86,1.702586,522,1.702586,65
87,1.722605,458,1.722605,94
88,1.742625,489,1.742625,97
89,1.762645,482,1.762645,81
90,1.782665,480,1.782665,68
91,1.802684,499,1.802684,55
92,1.822704,465,1.822704,51
93,1.842724,484,1.842724,46
94,1.862743,475,1.862743,56
95,1.882763,520,1.882763,58
96,1.902783,502,1.902783,80
97,1.922803,513,1.922803,111
98,1.942822,510,1.942822,217
99,1.962842,470,1.962842,399
100,1.982862,511,1.982862,555
101,2.002881,519,2.002881,703
102,2.022901,511,2.022901,632
103,2.042921,495,2.042921,463
104,2.06294,467,2.06294,336
105,2.08296,483,2.08296,164
106,2.10298,431,2.10298,124
107,2.122999,485,2.122999,89
108,2.143019,506,2.143019,82
109,2.163039,471,2.163039,76
110,2.183059,416,2.183059,85
111,2.203078,450,2.203078,109
112,2.223098,443,2.223098,245
113,2.243118,453,2.243118,524
114,2.263137,474,2.263137,990
115,2.283157,488,2.283157,1376
116,2.303177,473,2.303177,1696
117,2.323197,442,2.323197,1547
118,2.343216,439,2.343216,1155
119,2.363236,408,2.363236,756
120,2.383256,414,2.383256,418
121,2.403275,452,2.403275,260
122,2.423295,390,2.423295,220
123,2.443315,415,2.443315,237
124,2.463335,425,2.463335,275
125,2.483354,397,2.483354,216
126,2.503374,426,2.503374,194
127,2.523394,434,2.523394,190
128,2.543413,401,2.543413,219
129,2.563433,390,2.563433,257
130,2.583453,426,2.583453,411
131,2.603472,491,2.603472,661
132,2.623492,452,2.623492,1131
133,2.643512,425,2.643512,1757
134,2.663532,385,2.663532,2554
135,2.683551,421,2.683551,3221
136,2.703571,358,2.703571,3426
137,2.723591,327,2.723591,2923
138,2.74361,366,2.74361,2118
139,2.76363,385,2.76363,1501
140,2.78365,368,2.78365,1438
141,2.803669,314,2.803669,1558
142,2.823689,357,2.823689,1818
143,2.843709,348,2.843709,1857
144,2.863729,356,2.863729,1762
145,2.883748,371,2.883748,1571
146,2.903768,467,2.903768,1437
147,2.923788,466,2.923788,1571
148,2.943807,448,2.943807,1671
149,2.963827,456,2.963827,1680
150,2.983847,433,2.983847,1483
151,3.003866,417,3.003866,1122
152,3.023886,412,3.023886,775
153,3.043906,376,3.043906,554
154,3.063926,367,3.063926,383
155,3.083945,337,3.083945,315
156,3.103965,318,3.103965,273
157,3.123985,334,3.123985,322
158,3.144004,343,3.144004,350
159,3.164024,391,3.164024,438
160,3.184044,377,3.184044,488
161,3.204063,448,3.204063,778
162,3.224083,709,3.224083,1456
163,3.244103,1026,3.244103,2584
164,3.264122,1588,3.264122,4628
165,3.284142,2153,3.284142,6956
166,3.304162,2544,3.304162,8480
167,3.324182,2409,3.324182,8680
168,3.344201,2047,3.344201,7383
169,3.364221,1389,3.364221,5094
170,3.384241,955,3.384241,2894
171,3.40426,602,3.40426,1485
172,3.42428,464,3.42428,693
