Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1103-00052-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 4:38:24 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.788
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 33
UserCustomField,ID, 33
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.02993659,0.02993659,0.1881672,0,0,False,False
13,Al,PercentWeight,0,0,0.023282,0,0,False,False
14,Si,PercentWeight,0.02092055,0.02092055,0.009618407,0,0,False,False
15,P,PercentWeight,0.2300296,0.1775296,0.005934009,0,0,False,False
16,S,PercentWeight,0.2523738,0.2108738,0.00382955,0,0,False,False
17,Cl,PercentWeight,0.02368311,0.02368311,0.01250648,0,0,False,False
19,K,PercentWeight,0.8773117,0.7898117,0.004164075,0,0,False,False
20,Ca,PercentWeight,0.4240419,0.4240419,0.00236593,0,0,False,False
22,Ti,PercentWeight,0.0006860727,0.0006860727,0.0002247196,0,0,False,False
23,V,PercentWeight,0,0,3.418461E-05,0,0,False,False
24,Cr,PercentWeight,0.002801786,0.002801786,0.0002232442,0,0,False,False
25,Mn,PercentWeight,0.1063802,0.1063802,0.0008784922,0,0,False,False
26,Fe,PercentWeight,0.007866374,0.007866374,0.0005656814,0,0,False,False
28,Ni,PercentWeight,0,0,8.109766E-05,0,0,False,False
29,Cu,PercentWeight,0.00132335,0.00132335,6.950803E-05,0,0,False,False
30,Zn,PercentWeight,0.002568665,0.002568665,9.034721E-05,0,0,False,False
33,As,PercentWeight,0,0,8.915669E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.939084E-05,0,0,False,False
35,Br,PercentWeight,0.0001796112,0.0001796112,0.0001016746,0,0,False,False
37,Rb,PercentWeight,0.000591055,0.000591055,0.0001302505,0,0,False,False
38,Sr,PercentWeight,0.001486857,0.001486857,0.0001267116,0,0,False,False
42,Mo,PercentWeight,0,0,6.906714E-05,0,0,False,False
48,Cd,PercentWeight,0.0005252658,0.0005252658,0.0002200161,0,0,False,False
56,Ba,PercentWeight,0.0008585001,0.0008585001,0.003245981,0,0,False,False
80,Hg,PercentWeight,0,0,9.748908E-06,0,0,False,False
82,Pb,PercentWeight,6.232095E-05,6.232095E-05,0.0002771758,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1872132,,416985,
ValidCounts,1621400,,378366,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009925653,,0.0009925653,
ZeroOffsetInKeV,-0.0009925653,,-0.0009925653,
StartingChannel,0.04957943,,0.04957943,
NumberOfChannels,2048,,2048,
CountsPerSecond,44408.57,,45918.4,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 4:38:24 PM,,02/08/2023 4:38:24 PM,
LiveTimeInSeconds,37.656,,8.132001,
DeadTimeInSeconds,4.501,,0.9490001,
ResetTimeInSeconds,4.718,,0.28,
DetectorTempInC,-27,,-27,
AmbientTempInF,94.7,,94.7,
NosePressureInMilliBars,786.8179,,786.8179,
NoseTemperatureInC,31,,31,
ActiveTimeInSeconds,42.15699,,9.081,
PacketTimeInSeconds,46.87499,,9.361,
CommunicationTimeInSeconds,3.125008,,0.6389999,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009925653,0,0.0009925653,0
2,0.02101227,0,0.02101227,0
3,0.04103197,0,0.04103197,0
4,0.06105167,0,0.06105167,0
5,0.08107137,0,0.08107137,0
6,0.1010911,0,0.1010911,0
7,0.1211108,0,0.1211108,0
8,0.1411305,0,0.1411305,0
9,0.1611502,0,0.1611502,0
10,0.1811699,0,0.1811699,0
11,0.2011896,0,0.2011896,0
12,0.2212093,0,0.2212093,0
13,0.241229,0,0.241229,0
14,0.2612487,0,0.2612487,0
15,0.2812684,0,0.2812684,0
16,0.3012881,8,0.3012881,0
17,0.3213078,112,0.3213078,28
18,0.3413275,1199,0.3413275,268
19,0.3613472,5899,0.3613472,1249
20,0.3813669,12224,0.3813669,2571
21,0.4013866,11692,0.4013866,2546
22,0.4214063,5083,0.4214063,1206
23,0.441426,1064,0.441426,238
24,0.4614457,124,0.4614457,25
25,0.4814654,17,0.4814654,1
26,0.5014851,6,0.5014851,0
27,0.5215048,3,0.5215048,0
28,0.5415245,6,0.5415245,0
29,0.5615442,3,0.5615442,0
30,0.5815639,3,0.5815639,0
31,0.6015836,1,0.6015836,0
32,0.6216033,3,0.6216033,0
33,0.641623,2,0.641623,0
34,0.6616427,2,0.6616427,0
35,0.6816624,753,0.6816624,18
36,0.7016821,750,0.7016821,18
37,0.7217018,765,0.7217018,13
38,0.7417215,710,0.7417215,20
39,0.7617412,767,0.7617412,16
40,0.7817609,717,0.7817609,22
41,0.8017806,676,0.8017806,18
42,0.8218003,736,0.8218003,16
43,0.84182,727,0.84182,19
44,0.8618397,763,0.8618397,18
45,0.8818594,712,0.8818594,35
46,0.9018791,713,0.9018791,46
47,0.9218988,708,0.9218988,48
48,0.9419185,692,0.9419185,74
49,0.9619382,699,0.9619382,62
50,0.9819579,696,0.9819579,45
51,1.001978,719,1.001978,40
52,1.021997,659,1.021997,26
53,1.042017,678,1.042017,24
54,1.062037,639,1.062037,43
55,1.082056,667,1.082056,41
56,1.102076,632,1.102076,51
57,1.122096,641,1.122096,37
58,1.142115,662,1.142115,32
59,1.162135,625,1.162135,33
60,1.182155,601,1.182155,37
61,1.202175,654,1.202175,23
62,1.222194,672,1.222194,40
63,1.242214,619,1.242214,38
64,1.262234,549,1.262234,22
65,1.282253,599,1.282253,30
66,1.302273,624,1.302273,16
67,1.322293,621,1.322293,26
68,1.342313,597,1.342313,17
69,1.362332,593,1.362332,14
70,1.382352,595,1.382352,20
71,1.402372,550,1.402372,11
72,1.422391,584,1.422391,24
73,1.442411,580,1.442411,40
74,1.462431,568,1.462431,42
75,1.48245,587,1.48245,59
76,1.50247,621,1.50247,61
77,1.52249,583,1.52249,105
78,1.54251,562,1.54251,116
79,1.562529,608,1.562529,156
80,1.582549,541,1.582549,136
81,1.602569,539,1.602569,94
82,1.622588,516,1.622588,49
83,1.642608,504,1.642608,25
84,1.662628,534,1.662628,27
85,1.682647,538,1.682647,35
86,1.702667,500,1.702667,71
87,1.722687,533,1.722687,67
88,1.742707,558,1.742707,70
89,1.762726,463,1.762726,78
90,1.782746,521,1.782746,63
91,1.802766,510,1.802766,37
92,1.822785,511,1.822785,60
93,1.842805,462,1.842805,49
94,1.862825,479,1.862825,54
95,1.882844,503,1.882844,69
96,1.902864,484,1.902864,79
97,1.922884,547,1.922884,134
98,1.942904,559,1.942904,210
99,1.962923,506,1.962923,336
100,1.982943,495,1.982943,538
101,2.002963,498,2.002963,633
102,2.022982,507,2.022982,586
103,2.043002,520,2.043002,460
104,2.063022,465,2.063022,263
105,2.083041,452,2.083041,151
106,2.103061,466,2.103061,94
107,2.123081,480,2.123081,91
108,2.143101,465,2.143101,90
109,2.16312,460,2.16312,86
110,2.18314,468,2.18314,84
111,2.20316,480,2.20316,122
112,2.223179,425,2.223179,225
113,2.243199,464,2.243199,453
114,2.263219,487,2.263219,857
115,2.283238,472,2.283238,1348
116,2.303258,526,2.303258,1478
117,2.323278,498,2.323278,1507
118,2.343297,490,2.343297,1045
119,2.363317,428,2.363317,659
120,2.383337,408,2.383337,384
121,2.403357,445,2.403357,235
122,2.423376,469,2.423376,211
123,2.443396,439,2.443396,220
124,2.463416,440,2.463416,233
125,2.483435,412,2.483435,207
126,2.503455,407,2.503455,181
127,2.523475,412,2.523475,196
128,2.543495,419,2.543495,218
129,2.563514,482,2.563514,267
130,2.583534,408,2.583534,423
131,2.603554,501,2.603554,651
132,2.623573,481,2.623573,1129
133,2.643593,506,2.643593,1808
134,2.663613,414,2.663613,2632
135,2.683633,411,2.683633,3292
136,2.703652,399,2.703652,3319
137,2.723672,393,2.723672,2923
138,2.743692,387,2.743692,2094
139,2.763711,419,2.763711,1514
140,2.783731,374,2.783731,1375
141,2.803751,383,2.803751,1567
142,2.823771,387,2.823771,1830
143,2.84379,363,2.84379,1907
144,2.86381,394,2.86381,1781
145,2.88383,406,2.88383,1614
146,2.903849,428,2.903849,1489
147,2.923869,477,2.923869,1526
148,2.943889,435,2.943889,1646
149,2.963908,489,2.963908,1631
150,2.983928,462,2.983928,1425
151,3.003948,417,3.003948,1053
152,3.023968,377,3.023968,794
153,3.043987,359,3.043987,556
154,3.064007,340,3.064007,378
155,3.084027,359,3.084027,283
156,3.104046,363,3.104046,328
157,3.124066,359,3.124066,337
158,3.144086,360,3.144086,351
159,3.164105,347,3.164105,464
160,3.184125,385,3.184125,463
161,3.204145,496,3.204145,715
162,3.224164,725,3.224164,1332
163,3.244184,1121,3.244184,2708
164,3.264204,1603,3.264204,4639
165,3.284224,2162,3.284224,6873
166,3.304243,2499,3.304243,8639
167,3.324263,2426,3.324263,8830
168,3.344283,2093,3.344283,7439
169,3.364302,1444,3.364302,4985
170,3.384322,967,3.384322,2949
171,3.404342,656,3.404342,1409
