Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1107-00051-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 2:33:21 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.873
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 32
UserCustomField,ID, 32
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.07327645,0.07327645,0.1901074,0,0,False,False
13,Al,PercentWeight,0,0,0.02350855,0,0,False,False
14,Si,PercentWeight,0,0,0.008313766,0,0,False,False
15,P,PercentWeight,0.1853479,0.1328479,0.005354317,0,0,False,False
16,S,PercentWeight,0.1895248,0.1480248,0.003423528,0,0,False,False
17,Cl,PercentWeight,0.02502957,0.02502957,0.01242279,0,0,False,False
19,K,PercentWeight,0.8146961,0.7271962,0.003981815,0,0,False,False
20,Ca,PercentWeight,0.2497173,0.2497173,0.001893137,0,0,False,False
22,Ti,PercentWeight,0.0008529385,0.0008529385,0.0002258572,0,0,False,False
23,V,PercentWeight,0,0,3.444782E-05,0,0,False,False
24,Cr,PercentWeight,0.002823026,0.002823026,0.0002261334,0,0,False,False
25,Mn,PercentWeight,0.06554918,0.06554918,0.0006873247,0,0,False,False
26,Fe,PercentWeight,0.007131967,0.007131967,0.0005128264,0,0,False,False
28,Ni,PercentWeight,0,0,8.111641E-05,0,0,False,False
29,Cu,PercentWeight,0.0009395517,0.0009395517,6.457224E-05,0,0,False,False
30,Zn,PercentWeight,0.001741026,0.001741026,8.002037E-05,0,0,False,False
33,As,PercentWeight,0,0,8.517158E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.992127E-05,0,0,False,False
35,Br,PercentWeight,0.001013469,0.001013469,0.0001003982,0,0,False,False
37,Rb,PercentWeight,0.002967871,0.002967871,0.0001309901,0,0,False,False
38,Sr,PercentWeight,0.001253824,0.001253824,0.0001204987,0,0,False,False
42,Mo,PercentWeight,5.769817E-05,5.769817E-05,6.877745E-05,0,0,False,False
48,Cd,PercentWeight,0.0003325104,0.0003325104,0.0002212706,0,0,False,False
56,Ba,PercentWeight,0.003527047,0.003527047,0.003107359,0,0,False,False
80,Hg,PercentWeight,0,0,1.00005E-05,0,0,False,False
82,Pb,PercentWeight,0.0003039508,0.0003039508,0.0002658436,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1862674,,394630,
ValidCounts,1612608,,359572,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007985361,,0.0007985361,
ZeroOffsetInKeV,-0.0007985361,,-0.0007985361,
StartingChannel,0.03988751,,0.03988751,
NumberOfChannels,2048,,2048,
CountsPerSecond,44177.93,,43389.77,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 2:33:21 PM,,02/08/2023 2:33:21 PM,
LiveTimeInSeconds,37.677,,8.196,
DeadTimeInSeconds,4.486,,0.899,
ResetTimeInSeconds,4.706,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,99.2,,99.2,
NosePressureInMilliBars,785.9189,,785.9189,
NoseTemperatureInC,34,,34,
ActiveTimeInSeconds,42.16299,,9.095001,
PacketTimeInSeconds,46.869,,9.365002,
CommunicationTimeInSeconds,3.131004,,0.6349983,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007985361,0,0.0007985361,0
2,0.02081824,0,0.02081824,0
3,0.04083794,0,0.04083794,0
4,0.06085764,0,0.06085764,0
5,0.08087734,0,0.08087734,0
6,0.100897,0,0.100897,0
7,0.1209167,0,0.1209167,0
8,0.1409364,0,0.1409364,0
9,0.1609561,0,0.1609561,0
10,0.1809758,0,0.1809758,0
11,0.2009955,0,0.2009955,0
12,0.2210152,0,0.2210152,0
13,0.241035,0,0.241035,0
14,0.2610546,0,0.2610546,0
15,0.2810743,0,0.2810743,0
16,0.3010941,9,0.3010941,0
17,0.3211138,129,0.3211138,24
18,0.3411334,1219,0.3411334,238
19,0.3611532,5809,0.3611532,1204
20,0.3811729,12083,0.3811729,2635
21,0.4011925,11489,0.4011925,2615
22,0.4212123,5281,0.4212123,1171
23,0.441232,1055,0.441232,240
24,0.4612516,130,0.4612516,22
25,0.4812714,11,0.4812714,2
26,0.501291,6,0.501291,0
27,0.5213107,3,0.5213107,0
28,0.5413305,2,0.5413305,0
29,0.5613502,1,0.5613502,0
30,0.5813699,3,0.5813699,0
31,0.6013896,2,0.6013896,0
32,0.6214092,1,0.6214092,0
33,0.6414289,1,0.6414289,0
34,0.6614487,2,0.6614487,0
35,0.6814684,752,0.6814684,10
36,0.7014881,737,0.7014881,11
37,0.7215078,771,0.7215078,14
38,0.7415275,727,0.7415275,9
39,0.7615471,738,0.7615471,20
40,0.7815669,705,0.7815669,12
41,0.8015866,717,0.8015866,19
42,0.8216063,691,0.8216063,16
43,0.841626,715,0.841626,8
44,0.8616457,729,0.8616457,17
45,0.8816654,737,0.8816654,29
46,0.9016851,662,0.9016851,29
47,0.9217048,698,0.9217048,54
48,0.9417245,722,0.9417245,65
49,0.9617442,679,0.9617442,54
50,0.9817639,735,0.9817639,59
51,1.001784,693,1.001784,21
52,1.021803,676,1.021803,21
53,1.041823,644,1.041823,36
54,1.061843,708,1.061843,30
55,1.081862,645,1.081862,46
56,1.101882,606,1.101882,42
57,1.121902,663,1.121902,29
58,1.141922,677,1.141922,39
59,1.161941,632,1.161941,25
60,1.181961,591,1.181961,28
61,1.201981,651,1.201981,30
62,1.222,665,1.222,46
63,1.24202,622,1.24202,39
64,1.26204,606,1.26204,42
65,1.282059,584,1.282059,21
66,1.302079,628,1.302079,16
67,1.322099,607,1.322099,23
68,1.342119,627,1.342119,16
69,1.362138,531,1.362138,24
70,1.382158,625,1.382158,16
71,1.402178,602,1.402178,29
72,1.422197,582,1.422197,34
73,1.442217,544,1.442217,37
74,1.462237,538,1.462237,43
75,1.482256,610,1.482256,47
76,1.502276,586,1.502276,59
77,1.522296,556,1.522296,80
78,1.542315,558,1.542315,122
79,1.562335,552,1.562335,133
80,1.582355,610,1.582355,126
81,1.602375,538,1.602375,74
82,1.622394,473,1.622394,63
83,1.642414,508,1.642414,35
84,1.662434,514,1.662434,24
85,1.682453,474,1.682453,29
86,1.702473,522,1.702473,32
87,1.722493,488,1.722493,60
88,1.742512,531,1.742512,49
89,1.762532,511,1.762532,49
90,1.782552,523,1.782552,46
91,1.802572,495,1.802572,36
92,1.822591,503,1.822591,38
93,1.842611,536,1.842611,38
94,1.862631,486,1.862631,58
95,1.88265,502,1.88265,52
96,1.90267,494,1.90267,62
97,1.92269,517,1.92269,95
98,1.94271,533,1.94271,170
99,1.962729,536,1.962729,322
100,1.982749,531,1.982749,441
101,2.002769,494,2.002769,495
102,2.022788,542,2.022788,467
103,2.042808,470,2.042808,377
104,2.062828,507,2.062828,219
105,2.082847,492,2.082847,129
106,2.102867,501,2.102867,99
107,2.122887,485,2.122887,87
108,2.142906,472,2.142906,87
109,2.162926,466,2.162926,79
110,2.182946,487,2.182946,89
111,2.202966,479,2.202966,114
112,2.222985,461,2.222985,210
113,2.243005,471,2.243005,426
114,2.263025,444,2.263025,706
115,2.283044,525,2.283044,1079
116,2.303064,465,2.303064,1168
117,2.323084,469,2.323084,1077
118,2.343104,454,2.343104,836
119,2.363123,426,2.363123,552
120,2.383143,419,2.383143,322
121,2.403163,419,2.403163,225
122,2.423182,427,2.423182,220
123,2.443202,446,2.443202,208
124,2.463222,428,2.463222,208
125,2.483242,424,2.483242,227
126,2.503261,441,2.503261,196
127,2.523281,396,2.523281,192
128,2.543301,404,2.543301,195
129,2.56332,441,2.56332,221
130,2.58334,457,2.58334,340
131,2.60336,479,2.60336,608
132,2.623379,477,2.623379,1039
133,2.643399,421,2.643399,1979
134,2.663419,440,2.663419,2683
135,2.683439,440,2.683439,3302
136,2.703458,392,2.703458,3470
137,2.723478,367,2.723478,2909
138,2.743498,359,2.743498,2101
139,2.763517,384,2.763517,1523
140,2.783537,353,2.783537,1491
141,2.803557,388,2.803557,1700
142,2.823576,391,2.823576,1938
143,2.843596,378,2.843596,2004
144,2.863616,382,2.863616,1802
145,2.883636,412,2.883636,1615
146,2.903655,436,2.903655,1515
147,2.923675,468,2.923675,1570
148,2.943695,507,2.943695,1678
149,2.963714,518,2.963714,1595
150,2.983734,467,2.983734,1449
151,3.003754,403,3.003754,1107
152,3.023773,417,3.023773,838
153,3.043793,357,3.043793,540
154,3.063813,346,3.063813,390
155,3.083833,306,3.083833,302
156,3.103852,369,3.103852,292
157,3.123872,360,3.123872,367
158,3.143892,361,3.143892,362
159,3.163911,364,3.163911,427
160,3.183931,438,3.183931,455
161,3.203951,504,3.203951,704
162,3.22397,634,3.22397,1294
163,3.24399,1094,3.24399,2455
164,3.26401,1507,3.26401,4475
165,3.284029,2003,3.284029,6575
166,3.304049,2355,3.304049,8140
167,3.324069,2293,3.324069,8356
168,3.344089,1928,3.344089,6929
169,3.364108,1314,3.364108,4898
170,3.384128,891,3.384128,2756
171,3.404148,579,3.404148,1372
