Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1127-00057-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 5:35:00 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,42.13701
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 38
UserCustomField,ID, 38
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.1743115,0.1743115,0.2049735,0,0,False,False
13,Al,PercentWeight,0.01260859,0.01260859,0.02676173,0,0,False,False
14,Si,PercentWeight,0.2682064,0.2682064,0.01435141,0,0,False,False
15,P,PercentWeight,0.260268,0.207768,0.006454928,0,0,False,False
16,S,PercentWeight,0.1872554,0.1457554,0.003519532,0,0,False,False
17,Cl,PercentWeight,0.0311416,0.0311416,0.01281342,0,0,False,False
19,K,PercentWeight,1.311727,1.224227,0.005183614,0,0,False,False
20,Ca,PercentWeight,1.033543,1.033543,0.00350371,0,0,False,False
22,Ti,PercentWeight,0.001606455,0.001606455,0.0002375433,0,0,False,False
23,V,PercentWeight,0,0,3.462469E-05,0,0,False,False
24,Cr,PercentWeight,0.002817388,0.002817388,0.0002250379,0,0,False,False
25,Mn,PercentWeight,0.1484633,0.1484633,0.0008757918,0,0,False,False
26,Fe,PercentWeight,0.01251128,0.01251128,0.0005126928,0,0,False,False
28,Ni,PercentWeight,0.001692091,0.001692091,0.0001083374,0,0,False,False
29,Cu,PercentWeight,0.000530106,0.000530106,4.897856E-05,0,0,False,False
30,Zn,PercentWeight,0.003882097,0.003882097,8.125008E-05,0,0,False,False
33,As,PercentWeight,0,0,6.481302E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.769398E-05,0,0,False,False
35,Br,PercentWeight,5.101294E-05,5.101294E-05,7.586803E-05,0,0,False,False
37,Rb,PercentWeight,0.001353671,0.001353671,0.0001030915,0,0,False,False
38,Sr,PercentWeight,0.003717978,0.003717978,0.0001046842,0,0,False,False
42,Mo,PercentWeight,0.000325921,0.000325921,8.644163E-05,0,0,False,False
48,Cd,PercentWeight,0.0004465448,0.0004465448,0.0002767563,0,0,False,False
56,Ba,PercentWeight,0.001951671,0.001951671,0.002569369,0,0,False,False
80,Hg,PercentWeight,0,0,1.083939E-05,0,0,False,False
82,Pb,PercentWeight,0.0002393276,0.0002393276,0.0002125065,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2514578,,534071,
ValidCounts,2088250,,470851,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001110779,,0.001110779,
ZeroOffsetInKeV,-0.001110779,,-0.001110779,
StartingChannel,0.05548432,,0.05548432,
NumberOfChannels,2048,,2048,
CountsPerSecond,62398.03,,59222.77,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 5:35:00 PM,,02/08/2023 5:35:00 PM,
LiveTimeInSeconds,34.32001,,7.817,
DeadTimeInSeconds,5.978997,,1.201,
ResetTimeInSeconds,6.571001,,0.35,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.2,,97.2,
NosePressureInMilliBars,786.833,,786.833,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,40.299,,9.018001,
PacketTimeInSeconds,46.87,,9.368001,
CommunicationTimeInSeconds,3.130005,,0.631999,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001110779,0,0.001110779,0
2,0.02113048,0,0.02113048,0
3,0.04115018,0,0.04115018,0
4,0.06116988,0,0.06116988,0
5,0.08118958,0,0.08118958,0
6,0.1012093,0,0.1012093,0
7,0.121229,0,0.121229,0
8,0.1412487,0,0.1412487,0
9,0.1612684,0,0.1612684,0
10,0.1812881,0,0.1812881,0
11,0.2013078,0,0.2013078,0
12,0.2213275,0,0.2213275,0
13,0.2413472,0,0.2413472,0
14,0.2613669,0,0.2613669,0
15,0.2813866,0,0.2813866,0
16,0.3014063,8,0.3014063,1
17,0.321426,101,0.321426,30
18,0.3414457,1163,0.3414457,241
19,0.3614654,5371,0.3614654,1201
20,0.3814851,11038,0.3814851,2539
21,0.4015048,10334,0.4015048,2397
22,0.4215245,4685,0.4215245,1050
23,0.4415442,961,0.4415442,236
24,0.4615639,106,0.4615639,22
25,0.4815836,10,0.4815836,2
26,0.5016033,6,0.5016033,0
27,0.521623,8,0.521623,0
28,0.5416427,4,0.5416427,0
29,0.5616624,4,0.5616624,0
30,0.5816821,2,0.5816821,2
31,0.6017018,3,0.6017018,0
32,0.6217215,4,0.6217215,0
33,0.6417412,1,0.6417412,0
34,0.6617609,2,0.6617609,0
35,0.6817806,918,0.6817806,20
36,0.7018003,930,0.7018003,17
37,0.72182,926,0.72182,19
38,0.7418397,903,0.7418397,19
39,0.7618594,819,0.7618594,18
40,0.7818791,849,0.7818791,20
41,0.8018988,869,0.8018988,23
42,0.8219185,878,0.8219185,12
43,0.8419382,923,0.8419382,22
44,0.8619579,843,0.8619579,24
45,0.8819776,855,0.8819776,35
46,0.9019973,899,0.9019973,44
47,0.922017,878,0.922017,61
48,0.9420367,823,0.9420367,80
49,0.9620564,776,0.9620564,61
50,0.9820761,812,0.9820761,58
51,1.002096,826,1.002096,31
52,1.022116,817,1.022116,24
53,1.042135,865,1.042135,29
54,1.062155,799,1.062155,38
55,1.082175,788,1.082175,40
56,1.102194,837,1.102194,40
57,1.122214,853,1.122214,32
58,1.142234,855,1.142234,36
59,1.162253,759,1.162253,28
60,1.182273,780,1.182273,28
61,1.202293,729,1.202293,54
62,1.222313,752,1.222313,37
63,1.242332,749,1.242332,32
64,1.262352,772,1.262352,33
65,1.282372,770,1.282372,30
66,1.302391,743,1.302391,17
67,1.322411,736,1.322411,21
68,1.342431,696,1.342431,14
69,1.36245,752,1.36245,20
70,1.38247,690,1.38247,21
71,1.40249,696,1.40249,20
72,1.42251,704,1.42251,32
73,1.442529,705,1.442529,37
74,1.462549,701,1.462549,54
75,1.482569,722,1.482569,79
76,1.502588,696,1.502588,84
77,1.522608,729,1.522608,126
78,1.542628,694,1.542628,169
79,1.562647,665,1.562647,222
80,1.582667,663,1.582667,178
81,1.602687,670,1.602687,132
82,1.622707,580,1.622707,81
83,1.642726,637,1.642726,41
84,1.662746,551,1.662746,39
85,1.682766,567,1.682766,81
86,1.702785,590,1.702785,143
87,1.722805,575,1.722805,253
88,1.742825,662,1.742825,250
89,1.762844,592,1.762844,189
90,1.782864,608,1.782864,147
91,1.802884,582,1.802884,89
92,1.822904,606,1.822904,74
93,1.842923,596,1.842923,78
94,1.862943,661,1.862943,75
95,1.882963,640,1.882963,96
96,1.902982,698,1.902982,133
97,1.923002,638,1.923002,185
98,1.943022,697,1.943022,319
99,1.963041,681,1.963041,426
100,1.983061,622,1.983061,635
101,2.003081,660,2.003081,689
102,2.023101,619,2.023101,624
103,2.04312,608,2.04312,473
104,2.06314,572,2.06314,285
105,2.08316,545,2.08316,162
106,2.103179,614,2.103179,100
107,2.123199,573,2.123199,101
108,2.143219,580,2.143219,98
109,2.163239,582,2.163239,105
110,2.183258,547,2.183258,93
111,2.203278,519,2.203278,122
112,2.223298,561,2.223298,205
113,2.243317,601,2.243317,396
114,2.263337,634,2.263337,660
115,2.283357,586,2.283357,989
116,2.303376,571,2.303376,1195
117,2.323396,559,2.323396,1051
118,2.343416,566,2.343416,769
119,2.363436,519,2.363436,545
120,2.383455,512,2.383455,297
121,2.403475,536,2.403475,245
122,2.423495,516,2.423495,213
123,2.443514,536,2.443514,178
124,2.463534,496,2.463534,211
125,2.483554,535,2.483554,177
126,2.503573,482,2.503573,193
127,2.523593,466,2.523593,176
128,2.543613,543,2.543613,201
129,2.563632,566,2.563632,244
130,2.583652,513,2.583652,355
131,2.603672,507,2.603672,677
132,2.623692,542,2.623692,1112
133,2.643711,540,2.643711,1740
134,2.663731,521,2.663731,2532
135,2.683751,488,2.683751,3242
136,2.70377,462,2.70377,3419
137,2.72379,465,2.72379,2736
138,2.74381,425,2.74381,1964
139,2.763829,465,2.763829,1524
140,2.783849,474,2.783849,1372
141,2.803869,419,2.803869,1582
142,2.823889,494,2.823889,1872
143,2.843908,462,2.843908,1844
144,2.863928,496,2.863928,1722
145,2.883948,487,2.883948,1482
146,2.903967,483,2.903967,1379
147,2.923987,518,2.923987,1350
148,2.944007,507,2.944007,1470
149,2.964026,567,2.964026,1391
150,2.984046,512,2.984046,1316
151,3.004066,503,3.004066,1010
152,3.024086,453,3.024086,732
153,3.044105,446,3.044105,539
154,3.064125,396,3.064125,385
155,3.084145,446,3.084145,333
156,3.104164,423,3.104164,321
157,3.124184,433,3.124184,336
158,3.144204,428,3.144204,358
159,3.164223,451,3.164223,390
160,3.184243,509,3.184243,555
161,3.204263,622,3.204263,945
162,3.224283,851,3.224283,1802
163,3.244302,1406,3.244302,3592
164,3.264322,2074,3.264322,6488
165,3.284342,2959,3.284342,9689
166,3.304361,3294,3.304361,12119
167,3.324381,3284,3.324381,12141
168,3.344401,2738,3.344401,10388
169,3.364421,1967,3.364421,7050
170,3.38444,1264,3.38444,3937
171,3.40446,814,3.40446,1994
