Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1128-00056-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 5:23:23 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.003
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 37
UserCustomField,ID, 37
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5157167,0.5157167,0.2065978,0,0,False,False
13,Al,PercentWeight,0.01367271,0.01367271,0.02501785,0,0,False,False
14,Si,PercentWeight,0.08011472,0.08011472,0.01093188,0,0,False,False
15,P,PercentWeight,0.2008683,0.1483683,0.005781218,0,0,False,False
16,S,PercentWeight,0.1573863,0.1158863,0.003238674,0,0,False,False
17,Cl,PercentWeight,0.02847874,0.02847874,0.01246101,0,0,False,False
19,K,PercentWeight,1.031892,0.9443922,0.004534527,0,0,False,False
20,Ca,PercentWeight,1.221941,1.221941,0.003678238,0,0,False,False
22,Ti,PercentWeight,0.001307527,0.001307527,0.0002214631,0,0,False,False
23,V,PercentWeight,6.487692E-05,6.487692E-05,3.227624E-05,0,0,False,False
24,Cr,PercentWeight,0.002162057,0.002162057,0.0002051256,0,0,False,False
25,Mn,PercentWeight,0.07146083,0.07146083,0.0006979441,0,0,False,False
26,Fe,PercentWeight,0.006686615,0.006686615,0.0004686911,0,0,False,False
28,Ni,PercentWeight,0,0,9.213444E-05,0,0,False,False
29,Cu,PercentWeight,0.0007420465,0.0007420465,5.544092E-05,0,0,False,False
30,Zn,PercentWeight,0.005190721,0.005190721,9.682951E-05,0,0,False,False
33,As,PercentWeight,0,0,7.026533E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.999483E-05,0,0,False,False
35,Br,PercentWeight,0.0001053328,0.0001053328,8.162935E-05,0,0,False,False
37,Rb,PercentWeight,0.002319278,0.002319278,0.00011377,0,0,False,False
38,Sr,PercentWeight,0.006811873,0.006811873,0.0001193756,0,0,False,False
42,Mo,PercentWeight,0.0003669161,0.0003669161,7.685804E-05,0,0,False,False
48,Cd,PercentWeight,0.0004696292,0.0004696292,0.0002478624,0,0,False,False
56,Ba,PercentWeight,0.01026009,0.01026009,0.002916288,0,0,False,False
80,Hg,PercentWeight,0,0,9.882147E-06,0,0,False,False
82,Pb,PercentWeight,0.0001781359,0.0001781359,0.0002285087,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2193455,,467920,
ValidCounts,1861439,,419467,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009444112,,0.0009444112,
ZeroOffsetInKeV,-0.0009444112,,-0.0009444112,
StartingChannel,0.04717409,,0.04717409,
NumberOfChannels,2048,,2048,
CountsPerSecond,53201.73,,51550.07,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 5:23:23 PM,,02/08/2023 5:23:23 PM,
LiveTimeInSeconds,35.983,,8.02,
DeadTimeInSeconds,5.246001,,1.057,
ResetTimeInSeconds,5.650999,,0.29,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.2,,97.2,
NosePressureInMilliBars,786.8147,,786.8147,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.22901,,9.077001,
PacketTimeInSeconds,46.88001,,9.367001,
CommunicationTimeInSeconds,3.119991,,0.6329994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009444112,0,0.0009444112,0
2,0.02096411,0,0.02096411,0
3,0.04098381,0,0.04098381,0
4,0.06100351,0,0.06100351,0
5,0.08102322,0,0.08102322,0
6,0.1010429,0,0.1010429,0
7,0.1210626,0,0.1210626,0
8,0.1410823,0,0.1410823,0
9,0.161102,0,0.161102,0
10,0.1811217,0,0.1811217,0
11,0.2011414,0,0.2011414,0
12,0.2211611,0,0.2211611,0
13,0.2411808,0,0.2411808,0
14,0.2612005,0,0.2612005,0
15,0.2812202,0,0.2812202,0
16,0.3012399,5,0.3012399,0
17,0.3212596,118,0.3212596,26
18,0.3412793,1180,0.3412793,239
19,0.361299,5467,0.361299,1206
20,0.3813187,11682,0.3813187,2560
21,0.4013384,11111,0.4013384,2447
22,0.4213581,4798,0.4213581,1161
23,0.4413778,1023,0.4413778,242
24,0.4613975,123,0.4613975,30
25,0.4814172,10,0.4814172,0
26,0.5014369,3,0.5014369,1
27,0.5214567,3,0.5214567,0
28,0.5414763,3,0.5414763,0
29,0.561496,6,0.561496,0
30,0.5815157,1,0.5815157,0
31,0.6015354,3,0.6015354,0
32,0.6215551,3,0.6215551,0
33,0.6415749,1,0.6415749,0
34,0.6615946,1,0.6615946,0
35,0.6816142,841,0.6816142,16
36,0.7016339,886,0.7016339,19
37,0.7216536,839,0.7216536,21
38,0.7416734,780,0.7416734,18
39,0.7616931,791,0.7616931,18
40,0.7817128,820,0.7817128,15
41,0.8017325,821,0.8017325,21
42,0.8217521,787,0.8217521,19
43,0.8417718,786,0.8417718,21
44,0.8617916,807,0.8617916,23
45,0.8818113,825,0.8818113,32
46,0.901831,781,0.901831,43
47,0.9218507,748,0.9218507,64
48,0.9418703,720,0.9418703,65
49,0.96189,776,0.96189,74
50,0.9819098,743,0.9819098,46
51,1.001929,729,1.001929,27
52,1.021949,777,1.021949,12
53,1.041969,777,1.041969,32
54,1.061989,723,1.061989,30
55,1.082008,750,1.082008,55
56,1.102028,743,1.102028,42
57,1.122048,725,1.122048,36
58,1.142067,710,1.142067,32
59,1.162087,712,1.162087,33
60,1.182107,789,1.182107,47
61,1.202127,695,1.202127,53
62,1.222146,707,1.222146,38
63,1.242166,692,1.242166,43
64,1.262186,721,1.262186,28
65,1.282205,668,1.282205,27
66,1.302225,653,1.302225,27
67,1.322245,669,1.322245,20
68,1.342264,704,1.342264,24
69,1.362284,667,1.362284,11
70,1.382304,670,1.382304,20
71,1.402323,660,1.402323,15
72,1.422343,642,1.422343,33
73,1.442363,649,1.442363,44
74,1.462383,636,1.462383,52
75,1.482402,648,1.482402,59
76,1.502422,622,1.502422,70
77,1.522442,612,1.522442,93
78,1.542461,628,1.542461,136
79,1.562481,660,1.562481,162
80,1.582501,627,1.582501,126
81,1.60252,655,1.60252,99
82,1.62254,546,1.62254,54
83,1.64256,607,1.64256,27
84,1.66258,565,1.66258,33
85,1.682599,579,1.682599,52
86,1.702619,573,1.702619,83
87,1.722639,630,1.722639,105
88,1.742658,527,1.742658,118
89,1.762678,547,1.762678,106
90,1.782698,557,1.782698,83
91,1.802717,594,1.802717,75
92,1.822737,540,1.822737,64
93,1.842757,600,1.842757,53
94,1.862777,552,1.862777,84
95,1.882796,635,1.882796,107
96,1.902816,601,1.902816,129
97,1.922836,649,1.922836,202
98,1.942855,638,1.942855,327
99,1.962875,645,1.962875,396
100,1.982895,607,1.982895,533
101,2.002914,588,2.002914,573
102,2.022934,536,2.022934,538
103,2.042954,568,2.042954,366
104,2.062973,545,2.062973,234
105,2.082993,549,2.082993,116
106,2.103013,562,2.103013,98
107,2.123033,566,2.123033,87
108,2.143052,533,2.143052,94
109,2.163072,508,2.163072,83
110,2.183092,571,2.183092,77
111,2.203111,489,2.203111,124
112,2.223131,557,2.223131,190
113,2.243151,556,2.243151,346
114,2.263171,548,2.263171,588
115,2.28319,521,2.28319,852
116,2.30321,531,2.30321,1046
117,2.32323,497,2.32323,962
118,2.343249,478,2.343249,691
119,2.363269,515,2.363269,473
120,2.383289,477,2.383289,263
121,2.403309,449,2.403309,232
122,2.423328,491,2.423328,201
123,2.443348,479,2.443348,189
124,2.463368,475,2.463368,192
125,2.483387,476,2.483387,182
126,2.503407,504,2.503407,169
127,2.523427,497,2.523427,178
128,2.543447,472,2.543447,196
129,2.563466,511,2.563466,237
130,2.583486,510,2.583486,411
131,2.603506,494,2.603506,603
132,2.623525,481,2.623525,1107
133,2.643545,522,2.643545,1792
134,2.663565,451,2.663565,2575
135,2.683584,460,2.683584,3278
136,2.703604,456,2.703604,3244
137,2.723624,449,2.723624,2810
138,2.743644,405,2.743644,2062
139,2.763663,452,2.763663,1504
140,2.783683,470,2.783683,1412
141,2.803703,486,2.803703,1653
142,2.823722,418,2.823722,1879
143,2.843742,443,2.843742,1849
144,2.863762,408,2.863762,1746
145,2.883781,453,2.883781,1628
146,2.903801,509,2.903801,1526
147,2.923821,502,2.923821,1666
148,2.943841,545,2.943841,1632
149,2.96386,563,2.96386,1688
150,2.98388,479,2.98388,1439
151,3.0039,438,3.0039,1163
152,3.023919,446,3.023919,810
153,3.043939,425,3.043939,588
154,3.063959,391,3.063959,431
155,3.083978,381,3.083978,357
156,3.103998,382,3.103998,311
157,3.124018,388,3.124018,362
158,3.144037,398,3.144037,386
159,3.164057,399,3.164057,438
160,3.184077,468,3.184077,528
161,3.204097,571,3.204097,822
162,3.224116,771,3.224116,1529
163,3.244136,1179,3.244136,3009
164,3.264156,1826,3.264156,5169
165,3.284175,2501,3.284175,7837
166,3.304195,2792,3.304195,9833
167,3.324215,2714,3.324215,9956
168,3.344234,2244,3.344234,8329
169,3.364254,1572,3.364254,5754
170,3.384274,1093,3.384274,3233
