Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1129-00055-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 5:17:32 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,43.184
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 36
UserCustomField,ID, 36
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.6876473,0.6876473,0.2061521,0,0,False,False
13,Al,PercentWeight,0,0,0.0257009,0,0,False,False
14,Si,PercentWeight,0.08194927,0.08194927,0.01166588,0,0,False,False
15,P,PercentWeight,0.27031,0.21781,0.006502448,0,0,False,False
16,S,PercentWeight,0.1411252,0.0996252,0.003240971,0,0,False,False
17,Cl,PercentWeight,0.0155386,0.0155386,0.01278448,0,0,False,False
19,K,PercentWeight,1.391518,1.304018,0.005277949,0,0,False,False
20,Ca,PercentWeight,0.7076439,0.7076439,0.002972595,0,0,False,False
22,Ti,PercentWeight,0.001193288,0.001193288,0.0002299698,0,0,False,False
23,V,PercentWeight,0,0,3.394456E-05,0,0,False,False
24,Cr,PercentWeight,0.002424718,0.002424718,0.0002204183,0,0,False,False
25,Mn,PercentWeight,0.06257885,0.06257885,0.0006200449,0,0,False,False
26,Fe,PercentWeight,0.009636818,0.009636818,0.0004617962,0,0,False,False
28,Ni,PercentWeight,0,0,9.343657E-05,0,0,False,False
29,Cu,PercentWeight,0.00145869,0.00145869,6.051273E-05,0,0,False,False
30,Zn,PercentWeight,0.01632031,0.01632031,0.0001485297,0,0,False,False
33,As,PercentWeight,0,0,6.836062E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.469585E-05,0,0,False,False
35,Br,PercentWeight,0,0,8.000611E-05,0,0,False,False
37,Rb,PercentWeight,0.003272792,0.003272792,0.0001148658,0,0,False,False
38,Sr,PercentWeight,0.004822266,0.004822266,0.0001135367,0,0,False,False
42,Mo,PercentWeight,0,0,8.172407E-05,0,0,False,False
48,Cd,PercentWeight,0.0008620716,0.0008620716,0.0002625668,0,0,False,False
56,Ba,PercentWeight,0.01001074,0.01001074,0.002749331,0,0,False,False
80,Hg,PercentWeight,0,0,1.053195E-05,0,0,False,False
82,Pb,PercentWeight,0.0002076247,0.0002076247,0.0002259297,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2342913,,479965,
ValidCounts,1968808,,428838,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008103495,,0.0008103495,
ZeroOffsetInKeV,-0.0008103495,,-0.0008103495,
StartingChannel,0.0404776,,0.0404776,
NumberOfChannels,2048,,2048,
CountsPerSecond,57420.11,,52993.82,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 5:17:32 PM,,02/08/2023 5:17:32 PM,
LiveTimeInSeconds,35.21,,7.974,
DeadTimeInSeconds,5.593,,1.083,
ResetTimeInSeconds,6.089001,,0.31,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.5,,98.5,
NosePressureInMilliBars,786.9183,,786.9183,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,40.803,,9.057,
PacketTimeInSeconds,46.892,,9.367001,
CommunicationTimeInSeconds,3.107998,,0.6329994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008103495,0,0.0008103495,0
2,0.02083005,0,0.02083005,0
3,0.04084975,0,0.04084975,0
4,0.06086945,0,0.06086945,0
5,0.08088915,0,0.08088915,0
6,0.1009089,0,0.1009089,0
7,0.1209286,0,0.1209286,0
8,0.1409483,0,0.1409483,0
9,0.160968,0,0.160968,0
10,0.1809877,0,0.1809877,0
11,0.2010074,0,0.2010074,0
12,0.2210271,0,0.2210271,0
13,0.2410468,0,0.2410468,0
14,0.2610665,0,0.2610665,0
15,0.2810862,0,0.2810862,0
16,0.3011059,6,0.3011059,3
17,0.3211256,97,0.3211256,27
18,0.3411453,1242,0.3411453,232
19,0.361165,5268,0.361165,1111
20,0.3811847,11362,0.3811847,2606
21,0.4012044,11042,0.4012044,2501
22,0.4212241,4737,0.4212241,1144
23,0.4412438,1031,0.4412438,230
24,0.4612635,111,0.4612635,23
25,0.4812832,5,0.4812832,3
26,0.5013029,20,0.5013029,0
27,0.5213225,6,0.5213225,0
28,0.5413423,5,0.5413423,0
29,0.561362,4,0.561362,0
30,0.5813817,5,0.5813817,0
31,0.6014014,2,0.6014014,0
32,0.6214211,7,0.6214211,0
33,0.6414408,1,0.6414408,0
34,0.6614605,2,0.6614605,0
35,0.6814802,907,0.6814802,25
36,0.7014999,914,0.7014999,18
37,0.7215196,897,0.7215196,17
38,0.7415393,874,0.7415393,19
39,0.761559,827,0.761559,17
40,0.7815787,863,0.7815787,18
41,0.8015984,847,0.8015984,17
42,0.8216181,864,0.8216181,17
43,0.8416378,827,0.8416378,17
44,0.8616575,852,0.8616575,20
45,0.8816772,794,0.8816772,31
46,0.9016969,831,0.9016969,31
47,0.9217166,823,0.9217166,48
48,0.9417363,856,0.9417363,74
49,0.961756,841,0.961756,72
50,0.9817757,866,0.9817757,51
51,1.001795,788,1.001795,29
52,1.021815,778,1.021815,27
53,1.041835,752,1.041835,25
54,1.061854,805,1.061854,40
55,1.081874,758,1.081874,48
56,1.101894,797,1.101894,37
57,1.121914,729,1.121914,29
58,1.141933,789,1.141933,31
59,1.161953,789,1.161953,30
60,1.181973,781,1.181973,34
61,1.201992,780,1.201992,52
62,1.222012,710,1.222012,55
63,1.242032,730,1.242032,44
64,1.262051,744,1.262051,34
65,1.282071,715,1.282071,44
66,1.302091,719,1.302091,9
67,1.322111,680,1.322111,18
68,1.34213,744,1.34213,13
69,1.36215,704,1.36215,20
70,1.38217,650,1.38217,23
71,1.402189,695,1.402189,26
72,1.422209,699,1.422209,31
73,1.442229,644,1.442229,38
74,1.462249,676,1.462249,46
75,1.482268,665,1.482268,69
76,1.502288,663,1.502288,72
77,1.522308,652,1.522308,121
78,1.542327,700,1.542327,191
79,1.562347,670,1.562347,216
80,1.582367,633,1.582367,188
81,1.602386,625,1.602386,127
82,1.622406,653,1.622406,89
83,1.642426,566,1.642426,32
84,1.662446,621,1.662446,49
85,1.682465,633,1.682465,63
86,1.702485,594,1.702485,71
87,1.722505,562,1.722505,123
88,1.742524,559,1.742524,141
89,1.762544,577,1.762544,132
90,1.782564,552,1.782564,73
91,1.802583,591,1.802583,57
92,1.822603,588,1.822603,60
93,1.842623,549,1.842623,73
94,1.862643,604,1.862643,60
95,1.882662,626,1.882662,76
96,1.902682,602,1.902682,107
97,1.922702,654,1.922702,162
98,1.942721,606,1.942721,243
99,1.962741,616,1.962741,446
100,1.982761,585,1.982761,573
101,2.00278,593,2.00278,740
102,2.0228,582,2.0228,713
103,2.04282,593,2.04282,483
104,2.06284,597,2.06284,334
105,2.082859,570,2.082859,180
106,2.102879,534,2.102879,119
107,2.122899,555,2.122899,94
108,2.142918,537,2.142918,92
109,2.162938,518,2.162938,86
110,2.182958,507,2.182958,91
111,2.202977,595,2.202977,117
112,2.222997,500,2.222997,167
113,2.243017,560,2.243017,314
114,2.263036,557,2.263036,608
115,2.283056,513,2.283056,787
116,2.303076,541,2.303076,933
117,2.323096,567,2.323096,948
118,2.343115,516,2.343115,722
119,2.363135,554,2.363135,438
120,2.383155,497,2.383155,276
121,2.403174,491,2.403174,210
122,2.423194,510,2.423194,200
123,2.443214,453,2.443214,168
124,2.463233,493,2.463233,206
125,2.483253,519,2.483253,191
126,2.503273,469,2.503273,196
127,2.523293,448,2.523293,177
128,2.543312,463,2.543312,230
129,2.563332,497,2.563332,269
130,2.583352,491,2.583352,387
131,2.603371,536,2.603371,618
132,2.623391,539,2.623391,1018
133,2.643411,507,2.643411,1763
134,2.663431,463,2.663431,2698
135,2.68345,469,2.68345,3313
136,2.70347,451,2.70347,3447
137,2.72349,454,2.72349,2964
138,2.743509,460,2.743509,2176
139,2.763529,425,2.763529,1572
140,2.783549,422,2.783549,1403
141,2.803569,480,2.803569,1668
142,2.823588,434,2.823588,2004
143,2.843608,460,2.843608,2036
144,2.863628,432,2.863628,1852
145,2.883647,491,2.883647,1654
146,2.903667,498,2.903667,1528
147,2.923687,495,2.923687,1506
148,2.943707,532,2.943707,1631
149,2.963726,532,2.963726,1644
150,2.983746,480,2.983746,1412
151,3.003766,449,3.003766,1089
152,3.023785,418,3.023785,829
153,3.043805,394,3.043805,536
154,3.063825,419,3.063825,397
155,3.083844,424,3.083844,328
156,3.103864,408,3.103864,357
157,3.123884,406,3.123884,378
158,3.143903,386,3.143903,401
159,3.163923,423,3.163923,477
160,3.183943,463,3.183943,567
161,3.203963,593,3.203963,974
162,3.223982,884,3.223982,1922
163,3.244002,1400,3.244002,3930
164,3.264022,2128,3.264022,6963
165,3.284041,3060,3.284041,10452
166,3.304061,3553,3.304061,13121
167,3.324081,3516,3.324081,13521
168,3.3441,2853,3.3441,11217
169,3.36412,1975,3.36412,7547
170,3.38414,1287,3.38414,4263
171,3.40416,837,3.40416,2048
172,3.424179,598,3.424179,974
173,3.444199,597,3.444199,488
