Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1133-00060-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 9:54:24 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,43.875
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,41
UserCustomField,ID,41
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.258406,0.258406,0.1967504,0,0,False,False
13,Al,PercentWeight,0.0169089,0.0169089,0.02518242,0,0,False,False
14,Si,PercentWeight,0.2212295,0.2212295,0.01314159,0,0,False,False
15,P,PercentWeight,0.3668844,0.3143844,0.007076633,0,0,False,False
16,S,PercentWeight,0.1758485,0.1343485,0.003352426,0,0,False,False
17,Cl,PercentWeight,0.03129189,0.03129189,0.012386,0,0,False,False
19,K,PercentWeight,1.229035,1.141535,0.004949539,0,0,False,False
20,Ca,PercentWeight,0.6860477,0.6860477,0.002904024,0,0,False,False
22,Ti,PercentWeight,0.001260174,0.001260174,0.0002194202,0,0,False,False
23,V,PercentWeight,0,0,3.267195E-05,0,0,False,False
24,Cr,PercentWeight,0.002506017,0.002506017,0.0002126878,0,0,False,False
25,Mn,PercentWeight,0.1051401,0.1051401,0.0008027203,0,0,False,False
26,Fe,PercentWeight,0.01091139,0.01091139,0.0005187534,0,0,False,False
28,Ni,PercentWeight,0.0002107542,0.0002107542,9.47613E-05,0,0,False,False
29,Cu,PercentWeight,0.001117354,0.001117354,5.966484E-05,0,0,False,False
30,Zn,PercentWeight,0.005496474,0.005496474,9.905575E-05,0,0,False,False
33,As,PercentWeight,0,0,7.192379E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.207508E-05,0,0,False,False
35,Br,PercentWeight,0,0,8.30345E-05,0,0,False,False
37,Rb,PercentWeight,0.002383777,0.002383777,0.0001159078,0,0,False,False
38,Sr,PercentWeight,0.003340152,0.003340152,0.000113585,0,0,False,False
42,Mo,PercentWeight,0.0001621357,0.0001621357,7.818753E-05,0,0,False,False
48,Cd,PercentWeight,0.0002826408,0.0002826408,0.0002522939,0,0,False,False
56,Ba,PercentWeight,0.007517393,0.007517393,0.002883684,0,0,False,False
80,Hg,PercentWeight,0,0,1.016572E-05,0,0,False,False
82,Pb,PercentWeight,0.0003318623,0.0003318623,0.000233959,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2225531,,458159,
ValidCounts,1884339,,411736,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009906782,,0.0009906782,
ZeroOffsetInKeV,-0.0009906782,,-0.0009906782,
StartingChannel,0.04948517,,0.04948517,
NumberOfChannels,2048,,2048,
CountsPerSecond,54078.12,,50474.71,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 9:54:24 AM,,03/08/2023 9:54:24 AM,
LiveTimeInSeconds,35.834,,8.041,
DeadTimeInSeconds,5.32,,1.036,
ResetTimeInSeconds,5.752998,,0.294,
DetectorTempInC,-27,,-27,
AmbientTempInF,86.8,,86.8,
NosePressureInMilliBars,788.5464,,788.5464,
NoseTemperatureInC,26,,26,
ActiveTimeInSeconds,41.154,,9.077001,
PacketTimeInSeconds,46.907,,9.371,
CommunicationTimeInSeconds,3.092999,,0.6289997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009906782,0,0.0009906782,0
2,0.02101038,0,0.02101038,0
3,0.04103008,0,0.04103008,0
4,0.06104978,0,0.06104978,0
5,0.08106948,0,0.08106948,0
6,0.1010892,0,0.1010892,0
7,0.1211089,0,0.1211089,0
8,0.1411286,0,0.1411286,0
9,0.1611483,0,0.1611483,0
10,0.181168,0,0.181168,0
11,0.2011877,0,0.2011877,0
12,0.2212074,0,0.2212074,0
13,0.2412271,0,0.2412271,0
14,0.2612468,0,0.2612468,0
15,0.2812665,0,0.2812665,0
16,0.3012862,8,0.3012862,0
17,0.3213059,111,0.3213059,21
18,0.3413256,1263,0.3413256,255
19,0.3613453,5567,0.3613453,1174
20,0.381365,11539,0.381365,2573
21,0.4013847,10971,0.4013847,2513
22,0.4214044,4923,0.4214044,1115
23,0.4414241,1048,0.4414241,256
24,0.4614438,125,0.4614438,17
25,0.4814635,15,0.4814635,1
26,0.5014832,4,0.5014832,0
27,0.5215029,3,0.5215029,0
28,0.5415226,2,0.5415226,0
29,0.5615423,4,0.5615423,0
30,0.581562,3,0.581562,0
31,0.6015817,4,0.6015817,0
32,0.6216014,2,0.6216014,0
33,0.6416211,2,0.6416211,0
34,0.6616408,0,0.6616408,0
35,0.6816605,894,0.6816605,16
36,0.7016802,833,0.7016802,17
37,0.7216999,892,0.7216999,18
38,0.7417196,914,0.7417196,15
39,0.7617393,882,0.7617393,11
40,0.781759,890,0.781759,16
41,0.8017787,785,0.8017787,15
42,0.8217984,789,0.8217984,14
43,0.8418181,791,0.8418181,13
44,0.8618378,785,0.8618378,20
45,0.8818575,806,0.8818575,40
46,0.9018772,781,0.9018772,37
47,0.9218969,779,0.9218969,67
48,0.9419166,831,0.9419166,74
49,0.9619364,776,0.9619364,69
50,0.981956,780,0.981956,44
51,1.001976,723,1.001976,23
52,1.021995,804,1.021995,26
53,1.042015,719,1.042015,20
54,1.062035,732,1.062035,50
55,1.082054,774,1.082054,49
56,1.102074,775,1.102074,45
57,1.122094,773,1.122094,26
58,1.142114,762,1.142114,33
59,1.162133,720,1.162133,18
60,1.182153,705,1.182153,29
61,1.202173,716,1.202173,38
62,1.222192,710,1.222192,51
63,1.242212,732,1.242212,34
64,1.262232,730,1.262232,35
65,1.282252,706,1.282252,32
66,1.302271,684,1.302271,21
67,1.322291,659,1.322291,17
68,1.342311,681,1.342311,20
69,1.36233,648,1.36233,13
70,1.38235,662,1.38235,24
71,1.40237,685,1.40237,18
72,1.42239,640,1.42239,18
73,1.442409,705,1.442409,46
74,1.462429,650,1.462429,58
75,1.482449,693,1.482449,73
76,1.502468,639,1.502468,74
77,1.522488,676,1.522488,111
78,1.542508,597,1.542508,167
79,1.562527,614,1.562527,182
80,1.582547,640,1.582547,153
81,1.602567,656,1.602567,136
82,1.622586,604,1.622586,63
83,1.642606,617,1.642606,40
84,1.662626,587,1.662626,40
85,1.682646,590,1.682646,77
86,1.702665,610,1.702665,150
87,1.722685,573,1.722685,198
88,1.742705,564,1.742705,212
89,1.762724,598,1.762724,184
90,1.782744,519,1.782744,107
91,1.802764,577,1.802764,84
92,1.822783,599,1.822783,58
93,1.842803,585,1.842803,72
94,1.862823,574,1.862823,68
95,1.882843,614,1.882843,74
96,1.902862,649,1.902862,125
97,1.922882,612,1.922882,195
98,1.942902,627,1.942902,313
99,1.962921,631,1.962921,519
100,1.982941,605,1.982941,781
101,2.002961,596,2.002961,961
102,2.02298,574,2.02298,885
103,2.043,546,2.043,623
104,2.06302,574,2.06302,382
105,2.08304,544,2.08304,200
106,2.103059,559,2.103059,110
107,2.123079,563,2.123079,137
108,2.143099,519,2.143099,118
109,2.163118,563,2.163118,91
110,2.183138,532,2.183138,118
111,2.203158,513,2.203158,99
112,2.223177,527,2.223177,209
113,2.243197,493,2.243197,380
114,2.263217,540,2.263217,654
115,2.283237,538,2.283237,1007
116,2.303256,562,2.303256,1096
117,2.323276,550,2.323276,1015
118,2.343296,494,2.343296,772
119,2.363315,547,2.363315,455
120,2.383335,505,2.383335,321
121,2.403355,475,2.403355,229
122,2.423374,478,2.423374,199
123,2.443394,480,2.443394,189
124,2.463414,472,2.463414,206
125,2.483433,525,2.483433,210
126,2.503453,491,2.503453,207
127,2.523473,479,2.523473,156
128,2.543493,490,2.543493,228
129,2.563512,474,2.563512,249
130,2.583532,536,2.583532,403
131,2.603552,514,2.603552,637
132,2.623571,536,2.623571,1055
133,2.643591,524,2.643591,1767
134,2.663611,485,2.663611,2574
135,2.683631,484,2.683631,3165
136,2.70365,455,2.70365,3265
137,2.72367,489,2.72367,2746
138,2.74369,436,2.74369,2041
139,2.763709,403,2.763709,1567
140,2.783729,462,2.783729,1427
141,2.803749,434,2.803749,1600
142,2.823769,455,2.823769,1748
143,2.843788,455,2.843788,1947
144,2.863808,412,2.863808,1783
145,2.883828,479,2.883828,1578
146,2.903847,496,2.903847,1497
147,2.923867,508,2.923867,1536
148,2.943887,529,2.943887,1752
149,2.963907,544,2.963907,1627
150,2.983926,515,2.983926,1444
151,3.003946,519,3.003946,1113
152,3.023966,466,3.023966,819
153,3.043985,423,3.043985,564
154,3.064005,429,3.064005,399
155,3.084025,361,3.084025,331
156,3.104044,380,3.104044,349
157,3.124064,387,3.124064,333
158,3.144084,420,3.144084,361
159,3.164104,439,3.164104,416
160,3.184123,453,3.184123,564
161,3.204143,570,3.204143,910
162,3.224163,852,3.224163,1830
163,3.244182,1284,3.244182,3582
164,3.264202,2022,3.264202,6317
165,3.284222,2690,3.284222,9405
166,3.304241,3339,3.304241,11767
167,3.324261,3065,3.324261,11825
168,3.344281,2615,3.344281,9878
169,3.3643,1855,3.3643,6822
170,3.38432,1169,3.38432,3787
171,3.40434,790,3.40434,1832
