Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1135-00058-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 5:38:57 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.29301
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 39
UserCustomField,ID, 39
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.04719174,0.04719174,0.1937134,0,0,False,False
13,Al,PercentWeight,0,0,0.0257583,0,0,False,False
14,Si,PercentWeight,0.02085772,0.02085772,0.01045305,0,0,False,False
15,P,PercentWeight,0.2549538,0.2024538,0.006241464,0,0,False,False
16,S,PercentWeight,0.2280755,0.1865755,0.003698219,0,0,False,False
17,Cl,PercentWeight,0.02302663,0.02302663,0.01246287,0,0,False,False
19,K,PercentWeight,1.523166,1.435666,0.005460914,0,0,False,False
20,Ca,PercentWeight,0.433854,0.433854,0.002400626,0,0,False,False
22,Ti,PercentWeight,0.0007456109,0.0007456109,0.0002147768,0,0,False,False
23,V,PercentWeight,0,0,3.204197E-05,0,0,False,False
24,Cr,PercentWeight,0.002633962,0.002633962,0.0002118224,0,0,False,False
25,Mn,PercentWeight,0.0245844,0.0245844,0.0004332923,0,0,False,False
26,Fe,PercentWeight,0.01239778,0.01239778,0.0004686548,0,0,False,False
28,Ni,PercentWeight,0,0,8.889689E-05,0,0,False,False
29,Cu,PercentWeight,0.00172015,0.00172015,6.485093E-05,0,0,False,False
30,Zn,PercentWeight,0.003677422,0.003677422,8.793214E-05,0,0,False,False
33,As,PercentWeight,0,0,7.364119E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.167109E-05,0,0,False,False
35,Br,PercentWeight,0.0001312508,0.0001312508,8.456753E-05,0,0,False,False
37,Rb,PercentWeight,0.002759228,0.002759228,0.0001169854,0,0,False,False
38,Sr,PercentWeight,0.002256732,0.002256732,0.0001112239,0,0,False,False
42,Mo,PercentWeight,0.0001552631,0.0001552631,7.620944E-05,0,0,False,False
48,Cd,PercentWeight,0.0006607,0.0006607,0.0002458245,0,0,False,False
56,Ba,PercentWeight,0.003573447,0.003573447,0.002876462,0,0,False,False
80,Hg,PercentWeight,0,0,9.925755E-06,0,0,False,False
82,Pb,PercentWeight,0.0002123807,0.0002123807,0.0002343853,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2138290,,440741,
ValidCounts,1819752,,398096,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000660255,,0.000660255,
ZeroOffsetInKeV,-0.000660255,,-0.000660255,
StartingChannel,0.03298026,,0.03298026,
NumberOfChannels,2048,,2048,
CountsPerSecond,51730.74,,48545.1,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 5:38:57 PM,,02/08/2023 5:38:57 PM,
LiveTimeInSeconds,36.215,,8.078001,
DeadTimeInSeconds,5.120002,,1.001,
ResetTimeInSeconds,5.526001,,0.281,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.8,,97.8,
NosePressureInMilliBars,785.895,,785.895,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.335,,9.079,
PacketTimeInSeconds,46.861,,9.360001,
CommunicationTimeInSeconds,3.139,,0.6399994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000660255,0,0.000660255,0
2,0.02067996,0,0.02067996,0
3,0.04069966,0,0.04069966,0
4,0.06071936,0,0.06071936,0
5,0.08073906,0,0.08073906,0
6,0.1007588,0,0.1007588,0
7,0.1207785,0,0.1207785,0
8,0.1407982,0,0.1407982,0
9,0.1608179,0,0.1608179,0
10,0.1808376,0,0.1808376,0
11,0.2008573,0,0.2008573,0
12,0.220877,0,0.220877,0
13,0.2408967,0,0.2408967,0
14,0.2609164,0,0.2609164,0
15,0.2809361,0,0.2809361,0
16,0.3009558,6,0.3009558,2
17,0.3209755,137,0.3209755,25
18,0.3409952,1163,0.3409952,228
19,0.3610149,5507,0.3610149,1220
20,0.3810346,11582,0.3810346,2634
21,0.4010543,11320,0.4010543,2546
22,0.421074,4974,0.421074,1119
23,0.4410937,1069,0.4410937,243
24,0.4611134,142,0.4611134,17
25,0.4811331,24,0.4811331,5
26,0.5011528,1,0.5011528,0
27,0.5211725,1,0.5211725,0
28,0.5411922,1,0.5411922,0
29,0.5612119,2,0.5612119,0
30,0.5812316,5,0.5812316,0
31,0.6012513,1,0.6012513,0
32,0.621271,2,0.621271,0
33,0.6412907,2,0.6412907,1
34,0.6613104,0,0.6613104,0
35,0.6813301,932,0.6813301,16
36,0.7013498,860,0.7013498,18
37,0.7213695,853,0.7213695,15
38,0.7413892,867,0.7413892,16
39,0.7614089,750,0.7614089,22
40,0.7814286,867,0.7814286,16
41,0.8014483,828,0.8014483,12
42,0.821468,847,0.821468,28
43,0.8414877,794,0.8414877,30
44,0.8615074,787,0.8615074,24
45,0.8815271,804,0.8815271,23
46,0.9015468,741,0.9015468,37
47,0.9215665,821,0.9215665,61
48,0.9415862,762,0.9415862,62
49,0.9616059,717,0.9616059,81
50,0.9816256,775,0.9816256,50
51,1.001645,775,1.001645,27
52,1.021665,786,1.021665,25
53,1.041685,795,1.041685,29
54,1.061704,741,1.061704,32
55,1.081724,703,1.081724,38
56,1.101744,676,1.101744,44
57,1.121763,703,1.121763,31
58,1.141783,765,1.141783,34
59,1.161803,728,1.161803,30
60,1.181823,735,1.181823,31
61,1.201842,705,1.201842,38
62,1.221862,646,1.221862,36
63,1.241882,679,1.241882,51
64,1.261901,675,1.261901,27
65,1.281921,709,1.281921,16
66,1.301941,684,1.301941,18
67,1.321961,629,1.321961,22
68,1.34198,623,1.34198,21
69,1.362,681,1.362,18
70,1.38202,640,1.38202,14
71,1.402039,644,1.402039,28
72,1.422059,604,1.422059,31
73,1.442079,636,1.442079,42
74,1.462098,659,1.462098,46
75,1.482118,647,1.482118,59
76,1.502138,601,1.502138,93
77,1.522158,613,1.522158,134
78,1.542177,621,1.542177,185
79,1.562197,662,1.562197,256
80,1.582217,615,1.582217,216
81,1.602236,581,1.602236,156
82,1.622256,599,1.622256,80
83,1.642276,607,1.642276,58
84,1.662295,550,1.662295,35
85,1.682315,592,1.682315,33
86,1.702335,594,1.702335,56
87,1.722355,573,1.722355,88
88,1.742374,553,1.742374,96
89,1.762394,550,1.762394,100
90,1.782414,535,1.782414,61
91,1.802433,542,1.802433,63
92,1.822453,546,1.822453,63
93,1.842473,580,1.842473,65
94,1.862492,610,1.862492,60
95,1.882512,576,1.882512,76
96,1.902532,584,1.902532,73
97,1.922552,591,1.922552,132
98,1.942571,596,1.942571,260
99,1.962591,587,1.962591,351
100,1.982611,591,1.982611,559
101,2.00263,605,2.00263,672
102,2.02265,532,2.02265,645
103,2.04267,594,2.04267,528
104,2.06269,545,2.06269,311
105,2.082709,561,2.082709,182
106,2.102729,540,2.102729,108
107,2.122749,552,2.122749,115
108,2.142768,551,2.142768,99
109,2.162788,541,2.162788,89
110,2.182808,559,2.182808,83
111,2.202827,517,2.202827,122
112,2.222847,555,2.222847,244
113,2.242867,543,2.242867,431
114,2.262887,565,2.262887,794
115,2.282906,542,2.282906,1140
116,2.302926,560,2.302926,1372
117,2.322946,534,2.322946,1296
118,2.342965,512,2.342965,1037
119,2.362985,514,2.362985,648
120,2.383005,474,2.383005,383
121,2.403024,446,2.403024,249
122,2.423044,463,2.423044,217
123,2.443064,469,2.443064,209
124,2.463084,468,2.463084,250
125,2.483103,458,2.483103,200
126,2.503123,497,2.503123,193
127,2.523143,444,2.523143,196
128,2.543162,431,2.543162,205
129,2.563182,447,2.563182,231
130,2.583202,513,2.583202,350
131,2.603221,571,2.603221,630
132,2.623241,530,2.623241,1093
133,2.643261,511,2.643261,1777
134,2.66328,498,2.66328,2603
135,2.6833,450,2.6833,3312
136,2.70332,405,2.70332,3356
137,2.72334,402,2.72334,2806
138,2.743359,435,2.743359,2109
139,2.763379,420,2.763379,1507
140,2.783399,431,2.783399,1366
141,2.803418,465,2.803418,1648
142,2.823438,435,2.823438,1872
143,2.843458,415,2.843458,1923
144,2.863477,390,2.863477,1790
145,2.883497,479,2.883497,1622
146,2.903517,455,2.903517,1479
147,2.923537,493,2.923537,1511
148,2.943556,538,2.943556,1617
149,2.963576,518,2.963576,1663
150,2.983596,488,2.983596,1442
151,3.003615,397,3.003615,1101
152,3.023635,430,3.023635,742
153,3.043655,401,3.043655,599
154,3.063674,423,3.063674,421
155,3.083694,400,3.083694,314
156,3.103714,373,3.103714,317
157,3.123734,403,3.123734,320
158,3.143753,378,3.143753,417
159,3.163773,423,3.163773,420
160,3.183793,480,3.183793,588
161,3.203812,593,3.203812,1045
162,3.223832,981,3.223832,2209
163,3.243852,1526,3.243852,4237
164,3.263871,2479,3.263871,7929
165,3.283891,3412,3.283891,11899
166,3.303911,3888,3.303911,14692
167,3.323931,4020,3.323931,15198
168,3.34395,3309,3.34395,12397
169,3.36397,2295,3.36397,8549
170,3.38399,1421,3.38399,4879
171,3.404009,848,3.404009,2378
