Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1135-00059-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 9:48:35 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.687
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,40
UserCustomField,ID,40
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4142937,0.4142937,0.1971042,0,0,False,False
13,Al,PercentWeight,0,0,0.02519153,0,0,False,False
14,Si,PercentWeight,0.03314519,0.03314519,0.01052714,0,0,False,False
15,P,PercentWeight,0.2532047,0.2007047,0.006220935,0,0,False,False
16,S,PercentWeight,0.217578,0.176078,0.003638551,0,0,False,False
17,Cl,PercentWeight,0.01865787,0.01865787,0.01231018,0,0,False,False
19,K,PercentWeight,1.522877,1.435377,0.005487506,0,0,False,False
20,Ca,PercentWeight,0.457278,0.457278,0.002456678,0,0,False,False
22,Ti,PercentWeight,0.0005546834,0.0005546834,0.0002142561,0,0,False,False
23,V,PercentWeight,0,0,3.243185E-05,0,0,False,False
24,Cr,PercentWeight,0.002154991,0.002154991,0.0002097703,0,0,False,False
25,Mn,PercentWeight,0.02772057,0.02772057,0.0004720015,0,0,False,False
26,Fe,PercentWeight,0.01427023,0.01427023,0.0004930678,0,0,False,False
28,Ni,PercentWeight,0,0,8.92013E-05,0,0,False,False
29,Cu,PercentWeight,0.001650705,0.001650705,6.857215E-05,0,0,False,False
30,Zn,PercentWeight,0.003583276,0.003583276,9.13527E-05,0,0,False,False
33,As,PercentWeight,0,0,7.703929E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.035572E-05,0,0,False,False
35,Br,PercentWeight,0.0001488974,0.0001488974,8.867682E-05,0,0,False,False
37,Rb,PercentWeight,0.002421837,0.002421837,0.0001224243,0,0,False,False
38,Sr,PercentWeight,0.002151381,0.002151381,0.0001167261,0,0,False,False
42,Mo,PercentWeight,5.24473E-05,5.24473E-05,7.431221E-05,0,0,False,False
48,Cd,PercentWeight,0.0007367847,0.0007367847,0.0002414085,0,0,False,False
56,Ba,PercentWeight,0,0,0.002975582,0,0,False,False
80,Hg,PercentWeight,0,0,9.875604E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002468254,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2075317,,438253,
ValidCounts,1774363,,395912,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001101188,,0.001101188,
ZeroOffsetInKeV,-0.001101188,,-0.001101188,
StartingChannel,0.05500524,,0.05500524,
NumberOfChannels,2048,,2048,
CountsPerSecond,49925.82,,48217.95,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 9:48:35 AM,,03/08/2023 9:48:35 AM,
LiveTimeInSeconds,36.591,,8.096001,
DeadTimeInSeconds,4.976998,,0.993,
ResetTimeInSeconds,5.336,,0.28,
DetectorTempInC,-27,,-27,
AmbientTempInF,85.5,,85.5,
NosePressureInMilliBars,788.6744,,788.6744,
NoseTemperatureInC,25,,25,
ActiveTimeInSeconds,41.56801,,9.089001,
PacketTimeInSeconds,46.90401,,9.369,
CommunicationTimeInSeconds,3.095989,,0.6309996,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001101188,0,0.001101188,0
2,0.02112089,0,0.02112089,0
3,0.04114059,0,0.04114059,0
4,0.06116029,0,0.06116029,0
5,0.08117999,0,0.08117999,0
6,0.1011997,0,0.1011997,0
7,0.1212194,0,0.1212194,0
8,0.1412391,0,0.1412391,0
9,0.1612588,0,0.1612588,0
10,0.1812785,0,0.1812785,0
11,0.2012982,0,0.2012982,0
12,0.2213179,0,0.2213179,0
13,0.2413376,0,0.2413376,0
14,0.2613573,0,0.2613573,0
15,0.281377,0,0.281377,0
16,0.3013967,6,0.3013967,2
17,0.3214164,137,0.3214164,20
18,0.3414361,1284,0.3414361,237
19,0.3614558,5806,0.3614558,1212
20,0.3814755,11564,0.3814755,2574
21,0.4014952,11221,0.4014952,2532
22,0.4215149,4970,0.4215149,1169
23,0.4415346,1054,0.4415346,237
24,0.4615543,125,0.4615543,41
25,0.481574,21,0.481574,1
26,0.5015937,7,0.5015937,0
27,0.5216134,4,0.5216134,0
28,0.5416331,7,0.5416331,0
29,0.5616528,3,0.5616528,0
30,0.5816725,1,0.5816725,0
31,0.6016922,1,0.6016922,0
32,0.6217119,2,0.6217119,0
33,0.6417316,3,0.6417316,0
34,0.6617513,1,0.6617513,0
35,0.681771,827,0.681771,18
36,0.7017908,836,0.7017908,16
37,0.7218104,851,0.7218104,22
38,0.7418301,884,0.7418301,13
39,0.7618498,795,0.7618498,17
40,0.7818695,783,0.7818695,14
41,0.8018892,763,0.8018892,11
42,0.821909,752,0.821909,10
43,0.8419286,753,0.8419286,21
44,0.8619483,747,0.8619483,18
45,0.881968,750,0.881968,25
46,0.9019877,795,0.9019877,33
47,0.9220074,722,0.9220074,64
48,0.9420272,742,0.9420272,66
49,0.9620469,753,0.9620469,69
50,0.9820665,751,0.9820665,49
51,1.002086,785,1.002086,31
52,1.022106,772,1.022106,26
53,1.042126,685,1.042126,31
54,1.062145,702,1.062145,37
55,1.082165,761,1.082165,45
56,1.102185,702,1.102185,42
57,1.122204,672,1.122204,39
58,1.142224,700,1.142224,31
59,1.162244,722,1.162244,32
60,1.182263,695,1.182263,49
61,1.202283,710,1.202283,42
62,1.222303,702,1.222303,39
63,1.242323,693,1.242323,40
64,1.262342,641,1.262342,25
65,1.282362,659,1.282362,28
66,1.302382,651,1.302382,24
67,1.322401,662,1.322401,16
68,1.342421,638,1.342421,14
69,1.362441,631,1.362441,18
70,1.382461,638,1.382461,21
71,1.40248,648,1.40248,20
72,1.4225,585,1.4225,32
73,1.44252,642,1.44252,32
74,1.462539,651,1.462539,52
75,1.482559,603,1.482559,63
76,1.502579,588,1.502579,90
77,1.522599,672,1.522599,143
78,1.542618,629,1.542618,196
79,1.562638,596,1.562638,253
80,1.582658,592,1.582658,204
81,1.602677,569,1.602677,144
82,1.622697,577,1.622697,81
83,1.642717,573,1.642717,45
84,1.662736,556,1.662736,32
85,1.682756,552,1.682756,47
86,1.702776,558,1.702776,62
87,1.722795,555,1.722795,94
88,1.742815,574,1.742815,102
89,1.762835,550,1.762835,85
90,1.782855,561,1.782855,71
91,1.802874,565,1.802874,69
92,1.822894,588,1.822894,47
93,1.842914,618,1.842914,72
94,1.862933,597,1.862933,62
95,1.882953,603,1.882953,78
96,1.902973,545,1.902973,104
97,1.922992,528,1.922992,156
98,1.943012,587,1.943012,226
99,1.963032,578,1.963032,368
100,1.983052,563,1.983052,575
101,2.003071,553,2.003071,729
102,2.023091,533,2.023091,646
103,2.043111,551,2.043111,450
104,2.06313,583,2.06313,306
105,2.08315,533,2.08315,167
106,2.10317,512,2.10317,110
107,2.123189,524,2.123189,92
108,2.143209,511,2.143209,98
109,2.163229,489,2.163229,81
110,2.183249,521,2.183249,75
111,2.203268,465,2.203268,112
112,2.223288,490,2.223288,227
113,2.243308,480,2.243308,454
114,2.263327,552,2.263327,796
115,2.283347,506,2.283347,1122
116,2.303367,546,2.303367,1310
117,2.323386,536,2.323386,1279
118,2.343406,488,2.343406,930
119,2.363426,491,2.363426,605
120,2.383446,478,2.383446,360
121,2.403465,435,2.403465,226
122,2.423485,454,2.423485,217
123,2.443505,452,2.443505,214
124,2.463524,437,2.463524,204
125,2.483544,476,2.483544,196
126,2.503564,464,2.503564,196
127,2.523583,449,2.523583,178
128,2.543603,444,2.543603,188
129,2.563623,456,2.563623,248
130,2.583643,485,2.583643,359
131,2.603662,511,2.603662,589
132,2.623682,550,2.623682,1006
133,2.643702,475,2.643702,1668
134,2.663721,436,2.663721,2649
135,2.683741,414,2.683741,3189
136,2.703761,458,2.703761,3282
137,2.723781,390,2.723781,2739
138,2.7438,412,2.7438,2078
139,2.76382,426,2.76382,1531
140,2.78384,422,2.78384,1351
141,2.803859,452,2.803859,1629
142,2.823879,397,2.823879,1819
143,2.843899,421,2.843899,1955
144,2.863919,389,2.863919,1729
145,2.883938,450,2.883938,1606
146,2.903958,460,2.903958,1465
147,2.923978,519,2.923978,1507
148,2.943997,538,2.943997,1693
149,2.964017,522,2.964017,1696
150,2.984037,501,2.984037,1475
151,3.004056,468,3.004056,1201
152,3.024076,432,3.024076,752
153,3.044096,410,3.044096,538
154,3.064116,377,3.064116,390
155,3.084135,360,3.084135,325
156,3.104155,390,3.104155,295
157,3.124175,372,3.124175,376
158,3.144194,409,3.144194,388
159,3.164214,402,3.164214,471
160,3.184234,461,3.184234,609
161,3.204253,601,3.204253,1109
162,3.224273,937,3.224273,2143
163,3.244293,1544,3.244293,4448
164,3.264313,2520,3.264313,7924
165,3.284332,3416,3.284332,12017
166,3.304352,4017,3.304352,14638
167,3.324372,3992,3.324372,15158
168,3.344391,3317,3.344391,12556
169,3.364411,2348,3.364411,8518
170,3.384431,1417,3.384431,4719
171,3.40445,896,3.40445,2323
172,3.42447,576,3.42447,1034
