Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1203-00063-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 10:24:55 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.317
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,44
UserCustomField,ID,44
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4924904,0.4924904,0.2000205,0,0,False,False
13,Al,PercentWeight,0.05056297,0.05056297,0.02651734,0,0,False,False
14,Si,PercentWeight,0.5837774,0.5837774,0.01783798,0,0,False,False
15,P,PercentWeight,0.1480966,0.09559661,0.005334759,0,0,False,False
16,S,PercentWeight,0.2405475,0.1990475,0.003790564,0,0,False,False
17,Cl,PercentWeight,0.04999923,0.04999923,0.01278304,0,0,False,False
19,K,PercentWeight,0.9953297,0.9078298,0.004504873,0,0,False,False
20,Ca,PercentWeight,1.156279,1.156279,0.003617999,0,0,False,False
22,Ti,PercentWeight,0.001197063,0.001197063,0.0002309968,0,0,False,False
23,V,PercentWeight,0,0,3.393407E-05,0,0,False,False
24,Cr,PercentWeight,0.002855128,0.002855128,0.0002235831,0,0,False,False
25,Mn,PercentWeight,0.1695521,0.1695521,0.001088784,0,0,False,False
26,Fe,PercentWeight,0.04857839,0.04857839,0.000733001,0,0,False,False
28,Ni,PercentWeight,0.00857289,0.00857289,0.0001394537,0,0,False,False
29,Cu,PercentWeight,0.001910744,0.001910744,7.286129E-05,0,0,False,False
30,Zn,PercentWeight,0.01638269,0.01638269,0.0001609833,0,0,False,False
33,As,PercentWeight,0.000134959,0.000134959,7.542189E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.903322E-05,0,0,False,False
35,Br,PercentWeight,0.003848426,0.003848426,0.0001012835,0,0,False,False
37,Rb,PercentWeight,0.0005451208,0.0005451208,0.0001160789,0,0,False,False
38,Sr,PercentWeight,0.007790845,0.007790845,0.0001269431,0,0,False,False
42,Mo,PercentWeight,0.0002853167,0.0002853167,7.424817E-05,0,0,False,False
48,Cd,PercentWeight,0.0009054855,0.0009054855,0.0002408195,0,0,False,False
56,Ba,PercentWeight,0.01695722,0.01695722,0.003049664,0,0,False,False
80,Hg,PercentWeight,0,0,9.734698E-06,0,0,False,False
82,Pb,PercentWeight,6.977578E-05,6.977578E-05,0.0002423357,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2152044,,488626,
ValidCounts,1835002,,436346,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007893306,,0.0007893306,
ZeroOffsetInKeV,-0.0007893306,,-0.0007893306,
StartingChannel,0.03942769,,0.03942769,
NumberOfChannels,2048,,2048,
CountsPerSecond,51848.98,,53932.22,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 10:24:55 AM,,03/08/2023 10:24:55 AM,
LiveTimeInSeconds,36.36,,7.957,
DeadTimeInSeconds,5.146001,,1.103,
ResetTimeInSeconds,5.395,,0.309,
DetectorTempInC,-27,,-27,
AmbientTempInF,91.5,,91.5,
NosePressureInMilliBars,788.6245,,788.6245,
NoseTemperatureInC,29,,29,
ActiveTimeInSeconds,41.50601,,9.060001,
PacketTimeInSeconds,46.90101,,9.369001,
CommunicationTimeInSeconds,3.098991,,0.6309986,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007893306,0,0.0007893306,0
2,0.02080903,0,0.02080903,0
3,0.04082873,0,0.04082873,0
4,0.06084843,0,0.06084843,0
5,0.08086813,0,0.08086813,0
6,0.1008878,0,0.1008878,0
7,0.1209075,0,0.1209075,0
8,0.1409272,0,0.1409272,0
9,0.1609469,0,0.1609469,0
10,0.1809666,0,0.1809666,0
11,0.2009863,0,0.2009863,0
12,0.221006,0,0.221006,0
13,0.2410257,0,0.2410257,0
14,0.2610455,0,0.2610455,0
15,0.2810651,0,0.2810651,0
16,0.3010848,7,0.3010848,1
17,0.3211046,131,0.3211046,18
18,0.3411242,1207,0.3411242,249
19,0.3611439,5652,0.3611439,1236
20,0.3811637,11732,0.3811637,2543
21,0.4011833,11235,0.4011833,2453
22,0.421203,5034,0.421203,1154
23,0.4412228,1132,0.4412228,245
24,0.4612425,116,0.4612425,17
25,0.4812621,19,0.4812621,2
26,0.5012819,5,0.5012819,0
27,0.5213016,1,0.5213016,0
28,0.5413213,3,0.5413213,0
29,0.561341,1,0.561341,0
30,0.5813606,3,0.5813606,0
31,0.6013803,2,0.6013803,0
32,0.6214001,2,0.6214001,0
33,0.6414198,3,0.6414198,0
34,0.6614395,0,0.6614395,0
35,0.6814592,832,0.6814592,15
36,0.7014788,814,0.7014788,9
37,0.7214985,810,0.7214985,9
38,0.7415183,777,0.7415183,9
39,0.761538,819,0.761538,21
40,0.7815577,816,0.7815577,11
41,0.8015774,778,0.8015774,15
42,0.8215971,790,0.8215971,21
43,0.8416167,774,0.8416167,23
44,0.8616365,807,0.8616365,27
45,0.8816562,744,0.8816562,32
46,0.9016759,734,0.9016759,38
47,0.9216956,764,0.9216956,56
48,0.9417153,743,0.9417153,66
49,0.961735,723,0.961735,58
50,0.9817547,678,0.9817547,46
51,1.001774,812,1.001774,43
52,1.021794,723,1.021794,29
53,1.041814,703,1.041814,25
54,1.061834,661,1.061834,42
55,1.081853,716,1.081853,41
56,1.101873,675,1.101873,40
57,1.121893,738,1.121893,36
58,1.141912,663,1.141912,35
59,1.161932,652,1.161932,32
60,1.181952,654,1.181952,42
61,1.201971,664,1.201971,36
62,1.221991,686,1.221991,38
63,1.242011,684,1.242011,43
64,1.26203,656,1.26203,35
65,1.28205,686,1.28205,32
66,1.30207,656,1.30207,22
67,1.32209,651,1.32209,14
68,1.342109,585,1.342109,16
69,1.362129,571,1.362129,16
70,1.382149,632,1.382149,17
71,1.402168,628,1.402168,34
72,1.422188,634,1.422188,27
73,1.442208,579,1.442208,47
74,1.462227,609,1.462227,54
75,1.482247,602,1.482247,73
76,1.502267,658,1.502267,92
77,1.522287,643,1.522287,99
78,1.542306,592,1.542306,153
79,1.562326,611,1.562326,151
80,1.582346,617,1.582346,138
81,1.602365,577,1.602365,114
82,1.622385,591,1.622385,63
83,1.642405,550,1.642405,43
84,1.662425,517,1.662425,65
85,1.682444,544,1.682444,169
86,1.702464,530,1.702464,305
87,1.722484,571,1.722484,393
88,1.742503,553,1.742503,433
89,1.762523,550,1.762523,357
90,1.782543,573,1.782543,257
91,1.802562,501,1.802562,133
92,1.822582,562,1.822582,86
93,1.842602,580,1.842602,75
94,1.862622,612,1.862622,85
95,1.882641,570,1.882641,96
96,1.902661,601,1.902661,133
97,1.922681,597,1.922681,209
98,1.9427,597,1.9427,306
99,1.96272,566,1.96272,332
100,1.98274,593,1.98274,411
101,2.002759,578,2.002759,447
102,2.022779,588,2.022779,414
103,2.042799,565,2.042799,310
104,2.062819,524,2.062819,200
105,2.082838,482,2.082838,114
106,2.102858,531,2.102858,76
107,2.122878,499,2.122878,78
108,2.142897,488,2.142897,78
109,2.162917,479,2.162917,74
110,2.182937,502,2.182937,94
111,2.202956,502,2.202956,132
112,2.222976,483,2.222976,251
113,2.242996,552,2.242996,479
114,2.263016,538,2.263016,807
115,2.283035,547,2.283035,1182
116,2.303055,545,2.303055,1457
117,2.323075,522,2.323075,1315
118,2.343094,531,2.343094,958
119,2.363114,471,2.363114,683
120,2.383134,459,2.383134,355
121,2.403153,480,2.403153,236
122,2.423173,447,2.423173,226
123,2.443193,449,2.443193,209
124,2.463212,470,2.463212,209
125,2.483232,431,2.483232,256
126,2.503252,420,2.503252,206
127,2.523272,420,2.523272,189
128,2.543291,477,2.543291,227
129,2.563311,477,2.563311,306
130,2.583331,498,2.583331,458
131,2.60335,462,2.60335,755
132,2.62337,527,2.62337,1167
133,2.64339,469,2.64339,1804
134,2.663409,491,2.663409,2614
135,2.683429,460,2.683429,3248
136,2.703449,428,2.703449,3257
137,2.723469,455,2.723469,2727
138,2.743488,408,2.743488,1986
139,2.763508,405,2.763508,1522
140,2.783528,408,2.783528,1353
141,2.803547,393,2.803547,1591
142,2.823567,433,2.823567,1927
143,2.843587,427,2.843587,1866
144,2.863607,421,2.863607,1807
145,2.883626,431,2.883626,1483
146,2.903646,459,2.903646,1440
147,2.923666,512,2.923666,1500
148,2.943685,522,2.943685,1557
149,2.963705,518,2.963705,1581
150,2.983725,502,2.983725,1376
151,3.003744,432,3.003744,1058
152,3.023764,422,3.023764,794
153,3.043784,375,3.043784,537
154,3.063804,392,3.063804,384
155,3.083823,404,3.083823,303
156,3.103843,397,3.103843,306
157,3.123863,413,3.123863,363
158,3.143882,363,3.143882,380
159,3.163902,363,3.163902,454
160,3.183922,474,3.183922,507
161,3.203942,564,3.203942,747
162,3.223961,785,3.223961,1463
163,3.243981,1155,3.243981,2893
164,3.264001,1768,3.264001,4992
165,3.28402,2267,3.28402,7521
166,3.30404,2761,3.30404,9165
167,3.32406,2643,3.32406,9349
168,3.344079,2278,3.344079,7805
169,3.364099,1550,3.364099,5381
170,3.384119,1012,3.384119,3027
