Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1204-00054-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 5:13:24 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.83201
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 35
UserCustomField,ID, 35
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.114567,0.114567,0.2008443,0,0,False,False
13,Al,PercentWeight,0.03890273,0.03890273,0.02635675,0,0,False,False
14,Si,PercentWeight,0.6300794,0.6300794,0.018082,0,0,False,False
15,P,PercentWeight,0.134568,0.08206797,0.005055492,0,0,False,False
16,S,PercentWeight,0.2055299,0.1640299,0.00352685,0,0,False,False
17,Cl,PercentWeight,0.04565113,0.04565113,0.01257011,0,0,False,False
19,K,PercentWeight,0.8665695,0.7790695,0.004166909,0,0,False,False
20,Ca,PercentWeight,1.082434,1.082434,0.003494972,0,0,False,False
22,Ti,PercentWeight,0.0008426597,0.0008426597,0.0002246295,0,0,False,False
23,V,PercentWeight,8.017108E-05,8.017108E-05,3.305942E-05,0,0,False,False
24,Cr,PercentWeight,0.002622527,0.002622527,0.0002110937,0,0,False,False
25,Mn,PercentWeight,0.1691739,0.1691739,0.001099629,0,0,False,False
26,Fe,PercentWeight,0.01015775,0.01015775,0.000595517,0,0,False,False
28,Ni,PercentWeight,0,0,8.556321E-05,0,0,False,False
29,Cu,PercentWeight,0.0007457941,0.0007457941,6.200236E-05,0,0,False,False
30,Zn,PercentWeight,0.01196217,0.01196217,0.0001426482,0,0,False,False
33,As,PercentWeight,0,0,7.720527E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.829041E-05,0,0,False,False
35,Br,PercentWeight,0.003026331,0.003026331,0.0001008071,0,0,False,False
37,Rb,PercentWeight,0.0009170494,0.0009170494,0.0001199939,0,0,False,False
38,Sr,PercentWeight,0.007488554,0.007488554,0.0001299077,0,0,False,False
42,Mo,PercentWeight,0.0001546507,0.0001546507,7.182317E-05,0,0,False,False
48,Cd,PercentWeight,0.0003402813,0.0003402813,0.0002350208,0,0,False,False
56,Ba,PercentWeight,0.01300002,0.01300002,0.003173346,0,0,False,False
80,Hg,PercentWeight,0,0,9.368852E-06,0,0,False,False
82,Pb,PercentWeight,0.0003706886,0.0003706886,0.000248407,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2051143,,459841,
ValidCounts,1758381,,412816,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009783759,,0.0009783759,
ZeroOffsetInKeV,-0.0009783759,,-0.0009783759,
StartingChannel,0.04887066,,0.04887066,
NumberOfChannels,2048,,2048,
CountsPerSecond,49171.58,,50699.12,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 5:13:24 PM,,02/08/2023 5:13:24 PM,
LiveTimeInSeconds,36.80101,,8.031,
DeadTimeInSeconds,4.913001,,1.039,
ResetTimeInSeconds,5.163002,,0.29,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.9,,96.9,
NosePressureInMilliBars,786.9395,,786.9395,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.71399,,9.07,
PacketTimeInSeconds,46.877,,9.36,
CommunicationTimeInSeconds,3.123005,,0.6400003,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009783759,0,0.0009783759,0
2,0.02099808,0,0.02099808,0
3,0.04101778,0,0.04101778,0
4,0.06103748,0,0.06103748,0
5,0.08105718,0,0.08105718,0
6,0.1010769,0,0.1010769,0
7,0.1210966,0,0.1210966,0
8,0.1411163,0,0.1411163,0
9,0.161136,0,0.161136,0
10,0.1811557,0,0.1811557,0
11,0.2011754,0,0.2011754,0
12,0.2211951,0,0.2211951,0
13,0.2412148,0,0.2412148,0
14,0.2612345,0,0.2612345,0
15,0.2812542,1,0.2812542,0
16,0.3012739,4,0.3012739,2
17,0.3212936,145,0.3212936,25
18,0.3413133,1201,0.3413133,233
19,0.361333,5639,0.361333,1214
20,0.3813527,12109,0.3813527,2576
21,0.4013724,11129,0.4013724,2509
22,0.4213921,5045,0.4213921,1118
23,0.4414118,1047,0.4414118,229
24,0.4614315,143,0.4614315,26
25,0.4814512,10,0.4814512,2
26,0.5014709,4,0.5014709,0
27,0.5214906,6,0.5214906,0
28,0.5415103,3,0.5415103,1
29,0.56153,4,0.56153,0
30,0.5815497,2,0.5815497,0
31,0.6015694,2,0.6015694,0
32,0.6215891,4,0.6215891,0
33,0.6416088,0,0.6416088,0
34,0.6616285,2,0.6616285,0
35,0.6816482,802,0.6816482,16
36,0.7016679,805,0.7016679,19
37,0.7216876,760,0.7216876,16
38,0.7417073,787,0.7417073,12
39,0.761727,792,0.761727,13
40,0.7817467,798,0.7817467,13
41,0.8017664,775,0.8017664,10
42,0.8217861,828,0.8217861,24
43,0.8418058,787,0.8418058,22
44,0.8618255,779,0.8618255,21
45,0.8818452,706,0.8818452,29
46,0.9018649,723,0.9018649,47
47,0.9218846,733,0.9218846,47
48,0.9419043,715,0.9419043,79
49,0.961924,740,0.961924,63
50,0.9819437,725,0.9819437,46
51,1.001963,673,1.001963,45
52,1.021983,699,1.021983,24
53,1.042003,690,1.042003,27
54,1.062023,721,1.062023,41
55,1.082042,677,1.082042,49
56,1.102062,690,1.102062,37
57,1.122082,729,1.122082,36
58,1.142101,676,1.142101,23
59,1.162121,669,1.162121,43
60,1.182141,657,1.182141,22
61,1.20216,671,1.20216,44
62,1.22218,653,1.22218,44
63,1.2422,622,1.2422,39
64,1.26222,639,1.26222,31
65,1.282239,629,1.282239,27
66,1.302259,654,1.302259,17
67,1.322279,639,1.322279,26
68,1.342298,652,1.342298,16
69,1.362318,605,1.362318,22
70,1.382338,587,1.382338,22
71,1.402357,604,1.402357,25
72,1.422377,591,1.422377,48
73,1.442397,632,1.442397,45
74,1.462417,617,1.462417,43
75,1.482436,640,1.482436,70
76,1.502456,609,1.502456,79
77,1.522476,606,1.522476,92
78,1.542495,637,1.542495,116
79,1.562515,542,1.562515,142
80,1.582535,579,1.582535,136
81,1.602554,572,1.602554,89
82,1.622574,574,1.622574,63
83,1.642594,541,1.642594,50
84,1.662614,580,1.662614,76
85,1.682633,580,1.682633,162
86,1.702653,559,1.702653,326
87,1.722673,583,1.722673,450
88,1.742692,569,1.742692,451
89,1.762712,538,1.762712,383
90,1.782732,571,1.782732,256
91,1.802751,516,1.802751,157
92,1.822771,569,1.822771,84
93,1.842791,535,1.842791,85
94,1.862811,585,1.862811,83
95,1.88283,534,1.88283,93
96,1.90285,510,1.90285,150
97,1.92287,569,1.92287,197
98,1.942889,581,1.942889,251
99,1.962909,579,1.962909,322
100,1.982929,554,1.982929,400
101,2.002949,554,2.002949,404
102,2.022968,582,2.022968,371
103,2.042988,495,2.042988,278
104,2.063008,475,2.063008,174
105,2.083027,496,2.083027,99
106,2.103047,481,2.103047,75
107,2.123067,551,2.123067,66
108,2.143086,531,2.143086,74
109,2.163106,501,2.163106,61
110,2.183126,499,2.183126,80
111,2.203146,452,2.203146,124
112,2.223165,478,2.223165,204
113,2.243185,494,2.243185,391
114,2.263205,492,2.263205,761
115,2.283224,549,2.283224,1055
116,2.303244,519,2.303244,1278
117,2.323264,511,2.323264,1165
118,2.343283,513,2.343283,861
119,2.363303,512,2.363303,556
120,2.383323,446,2.383323,295
121,2.403342,471,2.403342,215
122,2.423362,463,2.423362,189
123,2.443382,438,2.443382,184
124,2.463402,424,2.463402,213
125,2.483421,435,2.483421,203
126,2.503441,429,2.503441,208
127,2.523461,466,2.523461,185
128,2.54348,444,2.54348,219
129,2.5635,446,2.5635,298
130,2.58352,501,2.58352,482
131,2.603539,497,2.603539,744
132,2.623559,557,2.623559,1200
133,2.643579,525,2.643579,1806
134,2.663599,477,2.663599,2589
135,2.683618,417,2.683618,3145
136,2.703638,453,2.703638,3253
137,2.723658,426,2.723658,2717
138,2.743677,440,2.743677,2048
139,2.763697,421,2.763697,1471
140,2.783717,370,2.783717,1420
141,2.803736,425,2.803736,1565
142,2.823756,405,2.823756,1825
143,2.843776,405,2.843776,1816
144,2.863796,415,2.863796,1778
145,2.883815,392,2.883815,1433
146,2.903835,458,2.903835,1449
147,2.923855,470,2.923855,1510
148,2.943874,528,2.943874,1626
149,2.963894,538,2.963894,1632
150,2.983914,490,2.983914,1483
151,3.003933,469,3.003933,1110
152,3.023953,423,3.023953,752
153,3.043973,379,3.043973,551
154,3.063993,377,3.063993,357
155,3.084012,365,3.084012,314
156,3.104032,355,3.104032,284
157,3.124052,377,3.124052,346
158,3.144071,429,3.144071,373
159,3.164091,368,3.164091,387
160,3.184111,416,3.184111,510
161,3.204131,507,3.204131,663
162,3.22415,741,3.22415,1306
163,3.24417,1126,3.24417,2533
164,3.26419,1627,3.26419,4616
165,3.284209,2156,3.284209,6675
166,3.304229,2548,3.304229,8023
167,3.324249,2553,3.324249,8290
168,3.344269,1982,3.344269,7001
169,3.364288,1506,3.364288,4757
170,3.384308,975,3.384308,2827
