Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1211-00062-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 10:16:57 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,42.89501
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,43
UserCustomField,ID,43
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.7414016,0.7414016,0.2186401,0,0,False,False
13,Al,PercentWeight,0.007012028,0.007012028,0.02621398,0,0,False,False
14,Si,PercentWeight,0,0,0.009978048,0,0,False,False
15,P,PercentWeight,0.35319,0.30069,0.007201386,0,0,False,False
16,S,PercentWeight,0.2980132,0.2565132,0.004161627,0,0,False,False
17,Cl,PercentWeight,0.03226523,0.03226523,0.01306422,0,0,False,False
19,K,PercentWeight,1.343961,1.256461,0.005243479,0,0,False,False
20,Ca,PercentWeight,0.9613287,0.9613287,0.003398487,0,0,False,False
22,Ti,PercentWeight,0.000668674,0.000668674,0.0002367008,0,0,False,False
23,V,PercentWeight,5.862262E-05,5.862262E-05,3.475446E-05,0,0,False,False
24,Cr,PercentWeight,0.002383515,0.002383515,0.0002227334,0,0,False,False
25,Mn,PercentWeight,0.05792339,0.05792339,0.0006007276,0,0,False,False
26,Fe,PercentWeight,0.007700166,0.007700166,0.000438536,0,0,False,False
28,Ni,PercentWeight,0,0,9.406984E-05,0,0,False,False
29,Cu,PercentWeight,0.001074267,0.001074267,5.730616E-05,0,0,False,False
30,Zn,PercentWeight,0.0266767,0.0266767,0.0001828578,0,0,False,False
33,As,PercentWeight,0,0,6.784975E-05,0,0,False,False
34,Se,PercentWeight,6.381456E-05,6.381456E-05,6.638697E-05,0,0,False,False
35,Br,PercentWeight,8.452633E-05,8.452633E-05,7.932971E-05,0,0,False,False
37,Rb,PercentWeight,0.0007956502,0.0007956502,0.0001051198,0,0,False,False
38,Sr,PercentWeight,0.004205965,0.004205965,0.0001088201,0,0,False,False
42,Mo,PercentWeight,0.0001773097,0.0001773097,8.285936E-05,0,0,False,False
48,Cd,PercentWeight,0.000441199,0.000441199,0.0002658394,0,0,False,False
56,Ba,PercentWeight,0.002009032,0.002009032,0.002662791,0,0,False,False
80,Hg,PercentWeight,0,0,1.073179E-05,0,0,False,False
82,Pb,PercentWeight,0.0001136178,0.0001136178,0.0002205516,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2389912,,510790,
ValidCounts,2001867,,453295,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001094313,,0.001094313,
ZeroOffsetInKeV,-0.001094313,,-0.001094313,
StartingChannel,0.05466183,,0.05466183,
NumberOfChannels,2048,,2048,
CountsPerSecond,58720.21,,56528.33,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 10:16:57 AM,,03/08/2023 10:16:57 AM,
LiveTimeInSeconds,35.00901,,7.886001,
DeadTimeInSeconds,5.690999,,1.15,
ResetTimeInSeconds,6.197001,,0.33,
DetectorTempInC,-27,,-27,
AmbientTempInF,91.1,,91.1,
NosePressureInMilliBars,785.7286,,785.7286,
NoseTemperatureInC,28,,28,
ActiveTimeInSeconds,40.69999,,9.036,
PacketTimeInSeconds,46.89699,,9.366,
CommunicationTimeInSeconds,3.103008,,0.6339998,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001094313,0,0.001094313,0
2,0.02111401,0,0.02111401,0
3,0.04113372,0,0.04113372,0
4,0.06115342,0,0.06115342,0
5,0.08117311,0,0.08117311,0
6,0.1011928,0,0.1011928,0
7,0.1212125,0,0.1212125,0
8,0.1412322,0,0.1412322,0
9,0.1612519,0,0.1612519,0
10,0.1812716,0,0.1812716,0
11,0.2012913,0,0.2012913,0
12,0.221311,0,0.221311,0
13,0.2413307,0,0.2413307,0
14,0.2613504,0,0.2613504,0
15,0.2813701,0,0.2813701,0
16,0.3013898,6,0.3013898,5
17,0.3214095,137,0.3214095,30
18,0.3414292,1237,0.3414292,241
19,0.3614489,5489,0.3614489,1146
20,0.3814686,11193,0.3814686,2572
21,0.4014883,10599,0.4014883,2395
22,0.421508,4801,0.421508,1153
23,0.4415277,1003,0.4415277,219
24,0.4615474,125,0.4615474,20
25,0.4815671,14,0.4815671,2
26,0.5015869,5,0.5015869,0
27,0.5216066,5,0.5216066,0
28,0.5416262,4,0.5416262,0
29,0.5616459,4,0.5616459,0
30,0.5816656,1,0.5816656,1
31,0.6016853,5,0.6016853,0
32,0.6217051,0,0.6217051,0
33,0.6417248,2,0.6417248,1
34,0.6617445,1,0.6617445,0
35,0.6817641,862,0.6817641,17
36,0.7017838,926,0.7017838,19
37,0.7218035,860,0.7218035,15
38,0.7418233,897,0.7418233,14
39,0.761843,886,0.761843,8
40,0.7818627,880,0.7818627,17
41,0.8018823,844,0.8018823,17
42,0.821902,864,0.821902,14
43,0.8419217,830,0.8419217,16
44,0.8619415,870,0.8619415,27
45,0.8819612,851,0.8819612,49
46,0.9019809,772,0.9019809,43
47,0.9220006,836,0.9220006,44
48,0.9420202,815,0.9420202,72
49,0.9620399,810,0.9620399,68
50,0.9820597,783,0.9820597,40
51,1.002079,827,1.002079,27
52,1.022099,742,1.022099,24
53,1.042119,771,1.042119,31
54,1.062138,775,1.062138,39
55,1.082158,795,1.082158,58
56,1.102178,815,1.102178,45
57,1.122198,746,1.122198,34
58,1.142217,722,1.142217,29
59,1.162237,786,1.162237,33
60,1.182257,727,1.182257,39
61,1.202276,747,1.202276,58
62,1.222296,738,1.222296,42
63,1.242316,698,1.242316,46
64,1.262335,709,1.262335,28
65,1.282355,718,1.282355,45
66,1.302375,748,1.302375,31
67,1.322395,670,1.322395,26
68,1.342414,726,1.342414,19
69,1.362434,714,1.362434,13
70,1.382454,686,1.382454,24
71,1.402473,752,1.402473,22
72,1.422493,650,1.422493,24
73,1.442513,670,1.442513,50
74,1.462533,711,1.462533,47
75,1.482552,697,1.482552,68
76,1.502572,702,1.502572,91
77,1.522592,679,1.522592,114
78,1.542611,691,1.542611,162
79,1.562631,672,1.562631,196
80,1.582651,619,1.582651,164
81,1.60267,677,1.60267,136
82,1.62269,631,1.62269,79
83,1.64271,628,1.64271,45
84,1.66273,615,1.66273,30
85,1.682749,608,1.682749,38
86,1.702769,591,1.702769,58
87,1.722789,605,1.722789,56
88,1.742808,605,1.742808,75
89,1.762828,628,1.762828,74
90,1.782848,628,1.782848,55
91,1.802867,571,1.802867,58
92,1.822887,626,1.822887,55
93,1.842907,574,1.842907,73
94,1.862926,630,1.862926,76
95,1.882946,606,1.882946,83
96,1.902966,631,1.902966,114
97,1.922986,669,1.922986,180
98,1.943005,672,1.943005,344
99,1.963025,679,1.963025,549
100,1.983045,668,1.983045,811
101,2.003064,639,2.003064,886
102,2.023084,610,2.023084,849
103,2.043104,587,2.043104,633
104,2.063123,586,2.063123,361
105,2.083143,574,2.083143,171
106,2.103163,548,2.103163,146
107,2.123183,553,2.123183,123
108,2.143202,562,2.143202,92
109,2.163222,516,2.163222,125
110,2.183242,537,2.183242,107
111,2.203261,500,2.203261,137
112,2.223281,559,2.223281,295
113,2.243301,521,2.243301,558
114,2.26332,564,2.26332,995
115,2.28334,626,2.28334,1480
116,2.30336,574,2.30336,1662
117,2.32338,574,2.32338,1606
118,2.343399,533,2.343399,1208
119,2.363419,498,2.363419,739
120,2.383439,501,2.383439,401
121,2.403458,567,2.403458,311
122,2.423478,483,2.423478,249
123,2.443498,524,2.443498,229
124,2.463517,463,2.463517,285
125,2.483537,495,2.483537,243
126,2.503557,505,2.503557,220
127,2.523577,461,2.523577,228
128,2.543596,491,2.543596,210
129,2.563616,506,2.563616,278
130,2.583636,536,2.583636,414
131,2.603655,517,2.603655,694
132,2.623675,551,2.623675,1230
133,2.643695,491,2.643695,1869
134,2.663715,518,2.663715,2749
135,2.683734,480,2.683734,3275
136,2.703754,441,2.703754,3391
137,2.723774,476,2.723774,2879
138,2.743793,471,2.743793,2184
139,2.763813,461,2.763813,1513
140,2.783833,447,2.783833,1386
141,2.803853,467,2.803853,1636
142,2.823872,454,2.823872,1893
143,2.843892,459,2.843892,1865
144,2.863912,437,2.863912,1814
145,2.883931,485,2.883931,1559
146,2.903951,459,2.903951,1417
147,2.923971,520,2.923971,1443
148,2.94399,540,2.94399,1498
149,2.96401,520,2.96401,1490
150,2.98403,502,2.98403,1349
151,3.00405,507,3.00405,1041
152,3.024069,459,3.024069,770
153,3.044089,433,3.044089,562
154,3.064109,425,3.064109,406
155,3.084128,371,3.084128,360
156,3.104148,421,3.104148,323
157,3.124168,393,3.124168,358
158,3.144187,446,3.144187,362
159,3.164207,455,3.164207,469
160,3.184227,502,3.184227,555
161,3.204247,596,3.204247,933
162,3.224266,895,3.224266,1895
163,3.244286,1401,3.244286,3706
164,3.264306,2079,3.264306,6440
165,3.284325,2953,3.284325,9791
166,3.304345,3374,3.304345,12215
167,3.324365,3477,3.324365,12320
168,3.344384,2649,3.344384,10280
169,3.364404,1966,3.364404,7084
170,3.384424,1302,3.384424,4149
