Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1213-00061-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 10:03:17 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,43.188
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,42
UserCustomField,ID,42
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4374675,0.4374675,0.2047348,0,0,False,False
13,Al,PercentWeight,0.004218036,0.004218036,0.02479418,0,0,False,False
14,Si,PercentWeight,0.03041121,0.03041121,0.01041709,0,0,False,False
15,P,PercentWeight,0.2455458,0.1930458,0.00626565,0,0,False,False
16,S,PercentWeight,0.2413064,0.1998064,0.0038306,0,0,False,False
17,Cl,PercentWeight,0.02705328,0.02705328,0.01265187,0,0,False,False
19,K,PercentWeight,1.023503,0.9360032,0.004564138,0,0,False,False
20,Ca,PercentWeight,0.7771678,0.7771678,0.003079252,0,0,False,False
22,Ti,PercentWeight,0.001135978,0.001135978,0.000230416,0,0,False,False
23,V,PercentWeight,5.779872E-05,5.779872E-05,3.418366E-05,0,0,False,False
24,Cr,PercentWeight,0.002132783,0.002132783,0.0002200635,0,0,False,False
25,Mn,PercentWeight,0.1307392,0.1307392,0.0008700084,0,0,False,False
26,Fe,PercentWeight,0.008326508,0.008326508,0.0005091252,0,0,False,False
28,Ni,PercentWeight,0,0,9.493293E-05,0,0,False,False
29,Cu,PercentWeight,0.001015889,0.001015889,5.868692E-05,0,0,False,False
30,Zn,PercentWeight,0.05617763,0.05617763,0.0002637659,0,0,False,False
33,As,PercentWeight,0,0,6.985197E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.441803E-05,0,0,False,False
35,Br,PercentWeight,0,0,8.084087E-05,0,0,False,False
37,Rb,PercentWeight,0.0007539589,0.0007539589,0.0001069456,0,0,False,False
38,Sr,PercentWeight,0.006604429,0.006604429,0.000116004,0,0,False,False
42,Mo,PercentWeight,0.0002679596,0.0002679596,8.042052E-05,0,0,False,False
48,Cd,PercentWeight,0.0007829476,0.0007829476,0.0002593492,0,0,False,False
56,Ba,PercentWeight,0.0128537,0.0128537,0.002793811,0,0,False,False
80,Hg,PercentWeight,0,0,1.044483E-05,0,0,False,False
82,Pb,PercentWeight,0.0001960493,0.0001960493,0.0002245823,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2368424,,482499,
ValidCounts,1989045,,431259,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008895777,,0.0008895777,
ZeroOffsetInKeV,-0.0008895777,,-0.0008895777,
StartingChannel,0.04443512,,0.04443512,
NumberOfChannels,2048,,2048,
CountsPerSecond,57965.76,,53273.59,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 10:03:17 AM,,03/08/2023 10:03:17 AM,
LiveTimeInSeconds,35.22,,7.968,
DeadTimeInSeconds,5.638999,,1.089,
ResetTimeInSeconds,6.059999,,0.32,
DetectorTempInC,-27,,-27,
AmbientTempInF,88.2,,88.2,
NosePressureInMilliBars,787.4807,,787.4807,
NoseTemperatureInC,27,,27,
ActiveTimeInSeconds,40.85902,,9.057001,
PacketTimeInSeconds,46.91901,,9.377001,
CommunicationTimeInSeconds,3.080986,,0.6229992,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008895777,0,0.0008895777,0
2,0.02090928,0,0.02090928,0
3,0.04092898,0,0.04092898,0
4,0.06094868,0,0.06094868,0
5,0.08096838,0,0.08096838,0
6,0.1009881,0,0.1009881,0
7,0.1210078,0,0.1210078,0
8,0.1410275,0,0.1410275,0
9,0.1610472,0,0.1610472,0
10,0.1810669,0,0.1810669,0
11,0.2010866,0,0.2010866,0
12,0.2211063,0,0.2211063,0
13,0.241126,0,0.241126,0
14,0.2611457,0,0.2611457,0
15,0.2811654,0,0.2811654,0
16,0.3011851,4,0.3011851,0
17,0.3212048,113,0.3212048,24
18,0.3412245,1219,0.3412245,232
19,0.3612442,5435,0.3612442,1206
20,0.3812639,11233,0.3812639,2534
21,0.4012836,10736,0.4012836,2533
22,0.4213033,4915,0.4213033,1087
23,0.441323,987,0.441323,242
24,0.4613427,120,0.4613427,31
25,0.4813624,9,0.4813624,2
26,0.5013821,6,0.5013821,0
27,0.5214018,7,0.5214018,0
28,0.5414215,0,0.5414215,0
29,0.5614412,5,0.5614412,0
30,0.5814609,4,0.5814609,0
31,0.6014806,0,0.6014806,0
32,0.6215003,1,0.6215003,0
33,0.64152,2,0.64152,0
34,0.6615397,1,0.6615397,1
35,0.6815594,869,0.6815594,17
36,0.7015791,874,0.7015791,14
37,0.7215988,892,0.7215988,17
38,0.7416185,835,0.7416185,16
39,0.7616382,876,0.7616382,16
40,0.7816579,828,0.7816579,22
41,0.8016776,851,0.8016776,16
42,0.8216973,796,0.8216973,14
43,0.841717,837,0.841717,29
44,0.8617367,832,0.8617367,23
45,0.8817564,886,0.8817564,40
46,0.9017761,825,0.9017761,33
47,0.9217958,797,0.9217958,55
48,0.9418155,833,0.9418155,79
49,0.9618352,792,0.9618352,70
50,0.9818549,819,0.9818549,50
51,1.001875,781,1.001875,29
52,1.021894,776,1.021894,23
53,1.041914,806,1.041914,32
54,1.061934,781,1.061934,38
55,1.081953,817,1.081953,49
56,1.101973,724,1.101973,32
57,1.121993,794,1.121993,45
58,1.142012,761,1.142012,36
59,1.162032,713,1.162032,35
60,1.182052,706,1.182052,41
61,1.202072,734,1.202072,49
62,1.222091,732,1.222091,33
63,1.242111,747,1.242111,40
64,1.262131,680,1.262131,36
65,1.28215,700,1.28215,30
66,1.30217,691,1.30217,23
67,1.32219,719,1.32219,22
68,1.34221,711,1.34221,16
69,1.362229,736,1.362229,12
70,1.382249,601,1.382249,23
71,1.402269,692,1.402269,18
72,1.422288,624,1.422288,22
73,1.442308,671,1.442308,42
74,1.462328,714,1.462328,42
75,1.482347,673,1.482347,64
76,1.502367,644,1.502367,83
77,1.522387,682,1.522387,89
78,1.542407,649,1.542407,127
79,1.562426,701,1.562426,146
80,1.582446,674,1.582446,149
81,1.602466,590,1.602466,105
82,1.622485,603,1.622485,62
83,1.642505,575,1.642505,37
84,1.662525,609,1.662525,25
85,1.682544,562,1.682544,38
86,1.702564,601,1.702564,62
87,1.722584,602,1.722584,86
88,1.742604,585,1.742604,98
89,1.762623,578,1.762623,78
90,1.782643,626,1.782643,75
91,1.802663,584,1.802663,58
92,1.822682,573,1.822682,46
93,1.842702,569,1.842702,64
94,1.862722,533,1.862722,60
95,1.882741,614,1.882741,72
96,1.902761,584,1.902761,117
97,1.922781,635,1.922781,194
98,1.942801,600,1.942801,277
99,1.96282,600,1.96282,426
100,1.98284,650,1.98284,585
101,2.00286,606,2.00286,693
102,2.022879,605,2.022879,642
103,2.042899,581,2.042899,418
104,2.062919,560,2.062919,270
105,2.082938,533,2.082938,169
106,2.102958,586,2.102958,88
107,2.122978,543,2.122978,89
108,2.142998,547,2.142998,98
109,2.163017,576,2.163017,100
110,2.183037,525,2.183037,81
111,2.203057,510,2.203057,157
112,2.223076,535,2.223076,210
113,2.243096,584,2.243096,474
114,2.263116,517,2.263116,841
115,2.283135,581,2.283135,1229
116,2.303155,538,2.303155,1484
117,2.323175,552,2.323175,1370
118,2.343194,507,2.343194,953
119,2.363214,529,2.363214,650
120,2.383234,526,2.383234,370
121,2.403254,489,2.403254,276
122,2.423273,461,2.423273,201
123,2.443293,459,2.443293,239
124,2.463313,486,2.463313,234
125,2.483332,467,2.483332,212
126,2.503352,454,2.503352,182
127,2.523372,482,2.523372,217
128,2.543392,516,2.543392,202
129,2.563411,510,2.563411,245
130,2.583431,531,2.583431,386
131,2.603451,548,2.603451,643
132,2.62347,537,2.62347,1144
133,2.64349,547,2.64349,1742
134,2.66351,494,2.66351,2607
135,2.68353,494,2.68353,3226
136,2.703549,448,2.703549,3271
137,2.723569,428,2.723569,2743
138,2.743589,424,2.743589,2069
139,2.763608,453,2.763608,1549
140,2.783628,451,2.783628,1453
141,2.803648,452,2.803648,1647
142,2.823668,453,2.823668,1931
143,2.843687,438,2.843687,1921
144,2.863707,406,2.863707,1819
145,2.883727,445,2.883727,1623
146,2.903746,494,2.903746,1518
147,2.923766,510,2.923766,1499
148,2.943786,541,2.943786,1706
149,2.963805,523,2.963805,1583
150,2.983825,514,2.983825,1415
151,3.003845,480,3.003845,1101
152,3.023865,420,3.023865,812
153,3.043884,425,3.043884,567
154,3.063904,426,3.063904,394
155,3.083924,383,3.083924,333
156,3.103943,372,3.103943,304
157,3.123963,392,3.123963,309
158,3.143983,442,3.143983,364
159,3.164002,453,3.164002,420
160,3.184022,472,3.184022,537
161,3.204042,535,3.204042,798
162,3.224061,802,3.224061,1521
163,3.244081,1213,3.244081,2920
164,3.264101,1721,3.264101,5353
165,3.284121,2349,3.284121,7886
166,3.30414,2725,3.30414,9675
167,3.32416,2723,3.32416,9854
168,3.34418,2165,3.34418,8214
169,3.364199,1539,3.364199,5648
170,3.384219,1067,3.384219,3219
