Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1229-00045-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 2:07:32 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.09701
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 26
UserCustomField,ID, 26
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5567348,0.5567348,0.2035628,0,0,False,False
13,Al,PercentWeight,0.02306614,0.02306614,0.02592259,0,0,False,False
14,Si,PercentWeight,0.03137083,0.03137083,0.01011162,0,0,False,False
15,P,PercentWeight,0.2641785,0.2116785,0.006272075,0,0,False,False
16,S,PercentWeight,0.1882738,0.1467738,0.003442249,0,0,False,False
17,Cl,PercentWeight,0.04348997,0.04348997,0.01278493,0,0,False,False
19,K,PercentWeight,1.375565,1.288065,0.005194573,0,0,False,False
20,Ca,PercentWeight,0.7014139,0.7014139,0.002936072,0,0,False,False
22,Ti,PercentWeight,0.0008734397,0.0008734397,0.0002163337,0,0,False,False
23,V,PercentWeight,0,0,3.24137E-05,0,0,False,False
24,Cr,PercentWeight,0.00262202,0.00262202,0.0002125322,0,0,False,False
25,Mn,PercentWeight,0.03825172,0.03825172,0.0005406712,0,0,False,False
26,Fe,PercentWeight,0.03410042,0.03410042,0.0005881881,0,0,False,False
28,Ni,PercentWeight,0.00233776,0.00233776,0.0001076246,0,0,False,False
29,Cu,PercentWeight,0.001382369,0.001382369,6.438746E-05,0,0,False,False
30,Zn,PercentWeight,0.0275618,0.0275618,0.0001963813,0,0,False,False
33,As,PercentWeight,0,0,7.31425E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.064043E-05,0,0,False,False
35,Br,PercentWeight,0.0001205806,0.0001205806,8.485971E-05,0,0,False,False
37,Rb,PercentWeight,0.0004481353,0.0004481353,0.0001112611,0,0,False,False
38,Sr,PercentWeight,0.004352695,0.004352695,0.0001162065,0,0,False,False
42,Mo,PercentWeight,0.0005025234,0.0005025234,7.704019E-05,0,0,False,False
48,Cd,PercentWeight,0.0007870208,0.0007870208,0.0002474933,0,0,False,False
56,Ba,PercentWeight,0.01215429,0.01215429,0.002893717,0,0,False,False
80,Hg,PercentWeight,0,0,1.003187E-05,0,0,False,False
82,Pb,PercentWeight,0.0002066954,0.0002066954,0.0002362614,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2181657,,460846,
ValidCounts,1853473,,413568,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000813349,,0.000813349,
ZeroOffsetInKeV,-0.000813349,,-0.000813349,
StartingChannel,0.04062743,,0.04062743,
NumberOfChannels,2048,,2048,
CountsPerSecond,52859.17,,50748.38,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 2:07:32 PM,,02/08/2023 2:07:32 PM,
LiveTimeInSeconds,36.05601,,8.041,
DeadTimeInSeconds,5.217001,,1.04,
ResetTimeInSeconds,5.582001,,0.292,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.3,,96.3,
NosePressureInMilliBars,785.9457,,785.9457,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.27301,,9.080999,
PacketTimeInSeconds,46.85501,,9.372999,
CommunicationTimeInSeconds,3.144993,,0.6270008,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000813349,0,0.000813349,0
2,0.02083305,0,0.02083305,0
3,0.04085275,0,0.04085275,0
4,0.06087245,0,0.06087245,0
5,0.08089215,0,0.08089215,0
6,0.1009119,0,0.1009119,0
7,0.1209316,0,0.1209316,0
8,0.1409513,0,0.1409513,0
9,0.160971,0,0.160971,0
10,0.1809907,0,0.1809907,0
11,0.2010104,0,0.2010104,0
12,0.2210301,0,0.2210301,0
13,0.2410498,0,0.2410498,0
14,0.2610695,0,0.2610695,0
15,0.2810892,0,0.2810892,0
16,0.3011089,6,0.3011089,2
17,0.3211286,141,0.3211286,17
18,0.3411483,1228,0.3411483,276
19,0.361168,5547,0.361168,1180
20,0.3811877,11564,0.3811877,2608
21,0.4012074,11095,0.4012074,2486
22,0.4212271,4996,0.4212271,1131
23,0.4412468,1069,0.4412468,230
24,0.4612665,127,0.4612665,24
25,0.4812862,9,0.4812862,1
26,0.5013059,5,0.5013059,0
27,0.5213256,3,0.5213256,0
28,0.5413453,7,0.5413453,0
29,0.5613649,5,0.5613649,0
30,0.5813847,3,0.5813847,0
31,0.6014044,4,0.6014044,0
32,0.6214241,3,0.6214241,0
33,0.6414438,0,0.6414438,0
34,0.6614635,0,0.6614635,0
35,0.6814832,883,0.6814832,17
36,0.7015029,818,0.7015029,11
37,0.7215226,847,0.7215226,14
38,0.7415423,826,0.7415423,11
39,0.761562,807,0.761562,19
40,0.7815817,803,0.7815817,16
41,0.8016014,843,0.8016014,11
42,0.8216211,835,0.8216211,28
43,0.8416408,794,0.8416408,17
44,0.8616605,758,0.8616605,26
45,0.8816802,788,0.8816802,27
46,0.9016999,802,0.9016999,47
47,0.9217196,790,0.9217196,58
48,0.9417393,760,0.9417393,81
49,0.961759,731,0.961759,74
50,0.9817787,757,0.9817787,56
51,1.001798,782,1.001798,27
52,1.021818,766,1.021818,34
53,1.041838,748,1.041838,24
54,1.061857,727,1.061857,51
55,1.081877,736,1.081877,45
56,1.101897,716,1.101897,57
57,1.121917,769,1.121917,38
58,1.141936,752,1.141936,25
59,1.161956,662,1.161956,43
60,1.181976,675,1.181976,50
61,1.201995,667,1.201995,40
62,1.222015,737,1.222015,44
63,1.242035,709,1.242035,48
64,1.262055,739,1.262055,28
65,1.282074,689,1.282074,22
66,1.302094,707,1.302094,26
67,1.322114,631,1.322114,18
68,1.342133,634,1.342133,17
69,1.362153,638,1.362153,13
70,1.382173,618,1.382173,17
71,1.402192,644,1.402192,25
72,1.422212,644,1.422212,28
73,1.442232,638,1.442232,51
74,1.462252,660,1.462252,51
75,1.482271,668,1.482271,73
76,1.502291,688,1.502291,87
77,1.522311,648,1.522311,117
78,1.54233,656,1.54233,171
79,1.56235,585,1.56235,191
80,1.58237,633,1.58237,188
81,1.602389,619,1.602389,136
82,1.622409,624,1.622409,71
83,1.642429,548,1.642429,35
84,1.662449,561,1.662449,28
85,1.682468,543,1.682468,52
86,1.702488,547,1.702488,51
87,1.722508,564,1.722508,89
88,1.742527,583,1.742527,81
89,1.762547,546,1.762547,78
90,1.782567,554,1.782567,76
91,1.802586,546,1.802586,56
92,1.822606,544,1.822606,59
93,1.842626,598,1.842626,65
94,1.862646,612,1.862646,68
95,1.882665,573,1.882665,77
96,1.902685,596,1.902685,116
97,1.922705,617,1.922705,157
98,1.942724,607,1.942724,265
99,1.962744,565,1.962744,423
100,1.982764,602,1.982764,596
101,2.002784,567,2.002784,670
102,2.022803,565,2.022803,637
103,2.042823,554,2.042823,515
104,2.062843,557,2.062843,320
105,2.082862,551,2.082862,166
106,2.102882,599,2.102882,98
107,2.122902,491,2.122902,103
108,2.142921,500,2.142921,90
109,2.162941,534,2.162941,79
110,2.182961,519,2.182961,96
111,2.202981,523,2.202981,102
112,2.223,531,2.223,209
113,2.24302,465,2.24302,387
114,2.26304,545,2.26304,668
115,2.283059,547,2.283059,1013
116,2.303079,556,2.303079,1182
117,2.323099,500,2.323099,1089
118,2.343118,503,2.343118,851
119,2.363138,504,2.363138,526
120,2.383158,434,2.383158,361
121,2.403177,433,2.403177,203
122,2.423197,497,2.423197,202
123,2.443217,463,2.443217,211
124,2.463237,459,2.463237,217
125,2.483256,533,2.483256,219
126,2.503276,442,2.503276,189
127,2.523296,442,2.523296,209
128,2.543315,469,2.543315,230
129,2.563335,451,2.563335,286
130,2.583355,466,2.583355,487
131,2.603374,493,2.603374,715
132,2.623394,512,2.623394,1173
133,2.643414,475,2.643414,1888
134,2.663434,451,2.663434,2767
135,2.683453,464,2.683453,3369
136,2.703473,422,2.703473,3375
137,2.723493,466,2.723493,2861
138,2.743512,451,2.743512,2161
139,2.763532,382,2.763532,1554
140,2.783552,399,2.783552,1400
141,2.803571,431,2.803571,1700
142,2.823591,487,2.823591,1948
143,2.843611,447,2.843611,1966
144,2.863631,443,2.863631,1849
145,2.88365,426,2.88365,1559
146,2.90367,477,2.90367,1470
147,2.92369,501,2.92369,1561
148,2.943709,467,2.943709,1579
149,2.963729,533,2.963729,1649
150,2.983749,486,2.983749,1462
151,3.003768,474,3.003768,1133
152,3.023788,435,3.023788,804
153,3.043808,409,3.043808,617
154,3.063828,373,3.063828,420
155,3.083847,386,3.083847,301
156,3.103867,373,3.103867,323
157,3.123887,366,3.123887,323
158,3.143906,386,3.143906,418
159,3.163926,386,3.163926,480
160,3.183946,464,3.183946,596
161,3.203965,585,3.203965,987
162,3.223985,885,3.223985,1916
163,3.244005,1384,3.244005,3802
164,3.264024,2163,3.264024,6955
165,3.284044,2968,3.284044,10369
166,3.304064,3500,3.304064,13113
167,3.324084,3459,3.324084,13083
168,3.344103,2898,3.344103,10907
169,3.364123,2032,3.364123,7520
170,3.384143,1242,3.384143,4284
