Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1328-00048-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 2:22:16 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.875
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 29
UserCustomField,ID, 29
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.07200458,0.07200458,0.1758171,0,0,False,False
13,Al,PercentWeight,0.008224445,0.008224445,0.02223057,0,0,False,False
14,Si,PercentWeight,0,0,0.008122714,0,0,False,False
15,P,PercentWeight,0.1945861,0.1420861,0.005442159,0,0,False,False
16,S,PercentWeight,0.1738634,0.1323634,0.003320291,0,0,False,False
17,Cl,PercentWeight,0.003682541,0.003682541,0.01215285,0,0,False,False
19,K,PercentWeight,0.7729438,0.6854438,0.003891653,0,0,False,False
20,Ca,PercentWeight,0.2580646,0.2580646,0.00191079,0,0,False,False
22,Ti,PercentWeight,0.000563547,0.000563547,0.0002204453,0,0,False,False
23,V,PercentWeight,0,0,3.333043E-05,0,0,False,False
24,Cr,PercentWeight,0.002758577,0.002758577,0.0002204007,0,0,False,False
25,Mn,PercentWeight,0.002026808,0.002026808,0.000306016,0,0,False,False
26,Fe,PercentWeight,0.005206393,0.005206393,0.0004407539,0,0,False,False
28,Ni,PercentWeight,0,0,7.993466E-05,0,0,False,False
29,Cu,PercentWeight,0.0008638083,0.0008638083,6.236252E-05,0,0,False,False
30,Zn,PercentWeight,0.0008331002,0.0008331002,7.113322E-05,0,0,False,False
33,As,PercentWeight,0,0,8.6457E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.94509E-05,0,0,False,False
35,Br,PercentWeight,0.0002102574,0.0002102574,9.814861E-05,0,0,False,False
37,Rb,PercentWeight,0.0002456404,0.0002456404,0.0001266757,0,0,False,False
38,Sr,PercentWeight,0.001190811,0.001190811,0.0001234809,0,0,False,False
42,Mo,PercentWeight,0,0,6.911488E-05,0,0,False,False
48,Cd,PercentWeight,0.0002836838,0.0002836838,0.000221175,0,0,False,False
56,Ba,PercentWeight,0.003490745,0.003490745,0.003132289,0,0,False,False
80,Hg,PercentWeight,0,0,1.001658E-05,0,0,False,False
82,Pb,PercentWeight,9.89543E-05,9.89543E-05,0.0002720197,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1855560,,377605,
ValidCounts,1605441,,345041,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001096412,,0.001096412,
ZeroOffsetInKeV,-0.001096412,,-0.001096412,
StartingChannel,0.05476666,,0.05476666,
NumberOfChannels,2048,,2048,
CountsPerSecond,44067.73,,41522.43,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 2:22:16 PM,,02/08/2023 2:22:16 PM,
LiveTimeInSeconds,37.641,,8.234,
DeadTimeInSeconds,4.466001,,0.8600001,
ResetTimeInSeconds,4.732,,0.26,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.9,,96.9,
NosePressureInMilliBars,787.1719,,787.1719,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.107,,9.094001,
PacketTimeInSeconds,46.839,,9.354001,
CommunicationTimeInSeconds,3.160999,,0.645999,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001096412,0,0.001096412,0
2,0.02111611,0,0.02111611,0
3,0.04113581,0,0.04113581,0
4,0.06115552,0,0.06115552,0
5,0.08117522,0,0.08117522,0
6,0.1011949,0,0.1011949,0
7,0.1212146,0,0.1212146,0
8,0.1412343,0,0.1412343,0
9,0.161254,0,0.161254,0
10,0.1812737,0,0.1812737,0
11,0.2012934,0,0.2012934,0
12,0.2213131,0,0.2213131,0
13,0.2413328,0,0.2413328,0
14,0.2613525,0,0.2613525,0
15,0.2813722,0,0.2813722,0
16,0.3013919,5,0.3013919,1
17,0.3214116,128,0.3214116,10
18,0.3414313,1239,0.3414313,257
19,0.361451,5928,0.361451,1245
20,0.3814707,12179,0.3814707,2663
21,0.4014904,11514,0.4014904,2629
22,0.4215101,5065,0.4215101,1131
23,0.4415298,1092,0.4415298,215
24,0.4615495,138,0.4615495,27
25,0.4815692,11,0.4815692,1
26,0.5015889,7,0.5015889,0
27,0.5216087,2,0.5216087,0
28,0.5416284,5,0.5416284,0
29,0.561648,3,0.561648,0
30,0.5816677,2,0.5816677,0
31,0.6016874,2,0.6016874,0
32,0.6217071,3,0.6217071,0
33,0.6417269,1,0.6417269,0
34,0.6617466,1,0.6617466,0
35,0.6817663,773,0.6817663,10
36,0.7017859,750,0.7017859,15
37,0.7218056,740,0.7218056,15
38,0.7418253,768,0.7418253,13
39,0.7618451,725,0.7618451,11
40,0.7818648,744,0.7818648,9
41,0.8018845,748,0.8018845,19
42,0.8219042,731,0.8219042,10
43,0.8419238,757,0.8419238,18
44,0.8619435,742,0.8619435,27
45,0.8819633,714,0.8819633,18
46,0.901983,749,0.901983,42
47,0.9220027,687,0.9220027,51
48,0.9420224,681,0.9420224,67
49,0.962042,677,0.962042,51
50,0.9820617,692,0.9820617,49
51,1.002082,698,1.002082,27
52,1.022101,694,1.022101,31
53,1.042121,718,1.042121,24
54,1.062141,670,1.062141,33
55,1.08216,684,1.08216,45
56,1.10218,591,1.10218,46
57,1.1222,659,1.1222,25
58,1.142219,627,1.142219,34
59,1.162239,620,1.162239,29
60,1.182259,638,1.182259,26
61,1.202278,659,1.202278,33
62,1.222298,607,1.222298,35
63,1.242318,597,1.242318,33
64,1.262338,642,1.262338,33
65,1.282357,671,1.282357,18
66,1.302377,628,1.302377,21
67,1.322397,602,1.322397,11
68,1.342416,603,1.342416,11
69,1.362436,550,1.362436,15
70,1.382456,621,1.382456,22
71,1.402475,610,1.402475,19
72,1.422495,610,1.422495,28
73,1.442515,618,1.442515,33
74,1.462535,595,1.462535,48
75,1.482554,602,1.482554,47
76,1.502574,587,1.502574,56
77,1.522594,583,1.522594,70
78,1.542613,570,1.542613,93
79,1.562633,594,1.562633,114
80,1.582653,579,1.582653,106
81,1.602672,537,1.602672,92
82,1.622692,527,1.622692,55
83,1.642712,483,1.642712,25
84,1.662732,492,1.662732,19
85,1.682751,503,1.682751,23
86,1.702771,537,1.702771,43
87,1.722791,491,1.722791,54
88,1.74281,513,1.74281,50
89,1.76283,468,1.76283,39
90,1.78285,514,1.78285,45
91,1.80287,502,1.80287,36
92,1.822889,536,1.822889,43
93,1.842909,528,1.842909,53
94,1.862929,529,1.862929,49
95,1.882948,529,1.882948,47
96,1.902968,506,1.902968,54
97,1.922988,535,1.922988,75
98,1.943007,538,1.943007,186
99,1.963027,543,1.963027,319
100,1.983047,494,1.983047,458
101,2.003067,547,2.003067,517
102,2.023086,543,2.023086,518
103,2.043106,498,2.043106,358
104,2.063126,489,2.063126,250
105,2.083145,516,2.083145,134
106,2.103165,481,2.103165,74
107,2.123185,421,2.123185,78
108,2.143204,482,2.143204,75
109,2.163224,499,2.163224,92
110,2.183244,450,2.183244,74
111,2.203264,449,2.203264,85
112,2.223283,476,2.223283,175
113,2.243303,465,2.243303,377
114,2.263323,496,2.263323,645
115,2.283342,472,2.283342,939
116,2.303362,485,2.303362,1138
117,2.323382,476,2.323382,1076
118,2.343401,485,2.343401,805
119,2.363421,455,2.363421,527
120,2.383441,443,2.383441,309
121,2.403461,470,2.403461,242
122,2.42348,426,2.42348,193
123,2.4435,436,2.4435,221
124,2.46352,426,2.46352,194
125,2.483539,424,2.483539,209
126,2.503559,410,2.503559,193
127,2.523579,453,2.523579,197
128,2.543598,439,2.543598,179
129,2.563618,410,2.563618,239
130,2.583638,449,2.583638,355
131,2.603657,461,2.603657,581
132,2.623677,480,2.623677,1030
133,2.643697,458,2.643697,1794
134,2.663717,411,2.663717,2613
135,2.683736,434,2.683736,3205
136,2.703756,398,2.703756,3383
137,2.723776,397,2.723776,2860
138,2.743795,407,2.743795,2203
139,2.763815,398,2.763815,1506
140,2.783835,385,2.783835,1474
141,2.803854,394,2.803854,1585
142,2.823874,343,2.823874,1872
143,2.843894,392,2.843894,1958
144,2.863914,385,2.863914,1803
145,2.883933,389,2.883933,1651
146,2.903953,424,2.903953,1451
147,2.923973,473,2.923973,1520
148,2.943992,527,2.943992,1637
149,2.964012,502,2.964012,1700
150,2.984032,456,2.984032,1369
151,3.004051,439,3.004051,1052
152,3.024071,405,3.024071,802
153,3.044091,378,3.044091,534
154,3.064111,380,3.064111,412
155,3.08413,335,3.08413,291
156,3.10415,341,3.10415,327
157,3.12417,342,3.12417,341
158,3.144189,357,3.144189,382
159,3.164209,399,3.164209,410
160,3.184229,401,3.184229,492
161,3.204249,522,3.204249,713
162,3.224268,684,3.224268,1207
163,3.244288,1054,3.244288,2407
164,3.264308,1549,3.264308,4222
165,3.284327,1990,3.284327,6146
166,3.304347,2370,3.304347,7963
167,3.324367,2212,3.324367,8142
168,3.344387,1893,3.344387,6902
169,3.364406,1395,3.364406,4688
170,3.384426,907,3.384426,2686
171,3.404446,623,3.404446,1277
