Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1338-00050-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 2:30:00 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.14201
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 31
UserCustomField,ID, 31
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3608381,0.3608381,0.1865608,0,0,False,False
13,Al,PercentWeight,0,0,0.02214073,0,0,False,False
14,Si,PercentWeight,0.008083782,0.008083782,0.008547003,0,0,False,False
15,P,PercentWeight,0.2009833,0.1484834,0.005502476,0,0,False,False
16,S,PercentWeight,0.1409966,0.0994966,0.003110251,0,0,False,False
17,Cl,PercentWeight,0.02372747,0.02372747,0.01238517,0,0,False,False
19,K,PercentWeight,0.7571511,0.6696511,0.003842089,0,0,False,False
20,Ca,PercentWeight,0.2901701,0.2901701,0.00200404,0,0,False,False
22,Ti,PercentWeight,0.0008065315,0.0008065315,0.000223634,0,0,False,False
23,V,PercentWeight,0,0,3.443854E-05,0,0,False,False
24,Cr,PercentWeight,0.002622284,0.002622284,0.0002259068,0,0,False,False
25,Mn,PercentWeight,0.004599387,0.004599387,0.0003225191,0,0,False,False
26,Fe,PercentWeight,0.00817195,0.00817195,0.0004456048,0,0,False,False
28,Ni,PercentWeight,0,0,8.533318E-05,0,0,False,False
29,Cu,PercentWeight,0.0003366753,0.0003366753,5.560403E-05,0,0,False,False
30,Zn,PercentWeight,0.000845657,0.000845657,6.753443E-05,0,0,False,False
33,As,PercentWeight,0,0,8.195309E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.241065E-05,0,0,False,False
35,Br,PercentWeight,0.0001040991,0.0001040991,9.440858E-05,0,0,False,False
37,Rb,PercentWeight,0.0003270896,0.0003270896,0.000120792,0,0,False,False
38,Sr,PercentWeight,0.00134935,0.00134935,0.000119348,0,0,False,False
42,Mo,PercentWeight,0,0,7.366007E-05,0,0,False,False
48,Cd,PercentWeight,0.000483614,0.000483614,0.0002334529,0,0,False,False
56,Ba,PercentWeight,0.0005654052,0.0005654052,0.002995781,0,0,False,False
80,Hg,PercentWeight,0,0,1.033788E-05,0,0,False,False
82,Pb,PercentWeight,0.0003870576,0.0003870576,0.0002595116,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1992856,,391425,
ValidCounts,1710841,,356739,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001002809,,0.001002809,
ZeroOffsetInKeV,-0.001002809,,-0.001002809,
StartingChannel,0.05009111,,0.05009111,
NumberOfChannels,2048,,2048,
CountsPerSecond,47757.11,,43051.58,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 2:30:00 PM,,02/08/2023 2:30:00 PM,
LiveTimeInSeconds,36.94001,,8.202,
DeadTimeInSeconds,4.789,,0.89,
ResetTimeInSeconds,5.119001,,0.274,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,787.0363,,787.0363,
NoseTemperatureInC,34,,34,
ActiveTimeInSeconds,41.72899,,9.092001,
PacketTimeInSeconds,46.84799,,9.366001,
CommunicationTimeInSeconds,3.152008,,0.6339989,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001002809,0,0.001002809,0
2,0.02102251,0,0.02102251,0
3,0.04104221,0,0.04104221,0
4,0.06106191,0,0.06106191,0
5,0.08108161,0,0.08108161,0
6,0.1011013,0,0.1011013,0
7,0.121121,0,0.121121,0
8,0.1411407,0,0.1411407,0
9,0.1611604,0,0.1611604,0
10,0.1811801,0,0.1811801,0
11,0.2011998,0,0.2011998,0
12,0.2212195,0,0.2212195,0
13,0.2412392,0,0.2412392,0
14,0.2612589,0,0.2612589,0
15,0.2812786,0,0.2812786,0
16,0.3012983,12,0.3012983,4
17,0.321318,125,0.321318,24
18,0.3413377,1223,0.3413377,272
19,0.3613574,5808,0.3613574,1211
20,0.3813771,11838,0.3813771,2673
21,0.4013968,11500,0.4013968,2634
22,0.4214165,4992,0.4214165,1124
23,0.4414362,1045,0.4414362,220
24,0.4614559,121,0.4614559,34
25,0.4814756,9,0.4814756,0
26,0.5014954,8,0.5014954,0
27,0.521515,7,0.521515,1
28,0.5415347,6,0.5415347,1
29,0.5615544,1,0.5615544,0
30,0.5815741,2,0.5815741,0
31,0.6015939,4,0.6015939,0
32,0.6216136,3,0.6216136,0
33,0.6416332,2,0.6416332,0
34,0.6616529,4,0.6616529,0
35,0.6816726,812,0.6816726,11
36,0.7016923,811,0.7016923,18
37,0.7217121,793,0.7217121,11
38,0.7417318,765,0.7417318,12
39,0.7617515,825,0.7617515,17
40,0.7817711,819,0.7817711,9
41,0.8017908,764,0.8017908,13
42,0.8218105,782,0.8218105,12
43,0.8418303,756,0.8418303,14
44,0.86185,741,0.86185,19
45,0.8818697,757,0.8818697,22
46,0.9018894,754,0.9018894,40
47,0.921909,767,0.921909,58
48,0.9419287,737,0.9419287,59
49,0.9619485,736,0.9619485,76
50,0.9819682,708,0.9819682,40
51,1.001988,694,1.001988,26
52,1.022008,718,1.022008,23
53,1.042027,727,1.042027,32
54,1.062047,750,1.062047,42
55,1.082067,703,1.082067,41
56,1.102086,711,1.102086,40
57,1.122106,685,1.122106,35
58,1.142126,656,1.142126,27
59,1.162145,656,1.162145,23
60,1.182165,647,1.182165,39
61,1.202185,678,1.202185,46
62,1.222205,670,1.222205,41
63,1.242224,685,1.242224,31
64,1.262244,673,1.262244,37
65,1.282264,631,1.282264,21
66,1.302283,560,1.302283,17
67,1.322303,583,1.322303,21
68,1.342323,596,1.342323,16
69,1.362342,683,1.362342,13
70,1.382362,588,1.382362,19
71,1.402382,604,1.402382,11
72,1.422402,616,1.422402,26
73,1.442421,602,1.442421,38
74,1.462441,643,1.462441,44
75,1.482461,579,1.482461,41
76,1.50248,635,1.50248,60
77,1.5225,568,1.5225,82
78,1.54252,578,1.54252,104
79,1.562539,529,1.562539,117
80,1.582559,588,1.582559,114
81,1.602579,551,1.602579,86
82,1.622599,557,1.622599,36
83,1.642618,570,1.642618,34
84,1.662638,506,1.662638,20
85,1.682658,544,1.682658,32
86,1.702677,516,1.702677,53
87,1.722697,572,1.722697,47
88,1.742717,543,1.742717,67
89,1.762736,560,1.762736,57
90,1.782756,522,1.782756,44
91,1.802776,528,1.802776,35
92,1.822796,530,1.822796,43
93,1.842815,527,1.842815,40
94,1.862835,546,1.862835,50
95,1.882855,547,1.882855,54
96,1.902874,518,1.902874,73
97,1.922894,556,1.922894,104
98,1.942914,518,1.942914,194
99,1.962934,564,1.962934,313
100,1.982953,520,1.982953,486
101,2.002973,572,2.002973,556
102,2.022993,536,2.022993,484
103,2.043012,556,2.043012,411
104,2.063032,517,2.063032,221
105,2.083052,493,2.083052,127
106,2.103071,530,2.103071,102
107,2.123091,482,2.123091,98
108,2.143111,496,2.143111,90
109,2.163131,477,2.163131,89
110,2.18315,494,2.18315,68
111,2.20317,488,2.20317,101
112,2.22319,500,2.22319,157
113,2.243209,514,2.243209,340
114,2.263229,467,2.263229,526
115,2.283249,507,2.283249,828
116,2.303268,477,2.303268,938
117,2.323288,498,2.323288,911
118,2.343308,461,2.343308,685
119,2.363328,483,2.363328,472
120,2.383347,407,2.383347,300
121,2.403367,457,2.403367,243
122,2.423387,458,2.423387,208
123,2.443406,455,2.443406,160
124,2.463426,514,2.463426,187
125,2.483446,446,2.483446,181
126,2.503465,433,2.503465,161
127,2.523485,409,2.523485,200
128,2.543505,445,2.543505,177
129,2.563524,480,2.563524,263
130,2.583544,433,2.583544,395
131,2.603564,485,2.603564,647
132,2.623584,508,2.623584,1083
133,2.643603,483,2.643603,1825
134,2.663623,446,2.663623,2667
135,2.683643,426,2.683643,3336
136,2.703662,449,2.703662,3471
137,2.723682,398,2.723682,2891
138,2.743702,366,2.743702,2078
139,2.763721,418,2.763721,1570
140,2.783741,410,2.783741,1420
141,2.803761,436,2.803761,1592
142,2.823781,416,2.823781,1935
143,2.8438,445,2.8438,1975
144,2.86382,419,2.86382,1762
145,2.88384,445,2.88384,1590
146,2.903859,455,2.903859,1540
147,2.923879,481,2.923879,1567
148,2.943899,443,2.943899,1609
149,2.963918,508,2.963918,1592
150,2.983938,486,2.983938,1425
151,3.003958,438,3.003958,1124
152,3.023978,437,3.023978,777
153,3.043997,382,3.043997,519
154,3.064017,382,3.064017,407
155,3.084037,374,3.084037,324
156,3.104056,357,3.104056,309
157,3.124076,329,3.124076,332
158,3.144096,409,3.144096,362
159,3.164116,370,3.164116,447
160,3.184135,430,3.184135,495
161,3.204155,503,3.204155,664
162,3.224175,716,3.224175,1210
163,3.244194,996,3.244194,2321
164,3.264214,1470,3.264214,4220
165,3.284234,1960,3.284234,6105
166,3.304254,2212,3.304254,7388
167,3.324273,2119,3.324273,7809
168,3.344293,1792,3.344293,6561
169,3.364313,1327,3.364313,4400
170,3.384332,846,3.384332,2620
171,3.404352,614,3.404352,1349
172,3.424372,467,3.424372,618
