Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1356-00049-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 2:25:57 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.774
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 30
UserCustomField,ID, 30
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.1433384,0.1433384,0.204202,0,0,False,False
13,Al,PercentWeight,0,0,0.02378319,0,0,False,False
14,Si,PercentWeight,0.08058088,0.08058088,0.01134849,0,0,False,False
15,P,PercentWeight,0.2122892,0.1597892,0.005915857,0,0,False,False
16,S,PercentWeight,0.3336598,0.2921598,0.004267472,0,0,False,False
17,Cl,PercentWeight,0.03719665,0.03719665,0.01274867,0,0,False,False
19,K,PercentWeight,0.8749679,0.7874679,0.00415056,0,0,False,False
20,Ca,PercentWeight,0.7739025,0.7739025,0.003034559,0,0,False,False
22,Ti,PercentWeight,0.001376637,0.001376637,0.0002285222,0,0,False,False
23,V,PercentWeight,6.24591E-05,6.24591E-05,3.312709E-05,0,0,False,False
24,Cr,PercentWeight,0.002460473,0.002460473,0.0002137197,0,0,False,False
25,Mn,PercentWeight,0.008528187,0.008528187,0.0003813644,0,0,False,False
26,Fe,PercentWeight,0.01241202,0.01241202,0.0004940224,0,0,False,False
28,Ni,PercentWeight,0,0,8.00102E-05,0,0,False,False
29,Cu,PercentWeight,0.0007724671,0.0007724671,6.237638E-05,0,0,False,False
30,Zn,PercentWeight,0.001449647,0.001449647,7.630911E-05,0,0,False,False
33,As,PercentWeight,0,0,8.578735E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.770402E-05,0,0,False,False
35,Br,PercentWeight,0.0006000687,0.0006000687,9.854595E-05,0,0,False,False
37,Rb,PercentWeight,0,0,0.0001240168,0,0,False,False
38,Sr,PercentWeight,0.00669337,0.00669337,0.0001351255,0,0,False,False
42,Mo,PercentWeight,0,0,6.852402E-05,0,0,False,False
48,Cd,PercentWeight,0.0005626848,0.0005626848,0.000220544,0,0,False,False
56,Ba,PercentWeight,0.01372855,0.01372855,0.003215875,0,0,False,False
80,Hg,PercentWeight,0,0,9.741718E-06,0,0,False,False
82,Pb,PercentWeight,0.0002089704,0.0002089704,0.000266042,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1863441,,424031,
ValidCounts,1613847,,384222,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006910299,,0.0006910299,
ZeroOffsetInKeV,-0.0006910299,,-0.0006910299,
StartingChannel,0.0345175,,0.0345175,
NumberOfChannels,2048,,2048,
CountsPerSecond,44229.69,,46653.2,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 2:25:57 PM,,02/08/2023 2:25:57 PM,
LiveTimeInSeconds,37.646,,8.128,
DeadTimeInSeconds,4.485,,0.961,
ResetTimeInSeconds,4.713,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.3,,98.3,
NosePressureInMilliBars,787.0009,,787.0009,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.131,,9.089001,
PacketTimeInSeconds,46.844,,9.359001,
CommunicationTimeInSeconds,3.155998,,0.6409988,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006910299,0,0.0006910299,0
2,0.02071073,0,0.02071073,0
3,0.04073043,0,0.04073043,0
4,0.06075013,0,0.06075013,0
5,0.08076984,0,0.08076984,0
6,0.1007895,0,0.1007895,0
7,0.1208092,0,0.1208092,0
8,0.1408289,0,0.1408289,0
9,0.1608486,0,0.1608486,0
10,0.1808683,0,0.1808683,0
11,0.200888,0,0.200888,0
12,0.2209077,0,0.2209077,0
13,0.2409274,0,0.2409274,0
14,0.2609471,0,0.2609471,0
15,0.2809668,0,0.2809668,0
16,0.3009866,2,0.3009866,0
17,0.3210062,130,0.3210062,19
18,0.3410259,1217,0.3410259,240
19,0.3610457,5806,0.3610457,1254
20,0.3810653,12038,0.3810653,2615
21,0.401085,11644,0.401085,2512
22,0.4211048,5284,0.4211048,1138
23,0.4411244,1096,0.4411244,235
24,0.4611441,132,0.4611441,24
25,0.4811639,8,0.4811639,1
26,0.5011836,4,0.5011836,0
27,0.5212033,4,0.5212033,0
28,0.5412229,1,0.5412229,0
29,0.5612426,0,0.5612426,0
30,0.5812624,6,0.5812624,1
31,0.6012821,5,0.6012821,0
32,0.6213018,1,0.6213018,0
33,0.6413215,1,0.6413215,0
34,0.6613412,2,0.6613412,0
35,0.6813608,803,0.6813608,12
36,0.7013806,715,0.7013806,11
37,0.7214003,761,0.7214003,17
38,0.74142,744,0.74142,13
39,0.7614397,702,0.7614397,18
40,0.7814594,774,0.7814594,15
41,0.801479,757,0.801479,13
42,0.8214988,752,0.8214988,23
43,0.8415185,745,0.8415185,22
44,0.8615382,721,0.8615382,27
45,0.8815579,732,0.8815579,31
46,0.9015776,710,0.9015776,40
47,0.9215973,708,0.9215973,57
48,0.941617,670,0.941617,78
49,0.9616367,688,0.9616367,62
50,0.9816564,662,0.9816564,56
51,1.001676,690,1.001676,25
52,1.021696,697,1.021696,30
53,1.041716,681,1.041716,23
54,1.061735,640,1.061735,34
55,1.081755,641,1.081755,42
56,1.101775,670,1.101775,45
57,1.121794,662,1.121794,30
58,1.141814,632,1.141814,36
59,1.161834,637,1.161834,26
60,1.181853,642,1.181853,37
61,1.201873,625,1.201873,52
62,1.221893,618,1.221893,53
63,1.241912,604,1.241912,34
64,1.261932,560,1.261932,22
65,1.281952,617,1.281952,26
66,1.301972,587,1.301972,27
67,1.321991,603,1.321991,20
68,1.342011,594,1.342011,30
69,1.362031,598,1.362031,16
70,1.38205,598,1.38205,16
71,1.40207,586,1.40207,29
72,1.42209,573,1.42209,20
73,1.442109,586,1.442109,32
74,1.462129,595,1.462129,31
75,1.482149,596,1.482149,61
76,1.502169,591,1.502169,69
77,1.522188,583,1.522188,94
78,1.542208,579,1.542208,122
79,1.562228,546,1.562228,138
80,1.582247,528,1.582247,130
81,1.602267,555,1.602267,80
82,1.622287,522,1.622287,58
83,1.642307,530,1.642307,38
84,1.662326,538,1.662326,22
85,1.682346,518,1.682346,55
86,1.702366,510,1.702366,74
87,1.722385,476,1.722385,136
88,1.742405,484,1.742405,130
89,1.762425,482,1.762425,117
90,1.782444,487,1.782444,86
91,1.802464,541,1.802464,56
92,1.822484,534,1.822484,52
93,1.842504,508,1.842504,54
94,1.862523,497,1.862523,76
95,1.882543,530,1.882543,79
96,1.902563,537,1.902563,104
97,1.922582,524,1.922582,171
98,1.942602,530,1.942602,274
99,1.962622,576,1.962622,436
100,1.982641,522,1.982641,504
101,2.002661,506,2.002661,614
102,2.022681,508,2.022681,532
103,2.042701,497,2.042701,394
104,2.06272,455,2.06272,292
105,2.08274,447,2.08274,180
106,2.10276,562,2.10276,107
107,2.122779,477,2.122779,81
108,2.142799,464,2.142799,96
109,2.162819,491,2.162819,70
110,2.182838,482,2.182838,104
111,2.202858,460,2.202858,145
112,2.222878,445,2.222878,292
113,2.242898,510,2.242898,611
114,2.262917,493,2.262917,1116
115,2.282937,495,2.282937,1662
116,2.302957,526,2.302957,1923
117,2.322976,471,2.322976,1835
118,2.342996,459,2.342996,1339
119,2.363016,495,2.363016,803
120,2.383035,448,2.383035,462
121,2.403055,444,2.403055,268
122,2.423075,416,2.423075,251
123,2.443094,465,2.443094,252
124,2.463114,441,2.463114,243
125,2.483134,410,2.483134,250
126,2.503154,414,2.503154,232
127,2.523173,414,2.523173,197
128,2.543193,444,2.543193,237
129,2.563213,445,2.563213,298
130,2.583232,431,2.583232,500
131,2.603252,468,2.603252,725
132,2.623272,469,2.623272,1192
133,2.643291,455,2.643291,1867
134,2.663311,461,2.663311,2710
135,2.683331,420,2.683331,3361
136,2.703351,384,2.703351,3468
137,2.72337,431,2.72337,2944
138,2.74339,376,2.74339,2084
139,2.76341,398,2.76341,1552
140,2.783429,405,2.783429,1422
141,2.803449,405,2.803449,1692
142,2.823469,368,2.823469,1837
143,2.843488,395,2.843488,1921
144,2.863508,414,2.863508,1776
145,2.883528,412,2.883528,1556
146,2.903548,452,2.903548,1470
147,2.923567,473,2.923567,1562
148,2.943587,481,2.943587,1637
149,2.963607,467,2.963607,1618
150,2.983626,486,2.983626,1482
151,3.003646,449,3.003646,1073
152,3.023666,437,3.023666,742
153,3.043686,363,3.043686,515
154,3.063705,381,3.063705,395
155,3.083725,357,3.083725,324
156,3.103745,387,3.103745,317
157,3.123764,358,3.123764,356
158,3.143784,386,3.143784,382
159,3.163804,340,3.163804,409
160,3.183824,409,3.183824,474
161,3.203843,467,3.203843,755
162,3.223863,675,3.223863,1359
163,3.243883,1067,3.243883,2585
164,3.263902,1570,3.263902,4522
165,3.283922,2087,3.283922,6673
166,3.303942,2487,3.303942,8297
167,3.323961,2372,3.323961,8515
168,3.343981,2117,3.343981,7194
169,3.364001,1429,3.364001,5043
170,3.384021,943,3.384021,2841
171,3.40404,642,3.40404,1504
