Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CF177PA1474-00043-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 12:54:51 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.278
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 24
UserCustomField,ID, 24
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.9209478,0.9209478,0.2184336,0,0,False,False
13,Al,PercentWeight,0,0,0.02445727,0,0,False,False
14,Si,PercentWeight,0.4400221,0.4400221,0.01609675,0,0,False,False
15,P,PercentWeight,0.1546987,0.1021987,0.005273062,0,0,False,False
16,S,PercentWeight,0.2889772,0.2474772,0.004021909,0,0,False,False
17,Cl,PercentWeight,0.1023836,0.1023836,0.01325427,0,0,False,False
19,K,PercentWeight,0.8165482,0.7290483,0.00397755,0,0,False,False
20,Ca,PercentWeight,0.642355,0.642355,0.002799086,0,0,False,False
22,Ti,PercentWeight,0.0009089597,0.0009089597,0.0002159487,0,0,False,False
23,V,PercentWeight,0,0,3.275009E-05,0,0,False,False
24,Cr,PercentWeight,0.002371454,0.002371454,0.0002134633,0,0,False,False
25,Mn,PercentWeight,0.04876609,0.04876609,0.000643644,0,0,False,False
26,Fe,PercentWeight,0.01282199,0.01282199,0.0005135313,0,0,False,False
28,Ni,PercentWeight,0,0,8.501062E-05,0,0,False,False
29,Cu,PercentWeight,0.0004384175,0.0004384175,5.705377E-05,0,0,False,False
30,Zn,PercentWeight,0.00321001,0.00321001,9.00413E-05,0,0,False,False
33,As,PercentWeight,0.0001551956,0.0001551956,8.186595E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.910323E-05,0,0,False,False
35,Br,PercentWeight,0.0001931651,0.0001931651,9.270731E-05,0,0,False,False
37,Rb,PercentWeight,0.0009941792,0.0009941792,0.0001215536,0,0,False,False
38,Sr,PercentWeight,0.001347346,0.001347346,0.000117654,0,0,False,False
42,Mo,PercentWeight,0,0,7.15003E-05,0,0,False,False
48,Cd,PercentWeight,0.0002232822,0.0002232822,0.0002303947,0,0,False,False
56,Ba,PercentWeight,0,0,0.00304021,0,0,False,False
80,Hg,PercentWeight,0,0,9.777305E-06,0,0,False,False
82,Pb,PercentWeight,0.0002453279,0.0002453279,0.0002547734,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1961966,,414562,
ValidCounts,1688348,,376669,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000922306,,0.000922306,
ZeroOffsetInKeV,-0.000922306,,-0.000922306,
StartingChannel,0.04606992,,0.04606992,
NumberOfChannels,2048,,2048,
CountsPerSecond,46890.98,,45591.33,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 12:54:51 PM,,02/08/2023 12:54:51 PM,
LiveTimeInSeconds,37.128,,8.15,
DeadTimeInSeconds,4.713,,0.943,
ResetTimeInSeconds,5.007998,,0.271,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,788.365,,788.365,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.84101,,9.093,
PacketTimeInSeconds,46.84901,,9.364,
CommunicationTimeInSeconds,3.150993,,0.6359997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000922306,0,0.000922306,0
2,0.02094201,0,0.02094201,0
3,0.04096171,0,0.04096171,0
4,0.06098141,0,0.06098141,0
5,0.08100111,0,0.08100111,0
6,0.1010208,0,0.1010208,0
7,0.1210405,0,0.1210405,0
8,0.1410602,0,0.1410602,0
9,0.1610799,0,0.1610799,0
10,0.1810996,0,0.1810996,0
11,0.2011193,0,0.2011193,0
12,0.221139,0,0.221139,0
13,0.2411587,0,0.2411587,0
14,0.2611784,0,0.2611784,0
15,0.2811981,1,0.2811981,0
16,0.3012178,6,0.3012178,0
17,0.3212375,117,0.3212375,23
18,0.3412572,1176,0.3412572,270
19,0.3612769,5682,0.3612769,1218
20,0.3812966,12190,0.3812966,2627
21,0.4013163,11416,0.4013163,2626
22,0.421336,5037,0.421336,1118
23,0.4413557,1046,0.4413557,236
24,0.4613754,125,0.4613754,21
25,0.4813951,25,0.4813951,1
26,0.5014148,8,0.5014148,1
27,0.5214345,3,0.5214345,0
28,0.5414543,5,0.5414543,0
29,0.5614739,1,0.5614739,0
30,0.5814936,0,0.5814936,0
31,0.6015133,3,0.6015133,0
32,0.621533,1,0.621533,0
33,0.6415527,4,0.6415527,0
34,0.6615725,1,0.6615725,0
35,0.6815922,785,0.6815922,18
36,0.7016118,816,0.7016118,15
37,0.7216315,785,0.7216315,22
38,0.7416512,788,0.7416512,12
39,0.7616709,774,0.7616709,9
40,0.7816907,785,0.7816907,13
41,0.8017104,796,0.8017104,14
42,0.82173,788,0.82173,15
43,0.8417497,759,0.8417497,27
44,0.8617694,728,0.8617694,30
45,0.8817891,746,0.8817891,42
46,0.9018089,665,0.9018089,44
47,0.9218286,702,0.9218286,58
48,0.9418483,727,0.9418483,80
49,0.9618679,722,0.9618679,72
50,0.9818876,710,0.9818876,42
51,1.001907,721,1.001907,27
52,1.021927,724,1.021927,34
53,1.041947,675,1.041947,23
54,1.061966,723,1.061966,55
55,1.081986,670,1.081986,40
56,1.102006,675,1.102006,44
57,1.122026,680,1.122026,38
58,1.142045,681,1.142045,28
59,1.162065,661,1.162065,38
60,1.182085,653,1.182085,44
61,1.202104,639,1.202104,47
62,1.222124,613,1.222124,52
63,1.242144,624,1.242144,50
64,1.262164,614,1.262164,62
65,1.282183,620,1.282183,32
66,1.302203,669,1.302203,31
67,1.322223,685,1.322223,28
68,1.342242,599,1.342242,20
69,1.362262,574,1.362262,15
70,1.382282,557,1.382282,20
71,1.402301,581,1.402301,27
72,1.422321,606,1.422321,28
73,1.442341,608,1.442341,40
74,1.462361,610,1.462361,39
75,1.48238,606,1.48238,65
76,1.5024,632,1.5024,53
77,1.52242,613,1.52242,72
78,1.542439,554,1.542439,114
79,1.562459,574,1.562459,120
80,1.582479,597,1.582479,116
81,1.602498,549,1.602498,89
82,1.622518,571,1.622518,55
83,1.642538,535,1.642538,38
84,1.662557,521,1.662557,54
85,1.682577,506,1.682577,126
86,1.702597,553,1.702597,217
87,1.722617,508,1.722617,366
88,1.742636,567,1.742636,370
89,1.762656,515,1.762656,297
90,1.782676,511,1.782676,192
91,1.802695,533,1.802695,114
92,1.822715,555,1.822715,74
93,1.842735,545,1.842735,55
94,1.862754,540,1.862754,61
95,1.882774,539,1.882774,74
96,1.902794,573,1.902794,101
97,1.922814,575,1.922814,139
98,1.942833,569,1.942833,232
99,1.962853,531,1.962853,320
100,1.982873,555,1.982873,407
101,2.002892,538,2.002892,487
102,2.022912,553,2.022912,396
103,2.042932,483,2.042932,301
104,2.062952,515,2.062952,231
105,2.082971,488,2.082971,136
106,2.102991,482,2.102991,92
107,2.123011,530,2.123011,75
108,2.14303,503,2.14303,83
109,2.16305,480,2.16305,83
110,2.18307,497,2.18307,85
111,2.203089,479,2.203089,136
112,2.223109,485,2.223109,273
113,2.243129,487,2.243129,542
114,2.263149,575,2.263149,944
115,2.283168,517,2.283168,1457
116,2.303188,485,2.303188,1756
117,2.323208,513,2.323208,1606
118,2.343227,473,2.343227,1206
119,2.363247,431,2.363247,723
120,2.383267,456,2.383267,446
121,2.403286,442,2.403286,279
122,2.423306,464,2.423306,241
123,2.443326,452,2.443326,261
124,2.463346,469,2.463346,257
125,2.483365,419,2.483365,266
126,2.503385,429,2.503385,231
127,2.523405,435,2.523405,237
128,2.543424,423,2.543424,247
129,2.563444,439,2.563444,418
130,2.583464,529,2.583464,705
131,2.603483,547,2.603483,1024
132,2.623503,543,2.623503,1509
133,2.643523,509,2.643523,2175
134,2.663543,500,2.663543,2864
135,2.683562,462,2.683562,3356
136,2.703582,442,2.703582,3395
137,2.723602,389,2.723602,2811
138,2.743621,431,2.743621,1965
139,2.763641,421,2.763641,1581
140,2.783661,381,2.783661,1433
141,2.80368,346,2.80368,1616
142,2.8237,407,2.8237,1897
143,2.84372,412,2.84372,1861
144,2.863739,423,2.863739,1713
145,2.883759,420,2.883759,1533
146,2.903779,458,2.903779,1406
147,2.923799,522,2.923799,1552
148,2.943818,508,2.943818,1658
149,2.963838,524,2.963838,1661
150,2.983858,457,2.983858,1410
151,3.003877,445,3.003877,1087
152,3.023897,401,3.023897,761
153,3.043917,371,3.043917,526
154,3.063936,431,3.063936,401
155,3.083956,365,3.083956,297
156,3.103976,366,3.103976,315
157,3.123996,342,3.123996,327
158,3.144015,363,3.144015,354
159,3.164035,383,3.164035,390
160,3.184055,418,3.184055,493
161,3.204074,544,3.204074,637
162,3.224094,679,3.224094,1225
163,3.244114,980,3.244114,2374
164,3.264133,1470,3.264133,4140
165,3.284153,1929,3.284153,6050
166,3.304173,2304,3.304173,7593
167,3.324193,2149,3.324193,7751
168,3.344212,1807,3.344212,6380
169,3.364232,1311,3.364232,4373
170,3.384252,914,3.384252,2560
171,3.404271,607,3.404271,1253
