Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA1958-00080-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 1:02:25 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.11
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,61
UserCustomField,ID,61
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.2736719,0.2736719,0.2005885,0,0,False,False
13,Al,PercentWeight,0,0,0.0272638,0,0,False,False
14,Si,PercentWeight,0,0,0.009653033,0,0,False,False
15,P,PercentWeight,0.3118886,0.2593886,0.006677782,0,0,False,False
16,S,PercentWeight,0.2343957,0.1928957,0.003735746,0,0,False,False
17,Cl,PercentWeight,0,0,0.01211197,0,0,False,False
19,K,PercentWeight,2.185711,2.098211,0.006616103,0,0,False,False
20,Ca,PercentWeight,0.2023268,0.2023268,0.001786492,0,0,False,False
22,Ti,PercentWeight,0.000534492,0.000534492,0.0002221508,0,0,False,False
23,V,PercentWeight,0,0,3.30554E-05,0,0,False,False
24,Cr,PercentWeight,0.002234696,0.002234696,0.00021732,0,0,False,False
25,Mn,PercentWeight,0.006277546,0.006277546,0.0002944246,0,0,False,False
26,Fe,PercentWeight,0.006686045,0.006686045,0.0004174939,0,0,False,False
28,Ni,PercentWeight,0,0,8.919826E-05,0,0,False,False
29,Cu,PercentWeight,0.00125672,0.00125672,6.17855E-05,0,0,False,False
30,Zn,PercentWeight,0.00339179,0.00339179,8.637954E-05,0,0,False,False
33,As,PercentWeight,0,0,7.427713E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.345809E-05,0,0,False,False
35,Br,PercentWeight,0,0,8.624617E-05,0,0,False,False
37,Rb,PercentWeight,0.006319799,0.006319799,0.0001287589,0,0,False,False
38,Sr,PercentWeight,0.001721574,0.001721574,0.00011245,0,0,False,False
42,Mo,PercentWeight,0,0,7.692928E-05,0,0,False,False
48,Cd,PercentWeight,0.0005124077,0.0005124077,0.0002464465,0,0,False,False
56,Ba,PercentWeight,0.003924313,0.003924313,0.002863011,0,0,False,False
80,Hg,PercentWeight,0,0,9.940148E-06,0,0,False,False
82,Pb,PercentWeight,0.0002165415,0.0002165415,0.0002411328,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2169249,,471569,
ValidCounts,1841460,,422234,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009437846,,0.0009437846,
ZeroOffsetInKeV,-0.0009437846,,-0.0009437846,
StartingChannel,0.04714279,,0.04714279,
NumberOfChannels,2048,,2048,
CountsPerSecond,52529.27,,51969.25,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 1:02:25 PM,,03/08/2023 1:02:25 PM,
LiveTimeInSeconds,36.101,,8.009001,
DeadTimeInSeconds,5.195003,,1.065,
ResetTimeInSeconds,5.596,,0.3,
DetectorTempInC,-27,,-27,
AmbientTempInF,99.2,,99.2,
NosePressureInMilliBars,789.3958,,789.3958,
NoseTemperatureInC,34,,34,
ActiveTimeInSeconds,41.296,,9.074,
PacketTimeInSeconds,46.892,,9.374001,
CommunicationTimeInSeconds,3.107998,,0.6259995,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009437846,0,0.0009437846,0
2,0.02096349,0,0.02096349,0
3,0.04098319,0,0.04098319,0
4,0.06100289,0,0.06100289,0
5,0.08102259,0,0.08102259,0
6,0.1010423,0,0.1010423,0
7,0.121062,0,0.121062,0
8,0.1410817,0,0.1410817,0
9,0.1611014,0,0.1611014,0
10,0.1811211,0,0.1811211,0
11,0.2011408,0,0.2011408,0
12,0.2211605,0,0.2211605,0
13,0.2411802,0,0.2411802,0
14,0.2611999,0,0.2611999,0
15,0.2812196,0,0.2812196,0
16,0.3012393,9,0.3012393,1
17,0.321259,161,0.321259,23
18,0.3412787,1262,0.3412787,227
19,0.3612984,5571,0.3612984,1238
20,0.3813181,11548,0.3813181,2575
21,0.4013378,11241,0.4013378,2542
22,0.4213575,4877,0.4213575,1036
23,0.4413772,1052,0.4413772,237
24,0.4613969,133,0.4613969,22
25,0.4814166,6,0.4814166,2
26,0.5014363,4,0.5014363,0
27,0.521456,3,0.521456,0
28,0.5414757,4,0.5414757,0
29,0.5614954,6,0.5614954,0
30,0.5815151,7,0.5815151,2
31,0.6015348,5,0.6015348,0
32,0.6215545,2,0.6215545,0
33,0.6415742,2,0.6415742,1
34,0.6615939,1,0.6615939,0
35,0.6816136,848,0.6816136,18
36,0.7016333,896,0.7016333,20
37,0.721653,891,0.721653,16
38,0.7416727,821,0.7416727,15
39,0.7616924,855,0.7616924,20
40,0.7817121,823,0.7817121,12
41,0.8017318,823,0.8017318,16
42,0.8217515,832,0.8217515,13
43,0.8417712,844,0.8417712,16
44,0.861791,766,0.861791,13
45,0.8818106,804,0.8818106,20
46,0.9018303,822,0.9018303,40
47,0.92185,779,0.92185,47
48,0.9418697,781,0.9418697,57
49,0.9618894,745,0.9618894,71
50,0.9819092,771,0.9819092,51
51,1.001929,741,1.001929,22
52,1.021949,746,1.021949,24
53,1.041968,751,1.041968,24
54,1.061988,766,1.061988,40
55,1.082008,787,1.082008,42
56,1.102027,734,1.102027,37
57,1.122047,692,1.122047,41
58,1.142067,708,1.142067,40
59,1.162086,705,1.162086,23
60,1.182106,733,1.182106,32
61,1.202126,689,1.202126,41
62,1.222146,737,1.222146,41
63,1.242165,711,1.242165,38
64,1.262185,708,1.262185,38
65,1.282205,696,1.282205,31
66,1.302224,695,1.302224,23
67,1.322244,694,1.322244,17
68,1.342264,650,1.342264,13
69,1.362283,645,1.362283,24
70,1.382303,626,1.382303,18
71,1.402323,642,1.402323,26
72,1.422343,668,1.422343,44
73,1.442362,650,1.442362,43
74,1.462382,644,1.462382,59
75,1.482402,679,1.482402,85
76,1.502421,610,1.502421,95
77,1.522441,739,1.522441,171
78,1.542461,694,1.542461,261
79,1.56248,654,1.56248,295
80,1.5825,683,1.5825,289
81,1.60252,627,1.60252,180
82,1.62254,633,1.62254,96
83,1.642559,575,1.642559,55
84,1.662579,562,1.662579,29
85,1.682599,568,1.682599,46
86,1.702618,585,1.702618,38
87,1.722638,615,1.722638,53
88,1.742658,563,1.742658,80
89,1.762677,586,1.762677,62
90,1.782697,572,1.782697,68
91,1.802717,587,1.802717,52
92,1.822737,568,1.822737,78
93,1.842756,610,1.842756,71
94,1.862776,580,1.862776,71
95,1.882796,561,1.882796,58
96,1.902815,562,1.902815,74
97,1.922835,583,1.922835,124
98,1.942855,563,1.942855,207
99,1.962875,555,1.962875,397
100,1.982894,562,1.982894,664
101,2.002914,534,2.002914,774
102,2.022933,556,2.022933,798
103,2.042953,565,2.042953,539
104,2.062973,601,2.062973,362
105,2.082993,501,2.082993,190
106,2.103012,538,2.103012,126
107,2.123032,505,2.123032,114
108,2.143052,557,2.143052,92
109,2.163071,541,2.163071,104
110,2.183091,528,2.183091,96
111,2.203111,485,2.203111,143
112,2.223131,498,2.223131,223
113,2.24315,545,2.24315,462
114,2.26317,549,2.26317,791
115,2.28319,547,2.28319,1191
116,2.303209,564,2.303209,1391
117,2.323229,514,2.323229,1324
118,2.343249,528,2.343249,1040
119,2.363269,504,2.363269,611
120,2.383288,462,2.383288,378
121,2.403308,450,2.403308,242
122,2.423328,474,2.423328,191
123,2.443347,486,2.443347,234
124,2.463367,453,2.463367,254
125,2.483387,476,2.483387,225
126,2.503407,480,2.503407,223
127,2.523426,474,2.523426,168
128,2.543446,491,2.543446,170
129,2.563466,483,2.563466,211
130,2.583485,485,2.583485,318
131,2.603505,472,2.603505,522
132,2.623525,504,2.623525,931
133,2.643544,505,2.643544,1681
134,2.663564,478,2.663564,2472
135,2.683584,430,2.683584,3058
136,2.703604,452,2.703604,3167
137,2.723623,406,2.723623,2749
138,2.743643,403,2.743643,2046
139,2.763663,444,2.763663,1552
140,2.783682,395,2.783682,1392
141,2.803702,443,2.803702,1588
142,2.823722,435,2.823722,1876
143,2.843741,426,2.843741,1843
144,2.863761,443,2.863761,1743
145,2.883781,462,2.883781,1570
146,2.9038,502,2.9038,1389
147,2.92382,554,2.92382,1441
148,2.94384,513,2.94384,1455
149,2.96386,511,2.96386,1495
150,2.983879,470,2.983879,1295
151,3.003899,431,3.003899,1034
152,3.023919,419,3.023919,779
153,3.043938,384,3.043938,534
154,3.063958,389,3.063958,387
155,3.083978,416,3.083978,306
156,3.103997,413,3.103997,317
157,3.124017,360,3.124017,335
158,3.144037,404,3.144037,388
159,3.164057,418,3.164057,486
160,3.184076,490,3.184076,656
161,3.204096,714,3.204096,1385
162,3.224116,1179,3.224116,2905
163,3.244135,1996,3.244135,6227
164,3.264155,3312,3.264155,10978
165,3.284175,4559,3.284175,16910
166,3.304194,5672,3.304194,20922
167,3.324214,5610,3.324214,21195
168,3.344234,4628,3.344234,17743
169,3.364254,3310,3.364254,12022
170,3.384273,1950,3.384273,6743
171,3.404293,1137,3.404293,3224
172,3.424313,684,3.424313,1444
173,3.444332,549,3.444332,653
