Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2088-00025-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 10:25:59 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.641
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 6
UserCustomField,ID, 6
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.001474231,0.001474231,0.1944528,0,0,False,False
13,Al,PercentWeight,0.02636313,0.02636313,0.02395766,0,0,False,False
14,Si,PercentWeight,0.06116683,0.06116683,0.009931002,0,0,False,False
15,P,PercentWeight,0.05581996,0.00331996,0.003946786,0,0,False,False
16,S,PercentWeight,0.1685291,0.1270291,0.003250396,0,0,False,False
17,Cl,PercentWeight,0.0191652,0.0191652,0.01208147,0,0,False,False
19,K,PercentWeight,0.3962463,0.3087463,0.002929048,0,0,False,False
20,Ca,PercentWeight,1.015294,1.015294,0.003397434,0,0,False,False
22,Ti,PercentWeight,0.001137539,0.001137539,0.0002317224,0,0,False,False
23,V,PercentWeight,0.0001060588,0.0001060588,3.380092E-05,0,0,False,False
24,Cr,PercentWeight,0.002417558,0.002417558,0.0002114186,0,0,False,False
25,Mn,PercentWeight,0.8451897,0.8451897,0.002587391,0,0,False,False
26,Fe,PercentWeight,0.000172545,0.000172545,0.0009911049,0,0,False,False
28,Ni,PercentWeight,0,0,7.940501E-05,0,0,False,False
29,Cu,PercentWeight,0.0006736927,0.0006736927,6.835951E-05,0,0,False,False
30,Zn,PercentWeight,0.001021469,0.001021469,7.884883E-05,0,0,False,False
33,As,PercentWeight,0,0,8.717764E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.398568E-05,0,0,False,False
35,Br,PercentWeight,0.0009099561,0.0009099561,0.0001045922,0,0,False,False
37,Rb,PercentWeight,0.001299443,0.001299443,0.0001342799,0,0,False,False
38,Sr,PercentWeight,0.01132714,0.01132714,0.0001526022,0,0,False,False
42,Mo,PercentWeight,0,0,6.485853E-05,0,0,False,False
48,Cd,PercentWeight,0.0005951944,0.0005951944,0.0002130995,0,0,False,False
56,Ba,PercentWeight,0.0223444,0.0223444,0.003615231,0,0,False,False
80,Hg,PercentWeight,0,0,8.869667E-06,0,0,False,False
82,Pb,PercentWeight,0.0005234979,0.0005234979,0.000279673,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1905067,,488823,
ValidCounts,1652573,,437176,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001040518,,0.001040518,
ZeroOffsetInKeV,-0.001040518,,-0.001040518,
StartingChannel,0.05197471,,0.05197471,
NumberOfChannels,2048,,2048,
CountsPerSecond,45085,,54013.59,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 10:25:59 AM,,02/08/2023 10:25:59 AM,
LiveTimeInSeconds,37.695,,7.946001,
DeadTimeInSeconds,4.560001,,1.104,
ResetTimeInSeconds,4.567001,,0.313,
DetectorTempInC,-27,,-27,
AmbientTempInF,94.9,,94.9,
NosePressureInMilliBars,788.5916,,788.5916,
NoseTemperatureInC,31,,31,
ActiveTimeInSeconds,42.255,,9.050001,
PacketTimeInSeconds,46.82201,,9.363001,
CommunicationTimeInSeconds,3.177994,,0.6369991,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001040518,0,0.001040518,0
2,0.02106022,0,0.02106022,0
3,0.04107992,0,0.04107992,0
4,0.06109962,0,0.06109962,0
5,0.08111932,0,0.08111932,0
6,0.101139,0,0.101139,0
7,0.1211587,0,0.1211587,0
8,0.1411784,0,0.1411784,0
9,0.1611981,0,0.1611981,0
10,0.1812178,0,0.1812178,0
11,0.2012375,0,0.2012375,0
12,0.2212572,0,0.2212572,0
13,0.2412769,0,0.2412769,0
14,0.2612966,0,0.2612966,0
15,0.2813163,0,0.2813163,0
16,0.301336,11,0.301336,2
17,0.3213557,114,0.3213557,22
18,0.3413754,1194,0.3413754,231
19,0.3613952,5927,0.3613952,1166
20,0.3814148,12256,0.3814148,2546
21,0.4014345,11677,0.4014345,2506
22,0.4214543,5102,0.4214543,1156
23,0.4414739,1028,0.4414739,218
24,0.4614936,112,0.4614936,19
25,0.4815134,8,0.4815134,5
26,0.501533,6,0.501533,0
27,0.5215527,4,0.5215527,0
28,0.5415725,2,0.5415725,0
29,0.5615922,3,0.5615922,0
30,0.5816119,1,0.5816119,0
31,0.6016315,0,0.6016315,0
32,0.6216512,0,0.6216512,0
33,0.6416709,1,0.6416709,0
34,0.6616907,1,0.6616907,0
35,0.6817104,736,0.6817104,25
36,0.7017301,736,0.7017301,14
37,0.7217498,719,0.7217498,14
38,0.7417694,742,0.7417694,16
39,0.7617891,719,0.7617891,10
40,0.7818089,708,0.7818089,14
41,0.8018286,655,0.8018286,15
42,0.8218483,684,0.8218483,15
43,0.841868,685,0.841868,17
44,0.8618876,729,0.8618876,20
45,0.8819073,698,0.8819073,22
46,0.9019271,687,0.9019271,43
47,0.9219468,652,0.9219468,46
48,0.9419665,637,0.9419665,62
49,0.9619862,669,0.9619862,69
50,0.9820059,672,0.9820059,58
51,1.002026,651,1.002026,38
52,1.022045,647,1.022045,21
53,1.042065,569,1.042065,20
54,1.062085,671,1.062085,26
55,1.082104,595,1.082104,48
56,1.102124,643,1.102124,49
57,1.122144,642,1.122144,40
58,1.142164,615,1.142164,25
59,1.162183,591,1.162183,28
60,1.182203,628,1.182203,34
61,1.202223,642,1.202223,40
62,1.222242,585,1.222242,41
63,1.242262,603,1.242262,32
64,1.262282,598,1.262282,21
65,1.282301,574,1.282301,19
66,1.302321,577,1.302321,26
67,1.322341,535,1.322341,18
68,1.34236,569,1.34236,17
69,1.36238,549,1.36238,14
70,1.3824,502,1.3824,21
71,1.40242,564,1.40242,27
72,1.422439,585,1.422439,24
73,1.442459,544,1.442459,32
74,1.462479,560,1.462479,49
75,1.482498,525,1.482498,53
76,1.502518,537,1.502518,57
77,1.522538,522,1.522538,72
78,1.542557,529,1.542557,62
79,1.562577,579,1.562577,59
80,1.582597,523,1.582597,71
81,1.602617,525,1.602617,41
82,1.622636,537,1.622636,28
83,1.642656,524,1.642656,25
84,1.662676,506,1.662676,23
85,1.682695,482,1.682695,63
86,1.702715,500,1.702715,73
87,1.722735,524,1.722735,89
88,1.742754,501,1.742754,83
89,1.762774,495,1.762774,85
90,1.782794,529,1.782794,50
91,1.802814,519,1.802814,60
92,1.822833,482,1.822833,46
93,1.842853,527,1.842853,52
94,1.862873,516,1.862873,45
95,1.882892,497,1.882892,67
96,1.902912,554,1.902912,99
97,1.922932,569,1.922932,153
98,1.942952,540,1.942952,210
99,1.962971,518,1.962971,238
100,1.982991,527,1.982991,232
101,2.003011,514,2.003011,205
102,2.02303,508,2.02303,184
103,2.04305,468,2.04305,136
104,2.06307,451,2.06307,92
105,2.083089,468,2.083089,83
106,2.103109,463,2.103109,55
107,2.123129,466,2.123129,46
108,2.143148,485,2.143148,59
109,2.163168,457,2.163168,52
110,2.183188,450,2.183188,70
111,2.203208,437,2.203208,107
112,2.223227,460,2.223227,177
113,2.243247,482,2.243247,345
114,2.263267,500,2.263267,610
115,2.283286,485,2.283286,837
116,2.303306,491,2.303306,1040
117,2.323326,475,2.323326,976
118,2.343346,473,2.343346,703
119,2.363365,452,2.363365,477
120,2.383385,448,2.383385,282
121,2.403405,419,2.403405,209
122,2.423424,387,2.423424,186
123,2.443444,458,2.443444,179
124,2.463464,433,2.463464,203
125,2.483484,388,2.483484,186
126,2.503503,387,2.503503,148
127,2.523523,422,2.523523,179
128,2.543543,404,2.543543,187
129,2.563562,447,2.563562,204
130,2.583582,428,2.583582,341
131,2.603602,461,2.603602,560
132,2.623621,455,2.623621,901
133,2.643641,466,2.643641,1608
134,2.663661,422,2.663661,2418
135,2.683681,406,2.683681,3072
136,2.7037,365,2.7037,3111
137,2.72372,394,2.72372,2658
138,2.74374,365,2.74374,1947
139,2.763759,387,2.763759,1436
140,2.783779,401,2.783779,1343
141,2.803799,384,2.803799,1441
142,2.823818,418,2.823818,1718
143,2.843838,411,2.843838,1818
144,2.863858,398,2.863858,1627
145,2.883878,405,2.883878,1483
146,2.903897,382,2.903897,1429
147,2.923917,503,2.923917,1512
148,2.943937,517,2.943937,1644
149,2.963956,512,2.963956,1697
150,2.983976,482,2.983976,1411
151,3.003996,448,3.003996,1154
152,3.024015,393,3.024015,780
153,3.044035,390,3.044035,541
154,3.064055,356,3.064055,337
155,3.084074,342,3.084074,275
156,3.104094,364,3.104094,274
157,3.124114,353,3.124114,320
158,3.144134,344,3.144134,362
159,3.164153,366,3.164153,393
160,3.184173,351,3.184173,430
161,3.204193,460,3.204193,477
162,3.224212,590,3.224212,770
163,3.244232,836,3.244232,1268
164,3.264252,1139,3.264252,2295
165,3.284271,1399,3.284271,3197
166,3.304291,1514,3.304291,3913
167,3.324311,1435,3.324311,3977
168,3.344331,1236,3.344331,3315
169,3.36435,902,3.36435,2262
170,3.38437,661,3.38437,1432
171,3.40439,487,3.40439,726
