Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2116-00024-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 10:15:27 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.217
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 5
UserCustomField,ID, 5
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.08239757,0.08239757,0.1973687,0,0,False,False
13,Al,PercentWeight,0.07454381,0.07454381,0.02554698,0,0,False,False
14,Si,PercentWeight,0.06149399,0.06149399,0.01024132,0,0,False,False
15,P,PercentWeight,0.05678667,0.004286673,0.004140562,0,0,False,False
16,S,PercentWeight,0.1806795,0.1391795,0.003396153,0,0,False,False
17,Cl,PercentWeight,0.01320273,0.01320273,0.01235895,0,0,False,False
19,K,PercentWeight,0.3522913,0.2647913,0.002809985,0,0,False,False
20,Ca,PercentWeight,1.392747,1.392747,0.003902126,0,0,False,False
22,Ti,PercentWeight,0.001269761,0.001269761,0.0002407661,0,0,False,False
23,V,PercentWeight,8.551285E-05,8.551285E-05,3.419322E-05,0,0,False,False
24,Cr,PercentWeight,0.002358185,0.002358185,0.0002164629,0,0,False,False
25,Mn,PercentWeight,1.126464,1.126464,0.003015229,0,0,False,False
26,Fe,PercentWeight,0,0,0.00106914,0,0,False,False
28,Ni,PercentWeight,0,0,8.135012E-05,0,0,False,False
29,Cu,PercentWeight,0.0006122969,0.0006122969,6.442736E-05,0,0,False,False
30,Zn,PercentWeight,0.001232887,0.001232887,7.819301E-05,0,0,False,False
33,As,PercentWeight,0,0,8.531288E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.468565E-05,0,0,False,False
35,Br,PercentWeight,0.001513225,0.001513225,0.000104461,0,0,False,False
37,Rb,PercentWeight,0.001034081,0.001034081,0.0001318816,0,0,False,False
38,Sr,PercentWeight,0.01228394,0.01228394,0.0001525372,0,0,False,False
42,Mo,PercentWeight,0,0,6.606129E-05,0,0,False,False
48,Cd,PercentWeight,0.0003046321,0.0003046321,0.0002160517,0,0,False,False
56,Ba,PercentWeight,0.02741991,0.02741991,0.003545851,0,0,False,False
80,Hg,PercentWeight,0,0,9.078842E-06,0,0,False,False
82,Pb,PercentWeight,0.0001777892,0.0001777892,0.0002733913,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1987701,,548157,
ValidCounts,1718853,,482142,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008916905,,0.0008916905,
ZeroOffsetInKeV,-0.0008916905,,-0.0008916905,
StartingChannel,0.04454065,,0.04454065,
NumberOfChannels,2048,,2048,
CountsPerSecond,47125.36,,60791.5,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 10:15:27 AM,,02/08/2023 10:15:27 AM,
LiveTimeInSeconds,37.431,,7.786,
DeadTimeInSeconds,4.747999,,1.231,
ResetTimeInSeconds,4.670001,,0.35,
DetectorTempInC,-27,,-27,
AmbientTempInF,93.8,,93.8,
NosePressureInMilliBars,788.5904,,788.5904,
NoseTemperatureInC,31,,31,
ActiveTimeInSeconds,42.179,,9.017001,
PacketTimeInSeconds,46.84901,,9.367002,
CommunicationTimeInSeconds,3.150993,,0.6329985,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008916905,0,0.0008916905,0
2,0.02091139,0,0.02091139,0
3,0.04093109,0,0.04093109,0
4,0.06095079,0,0.06095079,0
5,0.0809705,0,0.0809705,0
6,0.1009902,0,0.1009902,0
7,0.1210099,0,0.1210099,0
8,0.1410296,0,0.1410296,0
9,0.1610493,0,0.1610493,0
10,0.181069,0,0.181069,0
11,0.2010887,0,0.2010887,0
12,0.2211084,0,0.2211084,0
13,0.2411281,0,0.2411281,0
14,0.2611478,0,0.2611478,0
15,0.2811675,0,0.2811675,0
16,0.3011872,7,0.3011872,0
17,0.3212069,124,0.3212069,22
18,0.3412266,1291,0.3412266,235
19,0.3612463,5718,0.3612463,1128
20,0.381266,12082,0.381266,2456
21,0.4012857,11646,0.4012857,2463
22,0.4213054,5162,0.4213054,1072
23,0.4413251,1002,0.4413251,220
24,0.4613448,127,0.4613448,24
25,0.4813645,10,0.4813645,2
26,0.5013842,2,0.5013842,0
27,0.5214039,2,0.5214039,1
28,0.5414236,4,0.5414236,0
29,0.5614433,1,0.5614433,0
30,0.581463,4,0.581463,0
31,0.6014827,2,0.6014827,1
32,0.6215024,1,0.6215024,0
33,0.6415221,0,0.6415221,1
34,0.6615418,2,0.6615418,0
35,0.6815615,758,0.6815615,14
36,0.7015812,744,0.7015812,17
37,0.7216009,696,0.7216009,13
38,0.7416206,690,0.7416206,15
39,0.7616403,721,0.7616403,15
40,0.78166,669,0.78166,18
41,0.8016797,731,0.8016797,13
42,0.8216994,691,0.8216994,22
43,0.8417192,708,0.8417192,11
44,0.8617389,692,0.8617389,22
45,0.8817585,685,0.8817585,22
46,0.9017782,669,0.9017782,43
47,0.9217979,749,0.9217979,60
48,0.9418176,636,0.9418176,63
49,0.9618374,648,0.9618374,59
50,0.9818571,689,0.9818571,44
51,1.001877,668,1.001877,29
52,1.021896,684,1.021896,23
53,1.041916,636,1.041916,32
54,1.061936,622,1.061936,33
55,1.081956,653,1.081956,45
56,1.101975,637,1.101975,41
57,1.121995,629,1.121995,35
58,1.142015,622,1.142015,31
59,1.162034,613,1.162034,21
60,1.182054,607,1.182054,28
61,1.202074,621,1.202074,40
62,1.222093,575,1.222093,37
63,1.242113,606,1.242113,39
64,1.262133,630,1.262133,28
65,1.282153,612,1.282153,23
66,1.302172,604,1.302172,25
67,1.322192,571,1.322192,10
68,1.342212,592,1.342212,18
69,1.362231,549,1.362231,14
70,1.382251,547,1.382251,21
71,1.402271,571,1.402271,32
72,1.42229,578,1.42229,30
73,1.44231,572,1.44231,40
74,1.46233,543,1.46233,56
75,1.48235,590,1.48235,54
76,1.502369,579,1.502369,70
77,1.522389,524,1.522389,70
78,1.542409,552,1.542409,62
79,1.562428,513,1.562428,73
80,1.582448,491,1.582448,68
81,1.602468,553,1.602468,48
82,1.622487,441,1.622487,35
83,1.642507,510,1.642507,24
84,1.662527,512,1.662527,23
85,1.682547,521,1.682547,42
86,1.702566,464,1.702566,61
87,1.722586,476,1.722586,105
88,1.742606,486,1.742606,95
89,1.762625,501,1.762625,83
90,1.782645,474,1.782645,60
91,1.802665,505,1.802665,55
92,1.822685,522,1.822685,42
93,1.842704,537,1.842704,52
94,1.862724,505,1.862724,62
95,1.882744,534,1.882744,88
96,1.902763,510,1.902763,140
97,1.922783,554,1.922783,211
98,1.942803,550,1.942803,256
99,1.962822,546,1.962822,272
100,1.982842,511,1.982842,262
101,2.002862,504,2.002862,240
102,2.022882,520,2.022882,172
103,2.042901,499,2.042901,145
104,2.062921,471,2.062921,81
105,2.082941,452,2.082941,59
106,2.10296,416,2.10296,59
107,2.12298,507,2.12298,71
108,2.143,485,2.143,50
109,2.163019,469,2.163019,51
110,2.183039,465,2.183039,86
111,2.203059,449,2.203059,102
112,2.223078,451,2.223078,202
113,2.243098,495,2.243098,381
114,2.263118,444,2.263118,650
115,2.283138,483,2.283138,911
116,2.303157,449,2.303157,1086
117,2.323177,485,2.323177,998
118,2.343197,418,2.343197,731
119,2.363216,439,2.363216,444
120,2.383236,420,2.383236,310
121,2.403256,437,2.403256,204
122,2.423275,439,2.423275,170
123,2.443295,394,2.443295,177
124,2.463315,412,2.463315,173
125,2.483335,463,2.483335,182
126,2.503354,428,2.503354,167
127,2.523374,402,2.523374,187
128,2.543394,380,2.543394,178
129,2.563413,398,2.563413,206
130,2.583433,411,2.583433,299
131,2.603453,475,2.603453,531
132,2.623472,445,2.623472,943
133,2.643492,443,2.643492,1568
134,2.663512,383,2.663512,2450
135,2.683532,417,2.683532,3092
136,2.703551,439,2.703551,3169
137,2.723571,389,2.723571,2651
138,2.743591,370,2.743591,2002
139,2.76361,384,2.76361,1441
140,2.78363,389,2.78363,1298
141,2.80365,407,2.80365,1563
142,2.823669,398,2.823669,1691
143,2.843689,414,2.843689,1706
144,2.863709,395,2.863709,1592
145,2.883729,414,2.883729,1568
146,2.903748,417,2.903748,1442
147,2.923768,465,2.923768,1498
148,2.943788,475,2.943788,1602
149,2.963807,489,2.963807,1570
150,2.983827,468,2.983827,1358
151,3.003847,440,3.003847,1081
152,3.023867,396,3.023867,772
153,3.043886,353,3.043886,500
154,3.063906,332,3.063906,356
155,3.083926,344,3.083926,308
156,3.103945,367,3.103945,275
157,3.123965,351,3.123965,293
158,3.143985,340,3.143985,325
159,3.164005,359,3.164005,371
160,3.184024,359,3.184024,414
161,3.204044,466,3.204044,494
162,3.224064,581,3.224064,649
163,3.244083,767,3.244083,1112
164,3.264103,970,3.264103,1883
165,3.284123,1265,3.284123,2726
166,3.304142,1435,3.304142,3253
167,3.324162,1289,3.324162,3318
168,3.344182,1153,3.344182,2913
169,3.364202,836,3.364202,1991
170,3.384221,634,3.384221,1232
171,3.404241,462,3.404241,662
172,3.424261,426,3.424261,368
