Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2143-00027-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:05:57 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.87
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 8
UserCustomField,ID, 8
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.02344161,0.02344161,0.1876931,0,0,False,False
13,Al,PercentWeight,0.01555998,0.01555998,0.02361735,0,0,False,False
14,Si,PercentWeight,0.03940752,0.03940752,0.009570815,0,0,False,False
15,P,PercentWeight,0.0689427,0.0164427,0.004172252,0,0,False,False
16,S,PercentWeight,0.1357067,0.09420672,0.003074838,0,0,False,False
17,Cl,PercentWeight,0.01693537,0.01693537,0.01241535,0,0,False,False
19,K,PercentWeight,0.5420251,0.4545251,0.003366384,0,0,False,False
20,Ca,PercentWeight,0.9531629,0.9531629,0.003334881,0,0,False,False
22,Ti,PercentWeight,0.001854389,0.001854389,0.0002489615,0,0,False,False
23,V,PercentWeight,0.0001161636,0.0001161636,3.555188E-05,0,0,False,False
24,Cr,PercentWeight,0.00237651,0.00237651,0.0002233286,0,0,False,False
25,Mn,PercentWeight,0.5373852,0.5373852,0.001906328,0,0,False,False
26,Fe,PercentWeight,0.002890085,0.002890085,0.0007963824,0,0,False,False
28,Ni,PercentWeight,0,0,8.362265E-05,0,0,False,False
29,Cu,PercentWeight,0.001036739,0.001036739,6.566203E-05,0,0,False,False
30,Zn,PercentWeight,0.001013773,0.001013773,7.070239E-05,0,0,False,False
33,As,PercentWeight,0,0,8.279919E-05,0,0,False,False
34,Se,PercentWeight,0.0001050059,0.0001050059,5.958153E-05,0,0,False,False
35,Br,PercentWeight,0.01604851,0.01604851,0.0001456676,0,0,False,False
37,Rb,PercentWeight,0.001666438,0.001666438,0.0001331695,0,0,False,False
38,Sr,PercentWeight,0.009418585,0.009418585,0.0001391371,0,0,False,False
42,Mo,PercentWeight,9.028384E-05,9.028384E-05,6.999714E-05,0,0,False,False
48,Cd,PercentWeight,0.000952246,0.000952246,0.0002258433,0,0,False,False
56,Ba,PercentWeight,0.01872449,0.01872449,0.003225375,0,0,False,False
80,Hg,PercentWeight,0,0,9.782912E-06,0,0,False,False
82,Pb,PercentWeight,0.0001881977,0.0001881977,0.0002640264,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2056289,,500347,
ValidCounts,1766537,,445547,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009490913,,0.0009490913,
ZeroOffsetInKeV,-0.0009490913,,-0.0009490913,
StartingChannel,0.04740787,,0.04740787,
NumberOfChannels,2048,,2048,
CountsPerSecond,49105.41,,55372.62,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:05:57 AM,,02/08/2023 11:05:57 AM,
LiveTimeInSeconds,36.963,,7.907001,
DeadTimeInSeconds,4.912001,,1.129,
ResetTimeInSeconds,4.990997,,0.33,
DetectorTempInC,-27,,-27,
AmbientTempInF,94.2,,94.2,
NosePressureInMilliBars,788.6275,,788.6275,
NoseTemperatureInC,30,,30,
ActiveTimeInSeconds,41.875,,9.036,
PacketTimeInSeconds,46.866,,9.366,
CommunicationTimeInSeconds,3.133999,,0.6339998,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009490913,0,0.0009490913,0
2,0.02096879,0,0.02096879,0
3,0.04098849,0,0.04098849,0
4,0.06100819,0,0.06100819,0
5,0.0810279,0,0.0810279,0
6,0.1010476,0,0.1010476,0
7,0.1210673,0,0.1210673,0
8,0.141087,0,0.141087,0
9,0.1611067,0,0.1611067,0
10,0.1811264,0,0.1811264,0
11,0.2011461,0,0.2011461,0
12,0.2211658,0,0.2211658,0
13,0.2411855,0,0.2411855,0
14,0.2612052,0,0.2612052,0
15,0.2812249,1,0.2812249,0
16,0.3012446,4,0.3012446,4
17,0.3212643,130,0.3212643,21
18,0.341284,1142,0.341284,219
19,0.3613037,5775,0.3613037,1182
20,0.3813234,12015,0.3813234,2541
21,0.4013431,11399,0.4013431,2512
22,0.4213628,5055,0.4213628,1095
23,0.4413825,1010,0.4413825,230
24,0.4614022,121,0.4614022,21
25,0.4814219,7,0.4814219,2
26,0.5014416,4,0.5014416,0
27,0.5214613,8,0.5214613,0
28,0.541481,4,0.541481,0
29,0.5615007,3,0.5615007,0
30,0.5815204,4,0.5815204,0
31,0.6015401,5,0.6015401,0
32,0.6215598,2,0.6215598,0
33,0.6415795,2,0.6415795,0
34,0.6615992,0,0.6615992,0
35,0.6816189,769,0.6816189,18
36,0.7016386,790,0.7016386,18
37,0.7216583,762,0.7216583,13
38,0.741678,739,0.741678,16
39,0.7616977,749,0.7616977,12
40,0.7817174,731,0.7817174,16
41,0.8017371,759,0.8017371,17
42,0.8217568,731,0.8217568,12
43,0.8417765,703,0.8417765,20
44,0.8617963,753,0.8617963,21
45,0.8818159,662,0.8818159,24
46,0.9018356,715,0.9018356,36
47,0.9218553,733,0.9218553,73
48,0.941875,707,0.941875,70
49,0.9618948,702,0.9618948,89
50,0.9819145,666,0.9819145,29
51,1.001934,693,1.001934,33
52,1.021954,716,1.021954,16
53,1.041974,642,1.041974,28
54,1.061993,611,1.061993,29
55,1.082013,691,1.082013,46
56,1.102033,694,1.102033,38
57,1.122052,619,1.122052,28
58,1.142072,685,1.142072,29
59,1.162092,594,1.162092,31
60,1.182112,655,1.182112,36
61,1.202131,693,1.202131,33
62,1.222151,603,1.222151,36
63,1.242171,673,1.242171,38
64,1.26219,595,1.26219,18
65,1.28221,648,1.28221,12
66,1.30223,589,1.30223,24
67,1.322249,608,1.322249,18
68,1.342269,566,1.342269,16
69,1.362289,601,1.362289,12
70,1.382308,610,1.382308,24
71,1.402328,552,1.402328,13
72,1.422348,552,1.422348,23
73,1.442368,595,1.442368,37
74,1.462387,601,1.462387,46
75,1.482407,643,1.482407,53
76,1.502427,583,1.502427,65
77,1.522446,543,1.522446,81
78,1.542466,584,1.542466,71
79,1.562486,604,1.562486,89
80,1.582505,573,1.582505,104
81,1.602525,523,1.602525,61
82,1.622545,525,1.622545,41
83,1.642565,541,1.642565,21
84,1.662584,526,1.662584,24
85,1.682604,501,1.682604,44
86,1.702624,530,1.702624,52
87,1.722643,496,1.722643,72
88,1.742663,514,1.742663,100
89,1.762683,430,1.762683,66
90,1.782702,523,1.782702,52
91,1.802722,494,1.802722,40
92,1.822742,528,1.822742,50
93,1.842762,521,1.842762,42
94,1.862781,575,1.862781,55
95,1.882801,535,1.882801,68
96,1.902821,517,1.902821,119
97,1.92284,553,1.92284,152
98,1.94286,557,1.94286,232
99,1.96288,545,1.96288,246
100,1.9829,543,1.9829,228
101,2.002919,558,2.002919,248
102,2.022939,506,2.022939,225
103,2.042958,488,2.042958,175
104,2.062978,505,2.062978,99
105,2.082998,473,2.082998,70
106,2.103018,489,2.103018,68
107,2.123037,475,2.123037,49
108,2.143057,477,2.143057,64
109,2.163077,495,2.163077,48
110,2.183096,458,2.183096,73
111,2.203116,502,2.203116,113
112,2.223136,463,2.223136,164
113,2.243156,459,2.243156,304
114,2.263175,465,2.263175,504
115,2.283195,511,2.283195,747
116,2.303215,501,2.303215,885
117,2.323234,482,2.323234,856
118,2.343254,439,2.343254,596
119,2.363274,477,2.363274,401
120,2.383294,437,2.383294,274
121,2.403313,459,2.403313,203
122,2.423333,455,2.423333,178
123,2.443353,423,2.443353,154
124,2.463372,470,2.463372,166
125,2.483392,406,2.483392,186
126,2.503412,427,2.503412,180
127,2.523431,436,2.523431,157
128,2.543451,453,2.543451,190
129,2.563471,421,2.563471,211
130,2.583491,449,2.583491,321
131,2.60351,459,2.60351,531
132,2.62353,464,2.62353,1000
133,2.64355,451,2.64355,1676
134,2.663569,435,2.663569,2488
135,2.683589,405,2.683589,3249
136,2.703609,456,2.703609,3291
137,2.723629,385,2.723629,2725
138,2.743648,362,2.743648,2058
139,2.763668,388,2.763668,1523
140,2.783688,381,2.783688,1405
141,2.803707,386,2.803707,1637
142,2.823727,373,2.823727,1881
143,2.843747,384,2.843747,1836
144,2.863766,402,2.863766,1754
145,2.883786,374,2.883786,1446
146,2.903806,433,2.903806,1457
147,2.923826,456,2.923826,1494
148,2.943845,515,2.943845,1530
149,2.963865,479,2.963865,1530
150,2.983885,514,2.983885,1345
151,3.003904,424,3.003904,1030
152,3.023924,406,3.023924,733
153,3.043944,371,3.043944,502
154,3.063963,325,3.063963,396
155,3.083983,365,3.083983,308
156,3.104003,349,3.104003,310
157,3.124022,380,3.124022,343
158,3.144042,380,3.144042,350
159,3.164062,341,3.164062,402
160,3.184082,375,3.184082,449
161,3.204101,463,3.204101,568
162,3.224121,641,3.224121,926
163,3.244141,901,3.244141,1671
164,3.26416,1147,3.26416,2858
165,3.28418,1526,3.28418,4133
166,3.3042,1786,3.3042,5319
167,3.324219,1782,3.324219,5419
168,3.344239,1480,3.344239,4495
169,3.364259,1028,3.364259,3095
170,3.384279,753,3.384279,1902
