Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2251-00018-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 5:12:17 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.139
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 31
UserCustomField,ID,CT006PA0024 31
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.2048528,0.2048528,0.1869257,0,0,False,False
13,Al,PercentWeight,0,0,0.02315776,0,0,False,False
14,Si,PercentWeight,0,0,0.008202342,0,0,False,False
15,P,PercentWeight,0.1152325,0.06273252,0.004477239,0,0,False,False
16,S,PercentWeight,0.1083185,0.06681854,0.002811444,0,0,False,False
17,Cl,PercentWeight,0.0116539,0.0116539,0.0118252,0,0,False,False
19,K,PercentWeight,1.159835,1.072335,0.004713023,0,0,False,False
20,Ca,PercentWeight,0.113244,0.113244,0.00137795,0,0,False,False
22,Ti,PercentWeight,0.000286634,0.000286634,0.000203776,0,0,False,False
23,V,PercentWeight,0,0,3.088638E-05,0,0,False,False
24,Cr,PercentWeight,0.002675147,0.002675147,0.0002056798,0,0,False,False
25,Mn,PercentWeight,0.01015419,0.01015419,0.0003506335,0,0,False,False
26,Fe,PercentWeight,0.01205793,0.01205793,0.0004739682,0,0,False,False
28,Ni,PercentWeight,0,0,8.624369E-05,0,0,False,False
29,Cu,PercentWeight,0.002089392,0.002089392,7.351928E-05,0,0,False,False
30,Zn,PercentWeight,0.007631266,0.007631266,0.0001189461,0,0,False,False
33,As,PercentWeight,0,0,7.871431E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.910735E-05,0,0,False,False
35,Br,PercentWeight,0.0001343281,0.0001343281,9.063043E-05,0,0,False,False
37,Rb,PercentWeight,0.008625633,0.008625633,0.0001398547,0,0,False,False
38,Sr,PercentWeight,0.000657427,0.000657427,0.0001146059,0,0,False,False
42,Mo,PercentWeight,9.591268E-05,9.591268E-05,7.201204E-05,0,0,False,False
48,Cd,PercentWeight,0.0004523862,0.0004523862,0.0002344924,0,0,False,False
56,Ba,PercentWeight,0.001803757,0.001803757,0.003076272,0,0,False,False
80,Hg,PercentWeight,0,0,9.966617E-06,0,0,False,False
82,Pb,PercentWeight,0.0002089723,0.0002089723,0.0002515016,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2001194,,371459,
ValidCounts,1716723,,340202,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008534302,,0.0008534302,
ZeroOffsetInKeV,-0.0008534302,,-0.0008534302,
StartingChannel,0.04262952,,0.04262952,
NumberOfChannels,2048,,2048,
CountsPerSecond,48006.38,,40792.77,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 5:12:17 PM,,01/08/2023 5:12:17 PM,
LiveTimeInSeconds,36.87901,,8.259999,
DeadTimeInSeconds,4.807001,,0.846,
ResetTimeInSeconds,5.147002,,0.25,
DetectorTempInC,-27,,-27,
AmbientTempInF,99.4,,99.4,
NosePressureInMilliBars,784.282,,784.282,
NoseTemperatureInC,35,,35,
ActiveTimeInSeconds,41.686,,9.106,
PacketTimeInSeconds,46.833,,9.356,
CommunicationTimeInSeconds,3.167,,0.6440001,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008534302,0,0.0008534302,0
2,0.02087313,0,0.02087313,0
3,0.04089283,0,0.04089283,0
4,0.06091253,0,0.06091253,0
5,0.08093224,0,0.08093224,0
6,0.1009519,0,0.1009519,0
7,0.1209716,0,0.1209716,0
8,0.1409913,0,0.1409913,0
9,0.161011,0,0.161011,0
10,0.1810307,0,0.1810307,0
11,0.2010504,0,0.2010504,0
12,0.2210701,0,0.2210701,0
13,0.2410898,0,0.2410898,0
14,0.2611095,0,0.2611095,0
15,0.2811292,0,0.2811292,0
16,0.301149,8,0.301149,0
17,0.3211687,130,0.3211687,28
18,0.3411883,1219,0.3411883,232
19,0.3612081,5603,0.3612081,1207
20,0.3812278,12049,0.3812278,2693
21,0.4012474,11265,0.4012474,2582
22,0.4212672,5060,0.4212672,1190
23,0.4412869,1084,0.4412869,254
24,0.4613065,131,0.4613065,22
25,0.4813263,13,0.4813263,0
26,0.5013459,6,0.5013459,0
27,0.5213656,6,0.5213656,0
28,0.5413854,0,0.5413854,0
29,0.5614051,1,0.5614051,0
30,0.5814248,5,0.5814248,0
31,0.6014445,3,0.6014445,0
32,0.6214641,2,0.6214641,0
33,0.6414838,0,0.6414838,0
34,0.6615036,3,0.6615036,0
35,0.6815233,826,0.6815233,10
36,0.701543,827,0.701543,9
37,0.7215627,783,0.7215627,13
38,0.7415824,777,0.7415824,14
39,0.761602,825,0.761602,13
40,0.7816218,795,0.7816218,6
41,0.8016415,766,0.8016415,12
42,0.8216612,751,0.8216612,15
43,0.8416809,777,0.8416809,19
44,0.8617006,760,0.8617006,16
45,0.8817202,738,0.8817202,26
46,0.90174,760,0.90174,39
47,0.9217597,744,0.9217597,54
48,0.9417794,729,0.9417794,71
49,0.9617991,746,0.9617991,55
50,0.9818188,723,0.9818188,30
51,1.001838,749,1.001838,31
52,1.021858,701,1.021858,24
53,1.041878,739,1.041878,35
54,1.061898,777,1.061898,39
55,1.081917,740,1.081917,51
56,1.101937,677,1.101937,35
57,1.121957,663,1.121957,34
58,1.141976,696,1.141976,39
59,1.161996,704,1.161996,26
60,1.182016,700,1.182016,29
61,1.202036,687,1.202036,43
62,1.222055,661,1.222055,39
63,1.242075,680,1.242075,37
64,1.262095,696,1.262095,30
65,1.282114,643,1.282114,28
66,1.302134,605,1.302134,24
67,1.322154,606,1.322154,14
68,1.342173,666,1.342173,18
69,1.362193,647,1.362193,16
70,1.382213,598,1.382213,20
71,1.402233,598,1.402233,22
72,1.422252,633,1.422252,17
73,1.442272,602,1.442272,35
74,1.462292,635,1.462292,43
75,1.482311,565,1.482311,59
76,1.502331,602,1.502331,89
77,1.522351,641,1.522351,111
78,1.54237,606,1.54237,157
79,1.56239,599,1.56239,180
80,1.58241,653,1.58241,161
81,1.60243,578,1.60243,107
82,1.622449,598,1.622449,56
83,1.642469,532,1.642469,40
84,1.662489,545,1.662489,35
85,1.682508,496,1.682508,25
86,1.702528,531,1.702528,34
87,1.722548,546,1.722548,52
88,1.742567,490,1.742567,62
89,1.762587,537,1.762587,46
90,1.782607,573,1.782607,50
91,1.802626,510,1.802626,32
92,1.822646,541,1.822646,36
93,1.842666,535,1.842666,53
94,1.862686,540,1.862686,44
95,1.882705,577,1.882705,44
96,1.902725,534,1.902725,54
97,1.922745,534,1.922745,72
98,1.942764,536,1.942764,98
99,1.962784,539,1.962784,184
100,1.982804,558,1.982804,284
101,2.002824,548,2.002824,319
102,2.022843,515,2.022843,336
103,2.042863,572,2.042863,254
104,2.062883,535,2.062883,170
105,2.082902,497,2.082902,98
106,2.102922,508,2.102922,78
107,2.122942,514,2.122942,76
108,2.142962,519,2.142962,61
109,2.162981,500,2.162981,71
110,2.183001,489,2.183001,58
111,2.203021,489,2.203021,93
112,2.22304,482,2.22304,146
113,2.24306,515,2.24306,263
114,2.26308,517,2.26308,466
115,2.283099,488,2.283099,683
116,2.303119,483,2.303119,789
117,2.323139,504,2.323139,717
118,2.343158,480,2.343158,558
119,2.363178,478,2.363178,369
120,2.383198,437,2.383198,232
121,2.403218,478,2.403218,188
122,2.423237,471,2.423237,153
123,2.443257,446,2.443257,154
124,2.463277,451,2.463277,184
125,2.483296,475,2.483296,180
126,2.503316,515,2.503316,150
127,2.523336,437,2.523336,136
128,2.543355,428,2.543355,163
129,2.563375,445,2.563375,193
130,2.583395,446,2.583395,325
131,2.603415,478,2.603415,554
132,2.623434,428,2.623434,945
133,2.643454,444,2.643454,1712
134,2.663474,458,2.663474,2469
135,2.683493,439,2.683493,3192
136,2.703513,431,2.703513,3208
137,2.723533,412,2.723533,2725
138,2.743552,438,2.743552,2049
139,2.763572,404,2.763572,1483
140,2.783592,409,2.783592,1426
141,2.803612,403,2.803612,1569
142,2.823631,433,2.823631,1796
143,2.843651,389,2.843651,1847
144,2.863671,432,2.863671,1711
145,2.88369,469,2.88369,1594
146,2.90371,483,2.90371,1520
147,2.92373,488,2.92373,1620
148,2.943749,519,2.943749,1669
149,2.963769,504,2.963769,1625
150,2.983789,488,2.983789,1570
151,3.003808,440,3.003808,1196
152,3.023828,430,3.023828,848
153,3.043848,377,3.043848,522
154,3.063868,382,3.063868,401
155,3.083887,399,3.083887,331
156,3.103907,389,3.103907,295
157,3.123927,371,3.123927,354
158,3.143946,402,3.143946,359
159,3.163966,378,3.163966,431
160,3.183986,459,3.183986,523
161,3.204005,613,3.204005,858
162,3.224025,786,3.224025,1816
163,3.244045,1297,3.244045,3562
164,3.264065,2059,3.264065,6648
165,3.284084,2889,3.284084,9500
166,3.304104,3259,3.304104,11935
167,3.324124,3260,3.324124,12347
168,3.344143,2737,3.344143,10177
169,3.364163,1901,3.364163,6844
170,3.384183,1234,3.384183,3944
171,3.404203,754,3.404203,1905
