Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2254-00021-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 9:57:38 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,43.621
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 2
UserCustomField,ID, 2
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4651084,0.4651084,0.1892312,0,0,False,False
13,Al,PercentWeight,0.02516153,0.02516153,0.0251365,0,0,False,False
14,Si,PercentWeight,0,0,0.008596173,0,0,False,False
15,P,PercentWeight,0.161813,0.109313,0.0051392,0,0,False,False
16,S,PercentWeight,0.1257534,0.08425337,0.003020579,0,0,False,False
17,Cl,PercentWeight,0.008854421,0.008854421,0.01229035,0,0,False,False
19,K,PercentWeight,1.535522,1.448022,0.005460451,0,0,False,False
20,Ca,PercentWeight,0.1176921,0.1176921,0.001432518,0,0,False,False
22,Ti,PercentWeight,0.0008467712,0.0008467712,0.0002220392,0,0,False,False
23,V,PercentWeight,0,0,3.358305E-05,0,0,False,False
24,Cr,PercentWeight,0.002614754,0.002614754,0.0002218489,0,0,False,False
25,Mn,PercentWeight,0.01030927,0.01030927,0.0003151812,0,0,False,False
26,Fe,PercentWeight,0.009843942,0.009843942,0.0004219997,0,0,False,False
28,Ni,PercentWeight,0,0,9.122576E-05,0,0,False,False
29,Cu,PercentWeight,0.001982513,0.001982513,6.584658E-05,0,0,False,False
30,Zn,PercentWeight,0.005066053,0.005066053,9.44818E-05,0,0,False,False
33,As,PercentWeight,0,0,7.082065E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.495275E-05,0,0,False,False
35,Br,PercentWeight,7.289417E-05,7.289417E-05,8.153947E-05,0,0,False,False
37,Rb,PercentWeight,0.007597131,0.007597131,0.0001254251,0,0,False,False
38,Sr,PercentWeight,0.0005062813,0.0005062813,0.0001044699,0,0,False,False
42,Mo,PercentWeight,7.095125E-05,7.095125E-05,8.029513E-05,0,0,False,False
48,Cd,PercentWeight,0.0004959491,0.0004959491,0.0002584871,0,0,False,False
56,Ba,PercentWeight,0.00155096,0.00155096,0.002705106,0,0,False,False
80,Hg,PercentWeight,0,0,1.058434E-05,0,0,False,False
82,Pb,PercentWeight,0.0002022564,0.0002022564,0.0002280535,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2266944,,427891,
ValidCounts,1912659,,387251,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001171887,,0.001171887,
ZeroOffsetInKeV,-0.001171887,,-0.001171887,
StartingChannel,0.05853671,,0.05853671,
NumberOfChannels,2048,,2048,
CountsPerSecond,55388.58,,47114.18,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 9:57:38 AM,,02/08/2023 9:57:38 AM,
LiveTimeInSeconds,35.51,,8.111,
DeadTimeInSeconds,5.417999,,0.971,
ResetTimeInSeconds,5.926,,0.29,
DetectorTempInC,-27,,-27,
AmbientTempInF,92.4,,92.4,
NosePressureInMilliBars,787.4732,,787.4732,
NoseTemperatureInC,29,,29,
ActiveTimeInSeconds,40.928,,9.082001,
PacketTimeInSeconds,46.854,,9.372001,
CommunicationTimeInSeconds,3.146,,0.6279993,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001171887,0,0.001171887,0
2,0.02119159,0,0.02119159,0
3,0.04121129,0,0.04121129,0
4,0.06123099,0,0.06123099,0
5,0.08125069,0,0.08125069,0
6,0.1012704,0,0.1012704,0
7,0.1212901,0,0.1212901,0
8,0.1413098,0,0.1413098,0
9,0.1613295,0,0.1613295,0
10,0.1813492,0,0.1813492,0
11,0.2013689,0,0.2013689,0
12,0.2213886,0,0.2213886,0
13,0.2414083,0,0.2414083,0
14,0.261428,0,0.261428,0
15,0.2814477,0,0.2814477,0
16,0.3014674,8,0.3014674,0
17,0.3214871,130,0.3214871,21
18,0.3415068,1146,0.3415068,236
19,0.3615265,5643,0.3615265,1213
20,0.3815462,11522,0.3815462,2653
21,0.4015659,10783,0.4015659,2606
22,0.4215856,4786,0.4215856,1102
23,0.4416053,1007,0.4416053,230
24,0.461625,107,0.461625,19
25,0.4816447,12,0.4816447,1
26,0.5016644,8,0.5016644,0
27,0.5216841,7,0.5216841,0
28,0.5417038,5,0.5417038,0
29,0.5617235,4,0.5617235,0
30,0.5817432,2,0.5817432,0
31,0.6017629,1,0.6017629,0
32,0.6217826,3,0.6217826,0
33,0.6418023,2,0.6418023,0
34,0.661822,3,0.661822,0
35,0.6818417,891,0.6818417,12
36,0.7018614,815,0.7018614,12
37,0.7218812,860,0.7218812,13
38,0.7419008,825,0.7419008,20
39,0.7619205,861,0.7619205,13
40,0.7819402,825,0.7819402,14
41,0.8019599,826,0.8019599,7
42,0.8219796,828,0.8219796,19
43,0.8419994,784,0.8419994,18
44,0.862019,817,0.862019,23
45,0.8820387,788,0.8820387,31
46,0.9020584,849,0.9020584,33
47,0.9220781,845,0.9220781,55
48,0.9420978,838,0.9420978,68
49,0.9621176,791,0.9621176,71
50,0.9821373,814,0.9821373,40
51,1.002157,777,1.002157,27
52,1.022177,813,1.022177,27
53,1.042196,759,1.042196,29
54,1.062216,770,1.062216,42
55,1.082236,809,1.082236,46
56,1.102255,719,1.102255,48
57,1.122275,738,1.122275,41
58,1.142295,721,1.142295,29
59,1.162315,752,1.162315,26
60,1.182334,740,1.182334,48
61,1.202354,725,1.202354,42
62,1.222374,719,1.222374,38
63,1.242393,692,1.242393,41
64,1.262413,738,1.262413,27
65,1.282433,700,1.282433,22
66,1.302452,721,1.302452,21
67,1.322472,713,1.322472,14
68,1.342492,713,1.342492,17
69,1.362512,703,1.362512,10
70,1.382531,690,1.382531,13
71,1.402551,648,1.402551,31
72,1.422571,629,1.422571,35
73,1.44259,618,1.44259,35
74,1.46261,666,1.46261,55
75,1.48263,643,1.48263,71
76,1.502649,673,1.502649,93
77,1.522669,683,1.522669,139
78,1.542689,625,1.542689,189
79,1.562709,678,1.562709,208
80,1.582728,640,1.582728,204
81,1.602748,649,1.602748,142
82,1.622768,596,1.622768,72
83,1.642787,571,1.642787,48
84,1.662807,585,1.662807,25
85,1.682827,591,1.682827,24
86,1.702847,604,1.702847,43
87,1.722866,615,1.722866,63
88,1.742886,556,1.742886,51
89,1.762906,557,1.762906,47
90,1.782925,591,1.782925,50
91,1.802945,609,1.802945,48
92,1.822965,606,1.822965,43
93,1.842984,583,1.842984,47
94,1.863004,591,1.863004,43
95,1.883024,542,1.883024,50
96,1.903044,595,1.903044,57
97,1.923063,571,1.923063,85
98,1.943083,566,1.943083,131
99,1.963103,579,1.963103,249
100,1.983122,549,1.983122,346
101,2.003142,556,2.003142,460
102,2.023162,575,2.023162,416
103,2.043181,587,2.043181,344
104,2.063201,582,2.063201,216
105,2.083221,569,2.083221,115
106,2.10324,577,2.10324,91
107,2.12326,546,2.12326,80
108,2.14328,548,2.14328,74
109,2.1633,512,2.1633,71
110,2.183319,545,2.183319,84
111,2.203339,561,2.203339,116
112,2.223359,521,2.223359,151
113,2.243378,539,2.243378,277
114,2.263398,546,2.263398,544
115,2.283418,547,2.283418,738
116,2.303437,510,2.303437,883
117,2.323457,497,2.323457,826
118,2.343477,489,2.343477,611
119,2.363497,503,2.363497,420
120,2.383516,480,2.383516,288
121,2.403536,486,2.403536,209
122,2.423556,499,2.423556,154
123,2.443575,497,2.443575,196
124,2.463595,525,2.463595,169
125,2.483615,523,2.483615,164
126,2.503634,443,2.503634,146
127,2.523654,492,2.523654,146
128,2.543674,455,2.543674,174
129,2.563694,477,2.563694,229
130,2.583713,447,2.583713,359
131,2.603733,507,2.603733,582
132,2.623753,533,2.623753,983
133,2.643772,487,2.643772,1756
134,2.663792,501,2.663792,2559
135,2.683812,488,2.683812,3306
136,2.703831,491,2.703831,3361
137,2.723851,450,2.723851,2799
138,2.743871,387,2.743871,2162
139,2.763891,441,2.763891,1579
140,2.78391,427,2.78391,1406
141,2.80393,441,2.80393,1680
142,2.82395,409,2.82395,1849
143,2.843969,418,2.843969,2028
144,2.863989,435,2.863989,1859
145,2.884009,489,2.884009,1605
146,2.904028,486,2.904028,1586
147,2.924048,541,2.924048,1590
148,2.944068,545,2.944068,1728
149,2.964088,518,2.964088,1616
150,2.984107,485,2.984107,1476
151,3.004127,495,3.004127,1139
152,3.024147,440,3.024147,780
153,3.044166,435,3.044166,573
154,3.064186,373,3.064186,427
155,3.084206,417,3.084206,335
156,3.104226,435,3.104226,302
157,3.124245,426,3.124245,360
158,3.144265,429,3.144265,369
159,3.164285,448,3.164285,465
160,3.184304,479,3.184304,611
161,3.204324,580,3.204324,1109
162,3.224344,1006,3.224344,2254
163,3.244364,1510,3.244364,4563
164,3.264383,2431,3.264383,8146
165,3.284403,3429,3.284403,12344
166,3.304423,3953,3.304423,15241
167,3.324442,3926,3.324442,15396
168,3.344462,3197,3.344462,12809
169,3.364482,2273,3.364482,8652
170,3.384501,1366,3.384501,4841
171,3.404521,877,3.404521,2399
