Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2419-00035-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:58:20 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.74901
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 16
UserCustomField,ID, 16
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0,0,0.1812534,0,0,False,False
13,Al,PercentWeight,0.01991705,0.01991705,0.02420685,0,0,False,False
14,Si,PercentWeight,0.04410797,0.04410797,0.009992667,0,0,False,False
15,P,PercentWeight,0.08951951,0.03701951,0.004459494,0,0,False,False
16,S,PercentWeight,0.183697,0.142197,0.00339284,0,0,False,False
17,Cl,PercentWeight,0.02136498,0.02136498,0.01224174,0,0,False,False
19,K,PercentWeight,0.6420503,0.5545503,0.003629457,0,0,False,False
20,Ca,PercentWeight,0.7126299,0.7126299,0.002938862,0,0,False,False
22,Ti,PercentWeight,0.00113085,0.00113085,0.0002308997,0,0,False,False
23,V,PercentWeight,8.320879E-05,8.320879E-05,3.415431E-05,0,0,False,False
24,Cr,PercentWeight,0.002614025,0.002614025,0.0002201238,0,0,False,False
25,Mn,PercentWeight,0.3048458,0.3048458,0.00138032,0,0,False,False
26,Fe,PercentWeight,0.01503943,0.01503943,0.0006985073,0,0,False,False
28,Ni,PercentWeight,0,0,8.493013E-05,0,0,False,False
29,Cu,PercentWeight,0.0005781877,0.0005781877,5.794379E-05,0,0,False,False
30,Zn,PercentWeight,0.001146185,0.001146185,7.073238E-05,0,0,False,False
33,As,PercentWeight,0,0,7.931882E-05,0,0,False,False
34,Se,PercentWeight,6.577311E-05,6.577311E-05,6.000949E-05,0,0,False,False
35,Br,PercentWeight,0.005309902,0.005309902,0.0001089535,0,0,False,False
37,Rb,PercentWeight,0.001611241,0.001611241,0.0001227336,0,0,False,False
38,Sr,PercentWeight,0.006916263,0.006916263,0.0001276534,0,0,False,False
42,Mo,PercentWeight,9.091262E-05,9.091262E-05,7.234131E-05,0,0,False,False
48,Cd,PercentWeight,0.0004948468,0.0004948468,0.0002340842,0,0,False,False
56,Ba,PercentWeight,0.00986236,0.00986236,0.003058981,0,0,False,False
80,Hg,PercentWeight,0,0,9.973206E-06,0,0,False,False
82,Pb,PercentWeight,0.0004402403,0.0004402403,0.0002515683,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2072083,,457417,
ValidCounts,1775566,,410745,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001094334,,0.001094334,
ZeroOffsetInKeV,-0.001094334,,-0.001094334,
StartingChannel,0.05466286,,0.05466286,
NumberOfChannels,2048,,2048,
CountsPerSecond,49711.7,,50481.95,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:58:20 AM,,02/08/2023 11:58:20 AM,
LiveTimeInSeconds,36.72301,,8.026,
DeadTimeInSeconds,4.958999,,1.035,
ResetTimeInSeconds,5.175002,,0.304,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.7,,96.7,
NosePressureInMilliBars,788.701,,788.701,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.682,,9.061002,
PacketTimeInSeconds,46.857,,9.365002,
CommunicationTimeInSeconds,3.142998,,0.6349983,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001094334,0,0.001094334,0
2,0.02111403,0,0.02111403,0
3,0.04113374,0,0.04113374,0
4,0.06115344,0,0.06115344,0
5,0.08117314,0,0.08117314,0
6,0.1011928,0,0.1011928,0
7,0.1212125,0,0.1212125,0
8,0.1412322,0,0.1412322,0
9,0.1612519,0,0.1612519,0
10,0.1812716,0,0.1812716,0
11,0.2012913,0,0.2012913,0
12,0.221311,0,0.221311,0
13,0.2413307,0,0.2413307,0
14,0.2613505,0,0.2613505,0
15,0.2813702,0,0.2813702,0
16,0.3013898,7,0.3013898,2
17,0.3214096,107,0.3214096,30
18,0.3414293,1198,0.3414293,215
19,0.3614489,5697,0.3614489,1125
20,0.3814687,11956,0.3814687,2555
21,0.4014884,11259,0.4014884,2566
22,0.421508,4889,0.421508,1155
23,0.4415278,1034,0.4415278,232
24,0.4615475,127,0.4615475,27
25,0.4815671,13,0.4815671,1
26,0.5015869,6,0.5015869,1
27,0.5216066,3,0.5216066,0
28,0.5416263,4,0.5416263,1
29,0.561646,2,0.561646,0
30,0.5816656,5,0.5816656,0
31,0.6016853,2,0.6016853,0
32,0.6217051,4,0.6217051,0
33,0.6417248,3,0.6417248,0
34,0.6617445,1,0.6617445,0
35,0.6817642,764,0.6817642,13
36,0.7017839,825,0.7017839,14
37,0.7218035,763,0.7218035,19
38,0.7418233,779,0.7418233,17
39,0.761843,748,0.761843,14
40,0.7818627,753,0.7818627,15
41,0.8018824,793,0.8018824,11
42,0.8219021,728,0.8219021,16
43,0.8419217,781,0.8419217,8
44,0.8619415,731,0.8619415,15
45,0.8819612,697,0.8819612,22
46,0.9019809,734,0.9019809,36
47,0.9220006,749,0.9220006,53
48,0.9420203,721,0.9420203,69
49,0.96204,697,0.96204,71
50,0.9820597,703,0.9820597,42
51,1.002079,641,1.002079,27
52,1.022099,735,1.022099,27
53,1.042119,660,1.042119,20
54,1.062138,681,1.062138,30
55,1.082158,757,1.082158,47
56,1.102178,671,1.102178,40
57,1.122198,681,1.122198,35
58,1.142217,695,1.142217,26
59,1.162237,631,1.162237,30
60,1.182257,667,1.182257,26
61,1.202276,629,1.202276,36
62,1.222296,682,1.222296,46
63,1.242316,639,1.242316,27
64,1.262336,665,1.262336,17
65,1.282355,637,1.282355,20
66,1.302375,633,1.302375,18
67,1.322395,630,1.322395,16
68,1.342414,648,1.342414,19
69,1.362434,632,1.362434,16
70,1.382454,656,1.382454,12
71,1.402473,587,1.402473,26
72,1.422493,630,1.422493,29
73,1.442513,617,1.442513,32
74,1.462533,606,1.462533,52
75,1.482552,610,1.482552,53
76,1.502572,591,1.502572,67
77,1.522592,588,1.522592,68
78,1.542611,582,1.542611,100
79,1.562631,627,1.562631,114
80,1.582651,552,1.582651,111
81,1.60267,585,1.60267,72
82,1.62269,536,1.62269,52
83,1.64271,565,1.64271,40
84,1.66273,542,1.66273,36
85,1.682749,528,1.682749,33
86,1.702769,571,1.702769,57
87,1.722789,532,1.722789,74
88,1.742808,475,1.742808,104
89,1.762828,541,1.762828,97
90,1.782848,566,1.782848,59
91,1.802867,519,1.802867,74
92,1.822887,531,1.822887,57
93,1.842907,543,1.842907,48
94,1.862926,512,1.862926,62
95,1.882946,581,1.882946,69
96,1.902966,558,1.902966,84
97,1.922986,593,1.922986,161
98,1.943005,540,1.943005,186
99,1.963025,589,1.963025,253
100,1.983045,581,1.983045,283
101,2.003064,538,2.003064,301
102,2.023084,504,2.023084,279
103,2.043104,508,2.043104,208
104,2.063123,499,2.063123,118
105,2.083143,489,2.083143,79
106,2.103163,451,2.103163,54
107,2.123183,517,2.123183,71
108,2.143202,539,2.143202,78
109,2.163222,491,2.163222,77
110,2.183242,464,2.183242,67
111,2.203261,514,2.203261,112
112,2.223281,466,2.223281,194
113,2.243301,541,2.243301,371
114,2.26332,489,2.26332,678
115,2.28334,540,2.28334,986
116,2.30336,543,2.30336,1160
117,2.32338,444,2.32338,979
118,2.343399,529,2.343399,818
119,2.363419,472,2.363419,509
120,2.383439,507,2.383439,322
121,2.403458,479,2.403458,210
122,2.423478,421,2.423478,203
123,2.443498,472,2.443498,188
124,2.463518,494,2.463518,195
125,2.483537,456,2.483537,217
126,2.503557,429,2.503557,177
127,2.523577,416,2.523577,177
128,2.543596,407,2.543596,197
129,2.563616,461,2.563616,188
130,2.583636,453,2.583636,329
131,2.603656,497,2.603656,559
132,2.623675,459,2.623675,938
133,2.643695,467,2.643695,1675
134,2.663715,453,2.663715,2593
135,2.683734,438,2.683734,3122
136,2.703754,398,2.703754,3215
137,2.723774,392,2.723774,2722
138,2.743793,391,2.743793,2004
139,2.763813,405,2.763813,1490
140,2.783833,381,2.783833,1384
141,2.803853,437,2.803853,1598
142,2.823872,404,2.823872,1791
143,2.843892,447,2.843892,1911
144,2.863912,415,2.863912,1690
145,2.883931,421,2.883931,1505
146,2.903951,488,2.903951,1462
147,2.923971,516,2.923971,1537
148,2.94399,479,2.94399,1527
149,2.96401,513,2.96401,1575
150,2.98403,482,2.98403,1361
151,3.00405,453,3.00405,1084
152,3.024069,428,3.024069,783
153,3.044089,399,3.044089,513
154,3.064109,421,3.064109,336
155,3.084128,345,3.084128,314
156,3.104148,376,3.104148,296
157,3.124168,380,3.124168,311
158,3.144187,367,3.144187,399
159,3.164207,415,3.164207,403
160,3.184227,428,3.184227,472
161,3.204247,513,3.204247,630
162,3.224266,667,3.224266,1042
163,3.244286,923,3.244286,1946
164,3.264306,1406,3.264306,3442
165,3.284325,1868,3.284325,5259
166,3.304345,2076,3.304345,6497
167,3.324365,2011,3.324365,6467
168,3.344384,1651,3.344384,5420
169,3.364404,1272,3.364404,3840
170,3.384424,827,3.384424,2216
