Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2423-00034-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:53:53 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.81
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 15
UserCustomField,ID, 15
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.1395829,0.1395829,0.1799486,0,0,False,False
13,Al,PercentWeight,0,0,0.02202101,0,0,False,False
14,Si,PercentWeight,0.02672314,0.02672314,0.008980638,0,0,False,False
15,P,PercentWeight,0.06845333,0.01595334,0.003929097,0,0,False,False
16,S,PercentWeight,0.1927658,0.1512658,0.003345146,0,0,False,False
17,Cl,PercentWeight,0.002572685,0.002572685,0.0116385,0,0,False,False
19,K,PercentWeight,0.548755,0.461255,0.003349387,0,0,False,False
20,Ca,PercentWeight,0.4688918,0.4688918,0.002424556,0,0,False,False
22,Ti,PercentWeight,0.001002335,0.001002335,0.0002141041,0,0,False,False
23,V,PercentWeight,5.357469E-05,5.357469E-05,3.172865E-05,0,0,False,False
24,Cr,PercentWeight,0.002264858,0.002264858,0.0002034892,0,0,False,False
25,Mn,PercentWeight,0.4018241,0.4018241,0.001801034,0,0,False,False
26,Fe,PercentWeight,0.01654989,0.01654989,0.0008715144,0,0,False,False
28,Ni,PercentWeight,0,0,7.543939E-05,0,0,False,False
29,Cu,PercentWeight,0.0009376598,0.0009376598,7.306133E-05,0,0,False,False
30,Zn,PercentWeight,0.001435331,0.001435331,8.622788E-05,0,0,False,False
33,As,PercentWeight,0,0,9.516105E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.287817E-05,0,0,False,False
35,Br,PercentWeight,0.007706517,0.007706517,0.0001362931,0,0,False,False
37,Rb,PercentWeight,0.002978145,0.002978145,0.0001495901,0,0,False,False
38,Sr,PercentWeight,0.005120927,0.005120927,0.000145203,0,0,False,False
42,Mo,PercentWeight,9.559179E-05,9.559179E-05,6.160884E-05,0,0,False,False
48,Cd,PercentWeight,0.0005134051,0.0005134051,0.0002015912,0,0,False,False
56,Ba,PercentWeight,0.002163132,0.002163132,0.003670558,0,0,False,False
80,Hg,PercentWeight,0,0,8.731423E-06,0,0,False,False
82,Pb,PercentWeight,0.0003309136,0.0003309136,0.0002948916,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1706941,,391014,
ValidCounts,1495452,,357049,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007621776,,0.0007621776,
ZeroOffsetInKeV,-0.0007621776,,-0.0007621776,
StartingChannel,0.03807138,,0.03807138,
NumberOfChannels,2048,,2048,
CountsPerSecond,39976.13,,42940.25,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:53:53 AM,,02/08/2023 11:53:53 AM,
LiveTimeInSeconds,38.592,,8.218,
DeadTimeInSeconds,4.107,,0.888,
ResetTimeInSeconds,4.167,,0.26,
DetectorTempInC,-27,,-27,
AmbientTempInF,96,,96,
NosePressureInMilliBars,788.6327,,788.6327,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,42.69901,,9.106001,
PacketTimeInSeconds,46.866,,9.366001,
CommunicationTimeInSeconds,3.133995,,0.6339989,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007621776,0,0.0007621776,0
2,0.02078188,0,0.02078188,0
3,0.04080158,0,0.04080158,0
4,0.06082128,0,0.06082128,0
5,0.08084098,0,0.08084098,0
6,0.1008607,0,0.1008607,0
7,0.1208804,0,0.1208804,0
8,0.1409001,0,0.1409001,0
9,0.1609198,0,0.1609198,0
10,0.1809395,0,0.1809395,0
11,0.2009592,0,0.2009592,0
12,0.2209789,0,0.2209789,0
13,0.2409986,0,0.2409986,0
14,0.2610183,0,0.2610183,0
15,0.281038,0,0.281038,1
16,0.3010577,2,0.3010577,2
17,0.3210774,130,0.3210774,29
18,0.3410971,1176,0.3410971,254
19,0.3611168,5878,0.3611168,1232
20,0.3811365,12695,0.3811365,2608
21,0.4011562,12053,0.4011562,2551
22,0.4211759,5220,0.4211759,1175
23,0.4411956,1148,0.4411956,226
24,0.4612153,130,0.4612153,30
25,0.481235,7,0.481235,2
26,0.5012547,2,0.5012547,0
27,0.5212744,1,0.5212744,0
28,0.5412941,4,0.5412941,0
29,0.5613138,3,0.5613138,0
30,0.5813335,3,0.5813335,0
31,0.6013532,2,0.6013532,0
32,0.6213729,1,0.6213729,0
33,0.6413926,2,0.6413926,0
34,0.6614123,3,0.6614123,0
35,0.681432,700,0.681432,13
36,0.7014517,682,0.7014517,9
37,0.7214714,718,0.7214714,19
38,0.7414911,662,0.7414911,12
39,0.7615108,690,0.7615108,10
40,0.7815305,644,0.7815305,11
41,0.8015502,662,0.8015502,19
42,0.8215699,680,0.8215699,6
43,0.8415896,669,0.8415896,11
44,0.8616093,649,0.8616093,21
45,0.881629,663,0.881629,25
46,0.9016487,662,0.9016487,27
47,0.9216684,621,0.9216684,49
48,0.9416881,638,0.9416881,55
49,0.9617078,624,0.9617078,69
50,0.9817275,606,0.9817275,46
51,1.001747,640,1.001747,29
52,1.021767,580,1.021767,15
53,1.041787,629,1.041787,30
54,1.061806,593,1.061806,34
55,1.081826,616,1.081826,37
56,1.101846,598,1.101846,38
57,1.121865,567,1.121865,34
58,1.141885,601,1.141885,25
59,1.161905,596,1.161905,20
60,1.181925,570,1.181925,38
61,1.201944,621,1.201944,34
62,1.221964,582,1.221964,50
63,1.241984,557,1.241984,34
64,1.262003,561,1.262003,21
65,1.282023,597,1.282023,18
66,1.302043,507,1.302043,14
67,1.322062,551,1.322062,20
68,1.342082,548,1.342082,13
69,1.362102,559,1.362102,15
70,1.382122,509,1.382122,20
71,1.402141,536,1.402141,17
72,1.422161,566,1.422161,26
73,1.442181,545,1.442181,26
74,1.4622,579,1.4622,33
75,1.48222,534,1.48222,55
76,1.50224,531,1.50224,57
77,1.522259,523,1.522259,70
78,1.542279,513,1.542279,98
79,1.562299,465,1.562299,98
80,1.582319,511,1.582319,82
81,1.602338,509,1.602338,61
82,1.622358,516,1.622358,32
83,1.642378,457,1.642378,38
84,1.662397,426,1.662397,18
85,1.682417,480,1.682417,49
86,1.702437,458,1.702437,70
87,1.722456,487,1.722456,60
88,1.742476,491,1.742476,74
89,1.762496,524,1.762496,59
90,1.782516,457,1.782516,45
91,1.802535,477,1.802535,40
92,1.822555,468,1.822555,37
93,1.842575,464,1.842575,48
94,1.862594,451,1.862594,55
95,1.882614,452,1.882614,58
96,1.902634,476,1.902634,81
97,1.922653,510,1.922653,95
98,1.942673,501,1.942673,146
99,1.962693,478,1.962693,187
100,1.982713,512,1.982713,226
101,2.002732,486,2.002732,234
102,2.022752,455,2.022752,225
103,2.042772,475,2.042772,147
104,2.062791,468,2.062791,110
105,2.082811,455,2.082811,94
106,2.102831,452,2.102831,50
107,2.12285,449,2.12285,57
108,2.14287,490,2.14287,61
109,2.16289,433,2.16289,59
110,2.182909,431,2.182909,70
111,2.202929,432,2.202929,100
112,2.222949,396,2.222949,201
113,2.242969,395,2.242969,370
114,2.262988,442,2.262988,682
115,2.283008,432,2.283008,961
116,2.303028,464,2.303028,1128
117,2.323047,444,2.323047,1132
118,2.343067,471,2.343067,864
119,2.363087,405,2.363087,569
120,2.383107,399,2.383107,341
121,2.403126,408,2.403126,205
122,2.423146,388,2.423146,186
123,2.443166,406,2.443166,179
124,2.463185,372,2.463185,221
125,2.483205,375,2.483205,178
126,2.503225,363,2.503225,160
127,2.523245,421,2.523245,175
128,2.543264,392,2.543264,166
129,2.563284,375,2.563284,210
130,2.583304,446,2.583304,290
131,2.603323,410,2.603323,514
132,2.623343,435,2.623343,947
133,2.643363,423,2.643363,1650
134,2.663383,424,2.663383,2378
135,2.683402,388,2.683402,2996
136,2.703422,371,2.703422,3165
137,2.723442,411,2.723442,2688
138,2.743461,373,2.743461,2041
139,2.763481,364,2.763481,1425
140,2.783501,355,2.783501,1311
141,2.80352,382,2.80352,1509
142,2.82354,359,2.82354,1681
143,2.84356,330,2.84356,1779
144,2.86358,352,2.86358,1662
145,2.883599,367,2.883599,1479
146,2.903619,404,2.903619,1533
147,2.923639,440,2.923639,1536
148,2.943658,470,2.943658,1797
149,2.963678,452,2.963678,1682
150,2.983698,445,2.983698,1539
151,3.003717,405,3.003717,1160
152,3.023737,350,3.023737,782
153,3.043757,372,3.043757,539
154,3.063776,327,3.063776,366
155,3.083796,345,3.083796,313
156,3.103816,329,3.103816,281
157,3.123836,321,3.123836,292
158,3.143855,327,3.143855,343
159,3.163875,362,3.163875,380
160,3.183895,386,3.183895,478
161,3.203914,446,3.203914,607
162,3.223934,582,3.223934,990
163,3.243954,893,3.243954,1790
164,3.263973,1291,3.263973,3193
165,3.283993,1652,3.283993,4671
166,3.304013,1952,3.304013,5654
167,3.324033,1878,3.324033,5874
168,3.344052,1606,3.344052,4929
169,3.364072,1092,3.364072,3406
170,3.384092,773,3.384092,1938
171,3.404111,560,3.404111,1041
